phone,website,location,moreInfoLink,name,startDate,venue,price,description,endDate
602-229-1265,http://www.barsmithphoenix.com,"130 E. Washington St. Phoenix, AZ, 85004",http://www.azcentral.com/thingstodo/music/&quot;The_Scenario&quot;_415884576566,"""The Scenario""",11/03/2010,Bar Smith,$3,"Wednesday nights are bumping downtown thanks to Bar Smith's ""The Scenario"" dance party. The weekly event hosts a slew of national DJs, and urban and dance beats courtesy of resident DJs Pickster One, Ellery and Hartbreaks. Specials include $2 Pabst Blue Ribbons, and $3 Milagro tequila, Pinnacle vodkas and sangrias all night.",03/30/2011
480-829-6775,http://www.zumagrill.com,"605 S. Mill Ave. Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/Zuma_Grill_525302212242,Zuma Grill,,Zuma Grill,,The grill turns into a Tempe hot spot with nightly dancing and special events. Happy-hour specials are available from 3-7 p.m. weekdays.,
602-229-1265,http://www.facebook.com/fusefridays,"130 E. Washington St. Phoenix, AZ, 85004",http://www.azcentral.com/thingstodo/music/FUSE_Fridays_526662594290,FUSE Fridays,,Bar Smith,$5 after 10 p.m.,"Every Friday night, this downtown Phoenix hotspot features a host of local and national DJs spinning some of the hottest dance and electronic beats. The party is offered on two floors, with the rooftop dominated by heavy electro tracks and the downstairs pounding out progressive/tech grooves.",
602-254-1646,http://sidebarphoenix.com,"1514 N. Seventh Ave. Phoenix, AZ, 85007",http://www.azcentral.com/thingstodo/music/Industry_Night_198563770110,Industry Night,,Sidebar Phoenix,Free admission; menu prices vary,"Attend Sunday service that features local DJ's spinning tunes while you enjoy 20 percent off an assortment of liquors, wines and beers.",
480-994-5176,http://www.forbiddenaz.com,"6820 E. Fifth Ave. Scottsdale, AZ, 85251",http://www.azcentral.com/thingstodo/music/Inferno_Thursdays_813030208286,Inferno Thursdays,,Forbidden,$7 - $10,"This weekly dance party spins some of the hottest hip-hop beats in town, courtesy of DJs Red and MJ. Every third Thursday, the night also features the ""Ruby n' Friends"" drag show, and the club features an 18-and-older dance floor all night.",
480-941-9849,,"7220 E. Wilshire Drive Scottsdale, AZ, 85257",http://www.azcentral.com/thingstodo/music/Having_Fun_431008434231,Having Fun,,VFW Post 3513,Free,Big-band music for all ages.,
480-947-8188,http://www.myspace.com/mulligansaz,"7318 E. Stetson Drive Scottsdale, AZ, 85251",http://www.azcentral.com/thingstodo/music/Illicit_Wednesdays_446797138588,Illicit Wednesdays,,Mulligan's Brick Bar,$5,DJ Thai-coon and DJ Myth spin records.,
480-947-8188,http://www.myspace.com/mulligansaz,"7318 E. Stetson Drive Scottsdale, AZ, 85251",http://www.azcentral.com/thingstodo/music/Faded_Fridays_444109281006,Faded Fridays,,Mulligan's Brick Bar,Free,DJ Role Model spins records. Drink specials include $1.50 Bud Light Drafts.,
480-970-6969,http://www.suedeaz.com,"7333 E. Indian Plaza Scottsdale, AZ, 85251",http://www.azcentral.com/thingstodo/music/Suede_909898554914,Suede,,Suede,Cover varies.,"This restaurant and lounge offers a Euro-Asian menu, DJs and a frost-top bar to keep specialty martinis and wines chilled. Seating options include a lounge area and a scenic outdoor patio. Thursday is ladies' night, with $4 Three Olives vodka drinks. Happy-hour specials include $3 Three Olives drinks and $3 beers. No hats or sneakers allowed.",
480-782-5550,http://www.myspace.com/melloland,"3990 S. Alma School Road Chandler, AZ, 85248",http://www.azcentral.com/thingstodo/music/Soul_Catcher/Melloland_380196089930,Soul Catcher/Melloland,05/27/2010,D'Vine Bistro & Wine Bar,No cover,"Stop by this stylish Chandler wine bar every Thursday, as local R&amp;B and jazz band Melloland and blues rock cover band Soul Catcher take to the stage. The bands alternative every week. See website for details.",05/12/2011
480-946-3004,http://www.dennisrowland.com,"7137 E. Stetson Drive Scottsdale, AZ, 85251",http://www.azcentral.com/thingstodo/music/Dennis_Rowland_198260310011,Dennis Rowland,05/25/2010,Kazimierz World Wine Bar,$5,"Dennis Rowland grew up in Detroit surrounded by blues and R&amp;B, and in 1977 he became the voice of the Count Basie Orchestra, following in the footsteps of his idol, Joe Williams. Rowland is a member of the Herberger Theater Performing and Broadcast Arts Hall of Fame. Rowland performs Thursday nights at Kazimierz",05/15/2012
480-654-4171,http://www.dvinewine101.com,"2837 N. Power Road Mesa, AZ, 85215",http://www.azcentral.com/thingstodo/music/Rhonda_Lester_791828107080,Rhonda Lester,05/23/2010,D'Vine Bistro & Wine Bar,No cover,"Sunday evenings, relax with a glass of wine and the smooth sounds of local guitarist Rhonda Lester, as she performs a mix of classic rock and soul songs.",05/19/2013
