phone,zipCode,title,picture,webSite,address,city,startDate,venue,description,email,endDate,state
561-832-7677,33401.0,"Superstar Clint Holmes: Celebrating the Great Sammy Davis, Jr.",http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/38/38129/38129_73x73.jpg,http://www.palmbeachpops.org,500 S. Australian Ave.,West Palm Beach,03/09/11,Bob Lappin & the Palm Beach Pops,"<b>Bob Lappin &amp; The Palm Beach Pops<br />  </b><br />  The house lights dim and the spotlight comes on as he takes his place on stage. The orchestra begins to play and it becomes apparent that Maestro Bob Lappin has orchestrated yet another exceptional evening of entertainment. The musicians and singers are energized by the repertoire and the audience is immersed in the magic of the music. For a moment in time, we are captivated by the extraordinary musicianship and passion presented on stage.<br />  As Florida&rsquo;s premier Pops orchestras, Bob Lappin &amp; The Palm Beach Pops are devoted to preserving and performing the music of the Great American Songbook. From Gershwin to Goodman&hellip;Tin Pan Alley to Broadway&hellip;Judy Garland to Frank Sinatra&hellip;the Palm Beach Pops perform your favorites like no one else can!<br />  The Palm Beach Pops perform 36 concerts from November through April at the Kravis Center for the Performing Arts - Dreyfoos Hall - in West Palm Beach, the Carole &amp; Barry Kaye Peforming Arts Auditorium at Florida Atlantic University in Boca Raton and Eissey Campus Theatre at Palm Beach Community College in Palm Beach Gardens.<br />  Bringing you the music that makes you feel inspired and alive!",creative@palmbeachpops.org,03/15/11,FL
561-832-7677,33401.0,Michael Cavanaugh in Concert: The Music of Billy Joel and More,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/38/38131/38131_73x73.jpg,http://www.palmbeachpops.org,500 S. Australian Ave.,West Palm Beach,04/04/11,Bob Lappin & the Palm Beach Pops,"<b>Bob Lappin &amp; The Palm Beach Pops<br />  </b><br />  The house lights dim and the spotlight comes on as he takes his place on stage. The orchestra begins to play and it becomes apparent that Maestro Bob Lappin has orchestrated yet another exceptional evening of entertainment. The musicians and singers are energized by the repertoire and the audience is immersed in the magic of the music. For a moment in time, we are captivated by the extraordinary musicianship and passion presented on stage.<br />  As Florida&rsquo;s premier Pops orchestras, Bob Lappin &amp; The Palm Beach Pops are devoted to preserving and performing the music of the Great American Songbook. From Gershwin to Goodman&hellip;Tin Pan Alley to Broadway&hellip;Judy Garland to Frank Sinatra&hellip;the Palm Beach Pops perform your favorites like no one else can!<br />  The Palm Beach Pops perform 36 concerts from November through April at the Kravis Center for the Performing Arts - Dreyfoos Hall - in West Palm Beach, the Carole &amp; Barry Kaye Peforming Arts Auditorium at Florida Atlantic University in Boca Raton and Eissey Campus Theatre at Palm Beach Community College in Palm Beach Gardens.<br />  Bringing you the music that makes you feel inspired and alive!",creative@palmbeachpops.org,04/10/11,FL
727-343-4445,33707.0,Art Walk,,http://www.seabreezemanor.com,5701 Shore Blvd. S.,Gulfport,03/20/10,Sea Breeze Manor Bed & Breakfast Inn,"Waterfront Bed and Breakfast nestled in the artist community of Gulfport within walking distance to over 30 shops, restaurants and services.&nbsp;&nbsp;Each suite has&nbsp;spacious inside sitting areas and private balconies out into the tropical garden or with a bay view, private bathrooms, and TV/VCR/CD/Wifi.&nbsp; For those who like to travel with their pets, there are&nbsp; two dog friendly cottages with private patios.&nbsp; Enjoy a full breakfast watching the sun rise on the bay from our watefront balcony or&nbsp;salute the sunset with&nbsp;complimentary Port, Sherry, and snacks.&nbsp; <br />  <br />  There is always something happening in Gulfport from live entertainment to the highly popular Art walk every first Fri. and&nbsp;third Sat. of the month. Tucked inbetween St. Petersburg and St. Pete Beach this is the perfect place to enjoy all the Tampa/St. Petersburg/Gulf Beaches area has to offer without the crowds. <br />  <br />  The Manor is a beautiful place for a wedding.&nbsp; Make the dramatic entrance to the tropical garden from the second floor balcony, say your vows under the jasmine covered gazebo, take&nbsp;your official photos on the beach&nbsp;and dance the night away under the stars.&nbsp;",rsvp@seabreezemanor.com,03/20/12,FL
954-924-2980,33020.0,FUNTASTIC 1st FRIDAYS FOR KIDS,,http://www.visithollywoodfl.org,330 N. Federal Highway,Hollywood,05/07/10,Hollywood Office of Tourism,"Hollywood is a warm and welcoming Florida beach destination with a natural allure, major attractions and diverse activities including year-round festivals and events. With&nbsp;seven miles of award-winning beaches located between Fort Lauderdale and Miami, Hollywood is a natural wonder. From its 2.5 mile oceanfront Broadwalk and 1,500-acre mangrove eco-system to a vibrant downtown dining and entertainment district and 10-acre ArtsPark, Hollywood is an unspoiled oasis in a thriving metropolis.",jerickson@hollywoodfl.org,05/07/11,FL
863-983-6101,33440.0,Big Cypress Shootout,,http://www.billieswampsafari.travel,"Big Cypress Seminole Indian Reservation, between Fort Lauderdale and Naples off of I-75 (at Exit 49) then north 19 miles",Big Cypress Seminole Indian Reservation,02/25/11,Billie Swamp Safari,"A&nbsp;2,200 acre eco-heritage wildlife park located in the Florida Everglades on the Big Cypress Seminole Indian Reservation, Billie Swamp Safari offers swamp buggy eco-tours and airboat rides through&nbsp;untamed Everglades plus snake&nbsp;&amp; alligator shows, swamp critter shows, nature trail, animal and reptile exhibits, day packages and overnight stays in authentic thatched roof chickees.&nbsp;&nbsp;Exclusive tours are available.&nbsp; Dine in the Swamp Water Cafe and stop by the gift shop for&nbsp;Everglades souvenirs before leaving.&nbsp; 800-GO-SAFARI, <a href=""http://www.semtribe.com/safari"">www.billieswampsafari.travel</a>.&nbsp; Located off of I-75 between Naples and Fort Lauderdale.",safari@semtribe.com,02/28/11,FL
407-665-2900,32746.0,Celebrating the Arts: Fourth Fridays!,,http://www.visitseminole.com,1000 AAA Drive,Heathrow,05/22/09,Seminole County Convention and Visitors Bureau,"In the heart of Central Florida, Seminole County is quickly becoming a favorite destination. Whether you're looking for a newer hotel, at a better rate, the enjoyment of the natural wonders of a true Florida vacation, fine dining, miles of crystal clear rivers and wilderness trails, superb golf courses or simply to relax your mind and soul in our charming historic villages - it's easy to see why Seminole County is Florida's Natural Choice.<br />  <br />  Located between the theme parks of Central Florida and the beautiful Treasure Coast beaches, access to Seminole County is a breeze. Whether visitors fly into hassle-free Sanford-Orlando International Airport or Orlando International, or arrive by Amtrak or by vehicle on I-4, the excitement is only a short hop away.<br />  <br />  Visitors find many of the same flagship hotels and amenities as in Orlando, but often for a significantly lower rate. In addition to the excellent hotels that our guests currently enjoy, Seminole County has recently opened new hotels including a Hyatt Place, Residence Inn and a Westin.<br />  <br />  Seminole County boasts 2,000 freshwater lakes and clear running rivers that create an abundance of outdoor activities. From kayaking to fishing, boating and hiking, the Wekiva River, Wekiva Springs State Park and other areas have become popular attractions. Showing a wilder side, flat-bottom airboats propel riders on an exhilarating trip in search of alligators and wildlife. A great new attraction located at the Central Florida Zoo and Botanical Gardens is ZOOm Air Adventures - an aerial adventure course that allows visitors to explore the tree tops from an animal's perspective. The only course of its kind in the United States, ZOOm Air is completely environmentally friendly and goes well beyond the usual zip line courses. For the less adventurous, the 1940's style Rivership Romance hosts luncheon and moonlight dinner cruises on the tranquil St. Johns River. Alternatively, the area hosts several golf courses, great antique shopping and charming villages with restaurants and nightlife for every taste.<br />  <br />  Surrounded by the beauty of natural Florida, Seminole County offers the classic Florida experience.",SSears@seminolecountyfl.gov,05/22/11,FL
352-750-5500,32195.0,Free Lecture Series,,http://www.fcmr.org,3000 Marion County Rd.,Weirsdale,10/05/09,Florida Carriage Museum & Resort,"The Florida Carriage Museum &amp; Resort encompasses over 400 acres of beauty in Central Florida&rsquo;s horse country. Visitors to the Museum re-live history as they experience one of the finest collections of carriages in the world. They can even take a carriage ride (by prior appointment) on the winding roads through tall oaks draped in Spanish Moss, around the Qin Dynasty Gardens and past the exotic Japanese Koi Pond. Horses abound: a rare Poitou donkey named &ldquo;Nicolette&rdquo; and her best friend, a Miniature Horse named &ldquo;Gracie&rdquo;, welcome visitors and look for a scratch on the head.<br /> <br /> The Museum houses one of the largest, privately owned collections of carriages in the world. It is open to the public and there are more than 160 meticulously restored carriages, including the 1840&rsquo;s Dress Chariot formerly owned by Emperor Franz Joseph of Austria.<br /> <br /> The Resort features 24 well appointed residences and 10 barns that serve as an equine &ldquo;Bed &amp; Barn.&rdquo; Some guests bring their horses to train for the winter months, a weekend, or just for the day. Others come without horses to enjoy the miles of walking/carriage trails and can often be spotted picnicing under the shady oak trees.",booking@fcmr.org,10/03/11,FL
904-277-4369,32034.0,Union Garrison at Fort Clinch State Park,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/33/33439/33439_73x73.jpg,http://www.ameliaisland.com,402 Centre St.,Amelia Island,01/02/10,Amelia Island Tourist Development Council,"Located in the northeastern-most tip of Florida, 25 miles from Jacksonville International Airport, Amelia Island offers guests an island with 14 miles of spacious peaceful shores easily accessible to those wishing to claim their own stretch of sand. Scorched-shouldered beachcombers can mosey over to Historic Center Street, recognized by its Victorian architecture and historical charm. Amelia Island is synonymous for its protected wildlife, state parks and family-filled adventure. Recently named one of North America's Top 10 Island Destinations by the readers of Conde Nast Traveler, Amelia Island combines southern charm with Florida relaxation and adds a healthy dose of adventure. For more information visit their website.",info@ameliaisland.com,11/02/37,FL
386-454-2889,32643.0,Fantastic Friday,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/35/35493/35493_73x73.jpg,http://highspringsmainstreet.com,405 N. Main Street,High Springs,02/05/10,High Springs Main Street,"The High Springs Main Street program is a 501 (c) 3 non-profit under the Community Development Corporation.&nbsp; The Main Street approach advocates improvements in four areas to create a positive, distinctive image for downtown:<br /> <br /> 1) Organization<br /> 2) Promotion<br /> 3) Design<br /> 4) Economic Restructuring<br /> <br /> The Main Street approach also advocates a return to community self-reliance and emphasizes the downtown's traditional assets: personal service, local ownership, unique architecture, and sense of community.&nbsp; <br /> <br /> The Main Street Program Vision is to provide vibrant, economically-sustainable High Springs downtown district that respects and preserves its historical, small-town assets.<br /> <br /> The Main Street Mission is to provide education, support, guidance and vision for the preservation, improvement and economic restructuring of the historical High Springs downtown district.<br /> <br /> Watch a video about High Springs by copying and pasting the link below: <br /> http://www.visitflorida.com/wildlife/videos/video_id.310",manager@highspringsmainstreet.com,02/05/12,FL
407-665-2900,32746.0,Alive After Five,,http://www.visitseminole.com,1000 AAA Drive,Heathrow,06/11/09,Seminole County Convention and Visitors Bureau,"In the heart of Central Florida, Seminole County is quickly becoming a favorite destination. Whether you're looking for a newer hotel, at a better rate, the enjoyment of the natural wonders of a true Florida vacation, fine dining, miles of crystal clear rivers and wilderness trails, superb golf courses or simply to relax your mind and soul in our charming historic villages - it's easy to see why Seminole County is Florida's Natural Choice.<br />  <br />  Located between the theme parks of Central Florida and the beautiful Treasure Coast beaches, access to Seminole County is a breeze. Whether visitors fly into hassle-free Sanford-Orlando International Airport or Orlando International, or arrive by Amtrak or by vehicle on I-4, the excitement is only a short hop away.<br />  <br />  Visitors find many of the same flagship hotels and amenities as in Orlando, but often for a significantly lower rate. In addition to the excellent hotels that our guests currently enjoy, Seminole County has recently opened new hotels including a Hyatt Place, Residence Inn and a Westin.<br />  <br />  Seminole County boasts 2,000 freshwater lakes and clear running rivers that create an abundance of outdoor activities. From kayaking to fishing, boating and hiking, the Wekiva River, Wekiva Springs State Park and other areas have become popular attractions. Showing a wilder side, flat-bottom airboats propel riders on an exhilarating trip in search of alligators and wildlife. A great new attraction located at the Central Florida Zoo and Botanical Gardens is ZOOm Air Adventures - an aerial adventure course that allows visitors to explore the tree tops from an animal's perspective. The only course of its kind in the United States, ZOOm Air is completely environmentally friendly and goes well beyond the usual zip line courses. For the less adventurous, the 1940's style Rivership Romance hosts luncheon and moonlight dinner cruises on the tranquil St. Johns River. Alternatively, the area hosts several golf courses, great antique shopping and charming villages with restaurants and nightlife for every taste.<br />  <br />  Surrounded by the beauty of natural Florida, Seminole County offers the classic Florida experience.",SSears@seminolecountyfl.gov,06/11/11,FL
