admission,address,name,description,date,externalURL,moreDetailURL,phone,location
Free and Open to the Public,"310 Shea Drive, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=238"">Chesapeake Planetarium presents ""Life on Mars""</a>","<p>  During the month of February, join us as&nbsp;we explore the possibilities of Mars. The red planet, Mars, was thought to be a planet inhabited by life....Martians. Mars does seem to have a history which included a milder climate and liquid water. Has there ever been life on this planet? Let's explore the possibilities together.",02/03/2011 - 02/24/2011,http://www.cps.k12.va.us/departments/planetarium/index.html,http://www.visitchesapeake.com/calendar/index.cfm,(757) 547-0153,Chesapeake Planetarium
Free and Open to the Public,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=252"">Skywatch at Northwest River Park</a>",Come view the night sky with the Back Bay Amateur Astronomers. Held in the equestrian area.,02/28/2011 - 02/28/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
Free and Open to the Public,"310 Shea Drive, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=239"">Chesapeake Planetarium presents ""Cosmic Symphony""</a>",<p>  Allow your imagination to take you on a&nbsp;cosmic voyage as you listen to music and view the wonders of the universe. Selections of classical and pop music will be played on the planetarium's powerful sound system as celestial visuals zoom in from deep space. This program allows you to wander among the stars....,03/03/2011 - 03/31/2011,http://www.cps.k12.va.us/departments/planetarium/index.html,http://www.visitchesapeake.com/calendar/index.cfm,(757) 547-0153,Chesapeake Planetarium
Free,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=254"">Fly Fishing at Northwest River</a>","<p>  This popular program continues to be a crowd pleaser! Everything you could ever want to know about fly fishing under one roof. Learn about selecting your own equipment, casting techniques and how to tie your fly. Children will be entered into the equipment drawing.",03/07/2011 - 03/07/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
,"900 Greenbrier Circle, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=249"">""The Masters"" 10-Ball Tournament</a>","Reserve your seats now for &quot;The Masters&quot; 10-Ball Tournament at the Chesapeake Conference Center. This event features a full field of 128 players with a total prize fund of $100,000! Held in conjunction with the AP Regionals.",03/01/2011 - 03/05/2011,http://www.masters10ball.com,http://www.visitchesapeake.com/calendar/index.cfm,(757) 499-8900,Chesapeake Conference Center
Free and Open to the Public,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=252"">Skywatch at Northwest River Park</a>",Come view the night sky with the Back Bay Amateur Astronomers. Held in the equestrian area.,02/25/2011 - 02/25/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
Free,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=254"">Fly Fishing at Northwest River</a>","<p>  This popular program continues to be a crowd pleaser! Everything you could ever want to know about fly fishing under one roof. Learn about selecting your own equipment, casting techniques and how to tie your fly. Children will be entered into the equipment drawing.",03/05/2011 - 03/05/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
$5; Under 12 Free (with paid adult),"645 Woodlake Drive, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=271"">Catchin' for Kids 2011 Sportfishing Show</a>","<p>  The first annual Catchin' for Kids Sportfishing Show features all you need or would want to know about area fishing. See, compare and purchase all types of fishing tackle, boats, trailers, and tow vehicles. With show specials on tackle, boats and accessories, you will want to stock up now! Be sure to check out&nbsp;some of the seminars and learn fishing techniques from top local and visiting anglers. Concessions will be available on site.",03/18/2011 - 03/20/2011,mailto:&#115;&#104;&#111;&#119;&#64;&#67;&#97;&#116;&#99;&#104;&#105;&#110;&#70;&#111;&#114;&#75;&#105;&#100;&#115;&#46;&#111;&#114;&#103;,http://www.visitchesapeake.com/calendar/index.cfm,,Khedive Shrine Center
Free and Open to the Public,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=257"">Skywatch at Northwest River Park</a>",Come view the night sky with the Back Bay Amateur Astronomers. Held in the equestrian area.,03/25/2011 - 03/25/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
Free and Open to the Public,"310 Shea Drive, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=240"">Chesapeake Planetarium presents ""Life and Death of Stars""</a>","<p>  We often think of stars as lasting forever, but in fact stars are forming and dying in our universe every day. Some astronomers believe that all stars are formed with &quot;families&quot; of planets, moons, asteroids, comets, and millions of smaller members. We will examine the life cycles of stars.",04/07/2011 - 04/28/2011,http://www.cps.k12.va.us/departments/planetarium/index.html,http://www.visitchesapeake.com/calendar/index.cfm,(757) 547-0153,Chesapeake Planetarium
