phone,website,title,contactEmail,moreInfoLink,startDate,endTime,fullAddress,description,venue,startTime,image,endDate
,http://museums.bankofamerica.com,Bank of America Museums on Us,,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/Bank-of-America-Museums-on-Us/event/13352/,,,PA,"<p>Bank of America cardholders receive free admission to participating museums nationwide the first weekend of every month. Museums include the African American Museum in Phila., National Constitution Center, Phila. Museum of Art, Please Touch Museum, Garden State Discovery Museum, Delaware Art Museum, Delaware Museum of Natural History, Winterthur &amp; others.",Participating museums nationwide,,,
215-925-2800,http://www.libertymuseum.org,Crafts for Kids,jgriesemer@libertymuseum.org,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/Crafts-for-Kids/event/12441/,06/26/2011,6:00 pm,"321 Chestnut St., 				Philadelphia, PA","<p>Every Sunday, enjoy free, themed, tables of crafts for kids staffed by museum educators.",National Liberty Museum,12:00 pm,,
302-654-2340,http://www.delawarechildrensmuseum.org,Delaware Children's Museum Birthday Weekend,,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/Delaware-Childrens-Museum-Birthday-Weekend/event/14209/,04/30/2011,4:30 pm,"550 Justison St., 				Wilmington, DE",<p>Celebrate the museum's first birthday during a weekend-long party with games &amp; activities.,Delaware Children's Museum,9:00 am,,05/1/2011
,http://www.28thpvi.net,22nd Annual Civil War Re-enactment,kgc28pvi@gmail.com,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/22nd-Annual-Civil-War-Re-enactment/event/13144/,04/30/2011,4:00 pm,"3401 State Rd., 				Bensalem, PA",<p>Experience the largest Civil War re-enactment on the East Coast outside of Gettysburg. This year marks the 150th anniversary of the start of the Civil War. For teens &amp; adults.,Neshaminy State Park,9:00 am,http://www.metrokids.com/images/cache/c2eaa259ea481d0bf777fab77c9f1815.jpeg,05/1/2011
215-340-9800,http://www.michenermuseum.org/events/event.php?id=1211,Elvis at 21: Why Elvis Matters — A Panel Discussion,,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/Elvis-at-21-Why-Elvis-Matters-rdquo-A-Panel-Discussion/event/14030/,,4:00 pm,"138 S. Pine St., 				Doylestown, PA",<p>Exhibition curators come together to explore the life &amp; legacy of Elvis Presley in illustrated presentations &amp; panel discussion.,James A. Michener Art Museum,2:00 pm,http://www.metrokids.com/images/cache/3a87e1ffb0b3a7e69447df52fda69744.jpeg,
302-239-4244,http://www.mtcubacenter.org,7th Annual Wildflower Celebration,info@mtcubacenter.org,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/7th-Annual-Wildflower-Celebration/event/13855/,,4:00 pm,"3120 Barley Mill Rd., 				Hockessin, DE","<p>Stroll the gardens at your leisure during this fun &amp; festive celebration of spring! Enjoy live music, learning stations &amp; family activities.",Mt. Cuba Center,10:00 am,http://www.metrokids.com/images/cache/97515c9a68616bdb09a24b60922a85a0.jpeg,
215-887-4882,http://www.abingtonartcenter.org,EUREKA! Family Art Workshop,programs@abingtonartcenter.org,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/EUREKA-Family-Art-Workshop/event/13401/,,3:00 pm,"515 Meetinghouse Rd., 				Jenkintown, PA",<p>Families of any size &amp; artistic ability can explore the galleries &amp; make art together. Each month features a different project.,Abington Art Center,11:00 pm,,
610-688-7092ext210,http://www.tredyffrinlibraries.org,Book Bake-Off!,anewman@ccls.org,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/Book-Bake-Off/event/12548/,,4:00 pm,"582 Upper Gulph Rd., 				Strafford, PA",<p>Two teams of kid bakers face off with recipes from popular &amp; classic children's books. Grades 3 &amp; up.,Tredyffrin Public Library,1:30 pm,,
610-388-8382,http://www.brandywinemuseum.org/ed-family-children.html,Free Sunday Mornings at Brandywine River Museum,education@brandywine.org,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/Free-Sunday-Mornings-at-Brandywine-River-Museum/event/12969/,01/16/2011,12:00 pm,"Rte. 1, 				Chadds Ford, PA","<p>Admission is free on Sunday mornings from 9:30am-12noon. The restaurant serves &quot;Breakfast on the Brandywine&quot; on during the same time (not free).<p>Admission fee is not waived on Sun., May 29, 2011 during the 40th Annual Antiques Show.",Brandywine River Museum,9:30 am,,11/20/2011
215-247-6696,http://www.chestnuthillpa.com,Chestnut Hill Home & Garden Festival,pmiller@chestnuthillpa.com,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/Chestnut-Hill-Home-Garden-Festival/event/13857/,,5:00 pm,"8000-8600 Germantown Ave., 				Philadelphia, PA","<p>A fun-filled outdoor event with home &amp; garden vendors, amusement rides, face painting, live zoo animals, rock climbing, foods &amp; more.",Chestnut Hill,11:00 am,http://www.metrokids.com/images/cache/4bb3ff1e5b0b7b0829d2967ba4910985.jpeg,
,http://www.groundsforsculpture.org,Museum (Work)Shop: Decorating Totes,,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/Museum-WorkShop-Decorating-Totes/event/13994/,,3:00 pm,"126 Sculptors Way, 				Hamilton, NJ","<p>Drop in to the Museum Shop, purchase a DIY tote &amp; decorate it, just in time for Mothers Day. Markers &amp; decorating materials provided.",Grounds For Sculpture,1:00 pm,,
,http://www.PIFA.org,Philadelphia International Festival of the Arts,,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/Philadelphia-International-Festival-of-the-Arts/event/14106/,,,,"<p>Soar on the flying trapeze. Solve a Mona Lisa mystery. Take a ride on a Ferris wheel... on Broad Street.<p>These are just a few of the arts activities available for kids during the first-ever Philadelphia International Festival of the Arts (PIFA), April 7-May 1, a city-wide celebration of the arts. Many programs are focused on the festival theme, Paris: 1910-1920. <p>Find a complete listing of family-friendly programming on the PIFA website or pick up a copy of MetroKids' April issue for a calendar of PIFA family events.<p>Learn more about the MetroKids/PIFA Digital Youth Art Exhibition outside the Kimmel Center.","Philadelphia, PA",,,
800-448-3883,http://www.winterthur.org,WOW! Wee Ones at Winterthur,,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/WOW-Wee-Ones-at-Winterthur/event/14212/,,,"5105 Kennett Pike, 				Wilmington, DE","<p>Learn through music, movement &amp; the exploration of objects in a warm &amp; welcoming setting. Read Covered Wagon, Bumpy Trails today &amp; imagine heading west in a wagon. Ages 3-5.","Winterthur Museum, Garden & Library",10:30 am,,
302-674-2111,http://www.biggsmuseum.org,First Friday: Arts Connect-ED: Campus Community School Opening Reception,bcooper@biggsmuseum.org,http://www.metrokids.com/MetroKids/Attractions-and-Events/Calendar/index.php/name/First-Friday-Arts-Connect-ED-Campus-Community-School-Opening-Reception/event/13171/,,6:00 pm,"406 Federal St., 				Dover, DE","<p>Celebrate youth talent in the arts &amp; be the first to look at the installment of local school children&rsquo;s artwork created by students at Campus Community School of Dover, DE. Also enjoy a hands-on activity center in Sewell&rsquo;s Studio.",Biggs Museum of American Art,4:00 pm,http://www.metrokids.com/images/cache/edd566e9652a33ba5bb162c81f9c3267.jpeg,
