endDate,image,fullAddress,name,startDate,price,description,moreInfoLink,venueLink
02/27/2011,,"<span class=""street-address"">4212 Sunset Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Flamenco Dinner Theater,12/10/2010,,,http://www.laweekly.com/events/flamenco-dinner-theater-124192/,http://www.laweekly.com/locations/el-cid-114202/
02/27/2011,,"<span class=""street-address"">4212 Sunset Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Flamenco Dinner Theater,12/03/2010,,,http://www.laweekly.com/events/flamenco-dinner-theater-124192/,http://www.laweekly.com/locations/el-cid-114202/
02/27/2011,,"<span class=""street-address"">4212 Sunset Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Flamenco Dinner Theater,12/11/2010,,,http://www.laweekly.com/events/flamenco-dinner-theater-124192/,http://www.laweekly.com/locations/el-cid-114202/
02/27/2011,,"<span class=""street-address"">4212 Sunset Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Flamenco Dinner Theater,12/04/2010,,,http://www.laweekly.com/events/flamenco-dinner-theater-124192/,http://www.laweekly.com/locations/el-cid-114202/
02/27/2011,,"<span class=""street-address"">4212 Sunset Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Flamenco Dinner Theater,12/05/2010,,,http://www.laweekly.com/events/flamenco-dinner-theater-124192/,http://www.laweekly.com/locations/el-cid-114202/
03/13/2011,,"<span class=""street-address"">850 San Clemente Drive</span>;             <span class=""locality"">Newport Beach</span>             <span class=""region"">CA</span>",2010 California Biennial,11/07/2010,,"Paintings, drawings, photographs, sculpture, video and much more by over 40 California artists.</p>",http://www.laweekly.com/events/2010-california-biennial-1101479/,http://www.laweekly.com/locations/orange-county-museum-of-art-115014/
02/27/2011,,"<span class=""street-address"">600 State Dr.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Allensworth: A place. A people. A story.,11/07/2010,,"Contemporary photographs of Allensworth, California, the state's first town founded and governed by African-Americans in 1908.</p>",http://www.laweekly.com/events/allensworth-a-place-a-people-a-story--1046775/,http://www.laweekly.com/locations/california-african-american-museum-113853/
03/05/2011,,"<span class=""street-address"">2002 N. Main St.</span>;             <span class=""locality"">Santa Ana</span>             <span class=""region"">CA</span>",Ancient Arts of China: A 5000 Year Legacy,11/07/2010,,"Paintings, sculpture, pottery, ivory and robes on loan from the Shanghai Museum.</p>",http://www.laweekly.com/events/ancient-arts-of-china-a-5000-year-legacy-875991/,http://www.laweekly.com/locations/bowers-museum-326885/
04/17/2011,,"<span class=""street-address"">2000 Avenue of the Stars</span>;             <span class=""locality"">Century City</span>             <span class=""region"">CA</span>","""Extreme Exposure"": Clyde Butcher, Michael Nichols, Paul Nicklen and Donna and Stephen James O'Meara, photographs",11/07/2010,,,http://www.laweekly.com/events/extreme-exposure-clyde-butcher-michael-nichols-paul-nicklen-and-donna-and-stephen-james-omeara-photographs-1093496/,http://www.laweekly.com/locations/annenberg-space-for-photography-495965/
03/05/2011,,"<span class=""street-address"">2002 N. Main St.</span>;             <span class=""locality"">Santa Ana</span>             <span class=""region"">CA</span>",California Legacies: Missions and Ranchos (1768-1848),11/07/2010,,"Paintings, clothing, statues and daily objects from O.C.'s missions and ranchos.</p>",http://www.laweekly.com/events/california-legacies-missions-and-ranchos-1768-1848-875992/,http://www.laweekly.com/locations/bowers-museum-326885/
03/05/2011,,"<span class=""street-address"">2002 N. Main St.</span>;             <span class=""locality"">Santa Ana</span>             <span class=""region"">CA</span>",Classic California: Recently Conserved Paintings from the Permanent Collection,11/07/2010,,"Landscapes, portraits and still-lifes from the 1850s to the 1930s.</p>",http://www.laweekly.com/events/classic-california-recently-conserved-paintings-from-the-permanent-collection-875994/,http://www.laweekly.com/locations/bowers-museum-326885/
