address,price,description,venue,phone,website,title,fullDates,moreInfo
1920 N. Forest Ave.,$7,Bring a blanket and chairs for an outdoor showing of the movie Twilight,Harry P. Leu Gardens,(407) 246-2620,http://www.leugardens.org,Date Night at Leu Gardens,3/4 6:00PM,http://calendar.orlandoweekly.com/Events/e10206/Date_Night_at_Leu_Gardens
Daytona State College,free,Series of film screenings which feature some of the most significant plays in 20th century American theater,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,The Play\u0027s the Thing,"3/4 1:30PM, 3/11 1:30PM, 3/25 1:30PM",http://calendar.orlandoweekly.com/Events/e10973/The_Plays_the_Thing
101 E. Central Blvd.,free,Showing of 2010&#39;s horse-racing film Secretariat,Orlando Public Library,(407) 835-7481,http://www.ocls.info,Movies in the Library,3/4 12:00PM,http://calendar.orlandoweekly.com/Events/e11097/Movies_in_the_Library
1300 S. Orlando Ave.,$5,Cult Classics screening of the 1973 Bruce Lee martial arts film,Enzian Theater,(407) 629-0054,http://www.enzian.org,Enter The Dragon,3/8 9:30PM,http://calendar.orlandoweekly.com/Events/e10784/Enter_The_Dragon
Daytona State College,free,Screening of Asquith&#39;s 1939 film Pygmalion,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Movie Matinee Wednesdays:,3/9 1:30PM,http://calendar.orlandoweekly.com/Events/e10066/Movie_Matinee_Wednesdays_It_Girls_of_the_Movies
Daytona State College,free,Screening of Ford&#39;s 1946 western My Darling Clementine,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Man vs. The West: Icons and Myths,3/9 7:15PM,http://calendar.orlandoweekly.com/Events/e10574/Man_vs_The_West_Icons_and_Myths
309 E. First St.,free,WTF Theater showing of 1957&#39;s film about a British colonel and Japanese POW camp commander,Little Fish Huge Pond,(407) 920-1321,http://www.littlefish-hugepond.com,The Bridge On The River Kwai,3/9 8:00PM,http://calendar.orlandoweekly.com/Events/e10997/The_Bridge_On_The_River_Kwai
155 S. Orange Ave.,$10,Hosts Jeff Jones and Miss Sammy provide comedic commentary during a showing of the film Xanadu,Plaza Cinema Cafe,(321) 558-2878,,Movies Out Loud,3/10 8:00PM,http://calendar.orlandoweekly.com/Events/e9762/Movies_Out_Loud
North Park Avenue and West Morse Boulevard,free,Outdoor showing of Henry Koster&#39;s 1950 film Harvey,"Central Park, Winter Park",(407) 629-0054,http://www.enzian.org,Popcorn Flicks in the Park,3/10 7:00PM,http://calendar.orlandoweekly.com/Events/e10785/Popcorn_Flicks_in_the_Park
101 E. Central Blvd.,free,Showing of 1992&#39;s female baseball movie A League of Their Own,Orlando Public Library,(407) 835-7481,http://www.ocls.info,Movies in the Library,3/11 12:00PM,http://calendar.orlandoweekly.com/Events/e11098/Movies_in_the_Library
274 Cranes Roost Blvd.,free,Outdoor showing of the film Antz,Cranes Roost Park,(407) 571-8863,http://www.uptownaltamonte.com,Sunset Cinema,3/12 7:00PM,http://calendar.orlandoweekly.com/Events/e11233/Sunset_Cinema
1300 S. Orlando Ave.,free,Wednesday Night Pitcher Show with an outdoor screening of the 1987 Mel Brooks comedy,Enzian Theater,(407) 629-0054,http://www.enzian.org,Spaceballs,3/16 8:00PM,http://calendar.orlandoweekly.com/Events/e10932/Spaceballs
309 E. First St.,free,WTF Theater showing of 1968&#39;s film about a mysterious Irishman named Finian,Little Fish Huge Pond,(407) 221-1499,http://www.littlefish-hugepond.com,Finian\u0027s Rainbow,3/16 8:00PM,http://calendar.orlandoweekly.com/Events/e10998/Finians_Rainbow
101 E. Central Blvd.,free,Showing of 1979&#39;s Norma Rae starring Sally Field and Beau Bridges,Orlando Public Library,(407) 835-7481,http://www.ocls.info,Movies in the Library,3/18 12:00PM,http://calendar.orlandoweekly.com/Events/e11099/Movies_in_the_Library
300 N. Park Ave.,free,Outdoor showing of Jurassic Park,Veterans Memorial Park,,http://www.sanfordinfo.com,Cinema in the Park,3/18 7:30PM,http://calendar.orlandoweekly.com/Events/e11278/Cinema_in_the_Park
1300 S. Orlando Ave.,free,"Indie and student filmmakers present short works, the audience selects winners",Enzian Theater,(407) 629-0054,http://www.enzian.org,Filmslam,"3/20 1:00PM, 5/15 1:00PM, 6/12 1:00PM, 7/10 1:00PM, 8/14 1:00PM, 9/11 1:00PM, 10/9 1:00PM",http://calendar.orlandoweekly.com/Events/e9971/Filmslam
Daytona State College,free,Screening of the 1944 film noir mystery Laura,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Movie Matinee Wednesdays:,3/23 1:30PM,http://calendar.orlandoweekly.com/Events/e10067/Movie_Matinee_Wednesdays_It_Girls_of_the_Movies
Daytona State College,free,Screening of Wellman&#39;s 1943 western The Ox Bow Incident,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Man vs. The West: Icons and Myths,3/23 7:15PM,http://calendar.orlandoweekly.com/Events/e10575/Man_vs_The_West_Icons_and_Myths
1300 S. Orlando Ave.,free,Wednesday Night Pitcher Show with an outdoor screening of the 1978 John Landis comedy,Enzian Theater,(407) 629-0054,http://www.enzian.org,Animal House,3/23 8:00PM,http://calendar.orlandoweekly.com/Events/e10933/Animal_House
101 E. Central Blvd.,free,Showing of 2009&#39;s Amelia starring Hilary Swank,Orlando Public Library,(407) 835-7481,http://www.ocls.info,Movies in the Library,3/25 12:00PM,http://calendar.orlandoweekly.com/Events/e11100/Movies_in_the_Library
9800 International Drive,$23.96-$25,Screenings of more than 10 films in various genres,Orange County Convention Center,(),http://www.megaconvention.com,Megacon\u0027s Indie Film Expo,3/25 6:30PM,http://calendar.orlandoweekly.com/Events/e11201/Megacons_Indie_Film_Expo
1300 S. Orlando Ave.,$5,Cult Classics screening of the 1977 raunchy sports comedy starring Paul Newman,Enzian Theater,(407) 629-0054,http://www.enzian.org,Slap Shot,3/29 9:30PM,http://calendar.orlandoweekly.com/Events/e10786/Slap_Shot
Daytona State College,free,Screening of DaCosta&#39;s 1958 comedy Auntie Mame,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Movie Matinee Wednesdays:,3/30 1:30PM,http://calendar.orlandoweekly.com/Events/e10068/Movie_Matinee_Wednesdays_It_Girls_of_the_Movies
