venueLink,title,zip,moreInfo,time,description,venue,city,startDate,images,state,street,endDate
http://www.livefrommemphis.com/memphiscalendar/venueevents/10-orpheum-theatre,Young Frankenstein,38103,http://www.livefrommemphis.com/memphiscalendar/details/3778-Young%20Frankenstein,,"<p>The classic Mel Brooks movie is ALIVE...Youâll have a monstrously good  time at this spectacular new production, winner of the 2008 Outer  Critics Circle Award and the Broadway.com Audience Award for BEST  MUSICAL!<br /><br />The sensational cast delivers all your favorite moments  from the classic film, plus brand-new show-stopping numbers including  âTransylvania Mania,â âHe Vas My Boyfriendâ and âPuttinâ on the Ritz.â<br /><br />This  wickedly inspired re-imagining of the Frankenstein legend follows  bright young Dr. Frankenstein (thatâs Fronkensteen) as he attempts to  create a monster - but not without scary and hilarious complications.<br /><br />The  brains behind the laughter is mad genius and three-time Tony winner Mel  Brooks, who wrote the music and lyrics and co-wrote the book, along  with his team from The Producers: five-time Tony-winning director Susan  Stroman and three-time Tony-winning writer, Thomas Meehan.  <p>DATES:<br />Tue, Mar 8, 2011Â Â  Â Â Â  Â 7:30 PM Â Â Â  Â <br />Wed, Mar 9, 2011Â  Â Â Â  Â 7:30 PM Â Â  Â <br />Thu, Mar 10, 2011Â  Â Â Â  Â 7:30 PM Â Â  Â <br />Fri, Mar 11, 2011Â  Â Â Â  Â 8:00 PM Â Â  Â <br />Sat, Mar 12, 2011Â  Â Â Â  Â 2:00 PM (mat.) / 8:00 PM (eve.) Â Â  Â <br />Sun, Mar 13, 2011Â  Â Â Â  Â 1:30 PM (mat.) / 7:00 PM (eve.)",Orpheum Theatre,Memphis,03/08/2011,http://www.livefrommemphis.com/images/eventlist/venues/orpheumtheatre_1231960286.jpg,TN,203 S. Main,03/13/2011
http://www.livefrommemphis.com/memphiscalendar/venueevents/10-orpheum-theatre,Barrio Grrrl! The Musical,38103,http://www.livefrommemphis.com/memphiscalendar/details/3779-Barrio%20Grrrl!%20The%20Musical%20,06.00.pm,"<p>This show is general admission seating and is an official Family Series  Show. <br /><br />Spunky 9-year-old Ana is faced with this very big  decision. On the one hand, as her alter-ego Barrio Grrrl with her  invisible sidekick Amazing Voice, she's pretty busy preserving justice  in the barrio and protecting her neighborhood. On the other hand, in the  world where Ana lives with her abuelo (grandfather) and misses her mom  who is far, far away in Iraq, reality is sneaking up on her. It's time  for Ana to decide what's most important: being a superhero or a girl who  works little miracles in real life. <br /><br />Pulitzer Prize finalist and  Tony Award nominee Quiara AlegrÃ­a Hudes (In the Heights) and  Grammy-winning music director for PBS's new Electric Company Bill  Sherman give audiences a funny and warmly truthful play that will make  hearts sing. Commissioned and produced by Kennedy Center Theatre for  young Audiences on Tour.  <p>Ticket Info<br /> Single Tickets $12.50  Advanced purchase Family Series Package - 4 tickets for $36.00.  (available until 14 days prior to performance.)  Group rate - $9.00.",Orpheum Theatre,Memphis,04/07/2011,http://www.livefrommemphis.com/images/eventlist/venues/orpheumtheatre_1231960286.jpg,TN,203 S. Main,04/07/2011
http://www.livefrommemphis.com/memphiscalendar/venueevents/10-orpheum-theatre,Knuffle Bunny: A Cautionary Musical,38103,http://www.livefrommemphis.com/memphiscalendar/details/3781-Knuffle%20Bunny-%20A%20Cautionary%20Musical,05.00.pm,"<p>This show is has ticketed seating and is an official Family Series Show.<br /><br />If  you've ever felt lost, then you'll know just how Trixie's favorite  stuffed Knuffle Bunny feels when he's left all alone. If you've ever  felt loved, then you'll know just how Trixie, Knuffle Bunny, and their  family feel when they're together.<br /> <br />It sounds so simple, just a  quick trip to the Laundromat with Daddy, Trixie, and her beloved Knuffle  Bunny. But, before you know it things go horribly, hilariously wrong.  Chock full of adventure, song, and gigantic dancing laundry, Knuffle  Bunny: A Cautionary Musical tells a tale of firsts: a stuffed animal's  first trip in the laundry, a little girl's first words, and a Daddy's  first time dealing with his child going ""boneless.""<br /><br />Based on his  beloved Caldecott Honorâwinning picture book, six-time Emmy Award winner  Mo Willems joins Grammy Awardâwinning composer Michael Silversher to  lovingly celebrate the heart and heartache that can only come from a  family visit to the local Laundromat.<br /><br />We mentioned the giant  dancing laundry, right?<br /><br />Commissioned and produced by Kennedy  Center Theatre for young Audiences on Tour.  <p>Ticket Info<br /> Single Tickets $12.50  Advanced purchase Family Series Package - 4 tickets for $36.00.  (available until 14 days prior to performance.)  Group rate - $9.00.",Orpheum Theatre,Memphis,04/16/2011,http://www.livefrommemphis.com/images/eventlist/venues/orpheumtheatre_1231960286.jpg,TN,203 S. Main,04/16/2011
http://www.livefrommemphis.com/memphiscalendar/venueevents/10-orpheum-theatre,Monty Python's Spamalot,38103,http://www.livefrommemphis.com/memphiscalendar/details/3782-Monty%20Python\,,"<p>The funniest show on Earth is back to taunt Memphis for a second time! <br /><br />Winner  of the 2005 TonyÂ® Award for Best Musical, Monty Pythonâs SPAMALOT, the  musical comedy sensation lovingly ripped off from the film classic  âMonty Python and The Holy Grail,â now returns to spread laughter and  cheer throughout the kingdom.<br /><br />Spamalot tells the tale of King  Arthur and his Knights of the Round Table as they embark on their quest  for the Holy Grail. But before they can find their grail, theyâre taking  a little side-trip to the fair city of Memphis.  <p>Fri, May 6, 2011Â Â  Â Â Â  Â 8:00 PM Â Â Â  Â <br />Sat, May 7, 2011Â  Â Â Â  Â 2:00 PM (mat.) / 8:00 PM (eve.) Â Â  Â <br />Sun, May 8, 2011Â  Â Â Â  Â 1:30 PM (mat.) / 7:00 PM (eve.)",Orpheum Theatre,Memphis,05/06/2011,http://www.livefrommemphis.com/images/eventlist/venues/orpheumtheatre_1231960286.jpg,TN,203 S. Main,05/08/2011
http://www.livefrommemphis.com/memphiscalendar/venueevents/10-orpheum-theatre,Disney's Beauty and the Beast,38103,http://www.livefrommemphis.com/memphiscalendar/details/3783-Disney\,,"<p>AN OPTION TO YOUR BROADWAY SEASON TICKET PACKAGE.<br /><br />Disneyâs BEAUTY  AND THE BEAST, the smash hit Broadway musical, is coming to Memphis!  Based on the Academy Award-winning animated feature film, this  eye-popping spectacle has won the hearts of over 35 million people  worldwide.<br /><br />This classic musical love story is filled with  unforgettable characters, lavish sets and costumes, and dazzling  production numbers including âBe Our Guestâ and the beloved title song.   <br /><br />Experience the romance and enchantment of Disneyâs BEAUTY AND  THE BEAST at The Orpheum Theatre!  <p><br />DATES:<br />Tue, Jun 14, 2011Â Â  Â Â Â  Â 7:30 PM Â Â Â  Â <br />Wed, Jun 15, 2011Â  Â Â Â  Â 7:30 PM Â Â  Â <br />Thu, Jun 16, 2011Â  Â Â Â  Â 7:30 PM Â Â  Â <br />Fri, Jun 17, 2011Â  Â Â Â  Â 8:00 PM Â Â  Â <br />Sat, Jun 18, 2011Â  Â Â Â  Â 2:00 PM (mat.) / 8:00 PM (eve.) Â Â  Â <br />Sun, Jun 19, 2011Â  Â Â Â  Â 1:30 PM (mat.) / 7:00 PM (eve.)",Orpheum Theatre,Memphis,06/14/2011,http://www.livefrommemphis.com/images/eventlist/venues/orpheumtheatre_1231960286.jpg,TN,203 S. Main,06/19/2011
http://www.livefrommemphis.com/memphiscalendar/venueevents/10-orpheum-theatre,Black Violin,38103,http://www.livefrommemphis.com/memphiscalendar/details/3777-Black%20Violin,,"<p>This show is general admission seating and is an official Family Series  Show.<br /><br />To most people, jazz, hip-hop, funk, and classical are  musical genres. But to revolutionary music group Black Violin; they're  nothing but ingredients.<br /><br />Kev Marcus and Wil b are Black Violin,  two classically trained musicians who, along with their DJ, TK, have  created the ultimate synergy between classical and hip-hop music.  They  have been called  ""Apollo Legends"" and toured with Alicia Keyes, P  Diddy, and Akon.<br /><br />Combining a daunting array of musical styles and  influences to produce a signature sound that is not quite maestro, not  quite emcee, this group of two classically trained violinists and their  DJ is redefining the music world-one string at a time. With influences  ranging from<br /><br />Shostakovich and Bach to Nas and Jay-Z, Black Violin  breaks all the rules, blending the classical with the modern to create  something rare a sound that nobody has ever heard, but that everybody  wants to feel.<br /><br />Now Black Violin want to make sure that North  America's youth get the opportunity to see that classical music is cool!  <p>Ticket Info<br /> Single Tickets $12.50  Advanced purchase Family Series Package - 4 tickets for $36.00.  (available until 14 days prior to performance.)  Group rate - $9.00.",Orpheum Theatre,Memphis,02/23/2011,http://www.livefrommemphis.com/images/eventlist/venues/orpheumtheatre_1231960286.jpg,TN,203 S. Main,02/23/2011
http://www.livefrommemphis.com/memphiscalendar/venueevents/10-orpheum-theatre,Knuffle Bunny: A Cautionary Musical,38103,http://www.livefrommemphis.com/memphiscalendar/details/3780-Knuffle%20Bunny-%20A%20Cautionary%20Musical,11.00.am,"<p>This show is has ticketed seating and is an official Family Series Show.<br /><br />If  you've ever felt lost, then you'll know just how Trixie's favorite  stuffed Knuffle Bunny feels when he's left all alone. If you've ever  felt loved, then you'll know just how Trixie, Knuffle Bunny, and their  family feel when they're together.<br /> <br />It sounds so simple, just a  quick trip to the Laundromat with Daddy, Trixie, and her beloved Knuffle  Bunny. But, before you know it things go horribly, hilariously wrong.  Chock full of adventure, song, and gigantic dancing laundry, Knuffle  Bunny: A Cautionary Musical tells a tale of firsts: a stuffed animal's  first trip in the laundry, a little girl's first words, and a Daddy's  first time dealing with his child going ""boneless.""<br /><br />Based on his  beloved Caldecott Honorâwinning picture book, six-time Emmy Award winner  Mo Willems joins Grammy Awardâwinning composer Michael Silversher to  lovingly celebrate the heart and heartache that can only come from a  family visit to the local Laundromat.<br /><br />We mentioned the giant  dancing laundry, right?<br /><br />Commissioned and produced by Kennedy  Center Theatre for young Audiences on Tour.  <p>Ticket Info<br /> Single Tickets $12.50  Advanced purchase Family Series Package - 4 tickets for $36.00.  (available until 14 days prior to performance.)  Group rate - $9.00.",Orpheum Theatre,Memphis,04/16/2011,http://www.livefrommemphis.com/images/eventlist/venues/orpheumtheatre_1231960286.jpg,TN,203 S. Main,04/16/2011
http://www.livefrommemphis.com/memphiscalendar/venueevents/38-minglewood-hall,Clay Aiken @ Minglewood Hall,38104,http://www.livefrommemphis.com/memphiscalendar/details/4389-clay-aiken--minglewood-hall,,"<p>Clay Aiken has never sounded more at home than he does singing the lushly arranged classics on his fifth studio album Tried and True - the international pop phenomenon's first album for Decca Records. The bulk of the album - which showcases Aiken's powerful tenor voice and considerable interpretive gifts - is made up of songs from the '50s and '60s that Aiken grew up listening to as a child in Raleigh, North Carolina.<br /><br />""My birth father was a musician and my mother sang in a band when I was a little kid,"" Aiken says. ""There was always music playing in the house. A lot of the songs on Tried and True, like 'Unchained Melody,' 'Suspicious Minds,' 'It's Only Make Believe,'and 'Crying,' are songs my mother used to sing. If folks do think I sound at home on this album, it's probably because singing these songs came very naturally for me. I never took sheet music or lyrics into the vocal booth. I knew them so well that I didn't need to.""<br /><br />For Aiken, Tried and True (so named because he feels the songs have stood the test of time) was about getting back to himself after a career performing more pop-oriented material. ""There are a lot of elements to this album that are about me returning to what I'm comfortable with,"" Aiken says. ""I've often joked with friends that I feel like I was born at the wrong time because the person I am and the songs I like to sing are all from earlier eras. To me, older songs are more melodically appealing and beautiful. So doing this album was kind of an opportunity to just be myself. I'm kind of an old soul, so singing gorgeous orchestral arrangements backed by a big band fits me really well.""<br /><br />Aiken's delight in the material comes through not only in his vocal delivery but in the way he connects to the emotional undercurrents running through each of these melodic ballads. With the thoughtful help of executive producer Dave Novik (Decca's Senior Vice President of A&amp;R), as well as arrangers Chris Walden, Jesse Vargas, and Ben Cohn, the classic standards on Tried and True are respectfully updated and refreshed, but still retain the spirit in which they were written and sung by various legendary artists through the years. ""I told Dave Novik that I wanted to do something that paid tribute to the Johnny Mathis, Perry Como, and Andy Williams type of sound, because those artists sang really emotional stuff and did it beautifully,"" Aiken says. ""I mean, have you ever heard Johnny Mathis sing 'Misty'? What is he doing with his voice! He's like some kind of amazing freak of nature. It's just incredible.""",Minglewood Hall,Memphis,03/07/2011,http://www.livefrommemphis.com/images/eventlist/venues/minglewoodhallicon_1234805033.jpg,TN,1555 Madison Ave,03/07/2011
http://www.livefrommemphis.com/memphiscalendar/venueevents/38-minglewood-hall,Vic Henley and Kenny Zimlinghaus,38104,http://www.livefrommemphis.com/memphiscalendar/details/4823-vic-henley-and-kenny-zimlinghaus,08.30.pm,<p>,Minglewood Hall,Memphis,02/25/2011,http://www.livefrommemphis.com/images/eventlist/venues/minglewoodhallicon_1234805033.jpg,TN,1555 Madison Ave,02/25/2011
http://www.livefrommemphis.com/memphiscalendar/venueevents/10-orpheum-theatre,Young Frankenstein,38103,http://www.livefrommemphis.com/memphiscalendar/details/3778-Young%20Frankenstein,,"<p>The classic Mel Brooks movie is ALIVE...You’ll have a monstrously good  time at this spectacular new production, winner of the 2008 Outer  Critics Circle Award and the Broadway.com Audience Award for BEST  MUSICAL!<br /><br />The sensational cast delivers all your favorite moments  from the classic film, plus brand-new show-stopping numbers including  “Transylvania Mania,” “He Vas My Boyfriend” and “Puttin’ on the Ritz.”<br /><br />This  wickedly inspired re-imagining of the Frankenstein legend follows  bright young Dr. Frankenstein (that’s Fronkensteen) as he attempts to  create a monster - but not without scary and hilarious complications.<br /><br />The  brains behind the laughter is mad genius and three-time Tony winner Mel  Brooks, who wrote the music and lyrics and co-wrote the book, along  with his team from The Producers: five-time Tony-winning director Susan  Stroman and three-time Tony-winning writer, Thomas Meehan.  <p>DATES:<br />Tue, Mar 8, 2011        7:30 PM      <br />Wed, Mar 9, 2011       7:30 PM     <br />Thu, Mar 10, 2011       7:30 PM     <br />Fri, Mar 11, 2011       8:00 PM     <br />Sat, Mar 12, 2011       2:00 PM (mat.) / 8:00 PM (eve.)     <br />Sun, Mar 13, 2011       1:30 PM (mat.) / 7:00 PM (eve.)",Orpheum Theatre,Memphis,03/08/2011,http://www.livefrommemphis.com/images/eventlist/venues/orpheumtheatre_1231960286.jpg,TN,203 S. Main,03/13/2011
