moreInfoLink,web,title,fullAddress,venue,time,description
http://www.sdcitybeat.com/sandiego/event-2381-easel.html,http://www.alexandersalazarfineart.com,E.A.SEL,,,,"The local gallery owner organized this ""San Diego Art Affair"" with plays host to modern and contemporary art by local artists."
http://www.sdcitybeat.com/sandiego/event-2381-easel.html,http://www.alexandersalazarfineart.com,E.A.SEL,,,,"The local gallery owner organized this ""San Diego Art Affair"" with plays host to modern and contemporary art by local artists."
http://www.sdcitybeat.com/sandiego/event-2139-leveled-an-interactive-experiment-in-art.html,http://http://www.artcenter.org,LEVELED: AN INTERACTIVE EXPERIMENT IN ART,"340 North Escondido Blvd., Escondido",California Center for the Arts,,"Here's your chance to go against typical art museum rules...at this  exhibition, you can touch, alter, add and subtract from the current  installation."
http://www.sdcitybeat.com/sandiego/event-2139-leveled-an-interactive-experiment-in-art.html,http://http://www.artcenter.org,LEVELED: AN INTERACTIVE EXPERIMENT IN ART,"340 North Escondido Blvd., Escondido",California Center for the Arts,,"Here's your chance to go against typical art museum rules...at this  exhibition, you can touch, alter, add and subtract from the current  installation."
http://www.sdcitybeat.com/sandiego/event-88-the-sky-tonight.html,http://http://www.rhfleet.org,THE SKY TONIGHT,", San Diego",Reuben H. Fleet Science Center,,"This live planetarium show allows you to see the San Diego sky as you've  never seen it before, through a giant outdoor telescope. This month,  explore ""Wolf Rayet Ring Nebulae."""
http://www.sdcitybeat.com/sandiego/event-88-the-sky-tonight.html,http://http://www.rhfleet.org,THE SKY TONIGHT,", San Diego",Reuben H. Fleet Science Center,,"This live planetarium show allows you to see the San Diego sky as you've  never seen it before, through a giant outdoor telescope. This month,  explore ""Wolf Rayet Ring Nebulae."""
http://www.sdcitybeat.com/sandiego/event-2388-a-day-at-the-races.html,http://http://www.sdfair.com/,A DAY AT THE RACES,"2260 Jimmy Durante Blvd., Del Mar",Del Mar Fairgrounds,,&nbsp;Join Orchestra Nova for a day at the races. Cost includes a luncheon. Takes place in the Star Fiddle Skyroom.
http://www.sdcitybeat.com/sandiego/event-2388-a-day-at-the-races.html,http://http://www.sdfair.com/,A DAY AT THE RACES,"2260 Jimmy Durante Blvd., Del Mar",Del Mar Fairgrounds,,&nbsp;Join Orchestra Nova for a day at the races. Cost includes a luncheon. Takes place in the Star Fiddle Skyroom.
http://www.sdcitybeat.com/sandiego/event-1712-exploring-ethics.html,http://http://www.rhfleet.org,EXPLORING ETHICS,", San Diego",Reuben H. Fleet Science Center,,
http://www.sdcitybeat.com/sandiego/event-1712-exploring-ethics.html,http://http://www.rhfleet.org,EXPLORING ETHICS,", San Diego",Reuben H. Fleet Science Center,,
http://www.sdcitybeat.com/sandiego/event-2401-to-market-to-market.html,,"TO MARKET, TO MARKET","8100 Paseo del Ocaso, La Jolla",La Jolla Art Association Gallery,5 to 7 p.m.,See a new exhibition by La Jolla Art Association members featuring  paintings from marketplaces from around the world. On view through Sept.  12.
http://www.sdcitybeat.com/sandiego/event-2401-to-market-to-market.html,,"TO MARKET, TO MARKET","8100 Paseo del Ocaso, La Jolla",La Jolla Art Association Gallery,5 to 7 p.m.,See a new exhibition by La Jolla Art Association members featuring  paintings from marketplaces from around the world. On view through Sept.  12.
http://www.sdcitybeat.com/sandiego/event-2393-urban-jungle.html,http://http://www.escondidoarts.org/,URBAN JUNGLE,"262 E. Grand Ave., Escondido",Escondido Municipal Gallery,,"Members of the Photo Arts Group display new work.&nbsp; On display until Oct. 1, 2010."
http://www.sdcitybeat.com/sandiego/event-2393-urban-jungle.html,http://http://www.escondidoarts.org/,URBAN JUNGLE,"262 E. Grand Ave., Escondido",Escondido Municipal Gallery,,"Members of the Photo Arts Group display new work.&nbsp; On display until Oct. 1, 2010."
http://www.sdcitybeat.com/sandiego/event-1099-viva-la-revolucion.html,http://http://mcasd.org,VIVA LA REVOLUCION,"1001 Kettner Blvd., San Diego",MCASD - Downtown,11 a.m. to 5 p.m.,"This street art show includes pieces both inside the museum as well as  public commissions around downtown. Look for work big hitters like  Banksy, Shepard Fairey and Barry McGee."
http://www.sdcitybeat.com/sandiego/event-1099-viva-la-revolucion.html,http://http://mcasd.org,VIVA LA REVOLUCION,"1001 Kettner Blvd., San Diego",MCASD - Downtown,11 a.m. to 5 p.m.,"This street art show includes pieces both inside the museum as well as  public commissions around downtown. Look for work big hitters like  Banksy, Shepard Fairey and Barry McGee."
http://www.sdcitybeat.com/sandiego/event-2382-easel.html,http://www.alexandersalazarfineart.com,E.A.SEL,,,,"The local gallery owner organized this ""San Diego Art Affair"" with plays host to modern and contemporary art by local artists."
http://www.sdcitybeat.com/sandiego/event-2382-easel.html,http://www.alexandersalazarfineart.com,E.A.SEL,,,,"The local gallery owner organized this ""San Diego Art Affair"" with plays host to modern and contemporary art by local artists."
http://www.sdcitybeat.com/sandiego/event-2140-leveled-an-interactive-experiment-in-art.html,http://http://www.artcenter.org,LEVELED: AN INTERACTIVE EXPERIMENT IN ART,"340 North Escondido Blvd., Escondido",California Center for the Arts,,"Here's your chance to go against typical art museum rules...at this  exhibition, you can touch, alter, add and subtract from the current  installation."
http://www.sdcitybeat.com/sandiego/event-2140-leveled-an-interactive-experiment-in-art.html,http://http://www.artcenter.org,LEVELED: AN INTERACTIVE EXPERIMENT IN ART,"340 North Escondido Blvd., Escondido",California Center for the Arts,,"Here's your chance to go against typical art museum rules...at this  exhibition, you can touch, alter, add and subtract from the current  installation."
