address,venueName,description,phone,title,moreInfoLink
650 E. Stonewall St.,Actor's Theatre of Charlotte,"With just three actors, a very tipsy Santa and some audience participation classic holiday stories, carols and TV specials are crammed together for an evening of seasonal cheer. By Michael Carleton, Jim Fitzgerald and John K. Alvarez, with original music by Will Knapp.",704-342-2251,Every Christmas Story Ever Told,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229775&amp;max=10
130 N. Tryon St,Booth Playhouse,Steve recalls his struggle to survive the holidays with his dysfunctional family members in this hilarious show.,704-372-1000,"My Mother's Italian, My Father's Jewish & I'm Home From the Holidays",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229805&amp;max=10
307 Armour St.,Armour Street Theatre,"Based on the motion picture, A Christmas Story, written by Jean Shepherd, Leigh Brown and Bob Clark and on the book In God We Trust, All Others Pay Cash by Jean Shepherd. Presented by Davidson Community Players.",,A Christmas Story,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229806&amp;max=10
650 E. Stonewall St.,Actor's Theatre of Charlotte,"With just three actors, a very tipsy Santa and some audience participation classic holiday stories, carols and TV specials are crammed together for an evening of seasonal cheer. By Michael Carleton, Jim Fitzgerald and John K. Alvarez, with original music by Will Knapp.",704-342-2251,Every Christmas Story Ever Told,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229775&amp;max=10
1411 S. Tryon St.,The Gin Mill,,704-373-0782,Acoustic Whiskey Wednesdays,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231391&amp;max=10
345 North College St.,Duke Energy Theatre,"This 1980 Tony Award nominated play, written by North Carolina Native, Samm-Art Williams, follows the many trials and tribulations of an ordinary man named Cephus Miles. Presented by On Q Productions.",704-372-1000,Home,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229804&amp;max=10
130 N. Tryon St,Booth Playhouse,Steve recalls his struggle to survive the holidays with his dysfunctional family members in this hilarious show.,704-372-1000,"My Mother's Italian, My Father's Jewish & I'm Home From the Holidays",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229805&amp;max=10
1401 Central Ave.%2C Suite 103,Story Slam,"StorySlam! Charlotte presents Senior Theatre League, a casual association of mature theater buffs, who meet for play readings and outings.    For more information, visit www.storyslamcharlotte.com.",,StorySlam Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A197954&amp;max=10
801 Neely Road,South Pointe Auditorium,"When two struggling writers hear about a new musical theater festival at the last minute, they decide to participate. In 90 minutes they write and perform their show at the festival and learn valuable lessons from other artists. Presented by The Edge Theatre Company.",,Title of Show,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229807&amp;max=10
127 E. Trade St,TILT,,704-347-4870,After Work Wednesdays w/ DJ LP,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A84913&amp;max=10
1900 Queens Rd.,Myers Park Baptist Church,"A spin on the hit production ""Girls Raise in the South- The  Musical!"" Production present all things Christmas- southern  style!",704-334-7232,Cinnamon GRITS: Christmas in the South,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231741&amp;max=10
650 E. Stonewall St.,Actor's Theatre of Charlotte,"With just three actors, a very tipsy Santa and some audience participation classic holiday stories, carols and TV specials are crammed together for an evening of seasonal cheer. By Michael Carleton, Jim Fitzgerald and John K. Alvarez, with original music by Will Knapp.",704-342-2251,Every Christmas Story Ever Told,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229775&amp;max=10
1615 Elizabeth Ave.,Visulite Theatre,,704-358-9200,Holy Ghost Tent Revival,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231789&amp;max=10
345 North College St.,Duke Energy Theatre,"This 1980 Tony Award nominated play, written by North Carolina Native, Samm-Art Williams, follows the many trials and tribulations of an ordinary man named Cephus Miles. Presented by On Q Productions.",704-372-1000,Home,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229804&amp;max=10
1800 E. 7th St.,Cajun Queen,,704-377-9017,Live Jazz,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A198686&amp;max=10
300 East 7th St.,ImaginOn,Performed by the Tarradiddle Players. This play follows a little angels journey into heaven and struggle to adapt and obey a new set of rules. Held in Wachovia Theatre.,,The Littlest Angel,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230024&amp;max=10
P.O. Box 105,"Don Gibson Theatre, Shelby",,,New Harmonies: Celebrating American Roots Music,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229971&amp;max=10
,Thurston's Bar,,,Open Mic,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231239&amp;max=10
2007 Central Ave,Tommy's Pub,,,Open Mic w/ Mike Dalton,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230144&amp;max=10
130 N. Tryon St,Booth Playhouse,Steve recalls his struggle to survive the holidays with his dysfunctional family members in this hilarious show.,704-372-1000,"My Mother's Italian, My Father's Jewish & I'm Home From the Holidays",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229805&amp;max=10
900 Seaboard St.,Black Bear Saloon,,,Open Mic w/ The Den Masters,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231539&amp;max=10
1201 Elizabeth Ave.,CPCC's Halton Theater,Charlotte Youth Ballet presents performances of the holiday classic.,704-330-6534,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230105&amp;max=10
12744 Lancaster Hwy,"Sammy's, Pineville",,,Open Mic w/Bill Miller,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A200940&amp;max=10
300 East 7th St.,ImaginOn,"Based on ""A Christmas Carol"" by Charles Dickens. Musical based on the gruesome character Ebenezer Scrooge, who is payed a visit by three Christmas spirits that change him for the better. For ages 7 years old and up. Best enjoyed by elementary, middle and high school ages. Held in McColl Family Theatre.",,Scrooge,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230023&amp;max=10
1423 South Tryon St,Amos' Southend,,704-377-6874,"Sick Puppies, Terrible Things, Drop D",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231752&amp;max=10
5th %26 College,Blue Restaurant,,,Steve Engler Band,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A195261&amp;max=10
124 McLaurin Hall,Winthrop University,"Featuring dance works choreographed by senior dance majors and including a variety of styles, such as modern, jazz, hip-hop, ballet and more. Held in Johnson Theatre.",803-323-2493,Senior Choreography Showcase,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229673&amp;max=10
8708 J. W. Clay Blvd,Lava Bistro,,704-549-0050,Tony Fisher,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A223910&amp;max=10
1401 Central Ave.%2C Suite 103,Story Slam,"Story Slam! Charlotte presents dramatic play readings, poetry, fiction and local songwriters For more information, visit www.storyslamcharlotte.com.",,StorySlam Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A197955&amp;max=10
3227 N. Davidson St.,The Evening Muse,,704-376-3737,Tosco House Party Open Mic; Cedric Burnside & Lightnin' Malcolm,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231843&amp;max=10
801 Neely Road,South Pointe Auditorium,"When two struggling writers hear about a new musical theater festival at the last minute, they decide to participate. In 90 minutes they write and perform their show at the festival and learn valuable lessons from other artists. Presented by The Edge Theatre Company.",,Title of Show,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229807&amp;max=10
1411 S. Tryon St.,The Gin Mill,,704-373-0782,Wizards Roadshow,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A57146&amp;max=10
307 Armour St.,Armour Street Theatre,"Based on the motion picture, A Christmas Story, written by Jean Shepherd, Leigh Brown and Bob Clark and on the book In God We Trust, All Others Pay Cash by Jean Shepherd. Presented by Davidson Community Players.",,A Christmas Story,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229806&amp;max=10
650 E. Stonewall St.,Actor's Theatre of Charlotte,"With just three actors, a very tipsy Santa and some audience participation classic holiday stories, carols and TV specials are crammed together for an evening of seasonal cheer. By Michael Carleton, Jim Fitzgerald and John K. Alvarez, with original music by Will Knapp.",704-342-2251,Every Christmas Story Ever Told,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229775&amp;max=10
345 North College St.,Duke Energy Theatre,"This 1980 Tony Award nominated play, written by North Carolina Native, Samm-Art Williams, follows the many trials and tribulations of an ordinary man named Cephus Miles. Presented by On Q Productions.",704-372-1000,Home,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229804&amp;max=10
Catawba Ave.,Amos' at the Lake,,,12 Mile Creek,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231815&amp;max=10
