email,state,endDate,city,address1,startDate,locationName,hour,description,photo,webSite,zipCode,phone,title,info
,OH,"<span id=""cEventDatesEnd"">4/1/2011</span>",Cleveland,10730 Euclid Avenue,"<span id=""cEventDatesStart"">9/21/2006</span>",The Children's Museum of Cleveland,"Wednesday: 10:00 AM - 4:45 PM, Friday: 10:00 AM - 4:45 PM, Sunday: 10:00 AM - 4:45 PM, Monday: 10:00 AM - 4:45 PM, Saturday: 10:00 AM - 4:45 PM, Thursday: 10:00 AM - 4:45 PM, Tuesday: 10:00 AM - 4:45 PM","Our water exhibit is sure to engage little ones! This permanent exhibit teaches children about water transportation, weather and the earth's water systems. It features a 2-story tall climbing structure designed to teach the basic principles of the water cycle as well as a 16-long water table with water wheel, locks and dams....more",,http://www.clevelandchildrensmuseum.org,44106,Local Number: (216) 791-7114,Splish! Splash! Exhibit,http://consumer.discoverohio.com/searchdetails.aspx?detail=74876
,Ohio,"<span id=""cEventDatesEnd"">7/22/2011</span>",Upper Arlington,3600 Tremont Road,"<span id=""cEventDatesStart"">6/23/2010</span>",Upper Arlington Concourse Gallery,"Friday: 8:00 AM - 5:00 PM, Thursday: 8:00 AM - 5:00 PM, Wednesday: 8:00 AM - 5:00 PM, Tuesday: 8:00 AM - 5:00 PM, Monday: 8:00 AM - 5:00 PM","Artist Reception for ""Natural Insights"". Works by printmaker Nicholas Hill and ceramicist Denise Romecki fill the Concourse Gallery. Developed after a sabbatical to Japan, Hill's newest series of large scale works of cyanotype and drawings, ""Kyoto Calligraphy Lessons"", combines his drawings and photographs informed by impressions of Japan. Romecki's organic sculptures draw upon the blend of science and art found in the cycle of life in nature. The catering sponsor for this reception is Huffman's Market....more",http://consumer.discoverohio.com/graphics/listings/photos/17118_thumb_31920102011.jpg,,43221,Local Number: (614) 583-5310,"""Natural Insights"" Exhibit",http://consumer.discoverohio.com/searchdetails.aspx?detail=74405
,Ohio,"<span id=""cEventDatesEnd"">3/13/2011</span>",Dayton,456 Belmonte Park North,"<span id=""cEventDatesStart"">4/8/2010</span>",Dayton Art Institute,"Thursday: 10:00 AM - 8:00 PM, Friday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: 12:00 PM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM","Investigation Destination: Science and Math in Art, is the newest Experiencenter exhibition, opening to the public Thursday, April 8. This exhibition invites visitors to investigate the connections between art and the sciences using three themes: Art that Moves, focusing on the kinetic energy that makes mobiles move, The Geometry of Patterns, focusing on the properties of geometric translations as seen in African textiles and Persian tiles and Keeping Art Ageless,focusing on art conservation and the materials artists use. Each theme is supported by art from the museum's permanent collection along with a site-specific work created by local artist, Terry Welker. Hands-on activities, gallery guides, museum hunts, and take-home activities are also included. The museum has partnered with two schools, Patterson-Kennedy, a Dayton Public School, and the Dayton Regional STEM School and is directly involving students in grades 6-9 and their teachers in the development of the exhibition. The museum is also facilitating activities that are teaching students that the creative innovative skills involved in producing art are the same skills needed by scientists and mathematicians....more",,http://www.daytonartinstitute.org,45405,Local Number: (937) 223-5277,Investigation Destination: Science and Math in Art,http://consumer.discoverohio.com/searchdetails.aspx?detail=75008
,Ohio,"<span id=""cEventDatesEnd"">3/13/2011</span>",Dayton,456 Belmonte Park North,"<span id=""cEventDatesStart"">4/8/2010</span>",Dayton Art Institute,"Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 8:00 PM, Wednesday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Sunday: 12:00 PM - 5:00 PM","Investigation Destination: Science and Math in Art, is the newest Experiencenter exhibition, opening to the public Thursday, April 8. This exhibition invites visitors to investigate the connections between art and the sciences using three themes: Art that Moves, focusing on the kinetic energy that makes mobiles move, The Geometry of Patterns, focusing on the properties of geometric translations as seen in African textiles and Persian tiles and Keeping Art Ageless,focusing on art conservation and the materials artists use. Each theme is supported by art from the museum's permanent collection along with a site-specific work created by local artist, Terry Welker. Hands-on activities, gallery guides, museum hunts, and take-home activities are also included. The museum has partnered with two schools, Patterson-Kennedy, a Dayton Public School, and the Dayton Regional STEM School and is directly involving students in grades 6-9 and their teachers in the development of the exhibition. The museum is also facilitating activities that are teaching students that the creative innovative skills involved in producing art are the same skills needed by scientists and mathematicians....more",,http://www.daytonartinstitute.org,45405,Local Number: (937) 223-5277,Investigation Destination: Science and Math in Art,http://consumer.discoverohio.com/searchdetails.aspx?detail=75008
sandcofair@ezworks.net,Ohio,"<span id=""cEventDatesEnd"">4/10/2011</span>",Fremont,712 North Street,"<span id=""cEventDatesStart"">4/9/2010</span>",,"Saturday: 9:00 AM - 4:00 PM, Sunday: 9:00 AM - 3:00 PM",Spend the day shopping and looking for that unique find from over 200 vendors. Free Admission and Free Parking! Concessions are available for your eating pleasure.,,http://www.sanduskycofair.net,43420,Local Number: (419) 332-5604,Fremont Flea Market,http://consumer.discoverohio.com/searchdetails.aspx?detail=77835
sandcofair@ezworks.net,Ohio,"<span id=""cEventDatesEnd"">4/10/2011</span>",Fremont,712 North Street,"<span id=""cEventDatesStart"">4/9/2010</span>",,"Sunday: 9:00 AM - 3:00 PM, Saturday: 9:00 AM - 4:00 PM",Spend the day shopping and looking for that unique find from over 200 vendors. Free Admission and Free Parking! Concessions are available for your eating pleasure.,,http://www.sanduskycofair.net,43420,Local Number: (419) 332-5604,Fremont Flea Market,http://consumer.discoverohio.com/searchdetails.aspx?detail=77835
museum@kent.edu,Ohio,"<span id=""cEventDatesEnd"">6/30/2011</span>",Kent,Rockwell Hall,"<span id=""cEventDatesStart"">6/28/2010</span>",Kent State University Museum,"Sunday: 12:00 PM - 4:45 PM, Saturday: 10:00 AM - 4:45 PM, Friday: 10:00 AM - 4:45 PM, Thursday: 10:00 AM - 8:45 PM, Wednesday: 10:00 AM - 4:45 PM","This exhibition features early kerosene and electric lamps, Ohio pottery from the Paige Palmer collection, and a variety of collections of small objects including inkwells, snuff boxes, etc.",,http://kent.edu/museum,44242,Local Number: 330.672.3450,Collectors and Collecting,http://consumer.discoverohio.com/searchdetails.aspx?detail=76735
museum@kent.edu,Ohio,"<span id=""cEventDatesEnd"">6/30/2011</span>",Kent,Rockwell Hall,"<span id=""cEventDatesStart"">6/28/2010</span>",Kent State University Museum,"Sunday: 12:00 PM - 4:45 PM, Wednesday: 10:00 AM - 4:45 PM, Thursday: 10:00 AM - 8:45 PM, Friday: 10:00 AM - 4:45 PM, Saturday: 10:00 AM - 4:45 PM","This exhibition features early kerosene and electric lamps, Ohio pottery from the Paige Palmer collection, and a variety of collections of small objects including inkwells, snuff boxes, etc.",,http://kent.edu/museum,44242,Local Number: 330.672.3450,Collectors and Collecting,http://consumer.discoverohio.com/searchdetails.aspx?detail=76735
,OH,"<span id=""cEventDatesEnd"">7/17/2011</span>",Dublin,Historic District,"<span id=""cEventDatesStart"">7/16/2010</span>",Dubin Ohio Art Fair,"Monday: 1:00 PM - 1:00 PM, Tuesday: 1:00 PM - 1:00 PM, Sunday: 1:00 PM - 1:00 PM, Saturday: 1:00 PM - 1:00 PM, Friday: 1:00 PM - 1:00 PM, Thursday: 1:00 PM - 1:00 PM, Wednesday: 1:00 PM - 1:00 PM","The 3rd Annual Dublin Art Fair hosted by the Dublin Area Art League, will take place on Friday, July 16, from 6:00 PM to 9:00 PM and Saturday, July 17, from 10:00 AM to 8:00 PM, on the front lawn of Sells Middle School at 150 W. Bridge Street in Historic Dublin Ohio.View and purchase original artworks created by some of Ohio's most talented professional and amateur artists. Artists representing several Central Ohio art leagues plus over 30 other individual artists from though out the state working in all fine art media from oil, acrylic and watercolor paintings, drawing and pastels, to photography, textiles, glass, jewelry and ceramics, will have their work on display and available for purchase during this two day event.Enjoy live local music throughout the day with special featured artists (to be announced) performing each evening. Local eateries will have food and beverages available for purchase.As always, admission is free and there is plenty of free parking available close to the fair site....more",,http://www.dublinohioart.com/,43017,Local Number: (614) 793-0836,The 2010 Dublin Art Fair,http://consumer.discoverohio.com/searchdetails.aspx?detail=75856
,OH,"<span id=""cEventDatesEnd"">7/17/2011</span>",Dublin,Historic District,"<span id=""cEventDatesStart"">7/16/2010</span>",Dubin Ohio Art Fair,"Sunday: 1:00 PM - 1:00 PM, Monday: 1:00 PM - 1:00 PM, Tuesday: 1:00 PM - 1:00 PM, Wednesday: 1:00 PM - 1:00 PM, Saturday: 1:00 PM - 1:00 PM, Friday: 1:00 PM - 1:00 PM, Thursday: 1:00 PM - 1:00 PM","The 3rd Annual Dublin Art Fair hosted by the Dublin Area Art League, will take place on Friday, July 16, from 6:00 PM to 9:00 PM and Saturday, July 17, from 10:00 AM to 8:00 PM, on the front lawn of Sells Middle School at 150 W. Bridge Street in Historic Dublin Ohio.View and purchase original artworks created by some of Ohio's most talented professional and amateur artists. Artists representing several Central Ohio art leagues plus over 30 other individual artists from though out the state working in all fine art media from oil, acrylic and watercolor paintings, drawing and pastels, to photography, textiles, glass, jewelry and ceramics, will have their work on display and available for purchase during this two day event.Enjoy live local music throughout the day with special featured artists (to be announced) performing each evening. Local eateries will have food and beverages available for purchase.As always, admission is free and there is plenty of free parking available close to the fair site....more",,http://www.dublinohioart.com/,43017,Local Number: (614) 793-0836,The 2010 Dublin Art Fair,http://consumer.discoverohio.com/searchdetails.aspx?detail=75856
