startDate,parkName,fullAddress,startHour,endDate,image,endHour,phone,title,moreInfo,desc
05/15/2011,Clarence Fahnestock State Park,"Clarence Fahnestock State Park, NY",09:00 AM,05/15/2011,,03:00 PM,(845) 265-3773,Mountain Laurel Outdoor Rec Fest,http://nysparks.state.ny.us/events/event.aspx?e=133-2410.0,"Unplug your family and participate in the National Get Outdoors Day. Learn about canoes, orienteering, outdoor skills, geocaching, adventure challenges,birding and nature. Food and beverages are available.Donation: Adults $2 Kids $1"
05/15/2011,Taconic Outdoor Education Center,"Taconic Outdoor Education Center, NY",09:00 AM,05/15/2011,,03:00 PM,(845) 265-3773,Mountain Laurel Outdoor Rec Fest,http://nysparks.state.ny.us/events/event.aspx?e=3-2410.0,"Unplug your family and participate in the National Get Outdoors Day. Learn about canoes, orienteering, outdoor skills, geocaching, adventure challenges,birding and nature. Food and beverages are available.Donation: Adults $2 Kids $1"
03/13/2011,Clarence Fahnestock State Park,"Clarence Fahnestock State Park, NY",09:00 AM,03/13/2011,,12:00 PM,(845) 265-3773,Maple Sunday Pancake Breakfast,http://nysparks.state.ny.us/events/event.aspx?e=133-2408.0,"A Sugar Maple celebration. Pancake breakfast and hands-on demonstration of tapping trees, boiling sap and producing syrup. Adults $7 Kids $5"
03/13/2011,Taconic Outdoor Education Center,"Taconic Outdoor Education Center, NY",09:00 AM,03/13/2011,,12:00 PM,(845) 265-3773,Maple Sunday Pancake Breakfast,http://nysparks.state.ny.us/events/event.aspx?e=3-2408.0,"A Sugar Maple celebration. Pancake breakfast and hands-on demonstration of tapping trees, boiling sap and producing syrup. Adults $7 Kids $5"
03/13/2011,Clarence Fahnestock State Park,"Clarence Fahnestock State Park, NY",09:00 AM,03/13/2011,,12:00 PM,(845) 265-3773,Maple Sunday Pancake Breakfast,http://nysparks.state.ny.us/events/event.aspx?e=133-2408.0,"A Sugar Maple celebration. Pancake breakfast and hands-on demonstration of tapping trees, boiling sap and producing syrup. Adults $7 Kids $5"
03/13/2011,Taconic Outdoor Education Center,"Taconic Outdoor Education Center, NY",09:00 AM,03/13/2011,,12:00 PM,(845) 265-3773,Maple Sunday Pancake Breakfast,http://nysparks.state.ny.us/events/event.aspx?e=3-2408.0,"A Sugar Maple celebration. Pancake breakfast and hands-on demonstration of tapping trees, boiling sap and producing syrup. Adults $7 Kids $5"
05/15/2011,Clarence Fahnestock State Park,"Clarence Fahnestock State Park, NY",09:00 AM,05/15/2011,,03:00 PM,(845) 265-3773,Mountain Laurel Outdoor Rec Fest,http://nysparks.state.ny.us/events/event.aspx?e=133-2410.0,"Unplug your family and participate in the National Get Outdoors Day. Learn about canoes, orienteering, outdoor skills, geocaching, adventure challenges,birding and nature. Food and beverages are available.Donation: Adults $2 Kids $1"
05/15/2011,Taconic Outdoor Education Center,"Taconic Outdoor Education Center, NY",09:00 AM,05/15/2011,,03:00 PM,(845) 265-3773,Mountain Laurel Outdoor Rec Fest,http://nysparks.state.ny.us/events/event.aspx?e=3-2410.0,"Unplug your family and participate in the National Get Outdoors Day. Learn about canoes, orienteering, outdoor skills, geocaching, adventure challenges,birding and nature. Food and beverages are available.Donation: Adults $2 Kids $1"
02/26/2011,Emma Treadwell Thacher Nature Center,"Emma Treadwell Thacher Nature Center, NY",,02/26/2011,,,(518) 872-0800,Snowshoe Walk,http://nysparks.state.ny.us/events/event.aspx?e=8-2716.0,Join a snowshoe walk or hike on the Nature Center trails. Snowshoes are available to rent and may be reserved in advance. Call to register and reserve snowshoes. Please call ahead to confirm conditions
02/26/2011,Thacher State Park (John Boyd Thacher),"Thacher State Park (John Boyd Thacher), NY",,02/26/2011,,,(518) 872-0800,Snowshoe Walk,http://nysparks.state.ny.us/events/event.aspx?e=128-2716.0,Join a snowshoe walk or hike on the Nature Center trails. Snowshoes are available to rent and may be reserved in advance. Call to register and reserve snowshoes. Please call ahead to confirm conditions
03/20/2011,Olana State Historic Site,"Olana State Historic Site, NY",,03/20/2011,,,(518) 828-0135,First Day of Spring Walk,http://nysparks.state.ny.us/events/event.aspx?e=23-2773.0,Celebrate the first day of spring (and the Vernal Equinox) by getting outside for a little fresh air. Pre-registration required by 4PM the Thursday preceding. Dress for the weather and meet in front of the Visitor Center.
05/15/2011,Clarence Fahnestock State Park,"Clarence Fahnestock State Park, NY",09:00 AM,05/15/2011,http://nysparks.state.ny.us/events/images/0f7c93c8-c4e7-4f72-a45a-ed132bafc2a1.JPG,03:00 PM,(845) 265-3773,Mountain Laurel Outdoor Rec Fest,http://nysparks.state.ny.us/events/event.aspx?e=133-2410.0,"Unplug your family and participate in the National Get Outdoors Day. Learn about canoes, orienteering, outdoor skills, geocaching, adventure challenges,birding and nature. Food and beverages are available.Donation: Adults $2 Kids $1"
05/15/2011,Taconic Outdoor Education Center,"Taconic Outdoor Education Center, NY",09:00 AM,05/15/2011,http://nysparks.state.ny.us/events/images/0f7c93c8-c4e7-4f72-a45a-ed132bafc2a1.JPG,03:00 PM,(845) 265-3773,Mountain Laurel Outdoor Rec Fest,http://nysparks.state.ny.us/events/event.aspx?e=3-2410.0,"Unplug your family and participate in the National Get Outdoors Day. Learn about canoes, orienteering, outdoor skills, geocaching, adventure challenges,birding and nature. Food and beverages are available.Donation: Adults $2 Kids $1"
12/13/2010,John Jay Homestead State Historic Site,"John Jay Homestead State Historic Site, NY",,02/29/2012,http://nysparks.state.ny.us/events/images/3721cc05-bc98-4c6f-8e7b-c43182359c6e.jpg,,,"Exhibit: Slaves, Slavery, and the Jay Family",http://nysparks.state.ny.us/events/event.aspx?e=4-2775.0,"A special exhibit now open in the Back Parlor Gallery: Slaves, Slavery, and the Jay FamilyThe exhibit can be viewed both as part of a regular tour of the historic house, and by itself, during special gallery hours held on Fridays from 10AM to noon, and on Sundays from noon to 2PM"
01/08/2011,Betty and Wilbur Davis State Park,"Betty and Wilbur Davis State Park, NY",11:00 AM,02/27/2011,,04:00 PM,,Winter Snow Tubing At Glimmerglass State Park,http://nysparks.state.ny.us/events/event.aspx?e=85-2736.0,Enjoy the winter activities at the park!Snow tubing weekends $5 per person tubing per day -- Children under 13 years of age must be accompanied by an adult. -- Warming room with refreshments -- Tubes are provided (only the park tubes provided are permitted) -- no tow rope--must walk up the hill Other Outdoor Winter Activities at the park are Free -- ice skating under the West Pavilion -- cross country skiing -- snow shoeing -- hiking -- ice fishing** All activities are weather permitting**
