longitude,email,state,zipcode,address,city,venue,tickets,dates,latitude,times,location,moreInfoLink,ticketPhone,website,title
,mcofer@forsythtech.edu,NC,27103,,Winston-Salem,Ardmore Auditorium Main Campus Forsyth Tech,Free,04/21/2011,,4:00pm,"Ardmore Auditorium Main Campus Forsyth Tech, Winston-Salem",http://www.gotriadscene.com/event/detail/440911283/Sci_Tech_Lecture_Series,,,Sci Tech Lecture Series
-79.793525,wolfe.cm@gmail.com,NC,27401,312 N. Eugene St.,Greensboro,Artistic Motion Dance Studio,First class free. $10/drop-in 5 classes/$40 13 classes/$80,09/03/2010-06/17/2011,36.076002,8:30-9:30am Fridays,"Artistic Motion Dance Studio, Greensboro",http://www.gotriadscene.com/event/detail/440877293/Nia_classes_at_Artistic_Motion_Dance_Studio,(336)554-5156,http://www.nianow.com,Nia classes at Artistic Motion Dance Studio
-79.8640174,admin@ywcagsonc.org,NC,27407,8 Dundas Circle,Greensboro,YWCA Greensboro Dundas Location,Class Fee,01/18/2011-01/18/2012,36.0680604,2:00-3:00pm,"YWCA Greensboro Dundas Location, Greensboro",http://www.gotriadscene.com/event/detail/441090773/Zumba,336-273-3461,http://ywcagsonc.org,Zumba
-79.789792,triad.entertainment@yahoo.com,NC,27401,223 S. Elm St.,Greensboro,The Palmetto,$10 admission,11/18/2010-04/21/2011,36.070759,Doors open @ 8.,"The Palmetto, Greensboro",http://www.gotriadscene.com/event/detail/440983197/Downtown_Grapevine,3363031089,http://www.facebook.com/event.php?eid=105321586203577&index=1,Downtown Grapevine
-79.7888001,kerryprince@gmail.com,NC,27455,125 Summit Ave,Greensboro,The Summit Station Eatery,$10,01/06/2011-12/01/2011,36.0754213,7:00PM,"The Summit Station Eatery, Greensboro",http://www.gotriadscene.com/event/detail/441086733/Triad_Thursday_Cabaret,7042310998,http://www.thetriadent.com,Triad Thursday Cabaret
-79.824519,,NC,27408,702 Green Valley Road,Greensboro,Print Works Bistro,no cover charge,12/08/2010-12/21/2011,36.089236,7-10 PM,"Print Works Bistro, Greensboro",http://www.gotriadscene.com/event/detail/441021325/Wednesday_Night_Special_MusselsWineMusic,336-379-0699,http://www.printworksbistro.com/events.htm,Wednesday Night Special: Mussels-Wine-Music
-80.076505,,NC,27284,405 Salisbury Street,Kernersville,Cozy Cottage Craft Show,,11/05/2010-10/06/2011,36.114737,"Friday, Nov. 5 9 AM &ndash; 8 PM, Saturday, Nov. 6, 9 AM.-3 PM.","Cozy Cottage Craft Show, Kernersville",http://www.gotriadscene.com/event/detail/440964697/Cozy_Cottage_Craft_Show,,,Cozy Cottage Craft Show
-80.2413247,saleminternationalclub@gmail.com,NC,27101,601 S. Church St.,Winston-Salem,Hanes Auditorium,"Admission by ticket only: $8 for general admission, $5 for students and $3 for children under 10. Reservations can be made beginning March 26.",04/06/2011,36.0876117,7:30 p.m.,"Hanes Auditorium , Winston-Salem",http://www.gotriadscene.com/event/detail/441070163/International_Show,336-917-5493,,International Show
-79.792417,,NC,27401,330 S. Greene Street,Suite B12<br />						Greensboro,Mental Health Association in Greensboro,,Ongoing,36.069038,10:30am,"Mental Health Association in Greensboro, Greensboro",http://www.gotriadscene.com/event/detail/16221/Depression_and_Bipolar_Support_Group_Greensboro,,http://www.mhag.org,Depression and Bipolar Support Group – Greensboro
-80.3021909,,NC,27103,"755 Highland Oaks Dr., Suite 202",Winston-Salem,Piedmont Weight Center,Free,Ongoing,36.060428,5:00-5:30pm every Wednesday.,"Piedmont Weight Center, Winston-Salem",http://www.gotriadscene.com/event/detail/440993557/Free_Weight_Loss_Information_Session,,http://www.piedmontweightcenter.com,Free Weight Loss Information Session
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSION,04/06/2011,,6 p.m.,"UNCG Baseball Stadium , Greensboro",http://www.gotriadscene.com/event/detail/441102281/UNCG_Baseball_vs_Duke,,http://www.uncgspartans.com,UNCG Baseball vs. Duke
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSION,04/15/2011,,6 p.m.,"UNCG Baseball Stadium , Greensboro",http://www.gotriadscene.com/event/detail/441102293/UNCG_Baseball_vs_James_Madison_,,,UNCG Baseball vs. James Madison
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSION,04/16/2011,,1 p.m.,"UNCG Baseball Stadium, Greensboro",http://www.gotriadscene.com/event/detail/441102295/UNCG_Baseball_vs_James_Madison_,,,UNCG Baseball vs. James Madison
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSION,04/17/2011,,1 p.m.,"UNCG Baseball Stadium, Greensboro",http://www.gotriadscene.com/event/detail/441102299/UNCG_Baseball_vs_James_Madison,,,UNCG Baseball vs. James Madison
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSION,04/27/2011,,6 p.m.,"UNCG Baseball Stadium , Greensboro",http://www.gotriadscene.com/event/detail/441102303/UNCG_Baseball_vs_High_Point_,,,UNCG Baseball vs. High Point
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSION,04/29/2011,,6 p.m.,"UNCG Baseball Stadium, Greensboro",http://www.gotriadscene.com/event/detail/441102313/UNCG_Baseball_vs_Georgia_Southern,,http://www.uncgspartans.com,UNCG Baseball vs. Georgia Southern
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSION,04/30/2011,,1 p.m.,"UNCG Baseball Stadium, Greensboro",http://www.gotriadscene.com/event/detail/441102317/UNCG_Baseball_vs_Georgia_Southern_,,http://www.uncgspartans.com,UNCG Baseball vs. Georgia Southern
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSION,05/01/2011,,1 p.m.,"UNCG Baseball Stadium, Greensboro",http://www.gotriadscene.com/event/detail/441102323/UNCG_Baseball_vs_Georgia_Southern,,http://www.uncgspartans.com,UNCG Baseball vs. Georgia Southern
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSION,05/13/2011,,6 p.m.,"UNCG Baseball Stadium, Greensboro",http://www.gotriadscene.com/event/detail/441102325/UNCG_Baseball_vs_The_Citadel_,,http://www.uncgspartans.com,UNCG Baseball vs. The Citadel
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSIONS,05/14/2011,,1 p.m.,"UNCG Baseball Stadium, Greensboro",http://www.gotriadscene.com/event/detail/441102331/UNCG_Baseball_vs_The_Citadel,,http://www.uncgspartans.com,UNCG Baseball vs. The Citadel
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSION,05/15/2011,,1 p.m.,"UNCG Baseball Stadium , Greensboro",http://www.gotriadscene.com/event/detail/441102335/UNCG_Baseball_vs_The_Citadel_,,http://www.uncgspartan.com,UNCG Baseball vs. The Citadel
-80.2482919,sales@festivalstage.org,NC,27101,209 N Spruce St,Winston-Salem,Hanesbrands Theatre,,05/13/2011-05/29/2011,36.0961111,Tuesdays-Thursdays @ 7:30pm,"Hanesbrands Theatre, Winston-Salem",http://www.gotriadscene.com/event/detail/441085599/The_Glass_Menagerie,3367471414,http://www.festivalstage.org,The Glass Menagerie
