moreInfoLink,dates,tickets,latitude,title,website,ticketPhone,zipcode,image,state,email,longitude,venue,description,city,address
http://www.artshound.com/event/detail/440968499/The_Poets_Corner_audio_archive,Ongoing,Free.,,The Poets' Corner - audio archive,http://tapingfortheblind.org/Audio_Archives/index.html?p=Poets%20Corner/,713-622-2767,77027,http://www.artshound.com/sites/artshound.com/images/event/440968499/headphones3_medium.jpg,TX,,,Online,"Taping for the Blind presents The&nbsp;Poets' Corner - audio archive.</p> <p>The Poets' Corner - audio archive&nbsp;is a web site for anyone who enjoys poetry read aloud. Here, you can listen to outstanding poets reading their own poetry. One new poet is added to the site every two weeks. Each program features poets who have a significant presence in Houston&rsquo;s vibrant literary arts scene. Some are well known, others less so, but all craft choice words, delivered as an oral art form and documented as an aural prompt for poets and poetry lovers.</p> <p>These 30 minute readings were originally recorded for radio broadcast to clients of Taping for the Blind, a radio reading service for the visually and print impaired.</p>			</p>    			<br><br>",Houston,
http://www.artshound.com/event/detail/440992351/Dela_Productions_Music_Workshops,12/13/2010-12/13/2011,,,Dela Productions Music Workshops,http://www.delaproductions.com,832-848-1754,,http://www.artshound.com/sites/artshound.com/images/event/440992351/dela4_medium.jpg,,delaproductions@hotmail.com,,,"Dela Productions Music Virtual Workshops&nbsp;for Music and Vocals-Improve, Discover, Train and be Coached for Success! <br> <br> Motivate your coporate/sales team and increase your sales through arts/technology!</p>			</p>    			<br><br>",,
http://www.artshound.com/event/detail/440992347/Dela_Productions_Music_Workshop,12/06/2010-01/06/2012,,,Dela Productions Music Workshop,http://www.delaproductions.com,832-848-1754,,http://www.artshound.com/sites/artshound.com/images/event/440992347/dela1_medium.gif,TX,delaproductions@hotmail.com,,Online/Virtual,"Dela Productions Music Virtual Workshops&nbsp;for Music and Vocals-Improve, Discover, Train and be Coached for Success!&nbsp;</p> <p>Motivate your corporate/sales team through interactive arts/technolgy!</p> <p>Private lessons also available! <br> &nbsp;</p>			</p>    			<br><br>",Houston,
http://www.artshound.com/event/detail/16929/Language_and_Transcultural_Classes,Ongoing,,29.6010415,Language and Transcultural Classes,http://www.languagefactory.org/,,77459,http://www.artshound.com/sites/artshound.com/images/placeholder.png,TX,,-95.5803457,,"Learn a Foreign Language in a fun and relaxed atmosphere with experienced teachers who have a passion for helping students discover not only a Language but also a new culture. French, Spanish, Hindi, Chinese and much more! Join us for an exciting journey.			</p>    			<br><br>",Missouri City,4751 Lexington Blvd.
http://www.artshound.com/event/detail/16931/Spanish_French_for_Children,Ongoing,,29.6010415,Spanish / French for Children,http://www.languagefactory.org,,77459,http://www.artshound.com/sites/artshound.com/images/placeholder.png,TX,,-95.5803457,,"Children learn a new language and a new culture while having fun doing exciting art projects, playing and singing. Call us today to find out more about our programs or to schedule a trial class.			</p>    			<br><br>",Missouri City,4751 Lexington Blvd.
http://www.artshound.com/event/detail/16937/Russian_Language_Classes,Ongoing,,29.725276,Russian Language Classes,http://ourtx.org/russianclass.html,,77005,http://www.artshound.com/sites/artshound.com/images/org/1364/rccotlogo_medium.jpg,TX,,-95.41438,,"Once a week 2 hours class.    Entry level: Â   Tuesday at 7 p.m. or Saturday at 10 a.m.    Advanced Level:   Saturday at 3 p.m.    There is no better way to learn a foreign language than from a native-speaker.    At Russian Cultural Center we offer you this opportunity.     No matter if you are just starting to learn Russian or want to brush Â it up or even if you already speak it fluently â€“ come and visit us at 2337 Bissonnet Houston, TX 77005. Here you will find native Russian-speaking tutors and an opportunity to dive into Russian Communityâ€™s cultural life: Â to attend exhibitions, Â film series, Â Russian reading circle and other events.    Russian language courses are designed to attain speaking, reading and writing proficiency in Russian language. Core language courses feature grammar and lexical study, phonetics, contemporary Russian language, Â and the development of vocabulary and conversation skills.     Classes are ongoing with no set end date.			</p>    			<br><br>",Houston,2337 Bissonnet
http://www.artshound.com/event/detail/16915/SoYou_Want_to_be_An_Actor,Ongoing,,,So.....You Want to be An Actor?,,,,http://www.artshound.com/sites/artshound.com/images/org/720/normal_heart2logo_medium.gif,,,,,"It's never too late; what are you waiting for?  Start with private classes, designed specifically FOR YOU!  Methods are tailored to the individual, i.e. styling the approach and methods to each person's goals:  learning the ""basics"" in order to audition for the first time, an experienced actor wanting help in polishing an audition piece, work on a role that the actor has been cast in, and working with someone that wants to make acting their career.    Joe Watts has been strongly involved in Houston's theatrical circles for over 35 years, as producer, director, actor, teacher, writer and critic.  He is the Artistic Director of Theatre New West.  Joe has produced and directed close to 50 productions, and acted in over 75.  He has taught privately for 20 years.			</p>    			<br><br>",,
http://www.artshound.com/event/detail/16919/Faux_Finishing_ClassesRichmond_Texas,Ongoing,$265-$385,29.581738,"Faux Finishing Classes-Richmond, Texas",http://www.sheriherbert.com,,77469,http://www.artshound.com/sites/artshound.com/images/placeholder.png,TX,,-95.75885,,"We are the only faux finishing school in the Houston area focused on techniques, not products.</p> <p>The studio offers hands-on classes in faux finishing for homeowners looking to update their homes or for the professional looking to expand their portfolio. Please check our website for more information and dates.</p> <p>www.sheriherbert.com</p>			</p>    			<br><br>",Richmond,407 S. 2nd Street. C
http://www.artshound.com/event/detail/441085481/The_Urban_Market_Houston_Antique_Show_May_2011,05/14/2011-05/15/2011,"Saturday nights shows are Early Buying Events: $25 entry fee includes early buying, drinks &amp; hors d'oeuvres, and re-entry on Sunday",29.743878,The Urban Market Houston Antique Show:  May 2011,http://www.theurbanmarkethouston.com/home,,77006,http://www.artshound.com/sites/artshound.com/images/event/441085481/1-urbanmarket-0371mainmay_medium.jpg,TX,Jackie@TheUrbanMarketHouston.com,-95.379977,Urban Market - Midtown Location,"The dates for the&nbsp;The Urban Market Houston Antique Show:&nbsp;May 2011&nbsp;are Saturday, May 14, 2011 4pm-6pm and Sunday, May 15, 2011 9am-4pm. The Urban Market Houston Antique Show&nbsp; is moving to Midtown Houston for 2011! New Location: 3101 Smith Street @ Elgin, Houston, Texas 77006.<br> <br> The Urban Market Houston, an outdoor antiques market that takes place three times a year. You'll find antiques, furniture, linens, artwork and more.&nbsp; Shoppers can't miss the tents loaded with antiques, art, fabrics, mirrors, furniture and other hidden treasures. Market organizers encourage shoppers to bring everything from wagons to truck beds to haul away booty. And shoppers will find some designer goodies at great prices because vendors are looking to sell, sell, sell, which also means they'll be open to a little bargaining.</p> <p>Going into its&nbsp;sixth year, The Urban Market Houston Antique Show has become THE event for dealers as well as bargain hunters who are looking to spend a day in the beautiful outdoors looking through tents filled with incredible antiques and treasures right here in town. With measurements in hand many in this crowd are on a quest as they are regulars and they know the deals you can find at this market.</p> <p>Saturday nights shows are Early Buying Events: $25 entry fee includes early buying, drinks &amp; hors d'oeuvres, and re-entry on Sunday. Sunday shows are $5 entry fee and Children are free. All tickets are purchased at the gate.</p> <p>Useful things to bring with you to the market: a hat or sunglasses, measurements, and some comfortable shoes. On Sunday, delicious food and drinks available all day. Bring your family &amp; enjoy the beautiful day. Stay for a picnic!<br> <br> Jackie Sharbrough has organized an amazing assembly of antique dealers for each of the three Urban Markets throughout the year. The dealers come from all over the country and each has their own speciality with merchandise to die for. It has the feel of a Paris flea market with the tents and big wide grassy walkways.</p> <p>Some have shopped throughout Europe for years and you get to peruse their finds. Other dealers have booths that are over the top and filled with antique home and garden items you can't find anywhere else. Above all, there is always fun to be had shopping and visiting with friends and great treasures to be found at unbelievable prices.</p> <p>Food lovers will not be disappointed with the terrific variety and selection of sandwiches, salads, cheeses, oven fresh breads, sweets, Katz&rsquo;s iced coffee, gumbo, and Pimento Cheese Spread. And the most beautiful orchids!</p> <p>Three times a year you can count on spending a great&nbsp;time looking at interesting objects, antiques, artwork, designer &amp; decorators collections, and merchandise that has to be moved to make room for new goods. And they have one day to move it all! This is very good news for shoppers.</p> <p>Photos by Julie Landreth.</p>			</p>    			<br><br>",(@ Elgin)<br />						Houston,3101 Smith Street
http://www.artshound.com/event/detail/441085523/The_Urban_Market_Houston_Antique_Show_October_2011,10/22/2011-10/23/2011,"Saturday nights shows are Early Buying Events: $25 entry fee includes early buying, drinks &amp; hors d'oeuvres, and re-entry on Sunday",29.743878,The Urban Market Houston Antique Show:  October 2011,http://www.theurbanmarkethouston.com/home,,77006,http://www.artshound.com/sites/artshound.com/images/event/441085523/1-urbanmarket-1-120mainocotber_medium.jpg,TX,Jackie@TheUrbanMarketHouston.com,-95.379977,Urban Market - Midtown Location,"The dates for the&nbsp;The Urban Market Houston Antique Show:&nbsp;October 2011&nbsp;are Saturday, October 22, 2011 4pm-6pm and Sunday, October 23, 2011 9am-4pm. The Urban Market Houston Antique Show&nbsp; is moving to Midtown Houston for 2011! New Location: 3101 Smith Street @ Elgin, Houston, Texas 77006.<br> <br> The Urban Market Houston, an outdoor antiques market that takes place three times a year. You'll find antiques, furniture, linens, artwork and more.&nbsp; Shoppers can't miss the tents loaded with antiques, art, fabrics, mirrors, furniture and other hidden treasures. Market organizers encourage shoppers to bring everything from wagons to truck beds to haul away booty. And shoppers will find some designer goodies at great prices because vendors are looking to sell, sell, sell, which also means they'll be open to a little bargaining.</p> <p>Going into its&nbsp;sixth year, The Urban Market Houston Antique Show has become THE event for dealers as well as bargain hunters who are looking to spend a day in the beautiful outdoors looking through tents filled with incredible antiques and treasures right here in town. With measurements in hand many in this crowd are on a quest as they are regulars and they know the deals you can find at this market.</p> <p>Saturday nights shows are Early Buying Events: $25 entry fee includes early buying, drinks &amp; hors d'oeuvres, and re-entry on Sunday. Sunday shows are $5 entry fee and Children are free. All tickets are purchased at the gate.</p> <p>Useful things to bring with you to the market: a hat or sunglasses, measurements, and some comfortable shoes. On Sunday, delicious food and drinks available all day. Bring your family &amp; enjoy the beautiful day. Stay for a picnic!<br> <br> Jackie Sharbrough has organized an amazing assembly of antique dealers for each of the three Urban Markets throughout the year. The dealers come from all over the country and each has their own speciality with merchandise to die for. It has the feel of a Paris flea market with the tents and big wide grassy walkways.</p> <p>Some have shopped throughout Europe for years and you get to peruse their finds. Other dealers have booths that are over the top and filled with antique home and garden items you can't find anywhere else. Above all, there is always fun to be had shopping and visiting with friends and great treasures to be found at unbelievable prices.</p> <p>Food lovers will not be disappointed with the terrific variety and selection of sandwiches, salads, cheeses, oven fresh breads, sweets, Katz&rsquo;s iced coffee, gumbo, and Pimento Cheese Spread. And the most beautiful orchids!</p> <p>Three times a year you can count on spending a great&nbsp;time looking at interesting objects, antiques, artwork, designer &amp; decorators collections, and merchandise that has to be moved to make room for new goods. And they have one day to move it all! This is very good news for shoppers.</p> <p>Photos by Julie Landreth.</p>			</p>    			<br><br>",(@ Elgin)<br />						Houston,3101 Smith Street
