venue,description,city,state,title,webSite
The Children's Museum in Easton,"Go Wild at The Children’s Museum in Easton on Thursday, July 15th from 10:30 AM to 3 PM! What better place to learn about the wild than our very own outdoor facility The Wild Place? Start your day off on an imaginary animal adventure with Robb and his wacky Go Wild! puppet friends at 11 AM. Then, at 1 PM fly away with Marla Isaac of The New England Reptiles and Raptors Exhibit for an exciting Birds of Prey program. Don’t miss out on the chance to dissect your own owl pellet; just $1 while supplies last. So, come out to The Children’s Museum in Easton to see the wacky, wild side of nature like you’ve never seen it before! This event is generously sponsored by Roche Bros.",Easton,Massachusetts,Go Wild!&nbsp,http://childrensmuseumineaston.org/SummerDropInDays.asp
Meet the Artists of “Witness To Creativity”,"Watching art being made can be very inspiring. It allows the viewer to see the process in action instead of just the finished product. Such an opportunity happens beginning on Friday, July 16. Six art installations will be in-process through the weekend culminating in an exhibition that will remain in place until the end of August.  The public can engage the artists about their projects, work methods and messages. Museum curator, David Swoyer is excited about the idea “There will be an interesting mix between artists and visitors which is a great way to have art understood. Dialogue about a conceptual work while it is being made actually becomes part of the work. We will be documenting and posting on our website the daily progress and interchange.”",DeLand,Florida,Open House &amp; DeLand Mainstreet Tropical Nights&nbsp,http://www.floridamuseumforwomenartists.org/special-events/upcoming-events/
Orange County Regional History Center,Join author Craig Pittman for a lively conversation and discuss the controversy surrounding the manatee.,Orlando,Florida,History Book Club: “Manatee Insanity: Inside the War Over Florida’s Most Famous Endangered Species”&nbsp,http://www.thehistorycenter.org
,,,,,
,,,,,
National Museum of Health and Medicine,"Concerned about a tick bite? Will you or your pets spend time outdoors this summer? If the answer to either of these questions is yes, then bring your lunch and join the Museum for an informative talk about Lyme disease. The talk will be led by Registered Nurse Marilyn Algire and Sgt. Jason Patterson, both of the Preventive Medicine Department at Walter Reed Army Medical Center, and include information about the geographic location of most cases of Lyme disease; how the disease spreads; the do’s and don’ts of prevention; and the importance of early disease detection. This event is being presented in conjunction with the poster presentation, “Solving the Puzzle: Lyme Disease, West Nile Virus &amp; You,” from the Peabody Museum of Natural History at Yale University.",Washington,District of Columbia,Brown Bag Lunch program: 'Lyme Disease in Your Community'&nbsp,http://www.nmhm.washingtondc.museum/about/directions.html
The Children's Museum in Easton,,Easton,Massachusetts,FETCH!™ With Ruff Ruffman &nbsp,http://www.childrensmuseumineaston.org/summerdropindays.asp
The Children's Museum in Easton,,Easton,Massachusetts,Move It!&nbsp,http://http://login.npwebsiteservices.com/ChildrensmuseumEaston/SummerDropInDays.asp
The Children's Musem in Easton,,Easton,Massachusetts,A Pirate's Life for Me!&nbsp,http://www.childrensmuseumineaston.org/summerdropindays.asp
The Children's Museum in Easton,,Easton,Massachusetts,Creature Feature&nbsp,http://http://login.npwebsiteservices.com/ChildrensmuseumEaston/SummerDropInDays.asp
