cost,moreInfoLink,phone,website,endDate,startDate,name,fullAddress,description,venue
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,08/14/11,07/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"$20 for adults, $18 for seniors and students 18 and over, free for members and children under 6",http://www.bostonmagazine.com/arts_entertainment/event/nicholas_nixon_at_the_mfa,617-267-9300,http://mfa.org/,05/01/11,07/28/10,Nicholas Nixon at the MFA,"465 Huntington Ave., Boston, MA 02115</div><div>","MassArt professor Nicholas Nixon's intimate black-and-white portraits trace his subjects' physical changes over time, and explore his own family dynamic. A collection of his work, which has claimed space in the National Gallery of Art, opens July 23 at the MFA, perhaps serving as a thoughtful counterpoise to an age of online oversharing.",Museum of Fine Arts
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,08/14/11,07/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,08/14/11,07/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,08/14/11,07/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,08/14/11,07/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,08/14/11,07/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,08/14/11,07/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,08/14/11,07/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,08/14/11,07/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
