city,startDate,address,name,description,price,venueName,state,endDate,image,moreInfoLink
Minneapolis,12/04/2010,2027 W. Broadway Ave.,Saint Paul Chamber Orchestra,,free; advance reservations required,Capri Theater,MN,03/26/2011,,http://www.citypages.com//events/saint-paul-chamber-orchestra-1636362/
Minneapolis,12/07/2010,408 Hennepin Ave.,Men's Room,,,Gay 90's,MN,,,http://www.citypages.com//events/mens-room-487543/
Minneapolis,12/05/2010,408 Hennepin Ave.,Men's Room,,,Gay 90's,MN,,,http://www.citypages.com//events/mens-room-487543/
Minneapolis,12/20/2010,408 Hennepin Ave.,Men's Room,,,Gay 90's,MN,,,http://www.citypages.com//events/mens-room-487543/
Minneapolis,12/05/2010,416 Cedar Ave. S.,A Leahy Family Christmas,,$25/$28,The Cedar,MN,12/05/2010,,http://www.citypages.com//events/a-leahy-family-christmas-1626349/
St. Paul,12/05/2010,2162 University Ave. W.,Pocahontas County,,,Dubliner Pub,MN,,,http://www.citypages.com//events/pocahontas-county-1390204/
Minneapolis,12/05/2010,3901 Chicago Ave. S.,Twin Cities Women's Choir: Illumination,for tickets and info call 612.333.8292 or visit www.twincitieswomenschoir.org</p>,$15,Calvary Lutheran Church,MN,12/05/2010,,http://www.citypages.com//events/twin-cities-womens-choir-illumination-1636360/
Excelsior,12/05/2010,322 2nd St.,The Copper Street Brass Quintet Holiday Concert,,free; donations requested,Trinity Episcopal Church,MN,12/05/2010,,http://www.citypages.com//events/the-copper-street-brass-quintet-holiday-concert-1664933/
Minneapolis,12/05/2010,1900 Nicollet Ave.,VocalEssence: Welcome Christmas,for tickets and info call 612.371.5656 or visit www.minnesotaorchestra.org</p>,$13.50-$43.50,Plymouth Congregational Church,MN,12/05/2010,,http://www.citypages.com//events/vocalessence-welcome-christmas-1572968/
Minneapolis,12/05/2010,3045 Chicago Ave.,Patty Peterson Holiday Concert,,$18,Mount Olive Lutheran Church,MN,12/05/2010,,http://www.citypages.com//events/patty-peterson-holiday-concert-1664937/
Minneapolis,12/05/2010,112 Hennepin Ave. E.,Andy Cowley,in the Piano Bar</p>,,Nye's Polonaise Room,MN,,,http://www.citypages.com//events/andy-cowley-1277514/
St. Paul,12/05/2010,2162 University Ave. W.,Open Mic,with Krystal</p>,,Dubliner Pub,MN,,,http://www.citypages.com//events/open-mic-626014/
Minneapolis,12/05/2010,411 2nd Ave. N.,Showtime Sunday,,,The Lounge,MN,,,http://www.citypages.com//events/showtime-sunday-1242342/
Minneapolis,12/05/2010,2507 E. 25th St.,The Country Doctors,,,Eagles Club #34,MN,,,http://www.citypages.com//events/the-country-doctors-1478345/
Minneapolis,12/05/2010,80 S. 9th St.,Gospel Brunch,,,Hell's Kitchen,MN,,,http://www.citypages.com//events/gospel-brunch-1218119/
St. Paul,12/05/2010,"408 St. Peter St, 3rd Fl",Saint Paul Chamber Orchestra Chamber Music Series,for tickets and info call 651.291.1144 or visit www.thespco.org</p>,$10,Saint Paul Chamber Orchestra Center,MN,12/05/2010,,http://www.citypages.com//events/saint-paul-chamber-orchestra-chamber-music-series-1572924/
Minneapolis,12/05/2010,710 Hennepin Ave.,The Blenders,,,Pantages Theatre,MN,12/05/2010,,http://www.citypages.com//events/the-blenders-1577237/
St. Paul,12/05/2010,10 E. Exchange St.,The New Standards Holiday Concert,,$20-$32,Fitzgerald Theater,MN,12/05/2010,,http://www.citypages.com//events/the-new-standards-holiday-concert-1644607/
Minneapolis,12/05/2010,509 1st Ave. NE,Sassy Lassy Trivia Sundays,hosted by Colleen Kruse & Ms. Nadine Dubois</p>,,Red Stag Supper Club,MN,,,http://www.citypages.com//events/sassy-lassy-trivia-sundays-1354678/
Minneapolis,12/05/2010,16 University Ave. NE,Advanced Irish Session,,,Keegan's Irish Pub,MN,,,http://www.citypages.com//events/advanced-irish-session-165030/
Minneapolis,12/05/2010,327 14th Ave. SE,Mandragora Tango,,,Loring Pasta Bar,MN,,,http://www.citypages.com//events/mandragora-tango-1469133/
St. Paul,12/05/2010,1579 Hamline Ave. N.,Open Mic,hosted by Bill Hammond</p>,free,The Coffee Grounds,MN,,,http://www.citypages.com//events/open-mic-600936/
Minneapolis,12/05/2010,650 Hennepin Ave.,Dueling Pianos,,free; $8 after 7 p.m. Fri-Sat,Shout House Dueling Pianos,MN,,,http://www.citypages.com//events/dueling-pianos-811673/
Minneapolis,12/05/2010,101 Glenwood Ave. N.,GLBT Barndance,,free,Lee's Liquor Lounge,MN,,,http://www.citypages.com//events/glbt-barndance-653740/
St. Paul,12/05/2010,2162 University Ave. W.,Pub Quiz,,,Dubliner Pub,MN,,,http://www.citypages.com//events/pub-quiz-1618819/
Minneapolis,12/05/2010,3745 42nd Ave. S.,The Harris Trio,,,Riverview Cafe & Wine Bar,MN,,,http://www.citypages.com//events/the-harris-trio-361222/
Minneapolis,12/05/2010,331 13th Ave. NE,Chuck & Sean's Trivia Night,,free,331 Club,MN,,,http://www.citypages.com//events/chuck-and-seans-trivia-night-710507/
Minneapolis,12/05/2010,414 3rd Ave. N.,Forbidden Sundays,,free,414 Sound Bar,MN,,,http://www.citypages.com//events/forbidden-sundays-1341196/
Anoka,12/05/2010,7550 Hwy 10 NW,Karaoke,,,Ol' Skool Sports Bar & Grill,MN,,,http://www.citypages.com//events/karaoke-650335/
Minneapolis,12/05/2010,501 Washington Ave. S.,PS 501: Grade School Games for Drinkin' Adults,,,501 Club,MN,,,http://www.citypages.com//events/ps-501-grade-school-games-for-drinkin-adults-1616511/
Minneapolis,12/05/2010,3601 E. Lake St.,Sunday Pub Quiz,,,Merlins Rest,MN,,,http://www.citypages.com//events/sunday-pub-quiz-663345/
St. Paul,12/05/2010,1601 University Ave. W.,Hairy Karaoke,with Eric and Winsome</p>,$2,Turf Club,MN,,,http://www.citypages.com//events/hairy-karaoke-1387847/
Minneapolis,12/05/2010,2713 E. Lake St.,Swagg Sundays,with DJ Boonie Toones</p>,$5-$10,T's Place,MN,,,http://www.citypages.com//events/swagg-sundays-1363854/
Minneapolis,12/05/2010,629 Cedar Ave. S.,Vital Vinyl Sundays,,free,Triple Rock Social Club,MN,,,http://www.citypages.com//events/vital-vinyl-sundays-1330529/
Eden Prairie,12/05/2010,13000 Technology Dr.,Salsa Del Soul,,,Santorini Taverna & Grill,MN,,,http://www.citypages.com//events/salsa-del-soul-1558389/
St. Paul,12/12/2010,2162 University Ave. W.,Pocahontas County,,,Dubliner Pub,MN,,,http://www.citypages.com//events/pocahontas-county-1390204/
Bloomington,12/30/2010,406 E. Broadway,Noche de Rumba,,,Cantina #1,MN,,,http://www.citypages.com//events/noche-de-rumba-769505/
Eden Prairie,12/19/2010,13000 Technology Dr.,Salsa Del Soul,,,Santorini Taverna & Grill,MN,,,http://www.citypages.com//events/salsa-del-soul-1558389/
Minneapolis,12/04/2010,327 14th Ave. SE,Salsa Police,,,Loring Pasta Bar,MN,,,http://www.citypages.com//events/salsa-police-501738/
Minneapolis,02/26/2011,408 Hennepin Ave.,Dance Annex,,,Gay 90's,MN,,,http://www.citypages.com//events/dance-annex-487533/
Minneapolis,02/28/2011,408 Hennepin Ave.,Dance Annex,,,Gay 90's,MN,,,http://www.citypages.com//events/dance-annex-487533/
Minneapolis,02/23/2011,112 Hennepin Ave. E.,Mike 'Piano Man' Maresh,in the Piano Bar</p>,,Nye's Polonaise Room,MN,,,http://www.citypages.com//events/mike-piano-man-maresh-1277515/
Minneapolis,02/23/2011,650 Hennepin Ave.,Dueling Pianos,,free; $8 after 7 p.m. Fri-Sat,Shout House Dueling Pianos,MN,,,http://www.citypages.com//events/dueling-pianos-811673/
Minneapolis,02/23/2011,1111 Nicollet Mall,MN Orchestra: A Carnegie Hall Preview: Beethoven and Sibelius,,$26-$84,Orchestra Hall,MN,02/23/2011,,http://www.citypages.com//events/mn-orchestra-a-carnegie-hall-preview-beethoven-and-sibelius-1684941/
Minneapolis,02/24/2011,416 Cedar Ave. S.,Cheryl Wheeler,,$15/$18,The Cedar,MN,02/24/2011,,http://www.citypages.com//events/cheryl-wheeler-1682670/
St. Paul,02/24/2011,10 E. Exchange St.,Gaelic Storm,,$32-$35,Fitzgerald Theater,MN,02/24/2011,,http://www.citypages.com//events/gaelic-storm-1664943/
Minneapolis,02/24/2011,701 1st Ave. N.,Baths,,$10,7th St. Entry,MN,02/24/2011,,http://www.citypages.com//events/baths-1673828/
Minneapolis,02/24/2011,323 1st Ave. N.,F*cking Sick,,,Bootleggers,MN,,,http://www.citypages.com//events/fcking-sick-1322223/
Minneapolis,02/27/2011,1111 Nicollet Mall,Branford Marsalis & Terence Blanchard,,$25-$60,Orchestra Hall,MN,02/27/2011,,http://www.citypages.com//events/branford-marsalis-and-terence-blanchard-1684942/
