mail,address,startDate,venue,eventTitle,endDate,phone,moreInfo
,,02/26/2011,Clark Co Saddle Club,Barrel Racing - Clark Co Saddle Club,02/26/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,02/27/2011,Stewart's Arena,Barrel Racing - Stewart's Arena,02/27/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/11/2011,Clark Co Fairgrounds,Barrel Racing - Clark Co Fairgrounds,03/13/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/19/2011,Clark Co Saddle Club,Barrel Racing - Clark Co Saddle Club,03/19/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/19/2011,Stewart's Arena,Barrel Racing - Stewart's Arena,03/19/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/20/2011,Rocky Top Arena,Barrel Racing - Rocky Top Arena,03/20/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/26/2011,Clark Co Saddle Club,Barrel Racing - Clark Co Saddle Club,03/26/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/27/2011,Rocky Top Arena,Barrel Racing - Rocky Top Arena,03/27/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,04/15/2011,Appleatchee Riders Indoor Arena,Barrel Racing - Appleatchee Riders Indoor Arena,04/17/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,04/23/2011,Stewart's Arena,Barrel Racing - Stewart's Arena,04/23/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"ELMA, WA",04/30/2011,Grays Harbor Fairgrounds,Barrel Racing - Pacific Barrel Horse Association,05/01/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,05/14/2011,Stewart's Arena,Barrel Racing - Stewart's Arena,05/14/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,05/27/2011,2011 BRN4D Championship Finals - TRAC,Barrel Racing - 2011 BRN4D Championship Finals - TRAC,05/30/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"Vail Rd. Mckenna, MCKENNA, WA",06/04/2011,Stewarts Arena,Barrel Racing - Pacific Barrel Horse Association,06/05/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
masdr@my180.net,"WALLA WALLA, WA",06/18/2011,Don Johnson Arena,Barrel Racing - Featherlite Trailer Appreciation Race,06/19/2011,Gary Aichele 509-386-4779&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
office@barrelsbythebay.com,"5th St.  , FERNDALE, CA 95536",03/02/2011,Humboldt County Fairgrounds,Barrel Racing - Barrels by the Bay Wednesday Nite Races,03/02/2011,707-845-0291&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"175th Ave, ROCHESTER, WA",06/25/2011,Rock N Horse Arena,Barrel Racing - Pacific Barrel Horse Association,06/26/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
office@barrelsbythebay.com,"5th St.  , FERNDALE, CA 95536",03/16/2011,Humboldt County Fairgrounds,Barrel Racing - Barrels by the Bay Wednesday Nite Races,03/16/2011,707-845-0291&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"175th Ave, ROCHESTER, WA",07/09/2011,Rock N Horse Arena,Barrel Racing - Pacific Barrel Horse Association,07/10/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
office@barrelsbythebay.com,"5th St.  , FERNDALE, CA 95536",04/06/2011,Humboldt County Fairgrounds,Barrel Racing - Barrels by the Bay Wednesday Nite Races,04/06/2011,707-845-0291&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"175th Ave, ROCHESTER, WA",09/03/2011,Rock N Horse Arena,Barrel Racing - Pacific Barrel Horse Association,09/04/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
office@barrelsbythebay.com,"5th St.  , FERNDALE, CA 95536",04/20/2011,Humboldt County Fairgrounds,Barrel Racing - Barrels by the Bay Wednesday Nite Races,04/20/2011,707-845-0291&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"ELMA, WA",10/08/2011,Grays Harbor Fairgrounds,Barrel Racing - Pacific Barrel Horse Association,10/09/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
office@barrelsbythebay.com,"Park St.  , FORTUNA, CA 95540",07/16/2011,Fortuna Rodeo Grounds,Barrel Racing - Barrels by the Bay Fortuna Rodeo Barrel Race,07/16/2011,707-845-0291&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/05/2011,"Clackamas Co Fairgrounds, Ely Arena","Barrel Racing - Clackamas Co Fairgrounds, Ely Arena",03/05/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
