longitude,image,description,date,venue,latitude,moreInfoLink,title
-84.4991455078125,,"Legally Blonde is taking place on Sunday, April 17, 2011 at Lexington Opera House (401 W Short St) Lexington, Kentucky, United States. Purchase tickets online here.","April 17, 2011",Lexington Opera House,38.049503326416,http://www.clubzone.com/events/292037/lexington/lexington-opera-house/t4-legally-blonde-2011-4-17,Legally Blonde
,http://images.clubzone.com/events/images/174221/174221-1.jpg,U Love I Nights<br>  <br>  Every 1st &amp; 3rd Thursdays<br>  <br>  with<br>  DJ Details,,Barcelona,,http://www.clubzone.com/events/174221/austin/barcelona/u-love-i-nights,U Love I Nights
,,"Teleportal<br>  <br>  At <br>  ND at 501 Studios<br>  <br>  Thursday, Feb 24, 2011<br>  8.00PM<br>  &nbsp;","February 24, 2011",ND at 501 Studios,,http://www.clubzone.com/events/331358/austin/nd-at-501-studios/teleportal,Teleportal
-96.8082504272461,http://images.clubzone.com/events/images/324912/324912-1.jpg,"1999 - Prince Tribute <br>  <br>  At<br>  House of Blues Dallas<br>  Thursday, Feb 24, 2011<br>  <br>  Doors: 07:30 PM<br>  Show : 08:30 PM <br>  <br>  Ages: All<br>","February 24, 2011",House of Blues Dallas,32.7853355407715,http://www.clubzone.com/events/324912/dallas/house-of-blues-dallas/1999-prince-tribute,1999 - Prince Tribute
-96.7788467407227,,"Blockhead<br>  <br>  At<br>  Trees<br>  <br>  Friday, Feb 25, 2011<br>  7.00 PM<br>  All Ages<br>  <br>  Featuring<br>  Emancipator<br>  Sts9 After Party<br>","February 25, 2011",Trees,32.7802505493164,http://www.clubzone.com/events/331396/dallas/trees/blockhead,Blockhead
-96.7902679443359,http://images.clubzone.com/events/images/327631/327631-1.jpg,"Excision: Subsonic Tour &nbsp;&nbsp;&nbsp; <br>  <br>  At<br>  Lizard Lounge Dallas<br>  <br>  Friday, February 25, 2011<br>  <br>  WHITE LIGHT PRODUCTIONS<br>  presents...<br>  <br>  CLOCK WORK 2<br>  Feat. SUBSONIC TOUR DALLAS<br>  <br>  THERE WILL BE 50,000 WATT PK SOUND SYSTEM BEING BROUGHT IN ALONG SIDE A CUSTOM DJ BOOTH AND LED LIGHTING!!!<br>  THERE WILL BE EXTRA LIGHTING, LASERS, AND MUCH MORE!!!<br>  <br>  MAIN ROOM:  <ul>      <li>EXCISION - Kelowna, British Columbia</li>      <li>DOWNLINK - Kelowna, British Columbia</li>      <li>ANTISERUM - San Fransisco, California,</li>      <li>ROYAL HIGHNUSS &amp; DROOPY - Dallas, Tx</li>  </ul>  VIDEO BAR:  <ul>      <li>TIATAN - DALLAS, TX</li>      <li>TRAVIS ELLIOT - DALLAS,TX</li>      <li>TOMB - DALLAS,TX</li>      <li>WELCH EMBASSY &amp; 4D - DENTON,TX</li>      <li>OPS ESPONJA - DENTON, TX</li>  </ul>","February 25, 2011",Lizard Lounge Dallas,32.7847938537598,http://www.clubzone.com/events/327631/dallas/lizard-lounge-dallas/excision-subsonic-tour,Excision: Subsonic Tour
-96.8082504272461,,"Sts9<br>  <br>  At<br>  House of Blues Dallas <br>  <br>  Friday, Feb 25, 2011<br>  Doors: 08:00 PM<br>  Show: 09:00 PM <br>","February 25, 2011",House of Blues Dallas,32.7853355407715,http://www.clubzone.com/events/331332/dallas/house-of-blues-dallas/sts9,Sts9
-96.7788467407227,,"Hell Yeag<br>  <br>  At<br>  Trees<br>  <br>  Thursday, Mar 3, 2011<br>  7.00 PM <br>  All Ages<br>","March 3, 2011",Trees,32.7802505493164,http://www.clubzone.com/events/331447/dallas/trees/hell-yeag,Hell Yeag
-96.8082504272461,,"Parkway Drive Plus Special Guests Set Your Goals<br>  <br>  At<br>  House of Blues Dallas <br>  <br>  Tuesday, March 08, 2011<br>  Doors:6:30 PM <br>  <br>  Parkway Drive Plus Special Guests Set Your Goals, The Ghost Inside, &amp; The Warriors.","March 8, 2011",House of Blues Dallas,32.7853355407715,http://www.clubzone.com/events/327513/dallas/house-of-blues-dallas/parkway-drive-plus-special-guests-set-your-goals,Parkway Drive Plus Special Guests Set Your Goals
-96.8082504272461,,"SOJA <br>  <br>  At<br>  House of Blues Dallas<br>  <br>  Thursday, March 10, 2011<br>  Doors:7:00 PM<br>","March 10, 2011",House of Blues Dallas,32.7853355407715,http://www.clubzone.com/events/327517/dallas/house-of-blues-dallas/soja,SOJA
