title,website,ticketPhone,latitude,dates,moreInfoLink,city,address,description,venue,longitude,email,state,zipcode,image
"""EXPLORING NOW: 365 DAYS TO 50"" Art Exhibition",http://www.cmp365daysto50.wordpress.com,,46.876743,01/04/2011-04/30/2011,http://fmarea.culturepulse.org/event/detail/441087903/EXPLORING_NOW_365_DAYS_TO_50_Art_Exhibition,Fargo,69 Fourth Street North,"An interactive work-in-progress by Claudia M. Pratt that solicits ideas, shares inspirations and documents living in the moment through an art installation environment and daily photographs February 28, 2011 through February 2012. See the exhibit evolve weekly through April 30, 2011.</p>			</p>    			<br><br>",Green Market Kitchen,-96.784187,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441087903/exploring_now_clock_medium.jpg
F-M Golden Notes New Horizons Band,,,46.89471,05/06/2011,http://fmarea.culturepulse.org/event/detail/440749483/FM_Golden_Notes_New_Horizons_Band,Fargo,1351 N Broadway,F-M senior musicians playing selected music for selected audiences</p>			</p>    			<br><br>,Rosewood On Broadway,-96.786878,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440749483/nhb1_medium.jpg
Lake Agassiz Band Concert,http://www.lakeagassizconcertband.org,,,05/15/2011,http://fmarea.culturepulse.org/event/detail/440868801/Lake_Agassiz_Band_Concert,,,At-a-<br>Glance     <ul>       <li>       Venue Info,,,,,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/373/lacb_medium.jpg
One Act Play Festival,,218-299-3314,,04/11/2011-04/12/2011,http://fmarea.culturepulse.org/event/detail/440858931/One_Act_Play_Festival,,,At-a-<br>Glance     <ul>       <li>       Venue Info,,,,,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/387/concordia_222_medium.jpg
Concordia Echo Band Concert,,218-299-4366,,04/17/2011,http://fmarea.culturepulse.org/event/detail/440858949/Concordia_Echo_Band_Concert,,,At-a-<br>Glance     <ul>       <li>       Venue Info,,,,,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/387/concordia_222_medium.jpg
Fargo CoreCon,http://www.fargocorecon.org,,46.8440756,04/15/2011-04/17/2011,http://fmarea.culturepulse.org/event/detail/441145973/Fargo_CoreCon,Moorhead,600 30th Ave S,"CoreCon is a non-profit science fiction, fantasy, horror and anime convention new to the Fargo-Moorhead area. With a steadfast focus on the fans of these and other genre's, there will be events and fun for everyone to be found at Core Con. You'll find live action and tabletop roleplaying, tabletop strategy and miniature gaming, costuming, movies and anime, panel discussions and demonstrations, and electronic gaming of many types and platforms. Meet our guests and kick back in one of our many hospitality suites. Meet other fans and enthusiasts in our area and discover what's new in your genre's of interest. We value your input and would like to know what you'd like to see at CoreCon, so please drop us a line!</p>			</p>    			<br><br>",AmericInn Moorhead,-96.770594,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/placeholder.png
March for Babies,http://www.marchofdimes.com/northdakota,,46.868369,04/30/2011,http://fmarea.culturepulse.org/event/detail/441092329/March_for_Babies,West Fargo,1201 7th Ave E,"When you walk in March for Babies, you give hope to the more than half a million babies born too soon each year. The money you raise supports programs in your community that help moms have healthy, full-term pregnancies. And it funds research to find answers to the problems that threaten our babies.</p>			</p>    			<br><br>",Veterans Memorial Arena,-96.879422,,ND,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441092329/mfb10-436theaterslide%20thumbnail_medium.jpg
Kite Day,http://www.fargoparks.com,,46.8326324,05/07/2011,http://fmarea.culturepulse.org/event/detail/441094543/Kite_Day,Fargo,2801 32nd Avenue S,Show off your kite flying skills and compete for prizes in youth and adult categories.</p>			</p>    			<br><br>,Ed Clapp Park,-96.8235421,,ND,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Nature Adventure,http://www.fargoparks.com,,46.8506463,05/19/2011,http://fmarea.culturepulse.org/event/detail/441094579/Nature_Adventure,Fargo,1905 Roger Maris Dr,"Bring the family out for a fun evening outdoors.  Enjoy food, crafts, games, and nature activities.</p>			</p>    			<br><br>",Lindenwood Park,-96.7807809,,ND,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Pepsi Outdoor Archery Challenge,http://www.fargoparks.com/se_tournaments.html,,,05/14/2011-05/15/2011,http://fmarea.culturepulse.org/event/detail/441094551/Pepsi_Outdoor_Archery_Challenge,,,"This archery tournament includes a 3-D Round (25-30 targets) and a 900 Round. All participants receive a free t-shirt and archery towel. There will be free hot dogs and Pepsi products while supplies last. For more information, contact Craig Bjur at 701-499-6090</p>			</p>    			<br><br>",,,,,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
