title,moreInfoLink,startDate,fullAddress,venue,endDate
Blue Man Group,http://thephoenix.com/Boston/Events/86124-Blue-Man-Group/,01/05/2011,"74 Warrenton St, Boston, MA &nbsp;",Charles Playhouse,03/31/2011
The Donkey Show,http://thephoenix.com/Boston/Events/92180-Donkey-Show/,01/05/2011,"2 Arrow St, Cambridge, MA &nbsp;",Oberon,04/29/2011
Shear Madness,http://thephoenix.com/Boston/Events/92185-Shear-Madness/,01/05/2011,"74 Warrenton St, Boston, MA &nbsp;",Charles Playhouse,05/30/2011
My Name is Asher Lev,http://thephoenix.com/Boston/Events/92160-My-Name-is-Asher-Lev/,02/11/2011,"140 Clarendon Street, Boston, MA &nbsp;",Lyric Stage Company of Boston,03/12/2011
Mary Poppins,http://thephoenix.com/Boston/Events/92161-Mary-Poppins/,02/17/2011,"539 Washington St, Boston, MA &nbsp;",Opera House,03/19/2011
The Hotel Nepenthe,http://thephoenix.com/Boston/Events/92163-Hotel-Nepenthe/,02/23/2011,"Actors' Shakespeare Project, PO Box 400986, Cambridge, MA, Boston, MA &nbsp;",Actors’ Shakespeare Project,03/06/2011
Reasons to be Pretty,http://thephoenix.com/Boston/Events/92165-Reasons-to-be-Pretty/,03/04/2011,"527 Tremont St, Boston, MA &nbsp;",Calderwood Pavilion at the Boston Center for the Arts,04/06/2011
The Select (The Sun Also Rises),http://thephoenix.com/Boston/Events/92166-Select-(The-Sun-Also-Rises)/,03/15/2011,"559 Washington St, Boston, MA &nbsp;",Paramount Theatre,03/20/2011
A Celebration of Director Peter Brook,http://thephoenix.com/Boston/Events/92167-Celebration-of-Director-Peter-Brook/,03/23/2011,"559 Washington St, Boston, MA &nbsp;",Paramount Theatre,03/27/2011
"""Niobe, Queen of Thebes""",http://thephoenix.com/Boston/Events/80707-Niobe-Queen-of-Thebes/,06/12/2011,"219 Tremont St, Boston, MA &nbsp;",Cutler Majestic Theatre,06/19/2011
