state,address,authors,city,moreInfoAuthor,time,date,authorImg,authorBio,location,moreInfoLink,title
MA,185 Salisbury St.,Lauren Weber,Worcester,http://www.hachettebookgroup.com/authors_Lauren-Weber-(1517910).htm,7:30 PM,11/17/2019,http://www.hachettebookgroup.com/_images/Contributors/images_main/1517910_215x340.jpg,"Lauren Weber grew up with a father who rationed toilet paper and rarely used his car's turn signals (to prevent them from burning out). She attended Wesleyan University and was a Knight-Bagehot journalism fellow at Columbia University. Lauren was formerly a staff reporter at ""Newsday"" and Reuters, and has also written for the New York Times, Los Angeles Times, and other publications. For thrifty tips and conversation, Lauren likes to visit Getrichslowly.org, Thedailygreen.com, Homegrownevolution.com, Thesimpledollar.com and ""Time"" magazines smart new frugal blog, Cheapskate.blogs.time.com.",AMERICAN ANTIQUARIAN SOCIETY,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Lauren Weber lecture/Q&A/signing
MA,185 Salisbury St.,Lauren Weber,Worcester,http://www.hachettebookgroup.com/authors_Lauren-Weber-(1517910).htm,7:30 PM,11/17/2019,http://www.hachettebookgroup.com/_images/Contributors/images_main/1517910_215x340.jpg,"Lauren Weber grew up with a father who rationed toilet paper and rarely used his car's turn signals (to prevent them from burning out). She attended Wesleyan University and was a Knight-Bagehot journalism fellow at Columbia University. Lauren was formerly a staff reporter at ""Newsday"" and Reuters, and has also written for the New York Times, Los Angeles Times, and other publications. For thrifty tips and conversation, Lauren likes to visit Getrichslowly.org, Thedailygreen.com, Homegrownevolution.com, Thesimpledollar.com and ""Time"" magazines smart new frugal blog, Cheapskate.blogs.time.com.",AMERICAN ANTIQUARIAN SOCIETY,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Lauren Weber lecture/Q&A/signing
OR,2720 NW 29th Avenue,Amy Sedaris,Portland,http://www.hachettebookgroup.com/authors_Amy-Sedaris-(1015728).htm,7:00 PM,11/22/2019,http://www.hachettebookgroup.com/_images/Contributors/images_main/1015728_215X340.jpg,"<p>AMY SEDARIS has appeared often on screen, both large and small. She's cocreator, with Stephen Colbert and Paul Dinello, of Comedy Central's hit show Strangers with Candy and half of the Obie-winning ""Talent Family"" playwright team (with her brother, David). Amy lives in Manhattan with her imaginary boyfriend, Ricky, and her pet rabbit, Dusty.</p>",POWELL'S BOOKS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Amy Sedaris Event at Bagdad Theater
GA,990 Peachtree St. NE,Mark Childress,Atlanta,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,03/08/2011,,,MARGARET MITCHELL HOUSE,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=EVENT&regionid=&duration=,Mark Childress Talk/Signing
AL,"2626 19th Place, South",Mark Childress,Birmingham,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,04:00 PM,03/14/2011,,,ALABAMA BOOKSMITH,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=EVENT&regionid=&duration=,Mark Childress Reading Event
VA,5871 Crossroads Center Way,Mark Childress,Baileys Crossroads,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,02:00 PM,03/19/2011,,,BORDERS BAILEY'S CROSSROADS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=EVENT&regionid=&duration=,Mark Childress Reading & Signing
LA,1030 Dufossat,Mark Childress,New Orleans,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,04:00 PM,03/25/2011,,,TENNESSEE WILLIAM/NEW ORLEANS LITERARY FESTIVAL,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=EVENT&regionid=&duration=,Mark Childress Panel Event
LA,1030 Dufossat,Mark Childress,New Orleans,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,02:30 PM,03/25/2011,,,TENNESSEE WILLIAM/NEW ORLEANS LITERARY FESTIVAL,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=EVENT&regionid=&duration=,Mark Childress Reading
AL,32 South Section Street,Mark Childress,Fairhope,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,06:00 PM,03/10/2011,,,PAGE & PALETTE,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
AL,1140 East Fairview Avenue,Mark Childress,Montgomery,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,02:00 PM,03/12/2011,,,CAPITOL BOOK & NEWS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
VA,145 Ednam Drive,Mark Childress,Charlottesville,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,08:00 PM,03/17/2011,,,VIRGINIA FESTIVAL OF THE BOOK,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading and Panel - signing
IL,811 Elm Street,Mark Childress,Winnetka,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,03/21/2011,,,BOOK STALL,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading and Signing
IL,150 N State St,Mark Childress,Chicago,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,12:00 PM,03/21/2011,,,BORDERS #405,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
MS,160 Courthouse Square,Mark Childress,Oxford,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,03/23/2011,,,SQUARE BOOKS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
MS,"202 Banner Hall, 4465 I55 North",Mark Childress,Jackson,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,05:00 PM,03/24/2011,,,LEMURIA BOOKS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading/Signing
CA,695 East Colorado Boulevard,Mark Childress,Pasadena,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,03/29/2011,,,VROMAN'S,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading and Signing
CA,1644 Haight Street,Mark Childress,San Francisco,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:30 PM,03/31/2011,,,BOOKSMITH,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading and Signing
CA,51 Tamal Vista Boulevard,Mark Childress,Corte Madera,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,04/01/2011,,,BOOK PASSAGE,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
CA,1501 Vermont St.,Mark Childress,San Francisco,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,02:00 PM,04/02/2011,,,BOOKS INC BERKELEY,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Meet & Greet/Reading
NC,3522 Wade Avenue,Mark Childress,Raleigh,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:30 PM,04/04/2011,,,QUAIL RIDGE BOOKS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
NC,720 Ninth Street,Mark Childress,Durham,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,04/05/2011,,,REGULATOR BOOKSHOP,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
NC,752 Martin Luther King Jr Blvd,Mark Childress,Chapel Hill,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,04/06/2011,,,FLYLEAF BOOKS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
NC,4345 Barclay Downs Drive,Mark Childress,Charlotte,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,04/07/2011,,,JOSEPH-BETH,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
SC,14427 Ocean Hwy,Mark Childress,Pawleys Island,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,11:00 AM,04/08/2011,,,LITCHFIELD BOOKS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Luncheon
NC,55 Haywood Street,Mark Childress,Asheville,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,04/09/2011,,,MALAPROPS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading/Signing
FL,265 Aragon Avenue,Mark Childress,Coral Gables,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,04/28/2011,,,BOOKS & BOOKS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
IL,266 Lake Street,Kimberla Lawson Roby,Oak Park,http://www.hachettebookgroup.com/authors_Kimberla-Lawson-Roby-(1542127).htm,04:00 PM,02/26/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1542127_215x340.jpg,"Kimberla Lawson Roby is the award-winning and New York Times bestselling author of Be Careful What You Pray For, A Deep Dark Secret, The Best of Everything, One in a Million, Sin No More, Love &amp; Lies, Changing Faces, The Best-Kept Secret, Too Much of a Good Thing, A Taste of Reality, It's a Thin Line, Casting the First Stone, Here and Now, and her self-published debut title, Behind Closed Doors. Her novels have also frequented many other bestseller lists, including those in The Washington Post, Publishers Weekly, Essence Magazine, Upscale Magazine, Emerge Magazine, Barnes and Noble, Amazon.com, Wal-Mart, The Dallas Morning News, and The Austin Chronicle to name a few. In addition, Ms. Roby received the Blackboard Fiction Book of the Year Award in 2001 for CASTING THE FIRST STONE. She is also the 2006, 2007 and 2009 recipient of the Author of the YearFemale award presented by the African-American Literary Award Show in New York, the recipient of the 1998 First-Time Author Award from Chicagos Black History Month Book Fair and Conference, her fifth novel, A TASTE OF REALITY, was a 2004 finalist for the Atlanta Choice Awards sponsored by the Atlanta Daily World, and TOO MUCH OF A GOOD THING received a 2004 Patron Choice Award from the Central Mississippi Regional Library System.&nbsp; She lives in Illinois with her husband, Will.",AFRI-WARE BOOKS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Kimberla Lawson Roby Signing
NC,4139 Park Road Shopping Center,Mark Childress,Charlotte,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,04/07/2011,,,PARK ROAD BOOKS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
