moreInfo,contactPhone,title,website,zipcode,endDate,street,state,fees,startDate,city,venueName,description,time
http://www.visitmaine.com/event/7970/wind_over_wings_at_the_maine_wildlife_park/,(207) 657-4977 x0,Wind Over Wings at the Maine Wildlife Park,"<a href=""http://www.mainewildlifepark.com/"" class=""uvt_eweb"">www.mainewildlifepark.com/</a>",04039,05/21/2011,56 Game Farm Road,ME,<p>Regular Admission Fees Apply</p>,05/21/2011,Gray,Maine Wildlife Park,"<p>Join this new-to-Maine nonprofit raptor education center to see &amp; learn more about our feathered predators. Live birds featured will include an Eastern Screech-Owl, a Peregrine Falcon (fastest animal on earth), a Red-tailed Hawk &amp; a Great Horned Owl - who will amaze you with her ability to flap her wings silently. All birds are ambassadors for their species, overcoming serious injuries to lead them into their lives in education. www.windoverwings.org</p>",<p>11am-2pm</p>
http://www.visitmaine.com/event/7925/midsummer_market_at_the_gardens_-_a_gathering_of_sustainable_choices/,(207) 633-4333,Midsummer Market at the Gardens - A Gathering of Sustainable Choices,"<a href=""http://www.MaineGardens.org"" class=""uvt_eweb"">www.MaineGardens.org</a>",04537,05/24/2011,200 Barters Island Road in,ME,<p>Free with paid admission to the Gardens: $12 adults; $10 ages 65+; $6 ages 3-17; free for children under 3 and all members.</p>,05/22/2011,Boothbay,Coastal Maine Botanical Gardens,"<p>At this multi-featured event, you&#039;ll find vendors offering sustainable and eco-friendly products of all descriptions, and environmentally sound ideas for your home and garden. Enjoy live entertainment and demonstrations, as well as the gardens at their peak. The Presenting Sponsor is the Knickerbocker Group; the Media Sponsor is Maine magazine.</p>",<p>9-4 Friday through Sunday</p>
http://www.visitmaine.com/event/2909/down_east_spring_birding_festival/,(207) 733-2233,Down East Spring Birding Festival,"<a href=""http://www.downeastbirdfest.org/"" class=""uvt_eweb"">www.downeastbirdfest.org/</a>",04652,05/30/2011,10 Commissary Point Road,ME,<p>Registration information is on our website.</p>,05/27/2011,Trescott,,"<p>Come birding &quot;Way Down East&quot; over Memorial Day Weekend to Maine&#039;s Cobscook Bay Area - &quot;one of the important bird areas in the US&quot;.  Our great variety of habitats are home to many bird species.</p><p>Bird in Moosehorn National Wildlife Refuge, Roosevelt Campobello International Park, Shackford Head and Quoddy Head State Parks, and other wildlife areas.</p><p>See two dozen warblers in their breeding plumage, boreal species, and Atlantic Puffins up close and (almost) touchable.  Participants find over 150 different birds each year.  How many will you find?</p><p>Hikes, boat trips, presentations for advanced, intermediate, and beginning birders.  Your general registration fee covers most events; some events are extra charge.</p>",<p>6:00 AM - 8:00 PM</p>
http://www.visitmaine.com/event/7971/friends_of_the_maine_wildlife_park_annual_plant_sale/,(207) 657-4977 x0,Friends of the Maine Wildlife Park Annual Plant Sale,"<a href=""http://www.mainewildlifepark.com/"" class=""uvt_eweb"">www.mainewildlifepark.com/</a>",04039,05/30/2011,56 Game Farm Road,ME,<p>Regular Admission Fees Apply</p>,05/28/2011,Gray,Maine Wildlife Park,"<p>The Friends volunteer group helps out the wildlife park in so many ways; learn more about their ongoing projects &amp; enjoy great bargains on spring plants with annual &amp; perennial flowers, vegetables &amp; floral baskets grown in their own greenhouse! Plants will be available all day each day. www.friendsofmainewildlifepark.com</p>",<p>Regular Park Hours</p>
http://www.visitmaine.com/event/7779/weekly_bird_walk/,207-288-5395,Weekly Bird Walk,"<a href=""http://www.coa.edu/dorr"" class=""uvt_eweb"">www.coa.edu/dorr</a>",04609,06/1/2011,105 Eden St.,ME,,03/30/2011,Bar Harbor,Dorr Musuem of Natural History,"<p>Leave from the George B. Dorr Museum of Natural History at College of the Atlantic, to search nearby trails and the college pier for common and uncommon birds of the region with student naturalist Anna Stunkel. Dress for the weather and bring binoculars if possible. All ages.</p>","<p>Wednesdays, March 30-June 1 from 4 to 5 p.m.</p>"
http://www.visitmaine.com/event/2150/penobscot_narrows_bridge_observatory_and_fort_knox_opens_may_1/,207-469-6553,Penobscot Narrows Bridge Observatory and Fort Knox opens May 1,"<a href=""http://fortknox.maineguide.com/"" class=""uvt_eweb"">fortknox.maineguide.com/</a>",04416,05/1/2011,Rte. 174,ME,<p>Fort Only- $3 per resident adult Fort/Observatory- $5 per resident adult  Non-resident fees slightly more</p>,05/1/2011,Prospect,Fort Knox State Historic Site,"<p>The Penobscot Narrows Bridge Observatory and the Fort Knox state historic site provide a wonderful two-for-one attraction.  Visitors to the Penobscot narrows Observatory, Ryden nor the new England&#039;s fastest elevator 420 feet up in the air for expansive views of the Penobscot Bay region.  The Observatory is the tallest bridge Observatory open to the public in the entire world.</p><p>The Fort Knox state historic site is one of the best preserved examples of 19th century seacoast fortifications in the United States.  Children and adults, love exploring the dark, twisting tunnels of the massive granite fortification.  Visitors can easily spend several hours enjoying both attractions at this location.</p>",<p>9 AM until 5 PM</p>
http://www.visitmaine.com/event/7968/a_bear_bonanza_at_the_maine_wildlife_park/,(207) 657-4977,A Bear Bonanza at the Maine Wildlife Park,"<a href=""http://www.mainewildlifepark.com/"" class=""uvt_eweb"">www.mainewildlifepark.com/</a>",04039,05/7/2011,56 Game Farm Road,ME,<p>Regular Admission Fees Apply</p>,05/7/2011,Gray,Maine Wildlife Park,"<p>Join us from 11am-2pm to see &amp; learn about black bears, brown bears &amp; even polar bears! Life-size mounts, photo &#039;opps&#039; with mascots Kennebago Bear &amp; Smokey the Bear, MDIFW bear biologists, local chainsaw artist Tim Picket carving a bear from a 10&#039; pine tree trunk; athletes from the UMaine Black Bears &amp; a variety of special Bear activities for the kids!</p>",<p>11am-2pm</p>
http://www.visitmaine.com/event/2127/downeast_adventure_race/,207-454-1031,Downeast Adventure Race,"<a href=""http://www.downeastadventurerace.org"" class=""uvt_eweb"">www.downeastadventurerace.org</a>",04619,05/7/2011,1 College Drive,ME,<p>see website at www.downeastadventurerace.org</p>,05/7/2011,Calais,Washington County Community College,"<p>The Downeast Adventure Race is an entry level multi-sport event that consists of mountain biking, whitewater canoeing, sea kayaking, running, and team challenges.</p>",<p>9:00 am to 2:00 pm</p>
http://www.visitmaine.com/event/7969/umaine_4-h_camp_at_bryant_pond/,(207) 657-4977,Umaine 4-H Camp at Bryant Pond,"<a href=""http://www.mainewildlifepark.com/"" class=""uvt_eweb"">www.mainewildlifepark.com/</a>",04039,05/14/2011,56 Game Farm Road,ME,<p>Regular Admission Fees Apply</p>,05/14/2011,Gray,Maine Wildlife Park,"<p>Looking for a great summer camp experience? Come &amp; try &#039;Geology Rocks!&#039;, &#039;Fire &amp; Forts&#039;; &amp; a &#039;Wild Things&#039; Scavenger Hunt to get a taste of the fun your kids could have at camp on Lake Christopher in western Maine. www.extension.umaine.edu/bryantpond</p>",<p>11am-2pm</p>
http://www.visitmaine.com/event/2885/moose_mainea_2011/,(207) 695-2702,Moose Mainea 2011,"<a href=""http://www.mooseheadlake.org/"" class=""uvt_eweb"">www.mooseheadlake.org/</a>",04441,06/12/2011,,ME,,05/14/2011,Greenville,,"<p>Moose Mainea 2011</p><p>Each Spring the Moosehead Lake Region hosts a month long celebation honoring the region&#039;s favorite resident - The MOOSE! Some of this year&#039;s events include: the Moose River Canoe Race, Kid&#039;s Fun Day, Moosterpiece Craft Fair and Famous Moose Tales.</p><p>Contact: 207-695-2702</p><p>Location: Moosehead Lake Region, Greenville</p>",
