price,description,fullAddress,name,moreInfoLink,venueLink,allDates
,With HoneyHoney</p>,"<span class=""street-address"">5515 Wilshire Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Xavier Rudd,http://www.laweekly.com/events/xavier-rudd-1198255/,http://www.laweekly.com/locations/el-rey-theatre-114610/,05/02/2011
,With Christina Perri</p>,"<span class=""street-address"">3790 Wilshire Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",James Blunt,http://www.laweekly.com/events/james-blunt-1173386/,http://www.laweekly.com/locations/the-wiltern-114303/,05/04/2011
,,"<span class=""street-address"">3790 Wilshire Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Ke$ha,http://www.laweekly.com/events/ke-ha-1157480/,http://www.laweekly.com/locations/the-wiltern-114303/,05/06/2011
,"The pop singer reprises his ""Spectacular Spinning Songbook,"" pickings songs for the night's set list with the help of a game-show-style roulette wheel</p>","<span class=""street-address"">3790 Wilshire Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Elvis Costello & the Imposters,http://www.laweekly.com/events/elvis-costello-and-the-imposters-1198175/,http://www.laweekly.com/locations/the-wiltern-114303/,"05/11/2011, 05/12/2011"
,,"<span class=""street-address"">800 W. Olympic Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Coheed & Cambria,http://www.laweekly.com/events/coheed-and-cambria-1169369/,http://www.laweekly.com/locations/club-nokia-380046/,05/11/2011
,,"<span class=""street-address"">1735 Vine St.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Of Montreal,http://www.laweekly.com/events/of-montreal-1170410/,http://www.laweekly.com/locations/avalon-114486/,05/14/2011
,With Kaskade</p>,"<span class=""street-address"">2301 N. Highland Ave.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Kylie Minogue,http://www.laweekly.com/events/kylie-minogue-1169317/,http://www.laweekly.com/locations/hollywood-bowl-115450/,05/20/2011
,,"<span class=""street-address"">800 W. Olympic Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",The Script,http://www.laweekly.com/events/the-script-1174626/,http://www.laweekly.com/locations/club-nokia-380046/,05/27/2011
,,"<span class=""street-address"">2695 Katella Ave.</span>;             <span class=""locality"">Anaheim</span>             <span class=""region"">CA</span>",Glee,http://www.laweekly.com/events/glee-1198242/,http://www.laweekly.com/locations/honda-center-114199/,05/27/2011
,,"<span class=""street-address"">3790 Wilshire Blvd.</span>;             <span class=""locality"">L.A.</span>             <span class=""region"">CA</span>",Lykke Li,http://www.laweekly.com/events/lykke-li-1174658/,http://www.laweekly.com/locations/the-wiltern-114303/,05/31/2011
