startdate,hours,enddate,website,title,moreInfoLink,city,address,venue,description,email,tel,zipcode,image,state
"Sep 5, 2009","Tues. and Thurs., 11 a.m.-7 p.m.; Wed., Fri., and Sat., 11 a.m.-6 p.m.","Dec 31, 2015",http://www.wattis.org,,http://www.artforum.com/guide/country=US&place=San Francisco&show=scheduled,San Francisco,"California College of the Arts, 1111 Eighth Street",CCA Wattis Institute for Contemporary Arts,<b>Tino Sehgal</b></b>,wattis@cca.edu,415,94107.0,http://www.artforum.com/uploads/location.000/id00630/location.jpg,CA
"Sep 13, 2008","Mon.-Sat., 10am&#8211;5pm; Sun., 1&#8211;5pm. Closed major holidays.","Dec 31, 2011",http://www.harvardartmuseum.org,Re-View,http://www.artforum.com/guide/country=US&place=Boston&show=scheduled,Cambridge,485 Broadway,"Arthur M. Sackler Museum, Harvard University",,,617-495-9400,2138.0,http://www.artforum.com/uploads/guide.000/id25657/exhibition.jpg,MA
"Jul 1, 2009",The Busch-Reisinger Museum is currently closed for a renovation project.,"Dec 31, 2011",http://www.harvardartmuseum.org,The Busch-Reisinger Museum is currently closed for a renovation project. Please see the entry about the Arthur M. Sackler Museum for information about works on view.,http://www.artforum.com/guide/country=US&place=Boston&show=scheduled,Cambridge,32 Quincy Street,"Busch-Reisinger Museum, Harvard University",,,617-495-9400,2138.0,http://www.artforum.com/uploads/location.000/id02510/location.jpg,MA
"Jul 1, 2009",The Fogg Museum is currently closed for a renovation project.,"Dec 31, 2011",http://www.harvardartmuseum.org,The Fogg Museum is currently closed for a renovation project. Please see the entry about the Arthur M. Sackler Museum for information about works on view.,http://www.artforum.com/guide/country=US&place=Boston&show=scheduled,Cambridge,32 Quincy Street,"Fogg Museum, Harvard University",,,617-495-9400,2138.0,http://www.artforum.com/uploads/location.000/id00522/location.jpg,MA
"Nov 21, 2009","Tuesday - Saturday 10am - 5pm, Thursday, 10 am - 8 pm, Sunday 12pm - 5pm","Dec 30, 2011",http://www.cmoa.org,Past Meets Present: Decorative Arts and Design at Carnegie Museum of Art. The reopening of the Ailsa Mellon Bruce Galleries.,http://www.artforum.com/guide/country=US&place=Pittsburgh&show=scheduled,Pittsburgh,4400 Forbes Avenue,Carnegie Museum of Art,,,1 412 6223131,15213.0,http://www.artforum.com/uploads/guide.001/id00896/exhibition.jpg,PA
"Apr 2, 2010","Thurs/Fri/Sat:  1pm - 6pm, or by appointment","27, 2010",http://www.golden-gallery.org,Mike Schuh,http://www.artforum.com/guide/country=US&place=Chicago&show=scheduled,Chicago,816 W Newport,GOLDEN,Set,jacob@golden,773-209-8889,60657.0,http://www.artforum.com/uploads/guide.001/id06369/exhibition.jpg,IL
"Apr 4, 2010",Gallery Hours: Sundays 1-4PM,"23, 2010",http://juliuscaesarchicago.com,Hans Peter Sundquist,http://www.artforum.com/guide/country=US&place=Chicago&show=scheduled,Chicago,3311 West Carroll Avenue,Julius Caesar,Seer Sucker,julius@juliuscaesarchicago.com,,60624.0,http://www.artforum.com/uploads/guide.001/id04998/exhibition.jpg,IL
"Apr 2, 2010",,"29, 2010",http://www.rootsandculturecac.org,Carson Fisk-Vittori and Michael Hunter,http://www.artforum.com/guide/country=US&place=Chicago&show=scheduled,Chicago,1034 N Milwaukee Ave,Roots &amp; Culture,Casual Object Garden and Other Material Matters,rootsandc@gmail.com,773-235-8874,60622.0,http://www.artforum.com/uploads/guide.001/id06675/exhibition.jpg,IL
"Apr 8, 2010","Thursday through Saturday, noon to six","17, 2010",http://www.westernbridge.org,Mungo Thomson,http://www.artforum.com/guide/country=US&place=Seattle&show=scheduled,Seattle,"3412 Fourth Avenue South, PO BOX 24687",Western Bridge,New Year 7,info@westernbridge.org,206-838-7444,98124.0,http://www.artforum.com/uploads/guide.001/id04616/exhibition.jpg,WA
"Apr 7, 2010","Saturdays and Sundays, 1-4pm, and by appointment","28, 2010",http://www.royalnonesuchgallery.com,21 projects x 21 days x 21 hours,http://www.artforum.com/guide/country=US&place=Oakland&show=scheduled,Oakland,4231 Telegraph Ave.,Royal NoneSuch Gallery,A community and art based social experiment. Visit www.royalnonesuchgallery.com for details.,royalnonesuchgallery@gmail.com,(415) 690-3041,94609.0,http://www.artforum.com/uploads/guide.001/id06830/exhibition.jpg,CA
"Apr 1, 2010","Monday - Friday 10am - 6pm, Saturday 12pm - 4pm","30, 2010",http://www.fabricworkshopandmuseum.org,The Fabric Workshop and Museum presents works from the permanent collection.,http://www.artforum.com/guide/country=US&place=Philadelphia&show=scheduled,Philadelphia,1214 &amp; 1222 Arch Street,The Fabric Workshop and Museum,,info@fabricworkshopandmuseum.org,215,19107.0,http://www.artforum.com/uploads/location.000/id00986/location.jpg,PA
"May 17, 2009",Thurs-Mon 11am-6pm,"Dec 31, 2012",http://www.diaart.org,Imi Knoebel,http://www.artforum.com/guide/country=US&place=Beacon&show=scheduled,Beacon,3 Beekman Street,Dia: Beacon,"24 Colors-For Blinky, 1977",info@diaart.org,845 440 0100,12508.0,http://www.artforum.com/uploads/guide.000/id23113/exhibition_large.jpg,NY
"Oct 27, 2009",Thurs-Mon 11am-6pm,"Dec 31, 2012",http://www.diaart.org,George Trakas,http://www.artforum.com/guide/country=US&place=Beacon&show=scheduled,Beacon,3 Beekman Street,Dia: Beacon,Beacon Point,info@diaart.org,845 440 0100,12508.0,http://www.artforum.com/uploads/guide.000/id20257/exhibition_large.jpg,NY
"Jan 15, 2010",Thurs-Mon 11am-6pm,"Dec 31, 2012",http://www.diaart.org,Robert Ryman,http://www.artforum.com/guide/country=US&place=Beacon&show=scheduled,Beacon,3 Beekman Street,Dia: Beacon,Reinstallation conceived by the artist,info@diaart.org,845 440 0100,12508.0,http://www.artforum.com/uploads/guide.001/id04748/exhibition_large.jpg,NY
