startDate,venue,description,endDate,website,title,cost,location,moreinfo
01/14/2011,Textile Center,"<p>A Common Thread, Textile Center's annual members' show, runs from Jan. 14 &ndash; Feb. 26.&nbsp; The Opening Event is Jan. 14 at 6 p.m. and features a light supper followed by the annual member's meeting at 7. This exhibition features more than 90 talented local, regional, and national fiber artists.&nbsp; Every year, art collectors and fiber artists look forward to this exhibition where the world of textile tradition and the world of &quot;no rules apply&quot; converge.&nbsp;</p></p>",02/26/2011,http://www.textilecentermn.org,A Common Thread 2011 - Textile Center Annual Members' Exhibition,Free,"3000 University Ave. SE, Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=2&endyear=2011&startday=1&startmonth=2&startyear=2011&view=view_event&itm=6531
01/15/2011,Hennes Art Company,"<p class=""event-description"">Greg Hennes has been in the art business for 25 years.  He has assembled a grouping of artists to exhibit who have been influential over the past 25 years.  Check the web site for updated list of those artists being presented.</p>",03/05/2011,http://www.hennesart.com,25 Year - 25 Artists,Free,"1607 Hennepin Ave., Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=2&endyear=2011&startday=1&startmonth=2&startyear=2011&view=view_event&itm=6672
01/10/2011,Christensen Center Art Gallery,"<p><em><strong>A Reasonable Facsimile</strong></em><br /><br />Christensen Center Art Gallery<br />January 10 &ndash; February 25, 2011</p><p>In the midst of the millions of text messages sent each day, a group of twelve photographers took eight months to play a visual game of telephone using the U.S. Postal Service. The curator of the project, Michelle Westmark, began the photo chain by sending a 4&quot;x 6&quot; postcard version of her image to be interpreted by the next photographer on the list. This artist had a two-week window to photographically respond to the image's subject, content or formal elements and pass a postcard of the new image along, creating a visual and tactile conversation that progressed around the country. While so much of our globally digitalized world speeds along, <em>A Reasonable Facsimile</em> pauses to find connections within a variety of locations and lenses.<br /><br />Photographers included in the exhibition are Michelle Westmark (MN), Conor King (CO), Lindsay Borden (WA), Sarah Christianson (CA), Yasmin Etemadi (CA), Sarah Baron (NC), Sarah Stacke (NY), Salma Khalil (DE), Rachel Loischild (MA), Jason Flack (MA), Carl Sweets (IL), and Brett Kallusky (MN).<br /><br />Michelle Westmark received her B.A. from Bethel University and her M.F.A. from Pratt Institute where she studied photography.&nbsp; She is currently the Gallery Director and an Assistant Professor of Art at Bethel University.<br /><br />www.facsimileproject.com<br /><br />  Reception: Friday, January 21, 5:30 p.m.&ndash;7:30 p.m.<br />  <br />  Artist Talk: Friday, January 21, 9 a.m.<br />  Room 6, Old Main, Augsburg College</p><p>Gallery Hours:&nbsp; <br />Monday&ndash;Friday, 8 a.m.&ndash;8 p.m.; Saturday and Sunday, 9 a.m.&ndash; 5 p.m.<br />&nbsp;</p></p>",02/25/2011,http://www.augsburg.edu/galleries  /  www.facsimileproject.com,A Resonable Facsimile,Free and open to the public,"Main floor, Christensen Center 22nd Ave. S. at 7 ½ St., Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=2&endyear=2011&startday=1&startmonth=2&startyear=2011&view=view_event&itm=6738
01/21/2011,Groveland Annex,"<p><em>Force of Luminosity</em>, an exhibition of new landscape paintings by Minneapolis artist James Conaway opens January 21 at the Groveland Annex. </p><p>Conaway, a former Hamline University professor, taught studio art and art history for over three decades. He is now a full-time artist with a studio in the Minneapolis warehouse district. He has been represented by Groveland Gallery for over 11 years, and has exhibited his work extensively throughout the United States, including the Walker Art Center, the Milwaukee Art Museum, and the Scottsdale Center for the Arts.</p><p>Conaway is an avid world-traveler, and his paintings draw upon the varied landscapes he has visited during his travels. His interest in topography, season, and light provides a rich combination for his painterly, pastoral scenes: golden, autumnal pastures, sky-blue rivers beneath pinky sunrises and tree groves casting shadows on ruddy hillsides. His idealized landscapes, often painted on old, weathered pieces of wood, create a unique dialogue between the imagined trees of his painted forests and the weighty material on which he is painting. Though his landscapes do not depict real places, they are rooted in Conaway&rsquo;s real experiences of the land, water, and skies in Minnesota and beyond.</p><p>The artist will be present at the opening reception on Friday, January 21 from 5-8 p.m. The exhibition runs concurrently with <em>Presence</em>, an exhibition by Joyce Lyons and Carl Oltvedt in the main gallery.</p></p>",02/26/2011,http://www.grovelandgallery.com,James Conaway – Force of Luminosity,Free,"25 Groveland Terrace, Mpls., MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=2&endyear=2011&startday=1&startmonth=2&startyear=2011&view=view_event&itm=6630
01/21/2011,Groveland Gallery,"<p>Groveland Gallery is pleased to announce an exhibition of new drawings by Minnesota artists Joyce Lyon and Carl Oltvedt. Oltvedt and Lyon approach their plein-air landscape drawings in a  similar manner. For each of these artists, the process of drawing is as  important as the drawing itself &ndash; &ldquo;translating experience into drawing,&rdquo;  as Lyon explains. Capturing the &ldquo;feeling&rdquo; of a place through carefully  composed compositions and the subtleties of line lends a quiet intensity  to Lyon&rsquo;s haunting groves of twisted olive trees and Oltvedt&rsquo;s soft,  dewy pastures.</p><p>Lyon, a New York native and an associate professor at the University of Minnesota, was a founding member of the Women&rsquo;s Art Registry of Minnesota (WARM). She is the recipient of three Minnesota State Arts Board Fellowships, as well as a Jerome/MCBA grant. Her work is in public and private collections nationally, including the Florida Holocaust Museum, the Minneapolis Institute of Arts, the Walker Art Center, and the Weisman Art Museum.</p><p>A Minneapolis native, Carl Oltvedt is a professor at Minnesota State University at Moorhead, where he has taught for nearly 30 years. His work is included in the permanent collections of the Honolulu Academy of Arts, the North Dakota Museum of Art, the Minnesota Museum of American Art, the Minneapolis Institute of Art, the Minnesota State Historical Society, and the Plains Art Museum.</p><p>The artists will be present at the opening reception Friday, January 21 from 5-8 p.m. This opening reception and exhibition run concurrently with the exhibition in the Groveland Annex, <em>Force of Luminosity</em>, by James Conaway.</p></p>",02/26/2011,http://www.grovelandgallery.com,"Joyce Lyon & Carl Oltvedt Exhibit – ""Presence""",Free.,"25 Groveland Terrace, Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=2&endyear=2011&startday=1&startmonth=2&startyear=2011&view=view_event&itm=6628
01/10/2011,"Christensen Center Art Gallery, Main floor","<p>In the midst of the millions of text messages sent each day, a group of twelve photographers took eight months to play a visual game of telephone using the U.S. Postal Service. The curator of the project, Michelle Westmark, began the photo chain by sending a 4&quot;x 6&quot; postcard version of her image to be interpreted by the next photographer on the list. This artist had a two-week window to photographically respond to the image's subject, content or formal elements and pass a postcard of the new image along, creating a visual and tactile conversation that progressed around the country. While so much of our globally digitalized world speeds along, <em>A Reasonable Facsimile</em> pauses to find connections within a variety of locations and lenses.<br /><br />Photographers included in the exhibition are Michelle Westmark (MN), Conor King (CO), Lindsay Borden (WA), Sarah Christianson (CA), Yasmin Etemadi (CA), Sarah Baron (NC), Sarah Stacke (NY), Salma Khalil (DE), Rachel Loischild (MA), Jason Flack (MA), Carl Sweets (IL), and Brett Kallusky (MN).<br /><br />Michelle Westmark received her B.A. from Bethel University and her M.F.A. from Pratt Institute where she studied photography.&nbsp; She is currently the Gallery Director and an Assistant Professor of Art at Bethel University.<br /><br />www.facsimileproject.com<br /><br />  Reception: Friday, January 21, 5:30 p.m.&ndash;7:30 p.m.<br />  <br />  Artist Talk: Friday, January 21, 9 a.m.<br />  Room 6, Old Main, Augsburg College</p><p>Gallery Hours:&nbsp; <br />Monday&ndash;Friday, 8 a.m.&ndash;8 p.m.; Saturday and Sunday, 9 a.m.&ndash; 5 p.m.<br />&nbsp;</p></p>",02/25/2011,http://www.augsburg.edu/galleries,A Reasonable Facsimile,Free and open to the public.,"Christensen Center 22nd Ave. S. at 7 ½ St., Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=11&endmonth=1&endyear=2011&startday=11&startmonth=1&startyear=2011&view=view_event&itm=6738
09/14/2010,Landmark Center,"<p>Landmark Center and Saint Paul City Ballet have once again joined together to create Ballet Tuesdays, a free ballet program on the second Tuesday of the month from September 14, 2010 until May 10, 2011. The performances will take place over the lunch hour and guests can bring a bag lunch or purchase lunch at Anita&rsquo;s Caf&eacute;, located on the south end of Landmark Center&rsquo;s cortile. The series is free and open to the public.</p>  <p class=""style2"">Throughout this nine-month series, The St. Paul City Ballet&rsquo;s Company of dancers will perform excerpts from their holiday show, <em>The Enchanted Toy Shop</em>, <em>The Sleeping Beauty</em> and <em>Cinderella</em>. To start off the series, on September 14, 2010, The St. Paul City Ballet will begin with a performance that has an educational emphasis, which showcases choreographed barre, center, and pointe work. Visit <a href=""http://www.landmarkcenter.org"" target=""_blank"">www.landmarkcenter.org</a> for the latest details on Ballet Tuesdays.</p></p>",05/10/2011,http://www.landmarkcenter.org,Ballet Tuesday,Free.,"75 West 5th St., St. Paul, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=11&endmonth=1&endyear=2011&startday=11&startmonth=1&startyear=2011&view=view_event&itm=6123
01/15/2011,Hennes Art Company,"<p>Greg Hennes has been in the art business for 25 years. To reflect this feat, he has assembled a group of artists who have also been influential over the past 25 years to form an exhibit with him.  Check the website for updated list of those artists being presented.</p><p>Closed Sundays.</p></p>",03/05/2011,http://www.hennesart.com,25 Year - 25 Artists,Free,"1607 Hennepin Ave., Mpls., MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=3&endyear=2011&startday=1&startmonth=3&startyear=2011&view=view_event&itm=6672
01/18/2011,Chicago Avenue Fire Arts Center,"<p>The Chicago Avenue Fire Arts Center is pleased to announce its Winter 2011 class schedule including classes in welding, blacksmithing, jewelry, and electronics.  Find complete descriptions and register online at www.cafac.org or by calling 612-294-0400.</p><p class=""MsoNormal"">&nbsp;</p></p>",03/31/2011,http://www.cafac.org,Chicago Avenue Fire Arts Center Winter Classes,Prices range from $80 to $400 per class,"3749 Chicago Ave., Mpls., MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=3&endyear=2011&startday=1&startmonth=3&startyear=2011&view=view_event&itm=6790
02/11/2011,Lyric Arts Main Street Stage,"<p>Proud to shine the spotlight on its own diverse mix of ever-talented  artists, Lyric Arts will once again present this jubilant celebration of  eclectic musical styles depicting a timeless Old Testament tale. <em>Joseph </em>holds  a special place of honor as the first musical produced on the Main  Street Stage. Just as Joseph&rsquo;s coat dazzles with its vibrant array of  colors, Lyric Arts celebrates 10 years of an array of dazzling memories  on the Main Street Stage.</p></p>",03/13/2011,http://www.lyricarts.org,Joseph and the Amazing Technicolor Dreamcoat,,"420 East Main St., Anoka, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=3&endyear=2011&startday=1&startmonth=3&startyear=2011&view=view_event&itm=6079
