moreInfoLink,allDates,image,state,venueName,description,price,city,address,name
http://www.phoenixnewtimes.com/events/matt-wertz-2152888/,04/18/2011,,AZ,Martini Ranch,With Ben Rector.</p>,$15-$17,Scottsdale,7295 E. Stetson Dr.,Matt Wertz
http://www.phoenixnewtimes.com/events/the-chili-sauce-2159255/,04/18/2011,,AZ,The Lost Leaf,,,Phoenix,914 N. 5th St.,The Chili Sauce
http://www.phoenixnewtimes.com/events/the-joy-formidable-2112305/,04/19/2011,,AZ,Rhythm Room,,$12-$14,Phoenix,1019 E. Indian School Rd.,The Joy Formidable
http://www.phoenixnewtimes.com/events/css-2129415/,04/19/2011,,AZ,The Venue Scottsdale,,$18-$20,Scottsdale,7117 E. 3rd Ave.,CSS
http://www.phoenixnewtimes.com/events/us-army-field-concert-band-and-soldiers-chorus-2100864/,04/20/2011,,AZ,Del E. Webb Center for the Performing Arts,,,Wickenburg,1090 S. Vulture Mine Rd.,US Army Field Concert Band & Soldiers Chorus
http://www.phoenixnewtimes.com/events/pinback-2129414/,04/20/2011,,AZ,Clubhouse Music Venue,,$15-$16,Tempe,1320 E. Broadway Rd.,Pinback
http://www.phoenixnewtimes.com/events/jeordie-and-friends-2153872/,04/23/2011,,AZ,Barnes & Noble Stage at Tempe Marketplace,,,Tempe,2000 E. Rio Salado Pkwy.,Jeordie & Friends
http://www.phoenixnewtimes.com/events/amon-amarth-2136960/,04/25/2011,,AZ,Nile Theater,,$18,Mesa,105 W. Main St.,Amon Amarth
http://www.phoenixnewtimes.com/events/joe-purdy-2123467/,04/27/2011,,AZ,Rhythm Room,,$17,Phoenix,1019 E. Indian School Rd.,Joe Purdy
http://www.phoenixnewtimes.com/events/something-else-2159259/,04/29/2011,,AZ,The Lost Leaf,,,Phoenix,914 N. 5th St.,Something Else
http://www.phoenixnewtimes.com/events/grains-of-sand-2153884/,04/30/2011,,AZ,Barnes & Noble Stage at Tempe Marketplace,,,Tempe,2000 E. Rio Salado Pkwy.,Grains of Sand
http://www.phoenixnewtimes.com/events/knee-deeep-experience-2153903/,04/30/2011,,AZ,District Stage at Desert Ridge Marketplace,,,Phoenix,21001 N. Tatum Blvd.,Knee Deeep Experience
http://www.phoenixnewtimes.com/events/ron-pope-2149462/,04/30/2011,,AZ,Hard Rock Cafe,"With Ari Herstand, & Zach Berkman.</p>",$12,Phoenix,3 S. 2nd St.,Ron Pope
http://www.phoenixnewtimes.com/events/sierra-leoneand-146-s-refugee-all-stars-1757813/,04/30/2011,,AZ,Chandler Center for the Arts,,$28-$36,Chandler,250 N. Arizona Ave.,Sierra Leone&#146;s Refugee All Stars
http://www.phoenixnewtimes.com/events/home-jones-2159253/,04/30/2011,,AZ,The Lost Leaf,,,Phoenix,914 N. 5th St.,Home Jones
http://www.phoenixnewtimes.com/events/chandler-symphony-orchestra-1757827/,05/01/2011,,AZ,Chandler Center for the Arts,,"free, but donations accepted",Chandler,250 N. Arizona Ave.,Chandler Symphony Orchestra
http://www.phoenixnewtimes.com/events/william-fitzsimmons-2123465/,05/04/2011,,AZ,Martini Ranch,With Slow Runner.</p>,$15,Scottsdale,7295 E. Stetson Dr.,William Fitzsimmons
http://www.phoenixnewtimes.com/events/willie-and-lobo-2099550/,05/06/2011,,AZ,Rhythm Room,,$25,Phoenix,1019 E. Indian School Rd.,Willie & Lobo
http://www.phoenixnewtimes.com/events/brooke-fraser-2158991/,05/19/2011,,AZ,Martini Ranch,,$15-$17,Scottsdale,7295 E. Stetson Dr.,Brooke Fraser
http://www.phoenixnewtimes.com/events/voodoo-glow-skulls-2123463/,05/19/2011,,AZ,Rhythm Room,,$12-$14,Phoenix,1019 E. Indian School Rd.,Voodoo Glow Skulls
http://www.phoenixnewtimes.com/events/reba-russell-band-2099551/,05/29/2011,,AZ,Rhythm Room,,$10,Phoenix,1019 E. Indian School Rd.,Reba Russell Band
http://www.phoenixnewtimes.com/events/allo-darlin-2136596/,05/31/2011,,AZ,Rhythm Room,,$8-$10,Phoenix,1019 E. Indian School Rd.,Allo Darlin'
http://www.phoenixnewtimes.com/events/al-jarreau-2153862/,06/02/2011,,AZ,Ovations Live! Showroom at Wild Horse Pass Hotel & Casino,,$40-$95,Chandler,5040 Wild Horse Pass Blvd.,Al Jarreau
http://www.phoenixnewtimes.com/events/orange-goblin-2149474/,06/05/2011,,AZ,Clubhouse Music Venue,"With The Gates of Slumber, & more.</p>",$16,Tempe,1320 E. Broadway Rd.,Orange Goblin
http://www.phoenixnewtimes.com/events/tech-n9ne-2141407/,06/13/2011,,AZ,Marquee Theatre,,$33-$35,Tempe,730 N. Mill Ave.,Tech N9ne
http://www.phoenixnewtimes.com/events/bruno-mars-and-janelle-monae-2149451/,06/15/2011,,AZ,Comerica Theatre,,$25-$32,Phoenix,400 W. Washington St.,"Bruno Mars, & Janelle Monae"
http://www.phoenixnewtimes.com/events/krishna-das-2152889/,06/17/2011,,AZ,Marquee Theatre,,$35-$45,Tempe,730 N. Mill Ave.,Krishna Das
http://www.phoenixnewtimes.com/events/the-black-lips-2159002/,06/22/2011,,AZ,Rhythm Room,With Cerebral Ballzy.</p>,$13-$15,Phoenix,1019 E. Indian School Rd.,The Black Lips
