time,photo,description,venue,address,startDate,endDate,email,website,event,phone,moreInfo,cost
6:30pm - 7:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=13942,,Aloha Activity Center,"725 Kapiolani Blvd. C101, HI",04/17/2010,12/28/2013,hawaiieventsonline@wannahula.com,http://www.WannaHula.com,FUN Hula &amp; Tahitian Lessons,(808) 677-7341,http://www.hawaiieventsonline.com/view.php?eventID=13942,See ht...
3:00pm - 6:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=11945,"Kama'aina surf lessons.  Board, leash, and rash guard included.  Bring the kids.  Sunscreen and swimsuit is all you need.",White Plains or Kaisers,"Coral Sea Rd. and Eisenhower Rd.  Kapolei, HI.",05/02/2010,12/04/2011,info@GirlsWhoSurf.com,http://www.GirlsWhoSurf.com,Girls Who Surf,(808) 371-8917,http://www.hawaiieventsonline.com/view.php?eventID=11945,$50/pe...
3:00pm - 7:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16634,A variety of locally made products and locally grown fruits and vegetables.,one block ewa of Keeaumouku,"1391 Keeamouku St. Honolulu, HI 96814",04/16/2010,12/30/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16634,Free
10:00am - 2:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16633,A variety of locally made products and locally grown fruits and vegetables.,One block ewa of Keeaumouku St.,"1391 Kapiolani Blvd. Honolulu, HI 96814",04/22/2010,12/29/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16633,Free
6:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=13968,"Ali Garcia Performs Music from Mexico, Central America, South America, and more. <br /> <br /> Mexico Restaurant was listed in the Honolulu Advertiser's 2007-2008 Best Restaurants Guide.<br /> <br /> http://the.honoluluadvertiser.com/specials/bestrestaurants07/restaurant?id=186",Mexico Restaurant,"1247 N. School Street,  Honolulu, HI 96817",04/22/2010,12/19/2013,aligarciamusic@aol.com,http://www.myspace.com/aligarciamusic,Acoustic Latin Music,(415) 418-4203,http://www.hawaiieventsonline.com/view.php?eventID=13968,Free
9:00pm - 11:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=13701,John Valentine performing &amp; hosting open mic. in Haleiwa. Enjoy live music &amp; if you have talent bring your instrument &amp; do a couple of tunes yourself or sit in with John.,Breakers Hawaii,"Haleiwa, HI",04/22/2010,09/22/2011,,http://www.johnvalentine.biz,Breakers Restaurant &amp; Bar,,http://www.hawaiieventsonline.com/view.php?eventID=13701,Free
5:15pm - 6:15pm,http://www.hawaiieventsonline.com/viewpic.php?id=10928,"Aikido classes with The Aikido Ohana at the Higashi Hongwanji Mission of Hawai'i. The Aikido Ohana is a 501c3 non-profit organization dedicated to the practice of Aikido in a friendly and open environment since 1981. The Aikido Ohana is affiliated with the Aikikai Foundation - Aikido World Headquarters in Tokyo, Japan. Information: Chris Li, 221-8656 or www.aikidoohana.org",Higashi Hongwanji Mission of Hawai'i,"1685 Alaneo Street,  Honolulu HI 96817-2915",04/16/2010,12/30/2011,chrisli@bridge1.com,http://www.aikidoohana.org/,Beginner's Aikido classes with The Aikido Ohana,(808) 221-8656,http://www.hawaiieventsonline.com/view.php?eventID=10928,$20/mo...
6:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14394,<br />   <br />   <br />   <br />   <br />,Mexico Lindo  Restaurant,"600 Kailua Rd # 109  ,  (by Kailua Times Supermarket),  Kailua, HI 96734,  (808) 263-0055",04/18/2010,02/03/2013,aligarciamusic@aol.com,http://www.myspace.com/aligarciamusic,Live Latin Music- Mexico Lindo Kailua,(415) 418-4203,http://www.hawaiieventsonline.com/view.php?eventID=14394,Free
4:00pm - 10:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=13079,"Kenshikan Dojo: Budo (martial art) Classes<br /> <br /> Martial arts such as aikido, karate, kendo and more. Classes occur throughout the year. For more information, call the JCCH at (808) 945-7633, ext. 33 or email info@jcch.com.",Japanese Cultural Center of Hawai'i - Kenshikan Dojo,"2454 S. Beretania St.,  Honolulu, HI 96826",04/16/2010,11/29/2012,info@jcch.com,http://www.jcch.com,Martial Art Classes at the JCCH,(808) 945-7633,http://www.hawaiieventsonline.com/view.php?eventID=13079,Differ...
10:00am - 4:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=12749,"Mission Houses Museum - A National Historic Landmark.<br /> The Mission Houses Museum connects the story of the American Protestant missionaries and their descendants to the history and culture of Hawai'i, in order to give present generations of residents and visitors a deeper understanding of, and appreciation for, Hawai'i's rich and complex history.<br /> <br /> Come and pay us a visit at the Mission Houses Museum. You will have the opportunity to visit 3 of Hawai'i's Historical Houses built between 1821 - 1841. Go on a guided tour through these historical houses with our knowledgeable and trained docents and listen to the stories of events that occured in Hawai'i in the 19th century.",Mission Houses Museum,"553 S. King Street,  Honolulu, HI 96813",04/16/2010,12/29/2012,kraquedan@missionhouses.org,http://www.missionhouses.org,Mission Houses Museum,(808) 531-0481,http://www.hawaiieventsonline.com/view.php?eventID=12749,HOUSE ...
10:00am - 1:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=15649,Satura Cakes Ward Center<br /> Every Saturday 10:0am - 1:00pm<br /> Casual games.  Free lessons.  All levels and Hikaru no Go fans welcome.  call 833-2540 or 398-6861,Satura Cakes,"Ward Center, HI",04/17/2010,12/27/2014,,,Go/Weiqi/Baduk (Asian Board Game),,http://www.hawaiieventsonline.com/view.php?eventID=15649,Free
8:30pm - 11:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=5588,"First Thursdays is the largest poetry slam in the world (with 600+ in attendance).  Each month, the event offers $100 in cash prizes to the winner, and features Hawaii's best performance poets, live musicians, MC's, and live painters.  In addition, featured DJ's offer up turntable bliss to keep the night flowing smoothly.  Open to all poets and performers.<br /> <br /> To get on our email list to find out who will be featuring at First Thursdays, email us at info@HawaiiSlam.com or call us at (808) 387-9664.",Fresh Cafe,"831 Queen Street (@ intersection with Cooke Street), HI",05/06/2010,12/04/2014,Info@HawaiiSlam.com,http://www.hawaiislam.com,First Thursdays: $100 Slam Poetry Competition and Open Mic,(808) 387-9664,http://www.hawaiieventsonline.com/view.php?eventID=5588,Admiss...
1:00pm - 2:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14278,Join a group of fellow learners to explore the wonders and teaching of A Course In Miracles (ACIM) books. This group meets every Sunday on an ongoing basis.,Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",04/18/2010,12/29/2013,david@unityhawaii.org,http://unityhawaii.org,A Course In Miracles Sunday afternoon study group,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14278,Free
