time,description,venue,address,startDate,endDate,photos,title,website,phone,moreInfoLink,cost
,"Winner of Nickelodeon's Parents' Pick Award for &quot;Best Children's Theater in Los Angeles,&quot; and named &quot;Best of LA&quot; by LA Parent and Los Angeles Magazines, now in its 7th year, the critically acclaimed &quot;A Faery Hunt&quot; is one of the most loved family shows in Los Angeles. The original tales carry simple but often forgotten life-messages including kindness, forgiveness, respect for nature, and tolerance. With the help of the faery folke, the children embark on an exciting adventure to assist the faeries on a quest for the Faery Royalty. In a gentle and fun way, the audience actually become part of the story.     The shows are for children, boys and girls, and the young-at-heart. Most of the children come in costume -- it is not required faery fun. There is something in the show for the whole family -- beautiful faeries for the girls, action scenes for the boys and topical humor for the parents.  All shows start at 10:30 a.m.  Reservations suggested.     Birthdays and Groups are welcomed.  Ask us about our birthday parties!    March Schedule  Saturday March 19 O'Melveny Park, Granada Hills  &quot;King of the Faeries&quot; story  Saturday March 26, Griffith Park, Los Angeles    April Schedule  Sunday April 3, Crestwood Hills Park,   Crestwood Hills Park, 1000 Hanley Ave, Los Angeles, CA 90049  Saturday April 9, Griffith Park, 2333 Fern Dell Place, Los Angeles, CA 90068  Saturday April 16 O'Melveny Park, 17300 Sesnon Blvd., Granada Hills, CA 91344  Saturday April 30, Corriganville Park, Corriganville Park, 7001 Smith Road, Simi Valley, CA 93063      May Schedule  Sunday May 8, Crestwood Hills Park,   Crestwood Hills Park, 1000 Hanley Ave, Los Angeles, CA 90049 - Special Mother's Day Show  Saturday May 14, Durant Library,   7140 W. Sunset Boulevard   Los Angeles, CA  -- near La Brea  (323) 876-2741   2:00 p.m. show - Free     Saturday May 21, Griffith Park, 2333 Fern Dell Place, Los Angeles, CA 90068      All shows start at 10:30 a.m. except library show which starts at 2:00 p.m.  Tickets are $12.50-$15.00 unless otherwise indicated.",,"Crestwood Hills Park, 1000 Hanley Avenue, Brentwood, CA 90049; Griffith Park, 2333 Fern Dell Place,",02/13/2011,04/30/2011,http://www.eyespyla.com/www/thebuzz.nsf/faeryHuntFeb2011-200.jpg,A FAERY HUNT,http://www.afaeryhunt.com,818-324-6802,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/5f8c4841e3ab2798852578340074538a!OpenDocument,$12.50 - $15.00</font>
Fri and Sat 8pm Sun 3pm,"6 WICKEDLY FUNNY ONE-ACTS - All in the Timing is a collection of  comic one acts by David Ives.  Ives, a native of  Chicago is one of Americas' premier playwrights working in short form.  David Ives's six short plays that comprise All in the Timing are built on snappy patter, quick-fire timing,  inspired gibberish and paradoxical plot quirks, and it takes a quick-witted and nimble audience to keep up with Mr. Ives' unique take of the universe.  Crown City Theatre is using 2 different directors each tackling 3 one acts apiece to keep up with the merriment.",Crown City Theater,"11031 Camarillo Street, North Hollywood, 91602",03/24/2011,05/01/2011,http://www.eyespyla.com/www/thebuzz.nsf/allinthetiming150.jpg,ALL IN THE TIMING,http://www.brownpapertickets.com/event/162399,818-605-5685,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/ff9eaff2d0e05a058525785500477ba6!OpenDocument,$25 gen adm. $15 students/seniors</font>
,"This show explores the world of four older gay men who are unhealthily obsessed with the famous foursome. Thanks to their equally dysfunctional therapist, they are able to explore their obsession through a novel new therapy. Through the process, they are also able to search their shallow souls for answers to other questions facing older gay men, the answers often coming in the form of a show tune from the decades familiar to thirty-somethings and above.    The neighborhood is full of nightspots for before Theatre dining and after Theatre libations.    Widestance Productions first brought these men who resemble women to life in September of 2009 with quick comeback in Los Angeles in January so they could tune up to take the show to larger venues in Palm Springs and Miami. The show received accolades from critics and the Public alike and was a BroadwayWorld.com People&#8217;s Choice Award winner in two categories (best ensemble, best new work). All previous performances were sold out. This show, originally written over ten years ago has shed a character and a few unneeded lines for this new rendering. This version will be directed by Sean Riley and the Musical Director is Anthony Starble.",,The Meta Theatre 7801 Melrose Avenue Los Angeles 90038,03/04/2011,05/01/2011,http://www.eyespyla.com/www/thebuzz.nsf/goldengays200.jpg,THE GOLDEN GAYS (DRAG MUSICAL SPOOF OF GOLDEN GIRLS),http://www.thegoldengays.com,424-298-9100,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/2aa46dfd6e3aa0398525783b002623c6!OpenDocument,37.50</font>
3:00PM - 10:00PM,"An epic true story set against the backdrop of one of the wildest places on Earth, African Cats captures the real-life love, humor and determination of the majestic kings of the savanna. Narrated by Oscar®-nominated actor Samuel L. Jackson, the story features Mara, an endearing lion cub who strives to grow up with her mother&#8217;s strength, spirit and wisdom; Sita, a fearless cheetah and single mother of five mischievous newborns; and Fang, a proud leader of the pride who must defend his family from a rival lion and his sons. Disneynature brings &#8220;The Lion King&#8221; to life on the big screen in this True Life Adventure directed by Keith Scholey and Alastair Fothergill (&#8220;Earth&#8221;). An awe-inspiring adventure blending family bonds with the power and cunning of the wild, &#8220;African Cats&#8221; comes to Regal Cinemas L.A. LIVE on Earth Day, April 22, 2011.",Regal Cinemas L.A. LIVE,"1000 W. Olympic Blvd., Los Angeles, CA 90015",04/22/2011,,,AFRICAN CATS,http://www.fandango.com/africancats_137818/movietimes?date=4/22/2011,</font>,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/62999e37acf65e9d852578700063e3e5!OpenDocument,
FRIDAYS at 11:00pm,"Schmutzigen Deutsche Kabarett    Zombie Joe's Underground Theatre Group and Miss Amanda Marquardt revives the spirit of the Berlin stage between the two World Wars through a swift, sleek, rambunctious display of Cabaret stage performance.  An all new late night Dirty German Cabaret!    The 32nd Annual L.A. Weekly Theater Awards Nominates Schmutzigen Deutsche Kabarett BEST Musical Ensemble &amp; Direction &amp; Best Female Comedy    SHOW EXTENDED into April!    Every FRIDAY @ 11pm  April 8th thru April 22nd    Zombie Joe's Underground Theatre Group at Z.J.U.  4850 Lankershim Blvd North Hollywood CA 91601  (Just north of 101-134 Fwys across from KFC)    Reservations: (818) 202 - 4120  Tickets $15 Cash/MC/Visa/Debit card accepted at door       - Doors open at 10:30pm   - Come relax in our luxurious lounge   - No food or drink inside   - Take the Red Line to North Hollywood Subway Station mta.net   - Plenty of street parking   - Allow 5 minutes for seating",Zombie Joe's Underground Theatre Group at ZJU,"4850 Lankershim Blvd,North Hollywood,91601",04/08/2011,04/22/2011,,SCHMUTZIGEN DEUTSCHE KABARETT,http://ZombieJoes.com,818-202-4120,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/60719536419d353f8525783e000f4bb4!OpenDocument,Tickets $15 Cash/MC/Visa/Debit card accepted at door</font>
8PM,"Jan Michael Alejandro, Mike Rademaekers, Secret Rose Theatre &amp; Nail Soup Productions Presents: MonoSlam 2011 Finals    With 100.3 FM The Sound's   Mimi Chen  as Mistress of Ceremonies    Finalists: Gillian Bellinger, Dan Berkowitz,  Kelly Hawthorne, Edgar Mastin, Bill Ratner,  Kieran Roberts, Brad Schreiber, Art Shulman, Alia Spring,  Isabella Spring, David St. James, Elizabeth Wu, Jade Yancosky    Special Guest Performances by: Lacey Anzelc (&#8220;Letecia&#8221; by J.M. Alejandro) &amp; Mark Gordon performing an original comedy&#8230;    MonoSlam Judges: Charlotte Crossley, Scott Guy, Alison Eliel-Kalmus, Scott Guy, Ellen Shipley Lee Wochner,    Featuring musician: Leslie Spring    Saturday, April 23    8:00 PM Curtain  Box office opens at 6:45PM    Tickets available at the door on a first come, first served basis    $10 - CASH ONLY PLEASE    Street parking.",The Secret Rose Theatre,"11246 Magnolia Blvd. North Hollywood, CA 91601",04/23/2011,,,SECRET ROSE THEATRE &amp; NAILSOUP PROD PRESENTS MONOSLAM 2011 FINALS,http://www.secretrose.com,1-877-620-ROSE (7673),http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/de3e4b07398ec81185257878001329df!OpenDocument,$10.00</font>
8:30 pm - 9:30pm,"Internationally acclaimed Iranian play coming to Los Angeles, two nights only!    SILKEN VEILS, a touching blend of Rumi poetry, puppetry, animation and live performance, will be presented by Highways Performance space in Santa Monica this Friday and Saturday only at 8:30pm.  Tickets are only $15/$20.      SILKEN VEILS  is the story of Darya, an Iranian émigré, who questions the value of love while reliving the turbulence and passion of her childhood in Iran during the Revolution of 1979 and the Iran/Iraq War.  The show has been  presented at  the Iranian Theater Festival in New York  where it was featured on BBC Persian and the Leonard Lopate Show of WNYC, and also at the prestigious 2010 Edinburgh Fringe Festival, the world's largest theater festival, where is was nominated for Best New Work.    &#8220;...an incredible piece of theatre...Silken Veils is a stand-out piece with an amazing story and vision.&#8221; &#8212;LA Theatre Review    &quot;Magical and Enchanting, a joy to watch!  5 stars!&quot; - The Scotsman  &#8220;A moving story line that carries the audience along...&#8221; -Broadway Baby     Be sure not to miss this poignant heart rendering tale of love, loss and the joys of hope.",Highways Performance Space,"1651 18th St., Santa Monica CA, 90404",04/22/2011,04/23/2011,,SILKEN VEILS,http://Silkenveils.net,,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/79672e23b46679ba85257876007cebdb!OpenDocument,$15/$20</font>
Fri &amp; Sat 8PM and Sun 2PM,"COPENHAGEN  By Playwright Michael Frayn  Directed by Lewis Hauser  March 25th &#8211; April 23rd, 2011  Fri, Sat 8PM &amp; Sunday 2PM     &quot;Copenhagen&quot; by Michael Frayn, tells the story of renowned physicist, Werner Heisenberg, who made a strange trip to Copenhagen in 1941 to see his old colleague and friend, Niels Bohr, and his wife, Margrethe. The meeting was fraught with danger and embarrassment, and ended in disaster. Winner of the 2000 Tony Award for Best New Play, &quot;Copenhagen&quot; is a profound and haunting exploration of history, science and the human spirit.     ATTIC THEATRE &amp; FILM CENTER  5429 W. Washington Blvd  Los Angeles, CA. 90016     $20.00 General Admission   For Reservations call (323) 960-4420  Reserve ONLINE at:  www.plays411.com/copenhagen",The Attic Theatre &amp; Film Center,"5429 W. Washington Blvd. Los Angeles, 90016",03/25/2011,04/23/2011,http://www.eyespyla.com/www/thebuzz.nsf/Copenhagen200.jpg,COPENHAGEN,http://www.plays411.com/copenhagen,323-960-4420,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/6feeceaf886c1c4d8525785d00091cc9!OpenDocument,$20.00</font>
8PM,"N*GGER WETB*CK CH*NK, the nationally-touring comedy that takes on three wicked words, opens its new Los Angeles theater run with a FREE public forum &#8211; N*W*C&#8217;s Race Across America on March 31, 2011.     N*W*C, three tour-de-force performers from California, will give a behind-the-scenes look at their recent experiences touring the show to 40 other states.  Stories range from their infamous run-in with Neo-Nazis in Washington to the first time an eighty year-old woman in Michigan ever shook hands with an African American. The evening offers a rare view into the hearts and minds of folks from states red and blue, large and small -- all populated by very nice people with very different ideas about race and ethnicity in America.    N*GGER WETB*CK CH*NK plays Fridays and Saturdays from April 1 to April 23, 8:00pm at the Barnsdall Gallery Theater.",Barnsdall Gallery Theater,"4800 Hollywood Blvd Los Angeles, CA 90027",04/01/2011,04/23/2011,,N*GGER WETB*CK CH*NK,http://www.nwclive.com/,323-646-2150,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/20f2c198075a538a852578550073d36f!OpenDocument,$35</font>
,"SHOW SCHEDULE: Fridays, Saturdays, 8pm. Sundays 3pm. Special 2pm Matinee, Saturday April 23, 2011.    Based on Puccini's La Boheme, Jonathan Larson&#8217;s Tony Award- and Pulitzer Prize-winning revolutionary rock opera RENT tells the story of one year in the life of eight friends living the Bohemian life -- struggling to express themselves through their art and measuring their lives in love. Against the gritty backdrop of New York's East Village, these friends strive for success and acceptance while enduring the obstacles of poverty, illness, and the AIDS epidemic.    Jerica Productions/The Royal Underground Theatre Company is proud to bring to Hollywood's Hudson Backstage their San Francisco Regional Premiere production of this multiple award-winning show that Theatremania called &quot;A powerhouse production!&quot;    Book, Music and Lyrics by Jonathan Larson  Produced through Special Arrangement with Music Theatre International (MTI)    Directed by Jerianne Banson, featuring Jason Aaronson, Benjamin Alicea, Enrico Banson, Deosick Burney, Valerie Charles, Dominique Cox, Cy Creamer, Nathan Crocker, Ali Eagle, Jason Esposito, Andy Eubanks, Amelia Harris, Timothy Hearl, Anthony Michael Knott, Holly Nugent, Matt Pick, Charlie Rayshad, Deon Sams, Tiffany Van Cott, Ana Villafane and Josie Yount    &#8220;With a show like RENT, which celebrates love and community, it was clear to my brother [Enrico] and I that the power of Jonathan Larson&#8217;s message resonates in vibrant, creative and artistic communities like San Francisco,&#8221; director Jerianne Banson said after closing a sold-out run at the Southside Theatre in San Francisco&#8217;s historic Fort Mason during the first quarter of 2010. &#8220;It felt right to bring Rent to Hollywood; a town with a wide array of creative individuals who will not only celebrate Larson&#8217;s work but embrace it. We want to continue sharing this show with those he wrote it for and make it accessible.&#8221;",,"6539 Santa Monica Boulevard, Los Angeles, 90038",03/18/2011,04/23/2011,,RENT: THE AWARD-WINNING MUSICAL IN HOLLYWOOD/LOS ANGELES,http://www.jericaproductions.com,(323) 960-7822,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/de978ba5f8cad5da852578260007dac9!OpenDocument,"34.99, discounts available</font>"
