description,address,startDate,image,longitude,title,moreInfoLink,latitude
<p>wine tasting and book reading with author Elizabeth Allen</p>,WineStyles,08/24/2010,,-81.3656,Bubbles and Giggles,http://theguide.orlandosentinel.com/altamonte-springs/art/literature-poetry/bubbles-and-giggles-winestyles-altamonte-springs-literature-event,28.6611
<p>open mike spoken word hosted by Shawn Welcome</p>,Dandelion Communitea Cafe,08/17/2010,,-81.3655,Di-Verse Word,http://theguide.orlandosentinel.com/downtown-orlando/performing-arts/spoken-word-monologue/di-verse-word-dandelion-communitea-cafe-literature-event,28.5516
"<p>Tod Caviness hosts the Tuesday open mike at Will's, a home for spoken word of all stripes.</p>",Will's Pub,08/17/2010,http://theguide.orlandosentinel.com/images/content_items/1x1/75/7CC/D72/speakeasy-image.jpeg,-81.3647,Speakeasy,http://theguide.orlandosentinel.com/orlando/bars-and-clubs/bars-clubs/speakeasy-bar-club-event,28.5599
"<p>M-F, 7-6PM, $45 REG, $75-WEEK + 12 FIELD TRIP, $70 2ND CHILD, WEEKLY  FIELD TRIPS</p>",DOWNEY CHRISTIAN SCHOOL,08/17/2010,,-81.2418,Downey Christian School,http://theguide.orlandosentinel.com/orlando/camp/sports-and-athletic/downey-christian-school-camp,28.5728
,Fifth Avenue Art Gallery,09/1/2010,,-80.6275,&quot;100% Pure Florida&quot;,http://theguide.orlandosentinel.com/satellite-beach/art/gallery/100-pure-florida-fifth-avenue-art-gallery-melbourne-gallery-exhibit,28.1307
<p>photography exhibit and auction to benefit the Born2Fly Project</p>,La Prensa Newspaper Community Room,08/19/2010,,-81.3459,24 Moments in Old San Juan,http://theguide.orlandosentinel.com/longwood/art/gallery/24-moments-in-old-san-juan-gallery-exhibit,28.6929
<p>open mike with readings by featured writers</p>,Cup O’ Soul French Press Café,09/11/2010,,-81.358,2nd Saturday,http://theguide.orlandosentinel.com/rollins/art/book-author-readings/2nd-saturday-cup-o-soul-winter-park-literature-event,28.5921
"<p>The Ormond Memorial Art Museum and Gardens presents an  exhibition featuring different styles of portraiture from hyper-realism,  to contemporary avant-garde, to modern classicism by three contemporary  artists.  Richard Currier&rsquo;s hyper-realism evokes the humanity within  the figures.  Viewers are able to see beyond the highly realistic  depictions to the person within.  The avant-garde style in which Jeff  Whipple creates his portraiture causes those who see his work to view  the person through and in reference to the Spasm, a symbol comprised of  three irregular lines and represents an individual life.  Austrian born  Robert Sch&ouml;ller&rsquo;s process creates a modern classical style that harkens  back to the great portrait painters such as Anthony Van Dyck and Gilbert  Stuart.  He was commissioned for a White House portrait due to his  mastery of this style.  These three distinguished artists combine to  provide a new experience of portraiture.</p>",Ormond Memorial Art Museum & Gardens,08/17/2010,,-81.0559,&quot;About Face&quot;,http://theguide.orlandosentinel.com/ormond-beach/art/gallery/about-face-ormond-memorial-art-museum-and-gardens-ormond-beach-gallery-exhibit,29.2858
,Pabst Gallery at Atlantic Center for the Arts,08/17/2010,,-80.9619,Annual University Student Exhibition,http://theguide.orlandosentinel.com/na/art/gallery/annual-university-student-exhibition-pabst-gallery-at-atlantic-new-smyrna-beach-gallery-exhibit,29.074
,Museum of Arts and Sciences,08/17/2010,,-81.036,&quot;The Armory&quot;,http://theguide.orlandosentinel.com/daytona-beach/art/museum/the-armory-museum-of-arts-and-sciences-museum-exhibit,29.1965
,Polk Museum of Art,08/17/2010,,-81.9485,&quot;Art and Design: Unity&quot;,http://theguide.orlandosentinel.com/na/art/museum/art-and-design-unity-polk-museum-of-art-lakeland-museum-exhibit,28.0372
"<p>Local emcee/artist Swamburger of Sol.illaquists of Sound hosts a weekly art block party, with live art, music and urban art at apparel by Redefine Art Gallery &amp; Boutique.</p>",Culture Mart,08/20/2010,http://theguide.orlandosentinel.com/images/content_items/1x1/75/397/0B8/art-block-party-image.jpeg,-81.3775,Art Block Party,http://theguide.orlandosentinel.com/downtown-orlando/art/gallery/art-block-party-gallery-exhibit,28.5449
,Showalter Hughes Community Gallery at Crealde School of Art,08/21/2010,,-81.3216,&quot;ArtCamp Student Exhibition&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/artcamp-student-exhibition-showalter-hughes-community-gallery-at-winter-park-gallery-exhibit,28.6034
,Orlando Museum of Art,08/17/2010,,-81.3651,&quot;Aztec to Zapotec: Selections from the Ancient Americas Collection&quot;,http://theguide.orlandosentinel.com/orlando/art/museum/aztec-to-zapotec-selections-from-the-ancient-americas-orlando-museum-of-art-museum-exhibit,28.5727
A group for aspiring writers who are looking to get published.,Borders Books & Music,08/21/2010,,-81.4178,Bett-Marr Writer's Group,http://theguide.orlandosentinel.com/altamonte-springs/art/literature-poetry/bett-marr-writers-group-literature-event,28.6653
<p>New paintings by Virginia Maxfield</p>,Gallery on First,08/17/2010,,-81.2664,&quot;A Big New Free Happy Unusual Life&quot;,http://theguide.orlandosentinel.com/lake-monroe/art/gallery/a-big-new-free-happy-unusual-life-gallery-on-first-sanford-gallery-exhibit,28.8117
<p>discussion and signing by the author of <em>The Way of Kings</em></p>,Barnes & Noble,09/2/2010,,-81.3515,Brandon Sanderson,http://theguide.orlandosentinel.com/orlando-market/art/literature-poetry/brandon-sanderson-barnes-and-noble-orlando-literature-event,28.5531
<p>reading and signing by the author of <em>The Black Prism</em></p>,Barnes & Noble,08/30/2010,,-81.3515,Brent Weeks,http://theguide.orlandosentinel.com/orlando-market/art/literature-poetry/brent-weeks-barnes-and-noble-orlando-literature-event,28.5531
"<p>J. Bradley hosts the long-running weekly slam, where spoken word poets battle it out to represent Orlando at the National Poetry Slam each year.</p>",Stardust Video & Coffee,08/19/2010,,-81.3792,Broken Speech Poetry Slam,http://theguide.orlandosentinel.com/downtown-orlando/performing-arts/spoken-word-monologue/broken-speech-poetry-slam-stardust-video-and-coffee-orlando-literature-event,28.5383
<p><span>10 weeks of summer camp.&nbsp; </span>$10 deposit to reserve spot in camp Field Trip and Aquatic Center weekly.</p>,Denn John Middle School,08/17/2010,,-81.3811,Camp Discovery,http://theguide.orlandosentinel.com/na/camp/camp-type/camp-discovery-camp,28.3106
<p><span>10 Weeks.&nbsp; </span>$10 deposit to reserve space in camp. Field Trip and Aquatic Center Weekly.</p>,Kissimmee Elementary,08/17/2010,,-81.4404,Camp Discovery,http://theguide.orlandosentinel.com/na/camp/camp-type/camp-discovery-camp-1,28.3173
,Gateway Center for the Arts,08/17/2010,,-79.3852,&quot;Campeche: Volusia's Sister City&quot;,http://theguide.orlandosentinel.com/na/art/gallery/campeche-volusias-sister-city-gateway-center-for-the-arts-debary-gallery-exhibit,33.2078
<p>works by Doug Bloodworth</p>,Mount Dora Center for the Arts,09/10/2010,,-81.6441,&quot;Candy&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/candy-mount-dora-center-for-the-arts-mount-dora-gallery-exhibit,28.8003
,Boom-Art!,08/20/2010,,-81.3191,&quot;Casual Art with Matisse&quot;,http://theguide.orlandosentinel.com/azalea-park/art/gallery/casual-art-with-matisse-boom-art-orlando-gallery-exhibit,28.5355
,Osceola Center for the Arts,09/3/2010,,-81.3451,&quot;Celebrating Hispanic Artists &amp; Culture&quot;,http://theguide.orlandosentinel.com/kissimmee-old-town/art/gallery/celebrating-hispanic-artists-and-culture-osceola-center-for-the-arts-kissimmee-gallery-exhibit,28.282
,Rose Room Gallery,08/17/2010,,-81.0106,&quot;Central Florida Watercolor Society Invitational&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/central-florida-watercolor-society-invitational-rose-room-gallery-daytona-beach-gallery-exhibit,29.227
The Chick Lit Reading Group meets the third Tuesday of the month.,Borders Books & Music,08/17/2010,,-81.2355,Chick Lit Reading Group,http://theguide.orlandosentinel.com/oviedo/art/literature-poetry/chick-lit-reading-group-literature-event,28.6563
,Morse Museum of American Art,08/17/2010,,-81.3512,&quot;A Church Record: Photographs from the Tiffany Studios Ecclesiastical Department&quot;,http://theguide.orlandosentinel.com/na/art/museum/a-church-record-photographs-from-the-morse-museum-of-american-art-winter-park-museum-exhibit,28.601
,Anita S. Wooten Gallery at Valencia Community College,08/17/2010,,-81.2512,&quot;Curator’s Choice: Small Works by Central Florida Artists&quot;,http://theguide.orlandosentinel.com/union-park/art/gallery/curator-s-choice-anita-s-wooten-gallery-at-valencia-community-college-orlando-gallery-exhibit,28.5541
<p>Departures V is a juried exhibition that highlights photography by  recent graduates of the Daytona State College and University of Central  Florida photography programs. This is the fifth year that the Southeast  Museum of Photography has had the honor of showcasing the work of these  recent graduates and it will continue to be a yearly summer event at the  museum. More than twenty graduates are showcased here in an exciting  and diverse exhibition.</p>,Southeast Museum of Photography,08/17/2010,,-81.0228,&quot;Departures V&quot;,http://theguide.orlandosentinel.com/daytona-beach/art/museum/departures-v-southeast-museum-of-photography-daytona-beach-museum-exhibit,29.2108
<p>For students entering grades first or second. Registration forms can be  found on our website.</p>  <p>&nbsp;</p>  <p><span>Extended Day is available from 2:00pm to 5:30pm for an additional  charge per week.</span></p>,Orlando Repertory Theatre,,,-81.3655,Disney's Silly Sing-Along,http://theguide.orlandosentinel.com/orlando/camp/arts/disneys-silly-sing-along-orlando-repertory-theatre-camp,28.5704
<p>Works by Chris Beck and Kimberly Clayton</p>,Jeanine Taylor Folk Art,09/10/2010,,-81.2664,&quot;Distilled to the Essence&quot;,http://theguide.orlandosentinel.com/lake-monroe/art/gallery/distilled-to-the-essence-jeanine-taylor-folk-art-sanford-gallery-exhibit,28.8117
,Hearn Galleries,08/17/2010,,-81.2799,&quot;Driving to Abstraction&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/driving-to-abstraction-hearn-galleries-deland-gallery-exhibit,29.0559
,Orlando Museum of Art,08/17/2010,,-81.3651,&quot;Elegant Enigmas: The Art of Edward Gorey&quot;,http://theguide.orlandosentinel.com/orlando/art/museum/elegant-enigmas-the-art-of-edward-gorey-orlando-museum-of-art-museum-exhibit,28.5727
"<p>Opening of Jonathan Torgovnik's ""Rwanda/Intended Consequences"" exhibit.</p>",Southeast Museum of Photography,09/4/2010,,-81.0228,Exhibition Opening Reception &amp; Lecture at the Southeast Museum of Photography,http://theguide.orlandosentinel.com/daytona-beach/art/museum/exhibition-opening-reception-and-southeast-museum-of-photography-daytona-beach-museum-exhibit,29.2108
<p>works by Mauricio Murillo</p>,Art Affair Gallery,08/17/2010,,-81.266,&quot;Exploding Gummy Bears&quot;,http://theguide.orlandosentinel.com/lake-monroe/art/gallery/exploding-gummy-bears-art-affair-gallery-sanford-gallery-exhibit,28.8117
<p>works by Elizabeth St. Hilaire Nelson</p>,Maitland Art Center,09/10/2010,,-81.3674,&quot;Exquisite Harmony&quot;,http://theguide.orlandosentinel.com/na/art/gallery/exquisite-harmony-maitland-art-center-maitland-gallery-exhibit,28.626
<p>Art workshops in a variety of media</p>,Orlando Museum of Art,08/17/2010,,-81.3651,Family Art Extravaganza,http://theguide.orlandosentinel.com/orlando-market/art/museum/family-art-extravaganza-orlando-museum-of-art-orlando-museum-exhibit,28.5727
A group for new and beginner writers.,Maitland Art Center,08/20/2010,,-81.3669,Florida Writers Association,http://theguide.orlandosentinel.com/maitland/art/literature-poetry/florida-writers-association-literature-event,28.6258
,Brevard Art Museum,08/17/2010,,-80.6274,&quot;From the Mind of Robert H. Clarke&quot;,http://theguide.orlandosentinel.com/satellite-beach/art/museum/from-the-mind-of-robert-h-clarke-brevard-art-museum-melbourne-museum-exhibit,28.131
"<p>&nbsp;</p>  <div class=""dd"">Gamble Place at Spruce Creek includes a  main house, citrus packing house, life-size replica of Snow White's  Cottage and witch's hut, as well as 175 acres of nature trails.",Gamble Place at Spruce Creek,08/20/2010,,-80.9956,Gamble Place Tours,http://theguide.orlandosentinel.com/port-orange/art/museum/gamble-place-tours-gamble-place-at-spruce-creek-port-orange-museum-exhibit,29.1383
,Museum of Arts and Sciences,08/17/2010,,-81.036,&quot;Got Feathers?&quot;,http://theguide.orlandosentinel.com/daytona-beach/art/museum/got-feathers-museum-of-arts-and-sciences-museum-exhibit,29.1965
<p>This annual food and beer/wine tasting extravaganza is a one-of-a-kind  experience at the Zoo. Guests can sample food from more than 35 area  restaurants as well as sample beer and wine at a tasting in Paws On.  Enjoy live music and visit with some of our fun-loving Zoo animals until  dusk. Tickets go on sale August 1 and tickets are always available at  the door.</p>,Brevard Zoo,09/11/2010,,-80.6081,Great Tastes of Suntree,http://theguide.orlandosentinel.com/melbourne/art/zoo/great-tastes-of-suntree-brevard-zoo-melbourne-zoo-event,28.0836
,Appleton Museum of Art,09/12/2010,,-82.0768,&quot;Healing Heart: Witness the Healing Power of Art&quot;,http://theguide.orlandosentinel.com/north-florida/art/gallery/healing-heart-witness-the-healing-power-of-art-appleton-museum-of-art-ocala-gallery-exhibit,29.2046
,Roho Art & Coffee,08/17/2010,,-81.3789,&quot;Heryk Tomassini: Fossil Fields&quot;,http://theguide.orlandosentinel.com/downtown-orlando/art/gallery/heryk-tomassini-fossil-fields-roho-art-and-coffee-orlando-gallery-exhibit,28.5414
