website,phone,directions,moreInfo,description,venue,name,city,startDate,performers,images,state,endDate,email
http://www.icaf.org,,"Right across the U.S. Capitol on the National Mall, between the National Gallery of Art and the National Air and Space Museum",http://www.festivals.com/viewevent.aspx?eventid=UL6HINE88Tw%3d,"The worlds largest international celebration of childrens creativity and imagination.  The World Childrens Festival, held every four years on The National Mall, is free and open for the public.  The 3-day festival offers more than 200 workshops, performances and activities for children as young as four and as old as ninety four.",,World Childrens Festival,Washington,6/17/2011,,,District of Columbia,6/19/2011,
http://www.theontariomarketplace.com,(90-9) 472-3377,"From Los Angeles     Go East on route 10  Exit Vineyard Ave., turn Right  Go to the second light – Convention Center Way – turn Left  North Event lot is on the left hand side.         From Palm Springs     Go West on route 10  Exit Holt Blvd. to Convention Center Way  Turn Right on Convention Center Way  North event lot is on the right hand side.         From San Diego     Go North on Route 15  Go West on Route 10  Exit Holt Blvd. to Convention Center Way  Turn Right on Convention Center Way  North event lot is on the right hand side.        From Las Vegas     Go South on Route 15  Go West on Route 10  Exit Holt Blvd. to Convention Center Way  Turn Right on Convention Center Way  North event lot is on the right hand side.",http://www.festivals.com/viewevent.aspx?eventid=iE7MjoY7FkQ%3d,"Ontario Marketplace will run each Saturday from 8am to 2pm. Featuring over 200 vendors selling all types of consumer goods. This event is a high end swap meet that has something for everyone. Bring the family and enjoy live entertainment, great food and shopping...",Ontario Convention Center - North Event Lot,The Ontario Marketplace,Ontario,5/1/2010,Weekly local and regional live entertainment and demonstrations.,http://www.festivals.com/gfx//backstage/1/19211/032220101112007455_ad.jpg,California,5/2/2020,david@westcoastfestivals.com
http://www.HeartlandTattoo.org,815--756-1263,ILL State 59 at Interstate 90,http://www.festivals.com/viewevent.aspx?eventid=kx7yEbmatOU%3d,"Traditional Music Tattoo featuring Scottish, Irish, and American music. An arena production show. Includes meeting of the Clans, Highland games demonstration, Scotch Tasting, Beer Tasting, Festival of Nations, International Parade and more",Sears Centre Arena,Heartland Music Tattoo,Hoffman Estates,4/16/2011,"Cast of 500 Musician, Singers, Dancers, Civilian and Military Bagpipe and Brass Bands, Drum & Bugle Corps, Drill Teams and more.","http://www.festivals.com/gfx//backstage/1/8566/100920080305390321_thumb.jpg, http://www.festivals.com/gfx//backstage/1/8566/100920080303373298_ad.jpg",Illinois,4/17/2011,m.embrey@heartlandtattoo.org
http://gosunsetmagic.com,772- 465 4654,"I95 to exit 129,  folow signs to downtown Fort Pierce  Fl turnpike to Fort Pierce exit, keep right and follow signs to downtown Fort Pierce",http://www.festivals.com/viewevent.aspx?eventid=bfO53Dc7vZA%3d,Celebration of culture and music,fort pierce city marina,Sunset Magic Music & Talent Festival,fort pierce,5/21/2010,"various - reggae, blues, party bands, latin, jazz, etc.",http://www.festivals.com/gfx//backstage/1/19851/052020100624473460_ad.jpg,Florida,12/16/2011,erica@cometcreativeinc.com
http://www.icaf.org,,"4th to 7th Streets of The National Mall, between the National Air and Space Musuem and the National Gallery of Art",http://www.festivals.com/viewevent.aspx?eventid=lFOOpxVQbO0%3d,The festival will provide a complete synthetic experience to the participants – the creation of a total work of art that transforms the National Mall.,,World Childrens Festival,Washington,6/17/2011,,,DC,6/19/2011,
http://www.HeartlandTattoo.org,815--756-1263,ILL State 59 at Interstate 90,http://www.festivals.com/viewevent.aspx?eventid=kx7yEbmatOU%3d,"Traditional Music Tattoo featuring Scottish, Irish, and American music. An arena production show. Includes meeting of the Clans, Highland games demonstration, Scotch Tasting, Beer Tasting, Festival of Nations, International Parade and more",Sears Centre Arena,Heartland Music Tattoo,Hoffman Estates,4/16/2011,"Cast of 500 Musician, Singers, Dancers, Civilian and Military Bagpipe and Brass Bands, Drum & Bugle Corps, Drill Teams and more.","http://www.festivals.com/gfx//backstage/1/8566/100920080305390321_thumb.jpg, http://www.festivals.com/gfx//backstage/1/8566/100920080303373298_ad.jpg",Illinois,4/17/2011,m.embrey@heartlandtattoo.org
http://stxifmf.blogspot.com/,615--207-1478,,http://www.festivals.com/viewevent.aspx?eventid=TCkpZSXuncc%3d,,"Fredericksted, St Croix",St Croix International Film & Music Festival,Fredericksted,6/2/2011,,,Virgin Islands,6/8/2011,tropicheatstudios@gmail.com
http://www.icaf.org,,"Right across the U.S. Capitol on the National Mall, between the National Gallery of Art and the National Air and Space Museum",http://www.festivals.com/viewevent.aspx?eventid=UL6HINE88Tw%3d,"The worlds largest international celebration of childrens creativity and imagination.  The World Childrens Festival, held every four years on The National Mall, is free and open for the public.  The 3-day festival offers more than 200 workshops, performances and activities for children as young as four and as old as ninety four.",,World Childrens Festival,Washington,6/17/2011,,,District of Columbia,6/19/2011,
http://www.clambakejazz.com,541--2690112-,"Hwy 101, Southern Oregon Coast",http://www.festivals.com/viewevent.aspx?eventid=YRd%2bGERAzPg%3d,"This is a festival that features Americas original musical forms...Trad Jazz, Big Band, Blues,Swing, 50s-60s Rock and Roll and Zydeco.  Stay ini one place and let the bands rotate to you or go from place to place.",4 venues,Clambake Jazz Festival,Coos Bay,3/11/2011,,,Oregon,3/13/2011,lesengle@charter.net
http://www.okchildrensfest.org,250--4938800-,The Festival is located in Downtown Penticton at Okanagan Lake Park on Lakeshore Dr. between the Penticton Lakeside Resort and the Penticton Art Gallery.,http://www.festivals.com/viewevent.aspx?eventid=%2b0JZZLPAhH4%3d,"The Rotary Okanagan International Children’s Festival features the world’s finest musicians, actors, acrobats, comedians and storytellers! This international celebration of the arts stimulates global awareness and an appreciation of cultural diversity. It is an opportunity to delight in the world of imagination and open the door to creative possibilities for your children.",Okanagan Lake Park,Rotary Okanagan International Childrens Festival,Penticton,5/26/2011,,"http://www.festivals.com/gfx//backstage/1/14923/061720090947470365_thumb.jpg, http://www.festivals.com/gfx//backstage/1/14923/061720090944174767_thumb.jpg, http://www.festivals.com/gfx//backstage/1/14923/061720090939479645_ad.jpg",British Columbia,5/28/2011,info@okchildrensfest.org
