longitude,eventPhoneNumber,state,image,street,city,price,description,venue,latitude,moreInfoLink,zipCode,title,website
-87.678,773-782-6662,,http://chicago.metromix.com/content_image/thumbnail/3x4/180/795055,2041 W. Carroll Ave.,Chicago,$10,"<p>See performances by local aerialists, jugglers and other circus artists. Want to perform? Contact the studio.</p><br>",The Aloft Loft,41.8877,http://chicago.metromix.com/theater/theater_event/el-circo-cheapo-cabaret-west-town/795055/content,,El Circo Cheapo Cabaret,http://chicago.metromix.com/theater/theater/the-aloft-loft-west-town/137886/content
-87.6452,773-404-7336,,http://chicago.metromix.com/content_image/thumbnail/3x4/180/2137329,2257 N. Lincoln Ave.,Chicago,$15,"<p>Mix a white Russian, grab your Viking hat and head to Vaudezilla Productions&rsquo; variety show based on the Coen brothers&rsquo; cult favorite that features strip tease, comedy and &ldquo;Big Lebowski"" trivia contests.</p><br>",The Greenhouse Theater Center,41.9229,http://chicago.metromix.com/theater/theater_event/rollin-outta-here-naked-lincoln-park/2137329/content,,Rollin' Outta Here Naked: A Big Lebowski Burlesque,http://chicago.metromix.com/theater/theater/the-greenhouse-theater-center-lincoln-park/134880/content
-87.6159,404-588-1235,,http://chicago.metromix.com/content_image/thumbnail/4x3/180/2190243,5531 S. King Drive,Chicago,$17-$37,"<p>Clowns, aerialists, acrobats, dancers, contortionists, animals and more perform under the big top during a traditional circus with an urban edge. The 17th annual show features performers from Africa, Trinidad &amp; Tobago, Russia, Brazil, China, Cuba, Jamaica, Colombia, the Dominican Republic and the U.S.</p><br>",Washington Park,41.794,http://chicago.metromix.com/theater/theater_event/universoul-circus-washington-park-woodlawn/2190243/content,,UniverSoul Circus,http://chicago.metromix.com/leisure/recreation_facilities/washington-park-washington-park-woodlawn/136850/content
-87.6527,773-549-1815,,http://chicago.metromix.com/content_image/thumbnail/4x3/180/2134398,4147 N. Broadway,Chicago,$60,"Neil LaBute                                                                          <p>The playwright (""In the Company of Men,"" ""Reasons to Be Pretty"") discusses his work with the audience. Profiles Theatre performs readings of scenes from LaBute's works. Includes a pre-show light appetizer reception.</p><br>",Profiles Theatre,41.9579,http://chicago.metromix.com/theater/theater_event/an-evening-with-neil-uptown/2134398/content,,An Evening with Neil LaBute: Live and In-Person,http://chicago.metromix.com/theater/theater/profiles-theatre-uptown/135522/content
-110.969,520-624-7370,,http://tucson.metromix.com/content_image/thumbnail/4x3/180/2153040,135 S. Sixth Ave.,Tucson,free,"Luis Gonzalez Palma's &quot;Natalia&quot;       (Credit: Etherton Gallery)                                                                   <p>Kicking off the new season&mdash;the 30th for the gallery&mdash;is ""Eyes Wide Open."" The show features sgrafitto drawings by Alice Leora Briggs; hand-colored, gelatin silver prints by Guatemalan photographer Luis Gonzalez Palma; and documentary images by Mexican photographer Rodrigo Moya.</p><br>",Etherton Gallery,32.2207,http://tucson.metromix.com/arts-culture/photography/ojos-bien-abiertos-eyes-downtown/2153040/content,,"""Ojos bien abiertos (Eyes Wide Open)""",http://tucson.metromix.com/arts-culture/gallery/etherton-gallery-downtown/682766/content
-87.6483,312-335-1650,,http://chicago.metromix.com/content_image/thumbnail/3x4/180/1810621,1650 N. Halsted St.,Chicago,$20-$70; $20-$48 previews through Sept. 18,"<dl>   <dt>Photos:</dt>     <dd>                                                                                                                 </dd> </dl>                                                                      <p>Laurie Metcalf stars in a new play by Lisa D'Amour, in which a couple's picture-perfect facade collapses with comic results when they befriend their new next door neighbors. Austin Pendleton directs.</p><br>",Steppenwolf Theatre Company,41.9119,http://chicago.metromix.com/theater/theater_event/detroit-sheffield-de-paul/1810621/content,,Detroit,http://chicago.metromix.com/theater/theater/steppenwolf-theatre-company-sheffield-de-paul/133407/content
-110.971,520-624-7099,,http://tucson.metromix.com/content_image/thumbnail/4x3/180/2188532,1122 N. Stone Ave.,Tucson,free,"Arshansky's &quot;Modest Smile&quot;       (Credit: Art Gallery)                                                                   <p>Meet the Russian-born Tucson transplant at an opening reception for his latest acrylic paintings. Alexander Arshansky's distinctive works are loaded&mdash;with color, symbols, meaning&mdash;and make for both a fun and smart show.</p><br>",Art Gallery,32.2366,http://tucson.metromix.com/arts-culture/gallery_exhibit/alexander-arshansky-is-an-midtown/2188532/content,,"""Alexander Arshansky Is: An extension of the Russian Avant Garde Movement"" opening",http://tucson.metromix.com/arts-culture/gallery/art-gallery-midtown/1638693/content
-87.6664,773-278-1500,,http://chicago.metromix.com/content_image/thumbnail/3x4/180/2105191,1543 W. Division St.,Chicago,$25,<p>See feats of magic and illusion performed by The House Theatre of Chicago company member and resident magician Dennis Watkins.</p><br>,Chopin Theatre,41.9034,http://chicago.metromix.com/theater/theater_event/the-magic-parlour/2105191/content,,The Magic Parlour,http://chicago.metromix.com/theater/theater/chopin-theatre-west-town/135760/content
-110.971,520-624-7099,,http://tucson.metromix.com/content_image/thumbnail/4x3/180/2188494,1122 N. Stone Ave.,Tucson,free,"&quot;Pride,&quot; a 12-inch-by12-inch acrylic on canvas       (Credit: Art Gallery)                                                                   <p>Russian-born Tucson transplant Alexander Arshansky's distinctive works are on display at Art Gallery. His detailed paintings are loaded&mdash;with color, symbols, meaning&mdash;and make for both a fun and smart show.</p><br>",Art Gallery,32.2366,http://tucson.metromix.com/arts-culture/gallery_exhibit/alexander-arshansky-is-an-midtown/2188494/content,,"""Alexander Arshansky Is: An extension of the Russian Avant Garde Movement""",http://tucson.metromix.com/arts-culture/gallery/art-gallery-midtown/1638693/content
-87.6483,312-335-1650,,http://chicago.metromix.com/content_image/thumbnail/3x4/180/1810629,1650 N. Halsted St.,Chicago,$20-$73; $20-$50 for previews through Dec. 11,"<p>Ensemble members Tracy Letts and Amy Morton star as one of theater's most dysfunctional couples in Edward Albee's classic drama, directed by Pam MacKinnon.</p><br>",Steppenwolf Theatre Company,41.9119,http://chicago.metromix.com/theater/theater_event/whos-afraid-of-virginia-sheffield-de-paul/1810629/content,,Who's Afraid of Virginia Woolf?,http://chicago.metromix.com/theater/theater/steppenwolf-theatre-company-sheffield-de-paul/133407/content
