endDate,image,description,address,name,startDate,moreInfo,eventHour
2/27/2011,http://www.artfestival.com/picture/events/80/event_small.jpg,"Over the years, this festival has established itself as one of the main art fairs in Martin County, just north of Palm Beach County in Stuart. The show is set up along Osceola Street in Stuartâs historic downtown area. This 21st-year event brings together some of the best artists in the nation, displaying life-size sculptures, spectacular paintings, one-of-a-kind jewels, photography and more.  <br><br>  Directions:<br>  From I-95: Take Stuart exit (Rt. 76), and go east for several miles. Go across US 1, and across the railroad tracks. Once you cross the tracks you will be at the intersection called Confusion Corner. Make a right-hand turn on St. Lucie Avenue, and then take an immediate right on Osceola Street.","26 SW Osceola St.  Stuart, FL 34994","21st Annual Downtown Stuart Art Festival (Stuart, FL.)",2/26/2011,"http://www.artfestival.com/events/visitorsShow/80/1/21st_Annual_Downtown_Stuart_Art_Festival_(Stuart,_FL.).html",Saturday - Sunday 10:00 AM - 5:00 PM
3/06/2011,http://www.artfestival.com/picture/events/79/event_small.jpg,"Located in Sarasota County, this event is becoming as popular as the Venice show in the fall. Set up along West Venice Avenue in the heart of Downtown Venice, this festival brings together longtime favorites and the newest names in the contemporary art scene.   Life-size sculptures, spectacular paintings, one-of-a-kind jewels, photography, ceramics, and much more make for one fabulous weekend.","219 W Venice Ave  Venice, FL 34285","10th Annual Downtown Venice Art Classic (Venice, FL.)",3/05/2011,"http://www.artfestival.com/events/visitorsShow/79/1/10th_Annual_Downtown_Venice_Art_Classic_(Venice,_FL.).html",Saturday - Sunday 10:00 AM - 5:00 PM
3/06/2011,http://www.artfestival.com/picture/events/78/event_small.jpg,"Ft. Lauderdaleâs Las Olas Boulevard is the ideal backdrop for this festival, blending an eclectic mix of artists, great weather and fantastic energy. As the second show of the season on Las Olas, this festival brings together longtime favorites with some of the newest names in the contemporary art scene. Life-size sculptures, spectacular paintings, one-of-a-kind jewels, photography, ceramics, and much more make for one fabulous weekend. Centrally located close to the Ft. Lauderdale International Airport, this show is a must-do if your springtime travels take you anywhere in South Florida!","600 East Las Olas Boulevard  Ft. Lauderdale, Fl 33301","23rd Annual Las Olas Art Fair Part II (Ft. Lauderdale, Fl.)",3/05/2011,"http://www.artfestival.com/events/visitorsShow/78/1/23rd_Annual_Las_Olas_Art_Fair_Part_II_(Ft._Lauderdale,_Fl.).html",Saturday - Sunday 10:00 AM - 5:00 PM
3/13/2011,http://www.artfestival.com/picture/events/74/event_small.jpg,"Stretching along the oceanfront along A1A, the 22nd Annual Art Fest by the Sea has become a springtime tradition for residents and snowbirds alike.  Located in Juno Beach, nearby Jupiter in Palm Beach County, the festival brings together longtime favorites and the newest names in the contemporary art scene. Life-size sculptures, spectacular paintings, one-of-a-kind jewels, photography, ceramics, and much more make for one fabulous weekend.","4050 S Us Highway 1  Jupiter, FL 33477",23rd Annual Art Fest by the Sea (Jupiter/Juno Beach),3/12/2011,http://www.artfestival.com/events/visitorsShow/74/1/23rd_Annual_Art_Fest_by_the_Sea_(Jupiter/Juno_Beach).html,Saturday - Sunday 10:00 AM - 5:00 PM
3/20/2011,http://www.artfestival.com/picture/events/71/event_small.jpg,"The Coral Springs Festival of the Arts has grown considerably over the years into a two-day celebration of arts and culture with a fine art show, contemporary craft festival, theatrical performances and full line-up of live music. Held in conjunction with the Coral Springs Art Festival Committee and the city, this event brings 250 of the nationâs best artists and crafters to South Florida. Stroll amidst life-size sculptures, spectacular paintings, one-of-a-kind jewels, photography, ceramics, a separate craft festival, Green Market and much more.","2874 N University Dr  Coral Springs, Fl. 33065","7th Annual Coral Springs Festival of the Arts (Coral Springs, FL.)",3/19/2011,"http://www.artfestival.com/events/visitorsShow/71/1/7th_Annual_Coral_Springs_Festival_of_the_Arts_(Coral_Springs,_FL.).html",Saturday - Sunday 10:00 AM - 5:00 PM
3/20/2011,http://www.artfestival.com/picture/events/76/event_small.jpg,"This festival benefits our partner and co producer, The Rotary Club of Key Biscayne. Held in Key Biscayne, an affluent island community in Miami-Dade County, just south of downtown Miami, the 47th Annual Key Biscayne Art Festival is one not to be missed! In fact, visitors plan their springtime vacations to South Florida around this terrific outdoor festival that brings together longtime favorites and the newest names in the contemporary art scene. Life-size sculptures, spectacular paintings, one-of-a-kind jewels, photography, ceramics, and much more make for one fabulous weekend.","455 Grand Bay Dr.  Key Biscayne, FL 33149","47th Annual Rotary Key Biscayne Art Festival (Miami, Fl.)",3/19/2011,"http://www.artfestival.com/events/visitorsShow/76/1/47th_Annual_Rotary_Key_Biscayne_Art_Festival_(Miami,_Fl.).html",Saturday - Sunday 10:00 AM - 5:00 PM
3/27/2011,http://www.artfestival.com/picture/events/155/event_small.jpg,"After an incredible first year at CityPlace in 2010, the promoters of Art Fest by the Sea in Jupiter and the Delray Beach Festival of the Arts are thrilled to  bring a part II to this great event in March!!  <br><br>  CityPlace, located in downtown West Palm Beach, is a beautiful downtown shopping district. This retail empire, which is rich in European architecture, includes ten fine restaurants, an 20 screen theatre, a cultural city theatre, scores of high end shops, and private high end residences. Combine beautiful architecture, breath taking fountains, and quaint sidewalk cafes and we have the next great venue in fine art affairs.  <br><br>  Directions:  From I-95 North:  Take exit 70 for Okeechobee Blvd/FL-704. Keep right at the fork to continue toward FL-704/Okeechobee Blvd and merge onto FL-704/Okeechobee Blvd. Turn left at S Rosemary Ave.  From I-95 South:  Take exit 70 for FL-704. Turn left at FL-704/Okeechobee Blvd. Turn left at S Rosemary Ave.","700 South Rosemary Avenue  Suite 200 West Palm Beach, FL 33401","CityPlace Art Fair Part II (West Palm Beach, Fl.)",3/26/2011,"http://www.artfestival.com/events/visitorsShow/155/1/CityPlace_Art_Fair_Part_II_(West_Palm_Beach,_Fl.).html",Saturday - Sunday 10:00 AM - 5:00 PM
4/03/2011,http://www.artfestival.com/picture/events/156/event_small.jpg,"The creator of this great art fair, Howard Alan Events, is now taking back the reigns of this wonderful art event!   <br><br>  Over 100 artists will converge on Main Street in the heart of Celebration. Celebration is conveniently located off I-4 and Highway 192 near the entrance to Walt Disney World. Visitors will be able to peruse through fine paintings, one of a kind pottery, photography, hand made jewelry, and much more. Visitors to the event will be able to peruse the art work and meet the artisans who create it and learn their stories.  <br><br>  From a $15 pair of earrings to a $30,000 sculpture there is something for everyone! See you in Celebration!!!",701 Front St. Celebration  FL 34747,10th Annual Celebration Art Festival (Orlando),4/02/2011,http://www.artfestival.com/events/visitorsShow/156/1/10th_Annual_Celebration_Art_Festival_(Orlando).html,Saturday - Sunday 10 AM - 5 PM
4/10/2011,http://www.artfestival.com/picture/events/81/event_small.jpg,"If youâre planning a trip to Tampa, or nearby St. Petersburg, put this event on your list of things to do. Tampaâs trendy downtown area of Hyde Park Village with brick courtyards, fountains and tree-lined streets is the perfect backdrop for a fine outdoor festival such as the 21st Annual Hyde Park Village Art Fair. Life-size sculptures, spectacular paintings, one-of-a-kind jewels, photography, ceramics, and much more make for one fabulous weekend.","1622 Snow Avenue  Tampa, Fl. 33606","22nd Annual Hyde Park Village Art Fair (Tampa, Fl.)",4/09/2011,"http://www.artfestival.com/events/visitorsShow/81/1/22nd_Annual_Hyde_Park_Village_Art_Fair_(Tampa,_Fl.).html",Saturday - Sunday 10:00 AM - 5:00 PM
4/24/2011,http://www.artfestival.com/picture/events/144/event_small.jpg,"There is an admission fee of $1 per visitor benefiting the Mandarin Community Club.  <br><br>  The Mandarin Art Festival storms back for it's 43rd year. Artists from all over the nation will converge on this historic community on Easter Weekend. This years event the volunteers of the Mandarin Art Festival will be partnering with Howard Alan Events to make this great art fair even better. Art lovers from all over the area will be taking in gorgeous paintings, exquisite jewelry, hand made pottery, breath taking photography, and larger then life sculptures.  <br><br>  Also going on this weekend at this great art fair will be a kids art show, a one-of-a-kind green market, as well as a kids Easter egg hunt. Bring the family for this time honored event that offers something for everyone.","12447 Mandarin Road  Jacksonville, Florida 32223","43rd Annual Mandarin Art Festival (Jacksonville, Fl.)",4/23/2011,"http://www.artfestival.com/events/visitorsShow/144/1/43rd_Annual_Mandarin_Art_Festival_(Jacksonville,_Fl.).html",Saturday - Sunday 10:00 AM - 5:00 PM
