title,endHour,moreInfoLink,eventDate,venue,description,fullAddress,startHour
Edwina Hayes,11:00 PM,http://events.myspace.com/Event/5389196/Edwina-Hayes,03/30/2011,Cottingham Live,"Im so happy to be returning to play at Cottingham Live, a club that Ive been playing at for over 10 years now x I'll be playing 2 sets with floorspots by some of the regulars to start the evening off x For tickets and enquiries please telephone: 07748 258481 or look in online for details: www.andy-hammond.co.uk x x x          	                	      	          	      	<br><br>  					    						Age Requirement: 0+","173 Hallgate, Cottingham, East Yorkshire, Cottingham&nbsp;&nbsp;HU16 4B",8:00 PM
Edwina Hayes,11:00 PM,http://events.myspace.com/Event/4024716/Edwina-Hayes,06/09/2011,Browsers Coffee Shop,Im very happy to be returning to play at this lovely coffee shop venue x The evening starts at 8.30pm and for all enquiries and tickets please telephone: 01342 834881 x x x          	                	      	          	      	<br><br>  					    						Age Requirement: 0+,"7 East Grinstead Road, Lingfield, Surrey, Lingfield&nbsp;Surrey&nbsp;RH7 6E",8:30 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4372856/Lady-Gaga,02/24/2011,THE MONSTER BALL at Verizon Center,Age Requirement: 0+,"601 F St., NW, Washington&nbsp;DC&nbsp;20004",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4189567/Lady-Gaga,02/26/2011,THE MONSTER BALL at Consol Energy Center,Age Requirement: 0+,"Fifth and Centre, Pittsburgh&nbsp;PA&nbsp;15238",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4197850/Lady-Gaga,03/03/2011,THE MONSTER BALL at Air Canada Centre,Age Requirement: 0+,"40 Bay Street, Toronto&nbsp;ON&nbsp;M5J 2X2",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4191917/Lady-Gaga,03/08/2011,THE MONSTER BALL at TD Garden,Age Requirement: 0+,"100 Legends Hwy, Boston&nbsp;MA&nbsp;02114",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4254890/Lady-Gaga,03/10/2011,THE MONSTER BALL at Schottenstein Center,Age Requirement: 0+,"Schottenstein Center, Columbus&nbsp;OH&nbsp;43210",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4373009/Lady-Gaga,03/14/2011,THE MONSTER BALL at American Airlines Center,Age Requirement: 0+,"2500 Victory Ave., Dallas&nbsp;TX&nbsp;75219",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4254958/Lady-Gaga,03/19/2011,Energy Solutions Arena,Age Requirement: 0+,"301 West South Temple, Salt Lake City&nbsp;UT&nbsp;84101",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4727304/Lady-Gaga,03/22/2011,THE MONSTER BALL at Oracle Arena,Age Requirement: 0+,"Oracle Arena, Oakland&nbsp;CA&nbsp;94621",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4197573/Lady-Gaga,03/25/2011,THE MONSTER BALL at MGM Grand,Age Requirement: 0+,"Las Vegas Blvd S, Las Vegas&nbsp;NV&nbsp;89119",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4373349/Lady-Gaga,03/28/2011,THE MONSTER BALL at Staples Center,Age Requirement: 0+,"1111 S. Figueroa St., Los Angeles&nbsp;CA&nbsp;90015",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4190617/Lady-Gaga,04/08/2011,THE MONSTER BALL at Toyota Center,Age Requirement: 0+,"1510 Polk Street, Houston&nbsp;TX&nbsp;77002",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4192050/Lady-Gaga,04/09/2011,THE MONSTER BALL at N.O. Arena,Age Requirement: 0+,"1501 Girod Street, New Orleans&nbsp;LA&nbsp;70113",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4197640/Lady-Gaga,04/12/2011,THE MONSTER BALL at Bank Atlantic Center,Age Requirement: 0+,"1 Panther Pkwy, Ft. Lauderdale&nbsp;FL&nbsp;33323",7:00 PM
Lady Gaga,11:00 PM,http://events.myspace.com/Event/4197784/Lady-Gaga,04/13/2011,American Airlines Arena,Age Requirement: 0+,"601 Biscayne Blvd, Miami&nbsp;FL&nbsp;33132",7:00 PM
