from,times,latitude,tickets,moreInfoLink,title,ticketPhone,longitude,email,state,zipcode,image,city,address,to,description,venue
07/30/2011,"Saturday, 10:00am - 8:00pm",43.1807685,,http://www.geneseefun.com/event/detail/440957141/Clio_Area_Festival_of_Fine_Arts,Clio Area Festival of Fine Arts,,-83.7341233,,MI,48420,http://www.geneseefun.com/sites/geneseefun.com/images/placeholder.png,Clio,301 Rogers Lodge Dr,07/31/2011,Featuring fine art of various mediums from local and state wide artisans. Performing arts entertainment thoughout the day. A childrens craft tent will include face painting and other crafts. Food Vendors available.			</p>    			<br><br>,Clio Area Art Society
09/08/2011,9 AM - 5 PM,43.0130141,FREE at most sites. More information forth coming,http://www.geneseefun.com/event/detail/440956189/2011_Flint_Festival_of_Quilts,2011 Flint Festival of Quilts,,-83.6882677,flintexpress@yahoo.com,MI,48502,http://www.geneseefun.com/sites/geneseefun.com/images/event/440956189/ffofquilts10_medium.jpg,Flint,816 S. Saginaw St.,09/10/2011,"Quilts, quilts and more quilts<br> <br> <br> If you would like to register to exhibit or be an exhbitiion site&nbsp;in downtown Flint&nbsp;give the Arts Council a call at 810.238.ARTS.<br> <br> <br> Site listings are; Flint Public Library, African American Quilters Guild, Greater Flint Arts Council, Michigan Quilters Invitational, Hoffman's Deli, Material Girls, Lunch STudio, Flint Handmade, Stockton Center at Spring Grove, Historical Quilts and many more to be added. Continue to look for updates.</p>			</p>    			<br><br>",Greater Flint Arts Council
09/12/2010,M-W &amp; Fr. 12- 5p Thur 12-9p Sat. 10a-5p Sun 1p-5p,43.0224995,Adults $7 Childen under 12 free Seniors and students with ID $5 Target Free Saturdays,http://www.geneseefun.com/event/detail/440897949/Unbroken_Ties_Dialogues_in_Cuban_Art,Unbroken Ties: Dialogues in Cuban Art,,-83.6779263,flintexpress@yahoo.com,MI,48503,http://www.geneseefun.com/sites/geneseefun.com/images/org/19/fiafrontview[1]_(2)_edited-1_medium.jpg,Flint,1120 E. Kearsley,12/07/2014,"Unbroken Ties: Dialogues in Cuban Art is an exhibition of over 50 works by artists who have remained in Cuba, side by side with artists who left as children or mid career. The Cuba imagined and the Cuba remembered- a complex portait of the day to day reality of the Cuban experience.</p>			</p>    			<br><br>",Flint Institute of Arts
07/30/2011,"Saturday, 10:00am - 8:00pm",43.1807685,,http://www.geneseefun.com/event/detail/440957141/Clio_Area_Festival_of_Fine_Arts,Clio Area Festival of Fine Arts,,-83.7341233,,MI,48420,http://www.geneseefun.com/sites/geneseefun.com/images/placeholder.png,Clio,301 Rogers Lodge Dr,07/31/2011,Featuring fine art of various mediums from local and state wide artisans. Performing arts entertainment thoughout the day. A childrens craft tent will include face painting and other crafts. Food Vendors available.			</p>    			<br><br>,Clio Area Art Society
09/08/2011,9 AM - 5 PM,43.0130141,FREE at most sites. More information forth coming,http://www.geneseefun.com/event/detail/440956189/2011_Flint_Festival_of_Quilts,2011 Flint Festival of Quilts,,-83.6882677,flintexpress@yahoo.com,MI,48502,http://www.geneseefun.com/sites/geneseefun.com/images/event/440956189/ffofquilts10_medium.jpg,Flint,816 S. Saginaw St.,09/10/2011,"Quilts, quilts and more quilts<br> <br> <br> If you would like to register to exhibit or be an exhbitiion site&nbsp;in downtown Flint&nbsp;give the Arts Council a call at 810.238.ARTS.<br> <br> <br> Site listings are; Flint Public Library, African American Quilters Guild, Greater Flint Arts Council, Michigan Quilters Invitational, Hoffman's Deli, Material Girls, Lunch STudio, Flint Handmade, Stockton Center at Spring Grove, Historical Quilts and many more to be added. Continue to look for updates.</p>			</p>    			<br><br>",Greater Flint Arts Council
07/30/2011,"Saturday, 10:00am - 8:00pm",43.1807685,,http://www.geneseefun.com/event/detail/440957141/Clio_Area_Festival_of_Fine_Arts,Clio Area Festival of Fine Arts,,-83.7341233,,MI,48420,http://www.geneseefun.com/sites/geneseefun.com/images/placeholder.png,Clio,301 Rogers Lodge Dr,07/31/2011,Featuring fine art of various mediums from local and state wide artisans. Performing arts entertainment thoughout the day. A childrens craft tent will include face painting and other crafts. Food Vendors available.			</p>    			<br><br>,Clio Area Art Society
03/10/2011,"Thu, Mar 10, 2011 at 8pm",43.0232493,$18 / $30 / $40 / $49,http://www.geneseefun.com/event/detail/440742441/PINK_FLOYD_EXPERIENCE,PINK FLOYD EXPERIENCE,810-237-7333,-83.6776107,flintexpress@yahoo.com,MI,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440742441/pinkfloydexperienceweb_medium.jpg,Flint,1241 E. Kearsley Street,03/10/2011,"Ticket Center: 810-237-7333 - This performance echoes everything that made Pink Floyd one of rock &amp; roll&rsquo;s greatest icons. It&rsquo;s a celebration of the music, the themes and the innovation that this great band brought to its fans around the world. It&rsquo;s Pink Floyd up close and personal, with six musicians, $2.5 million worth of production equipment, quadraphonic sound, amazing video and a massive light show. The show features live &lsquo;note-for-note&rsquo; musical recreations of Pink Floyd&rsquo;s hits and is a visual spectacle that includes mind-blowing moving lighting and stylized surreal video as well as several &lsquo;classic&rsquo; Pink Floyd icons including a collapsible wall, the bulb man, marching hammers and yes, the gigantic pig blimp! Don&rsquo;t miss this truly unforgettable concert experience for audiences of all ages.</p>			</p>    			<br><br>",The Whiting
03/19/2011,8pm,43.0232493,$7.50-$58,http://www.geneseefun.com/event/detail/440911973/Flint_Symphony_Orchestra_Classical_Concert,Flint Symphony Orchestra Classical Concert,810.237.7333,-83.6776107,flintexpress@yahoo.com,MI,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440911973/alessio_bax_press-6691_medium.jpg,Flint,1241 E. Kearsley Street,03/19/2011,"Flint Symphony Orchestra Classical concert featuring Alessio Bax, piano. Musical selections include: Debussy, Petite Suite; Rachmaninoff, Rhapsody on a Theme of Paganini; R Strauss, Aus Italien.</p>			</p>    			<br><br>",The Whiting
03/25/2011,8PM,43.0232493,$15 - $37,http://www.geneseefun.com/event/detail/440842705/Johnny_Winter,Johnny Winter,810-237-7333,-83.6776107,flintexpress@yahoo.com,MI,48503,http://www.geneseefun.com/sites/geneseefun.com/images/placeholder.png,Flint,1241 E. Kearsley Street,03/25/2011,Johnny Winter with Special Guest: The Rusty Wright Band</p>			</p>    			<br><br>,The Whiting
04/16/2011,8pm,43.0232493,$7.50-$58,http://www.geneseefun.com/event/detail/440911981/Flint_Symphony_Orchestra_Classical_Concert,Flint Symphony Orchestra Classical Concert,810.237.7333,-83.6776107,flintexpress@yahoo.com,MI,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440911981/img_5795_medium.jpg,Flint,1241 E. Kearsley Street,04/16/2011,"The final Flint Symphony Orchestra Classical Concert of the 2010-2011 season 'From the Eternal City.' Guest Artist is 2010 Byrd Winner Youngmi Kim, soprano. The concert features the music of Tchaikovsky including Capriccio Italien, Manfred Symphony and Italian Arias.</p>			</p>    			<br><br>",The Whiting
04/10/2011,"Sun, Apr 10, 2011 at 2pm &amp; 7pm",43.0232493,$23 / $43 / $57 / $67,http://www.geneseefun.com/event/detail/440742451/THE_COLOR_PURPLE,THE COLOR PURPLE,810-237-7333,-83.6776107,flintexpress@yahoo.com,MI,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440742451/purple_medium.jpg,Flint,1241 E. Kearsley Street,04/10/2011,"Ticket Center: 810-237-7333 - THE COLOR PURPLE, a soul-stirring musical based on the classic Pulitzer Prize-winning novel by Alice Walker and the moving film by Steven Spielberg. Nominated for eleven Tony&reg; Awards, THE COLOR PURPLE is a landmark theatrical event, a celebration of love, and a Broadway phenomenon. With a joyous GRAMMY&reg;-nominated score featuring jazz, gospel and blues, THE COLOR PURPLE is capturing the hearts of young and old, and uniting audiences in a community of joy. ASL interpreted &quot;A SOARING, EPIC TALE. It made a JOYFUL noise in my heart.&quot; --Richard Corliss, TIME Magazine</p>			</p>    			<br><br>",The Whiting
09/12/2010,M-W &amp; Fr. 12- 5p Thur 12-9p Sat. 10a-5p Sun 1p-5p,43.0224995,Adults $7 Childen under 12 free Seniors and students with ID $5 Target Free Saturdays,http://www.geneseefun.com/event/detail/440897949/Unbroken_Ties_Dialogues_in_Cuban_Art,Unbroken Ties: Dialogues in Cuban Art,,-83.6779263,flintexpress@yahoo.com,MI,48503,http://www.geneseefun.com/sites/geneseefun.com/images/org/19/fiafrontview[1]_(2)_edited-1_medium.jpg,Flint,1120 E. Kearsley,12/07/2014,"Unbroken Ties: Dialogues in Cuban Art is an exhibition of over 50 works by artists who have remained in Cuba, side by side with artists who left as children or mid career. The Cuba imagined and the Cuba remembered- a complex portait of the day to day reality of the Cuban experience.</p>			</p>    			<br><br>",Flint Institute of Arts
04/02/2011,"Sat, Apr 2, 2011 at 8pm",43.0232493,$27 / $39,http://www.geneseefun.com/event/detail/440742449/RIVER_NORTH_CHICAGO_DANCE_COMPANY,RIVER NORTH CHICAGO DANCE COMPANY,810-237-7333,-83.6776107,flintexpress@yahoo.com,MI,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440742449/rncdc_jessica_medium.jpg,Flint,1241 E. Kearsley Street,04/02/2011,"Ticket Center: 810-237-7333 - River North Chicago is known for its highly skilled and emotive dancers, stimulating music and bold, commanding choreography. While the past two decades have shaped its signature style, River North Chicago, will look to the future in its 21st season, bringing daring and exhilarating new works to the stage. These premieres will focus on the essence of River North Chicago complete with brilliant artistry and robust performances that invite audiences to be energized, delighted and inspired. Celebrating the 85th anniversary of Miles Davis&rsquo;s birth, Artistic Director Frank Chaves has created a set of jazz dances combining his unique style with his American dance company in a performance you won&rsquo;t want to miss.</p>			</p>    			<br><br>",The Whiting
