phone,moreDetailURL,latitude,name,address,admission,date,venue,description,externalURL,longitude
"614-228-2674, 888-819-COSI",http://www.experiencecolumbus.com/event-detail.cfm/event/Adventure%3A%2DValley%2Dof%2Dthe%2DUnknown/id/26613,39.960363,Adventure: Valley of the Unknown,"333 W. Broad St., Columbus, OH 43215",Adventure is $3. Regular admission - Adults $13.75. Children 2-12 $8.75. Seniors $12.75.,11/03/2010 - 09/04/2011,COSI,"Members of the Explorer Society have been conducting an archaeological dig in the Valley of the Unknown on a recently discovered island. In the middle of the valley is the Observatory - a towering ruin rumored to hold the Treasure of Knowledge. Unfortunately, the Observatory is locked - and only true explorers can open it! Crack the code: Our intrepid adventurers need your help uncovering the secrets of this recently discovered island. Use your wits, creativity, and keen skills of observation to navigate the island's three areas and decipher an ancient code. Solve the levels, gain the ultimate treasure: You'll have to gain access to the island's towering Observatory to complete your quest. Enter the correct code into the keypad and the doors of the Observatory will swing open! Listen closely - could your discovery lead to another level of hidden secrets?",http://www.cosi.org,-83.005872
"614-228-2674, 888-819-COSI",http://www.experiencecolumbus.com/event-detail.cfm/event/Extreme%2DScreen%2DFilm%3A%2DLegends%2Dof%2DFlight/id/25387,39.960363,Extreme Screen Film: Legends of Flight,"333 W. Broad St., Columbus, OH 43215",$7.50 or $6 with exhibit admission.,11/03/2010 - 03/12/2011,COSI,Journey to an ancient civilization and go on an archaeological dig in Adventure.,http://www.cosi.org,-83.005872
740-638-5030,http://www.experiencecolumbus.com/event-detail.cfm/event/Winter%2DSafari%2DTours/id/25154,39.8249257,Winter Safari Tours,"14000 International Rd., Cumberland, 43732",Adults $35. Children 12 and under $25,11/06/2010 - 03/12/2011,The Wilds,"The winter is a wonderful time to see and experience the Wilds at work. Exclusive Winter Safari Tours have been created for adults and children alike to experience the Wilds between the general visitor seasons. See and learn about rare and endangered animals during the winter months of November through March on these special safari tour programs. The Winter Safari Tours begin with a light lunch and short conservation program presented by an experienced program staff member. After lunch, visitors board a heated Safari Transport for a guided safari tour experience through the winter landscape. View large groups of animals, such as the Sichuan takin, Pere David's deer, Przewalski's wild horse, American bison, and many more, as they roam in the open pasture in their winter coats. The tour also includes an exclusive stop at the Rhino Management Center where you can get up-close and personal with southern white rhinos and greater one-horned Asian rhinos in their winter quarters. Other destinations may include the Mid-Sized Carnivore Conservation Center to see cheetahs and African wild dogs, or the Giraffe Barn. Reservations and pre-payment are required.",http://www.thewilds.org,-81.7493615
614-645-5061,http://www.experiencecolumbus.com/event-detail.cfm/event/Winter%2DPearl%2DMarket/id/26671,39.963294,Winter Pearl Market,"33 N. Third St., Columbus, OH 43215",,11/12/2010 - 02/25/2011,Pearl Market,"Find fresh seasonal produce and a wide range other goods from summer market favorites such as Sweet Thing Gourmet, IKC Designs, The Olive Orchard, Luxbohme and others. Credit cards and the Ohio Directions Card will be accepted. The Winter Market is in its second year of a two-year grant from the USDA Farmers' Market Promotion Program.",http://www.downtowncolumbus.com/pearlmarket,-82.998574
614-414-6042,http://www.experiencecolumbus.com/event-detail.cfm/event/Salsa%2DTuesdays%2Dat%2DPark%2DStreet%2DCantina/id/25051,39.972212,Salsa Tuesdays at Park Street Cantina,"491 Park St., Columbus, OH 43215",,06/15/2010 - 06/14/2011,Park Street Cantina,"Join the hotness of Park Street Cantina and indulge in a great night of Latin dancing! And we've got the cure for those two left feet, so no worries! Participate in the dance lesson at 8pm and equip yourself with some jaw-dropping moves. Then hit the floor at 9pm and impress the crowds.",http://www.SalsaColumbus.com,-83.004732
614-414-6042,http://www.experiencecolumbus.com/event-detail.cfm/event/Spicy%2DSalsa%2DTuesdays/id/25929,39.9715007,Spicy Salsa Tuesdays,"445 N. High St., Columbus, OH 43215",$5,08/24/2010 - 06/14/2011,Mynt Ultralounge,"JC Entertainment invites you to experience a great night of Latin dancing at the newly remodeled Mynt Ultralounge, come and try out Mynt's brand new and spacious WOOD dance floor! Dancers you will have an absolute blast!",http://www.SalsaColumbus.com,-83.0026758
"614-228-2674, 888-819-COSI",http://www.experiencecolumbus.com/event-detail.cfm/event/Extreme%2DScreen%2DFilm%3A%2DDolphins%2Dand%2DWhales%2D3D/id/26210,39.960363,Extreme Screen Film: Dolphins and Whales 3D,"333 W. Broad St., Columbus, OH 43215",$7.50 or $6 with exhibit admission.,09/22/2010 - 10/31/2011,COSI,"Dive into a new immersive and highly emotional adventure with Jean-Michel Cousteau's DOLPHINS AND WHALES 3D, which takes you from the dazzling coral reefs of the Bahamas to the warm depths of the waters of the exotic Kingdom of Tonga for a close encounter with the surviving tribes of the ocean.",http://www.cosi.org,-83.005872
614-247-5825,http://www.experiencecolumbus.com/event-detail.cfm/event/Out%2DTakes/id/26749,39.9940603,Out Takes,"1554 N. High St, Columbus, OH 43201",,12/02/2010 - 12/01/2011,Gateway Film Center,Out Takes is the Gateway Film Center's monthly GLBT film. The series is a partnership with Stonewall Columbus and all proceeds benefit Stonewall Columbus. Showtime is the first Thursday of every month.,http://www.gatewayfilmcenter.com,-83.0068502
740-203-6908,http://www.experiencecolumbus.com/event-detail.cfm/event/Exhibit%3A%2DPaintings%2Dby%2DBarbara%2DFrentsos%2DButler/id/23265,40.2965329,Exhibit: Paintings by Barbara Frentsos Butler,"16 Rowland Ave., Delaware, 43015",,01/27/2010 - 02/23/2011,"Mowry Alumni Center, Ohio Wesleyan University","Rare Moments exhibit by Barbara Frentsos Butler, Class of 1947, of abstract painting on display in the Mowry alumni Gallery.",http://www.owu.edu,-83.069196
"614-221-4848, 614-221-6801",http://www.experiencecolumbus.com/event-detail.cfm/event/Exhibit%3A%2DFur%2C%2DFins%2C%2DFeathers/id/24407,39.964287,"Exhibit: Fur, Fins, & Feathers","480 E. Broad St., Columbus, OH 43215",Free July and August. Adults $10. Seniors and students $8. Children under 6 free. Free admission on Sunday,07/06/2010 - 06/05/2011,Columbus Museum of Art,"Fur, Fins, & Feathers, a family-friendly exhibition about animals in art, showcases works from CMA's permanent collection. This diverse exhibition includes a variety of media and styles such as Innuit stone carvings, wooden African headdresses, contemporary photography, and American folk art prints. Fur, Fins, & Feathers includes many works which visitors may not have seen before. Because the Museum is currently under renovation, CMA can highlight works from our permanent collection that are not normally on view. Enhanced programming related to the exhibition will include hands-on activities, tours, and visits from other community organizations such as Children's Theater and the Columbus Zoo and Aquarium.",http://www.columbusmuseum.org,-82.987942
740-587-6255,http://www.experiencecolumbus.com/event-detail.cfm/event/Exhibit%3A%2DPicasso%2Dat%2DDenison%2C%2DSteinlen%2C%2DFrom%2DParis%2Dto%2DNew%2DYork/id/26276,,"Exhibit: Picasso at Denison, Steinlen, From Paris to New York","100 South Rd., Granville, 43203",,09/21/2010 - 12/10/2011,Denison Museum,"This student-researched exhibition of Pablo Picasso prints from the earliest phases of Picasso's career, referred to as his Blue Period (1901 -1904) and Pose Period (1904 - 1906) - reflects the artist's importance to 20th Century art history while celebrating the recent completion of conservation treatment of Denison's print collection. (Picasso at Denison).",http://www.denison.edu,
740-203-6908,http://www.experiencecolumbus.com/event-detail.cfm/event/Exhibit%3A%2DPhotographs%2Dby%2DLeigh%2DRabby/id/26546,40.296515,Exhibit: Photographs by Leigh Rabby,"16 Rowland Ave., Delaware, 43015",,11/15/2010 - 11/24/2011,Mowry Alumni Center,"Photographs by Leigh Rabby (OWU Class of 1992), in the Alumni Gallery in Mowry Alumni Center.",http://www.owu.edu,-83.0691499
