moreinfo,phone,title,website,state,zipcode,city,startDate,address,description,venue
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84237,412-381-4977,The Gypsy Strings,,PA,15203,Pittsburgh,,1330 Bingham St.,,Gypsy Cafe
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79430,412-246-2042,Salsa Wednesdays,,PA,15222,Pittsburgh,,411 Wood St.,,Mexico City
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84237,412-381-4977,The Gypsy Strings,,PA,15203,Pittsburgh,,1330 Bingham St.,,Gypsy Cafe
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79430,412-246-2042,Salsa Wednesdays,,PA,15222,Pittsburgh,,411 Wood St.,,Mexico City
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84237,412-381-4977,The Gypsy Strings,,PA,15203,Pittsburgh,,1330 Bingham St.,,Gypsy Cafe
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79430,412-246-2042,Salsa Wednesdays,,PA,15222,Pittsburgh,,411 Wood St.,,Mexico City
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84237,412-381-4977,The Gypsy Strings,,PA,15203,Pittsburgh,,1330 Bingham St.,,Gypsy Cafe
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79430,412-246-2042,Salsa Wednesdays,,PA,15222,Pittsburgh,,411 Wood St.,,Mexico City
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84237,412-381-4977,The Gypsy Strings,,PA,15203,Pittsburgh,,1330 Bingham St.,,Gypsy Cafe
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79430,412-246-2042,Salsa Wednesdays,,PA,15222,Pittsburgh,,411 Wood St.,,Mexico City
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84237,412-381-4977,The Gypsy Strings,,PA,15203,Pittsburgh,,1330 Bingham St.,,Gypsy Cafe
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79430,412-246-2042,Salsa Wednesdays,,PA,15222,Pittsburgh,,411 Wood St.,,Mexico City
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84237,412-381-4977,The Gypsy Strings,,PA,15203,Pittsburgh,,1330 Bingham St.,,Gypsy Cafe
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:78755,412-642-2377,Roger Humphries & RH Factor Jazz Jam Session,,PA,15201,Pittsburgh,,2901 Penn Avenue,,CJ's
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:80880,412-392-2217,Jessica Lee & Friends,,PA,15222,Pittsburgh,,949 Liberty Ave.,Entrepreneurial Thursdays.,Little E's
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79212,412-697-3120,Salsamba,http://www.seviche.com,PA,15222,Pittsburgh,,930 Penn Ave.,Latin jazz trio.,Seviche
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87499,412-372-1595,Spider Rondinelli & the Pittsburgh Jazz Giants,,PA,15146,Monroeville,,4089 William Penn Hwy,,Nardis Restaurant
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82580,412-586-7794,Kurt Giamatte,http://www.cassispittsburgh.com,PA,15233,Pittsburgh,,900 Western Ave.,,Cassis
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:85182,412-362-1250,Funk Friday Happy Hour,,PA,15206,Pittsburgh,,6001 Penn Ave.,Live jazz.,Capri Ristorante
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82580,412-586-7794,Kurt Giamatte,http://www.cassispittsburgh.com,PA,15233,Pittsburgh,,900 Western Ave.,,Cassis
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:74969,412-244-4050,Donny's Honey Dew,,PA,15208,Pittsburgh,,553 Brushton Ave.,Presented by Black & White Productions.,Donny's
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82580,412-586-7794,Kurt Giamatte,http://www.cassispittsburgh.com,PA,15233,Pittsburgh,,900 Western Ave.,,Cassis
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87512,412-697-1336,Eric Susoeff Trio,http://www.thesonomagrille.com,PA,15222,Pittsburgh,,947 Penn Ave,,Sonoma Grille
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86793,412-242-8281,Live Jazz,,PA,15221,Pittsburgh,,7600 Forbes Ave.,,Calli's
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:53404,412-363-8277,Interval,http://www.shadowlounge.net,PA,15206,Pittsburgh,,126 S. Highland Avenue,"DJ J. Malls, live jazz locals.",AVA Bar &#38; Lounge
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82580,412-586-7794,Kurt Giamatte,http://www.cassispittsburgh.com,PA,15233,Pittsburgh,,900 Western Ave.,,Cassis
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:60167,412-392-2217,Tuesday Night Jazz Series w/ Benny Benack III,,PA,15222,Pittsburgh,,949 Liberty Ave.,,Little E's
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:62505,412-362-7746,Bensen & Pangikas,,PA,15232,Pittsburgh,,5744 Ellsworth Ave.,,Spin Bartini and Ultralounge
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87395,724-327-3899,Kenny Blake,,PA,15632,Export,,5904 Washington Ave.,,Joeys the Edge
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21522,412-741-9457,"Anthony Thomas, Skip Peck, Richard Everett",,PA,15143,Sewickley,,509 Beaver St.,Wednesdays.,Sewickley Hotel
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:83667,412-422-5027,Eric Johnson,,PA,15217,Pittsburgh,,5832 Forward,,Frankie &#38; Georgie's 4 Wood Grill
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:62963,412-665-2770,Jazz Jam Session,,PA,15206,Pittsburgh,,5929 Baum Blvd.,,Tana Ethiopian Cuisine
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:78755,412-642-2377,Roger Humphries & RH Factor Jazz Jam Session,,PA,15201,Pittsburgh,,2901 Penn Avenue,,CJ's
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:80880,412-392-2217,Jessica Lee & Friends,,PA,15222,Pittsburgh,,949 Liberty Ave.,Entrepreneurial Thursdays.,Little E's
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21000,412-381-4300,Wil E Tri and the Bluescasters,,PA,15211,Pittsburgh,,217 Shiloh St.,Thursdays,Sloppy Joe's
http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:62426,412-364-1066,The Contenders,,PA,15237,Ross,,3385 Babcock Boulevard,,Sunseri's
