hours,phone,dates,url,pictures,moreinfo,fulladdress,name,venue,description,email,endDate
4:00pm  - 6:00pm,808-826-1469,03/04/2011,http://www.McMasterSlackKey.com/liveshows.html,,http://www.gohawaii.com/kauai/events/internal/1215101151,"5-5299 Kuhio Hwy., Hanalei, HI&nbsp;&nbsp;96714",Slack Key Concert - Menehune Moonrise,Hanalei Community Center,"<p>Friday 4:00-6:00pm. Hanalei Family Community Center. Award winning traditional Hawaiian slack key guitar &amp; ukulele concert featuring songs &amp; stories of Hawaii's ancient people, the Menehune. FREE gift drawing. Tickets $20 ($15 keiki and seniors).&nbsp; Proceeds support Hale Halawai Ohana o Hanalei and this program.<br>Call 826-1469 for more info and reservations.<br> <br>Directions: In Hanalei, just past Ching Young Shopping Village, look for the Slack Key Concert banner on the mountain side of the road next to the soccer fields. Turn left towards the mountains on the little access road, go twenty yards and turn left and around into the gravelled parking area. The community center is the double yurt brown building.<br> <br>Concerts of award winning Kauai recording artists Doug &amp; Sandy McMaster. They have 8 CDs and a DVD to their credit and work tirelessly to perpetuate the knowledge of traditional Hawaiian slack key guitar and its history.<br> <br>Here's a few audience comments:<br>""""Awesome music &amp; talent!"""" - Kathy<br>""""Beautiful, relaxing music."""" -JoAnne<br>""""Soothing to the soul and spirit."""" -David &amp; Dianne<br>""""...make this show your first priority."""" -Donnia<br>""""To really feel Hawaii, you must hear slack key music. It embodies Aloha!"""" -Bill<br>""""Experience real Aloha and the real Hawaii -- very unique. Makes you feel like you are part of a family."""" -Carole &amp; Steve<br>""""This is a must when visiting Kauai. Great learning experience from the stories &amp; music. Excellent!! The music &amp; stories will remain in my mind for a long time!"""" -Lana &amp; Justin<br>""""The most aloha experience on Kauai. The 'ono' of entertainment."""" - Bob &amp; Emily<br> <br>Experience and learn history of Hawaiian slack key guitar &amp; ukulele as well as stories behind the songs, of Hawaii places and history.<br>http://www.McMasterSlackKey.com/liveshows.html</p>",aplenty@hawaiiantel.net,
3:00pm,808-565-4555,03/05/2011,http://www.gregcohen.net/Acmeweb/LiveEvents.html,,http://www.gohawaii.com/lanai/events/internal/1191113,"The Great Hall, One Keomoku Road, Lanai City, HI&nbsp;&nbsp;96763",UH MANOA LANAI FREE CULTURAL EVENT - MONKEY WATERFALL DANCE TROUPE,"Four Seasons Resorts Lanai, The Lodge at Koele","<p>A premier Hawaiian dance troupe, dear to many hearts here on Lanai. If you visit their web site at http://www.monkeywaterfall.org/New_MWF/Home.html, you&rsquo;ll immediately recognize the two dancers who entertained us in the Great Hall in the final year of the Art &amp; Story project; they performed a dance based on a traditional Chinese fable that featured a little red monkey and 10-foot tall man who danced the entire performance on stilts, both in stunning masks. The tiny, graceful dancer in the red velvet monkey suit was Monkey Waterfall&rsquo;s principal, Yukie Shiroma, who was the dance movement coach for all 5 years of Art &amp; Story. Yukie inspired over 100 young Lanai students and you will see why and be inspired yourselves when you see this show. Celebrating their 20th anniversary, Monkey Waterfall returns to Lanai bringing a full-evening of dance, theatre, storytelling, masks, and puppets. The program includes their signature piece and some old and new work.</p>",,
7:00pm  - 10:00pm,,03/09/2011,http://www.bampproject.com,,http://www.gohawaii.com/oahu/events/internal/21611196,"1 Aloha Tower Drive, Honolulu, HI&nbsp;&nbsp;96813",NEW FOUND GLORY | ALTERNATIVE ROCK,The Waterfront at Aloha Tower Marketplace,"<p>BAMP Project proudly presents....<br> <br>New Found Glory<br>w/special guest Silverstein<br> <br>Mar 9, Doors 7pm<br>The Waterfront at Aloha Tower<br>Honolulu, HI<br> <br>GA $26 (In Advance), VIP $50, 21+ only (In Advance)<br> <br>If you are not familiar with their music please visit their website at http://www.myspace.com/newfoundglory<br> <br>All ages welcome, under 18 accompanied by adult.<br> <br>Get your tickets NOW at http://www.bampproject.com, http://www.groovetickets.com, all Local Motion Surf stores, NAVY ITT, HICKAM ITT, US Coast Guard, and UH Campus Center.<br> <br>GA $26 (In Advance), VIP $50, 21+ only (In Advance)<br> <br>Want to find out first about the latest concert info?&nbsp; Text the word 'concerts' to 38714 and you will be signed up to receive concert updates, special announcements, &amp; presale codes.<br> <br>Twitter @bamparmy<br> <br>Facebook http://www.facebook.com/BAMPProject<br> <br>Website http://www.bampproject.com<br> <br>Myspace http://www.myspace.com/bamparmy<br> <br>Email info@bampproject.com<br> <br>Special Thanks to our sponsors:<br> <br>Go! Mokulele Airlines, Coors Light, Wahoo's, HNLnow.com</p>",info@bampproject.com,
,808-956-7655,03/02/2011,http://www.hawaii.edu/kennedy,,http://www.gohawaii.com/oahu/events/internal/082610699,"1770 East West Road, Honolulu, HI&nbsp;&nbsp;96822",LOVE2,Kennedy Theatre,"<p>Written and Directed by Siobhan Ni Dhonacha<br> <br>We all hurt people, and we are all hurt people. This is the story of four couples, in varying stages of coupling and uncoupling, and their life choices, choices that most of us face every day. Tell a white lie, hide our true feelings, believe in love, run away, remain loyal, have faith, dig deep, give up. What would we do? And what do we do when faced with these moments of decision?<br> <br>Prime Time Ticket prices:<br>$15 Regular; $14 Seniors, Military, UH Faculty/Staff; $12 Students; $5 UHM Student with ID (All service fees included.)<br>Tickets for Prime Time are available online, at outlets, at 944-2697 beginning Sept. 13.<br>Tickets available at Kennedy Theatre the week of performances.<br> <br>Post-show raps<br>Stay and talk with the director, designers, choreographers, and performers following the Friday evening performances of Prime Time productions.</p>",theatre@hawaii.edu,03/06/2011
3:00pm  - 5:00pm,808-826-1469,03/06/2011,http://www.McMasterSlackKey.com/liveshows.html,,http://www.gohawaii.com/kauai/events/internal/1215101155,"5-5299 Kuhio Hwy., Hanalei, HI&nbsp;&nbsp;96714",Slack Key Concert - Menehune Moonrise,Hanalei Community Center,"<p>Sunday 3:00-5:00pm. Hanalei Family Community Center. Award winning traditional Hawaiian slack key guitar &amp; ukulele concert featuring songs &amp; stories of Hawaii's ancient people, the Menehune. FREE gift drawing. Tickets $20 ($15 keiki and seniors).&nbsp; Proceeds support Hale Halawai Ohana o Hanalei and this program.<br>Call 826-1469 for more info and reservations.<br> <br>Directions: In Hanalei, just past Ching Young Shopping Village, look for the Slack Key Concert banner on the mountain side of the road next to the soccer fields. Turn left towards the mountains on the little access road, go twenty yards and turn left and around into the gravelled parking area. The community center is the double yurt brown building.<br> <br>Concerts of award winning Kauai recording artists Doug &amp; Sandy McMaster. They have 8 CDs and a DVD to their credit and work tirelessly to perpetuate the knowledge of traditional Hawaiian slack key guitar and its history.<br> <br>Here's a few audience comments:<br>""""Awesome music &amp; talent!"""" - Kathy<br>""""Beautiful, relaxing music."""" -JoAnne<br>""""Soothing to the soul and spirit."""" -David &amp; Dianne<br>""""...make this show your first priority."""" -Donnia<br>""""To really feel Hawaii, you must hear slack key music. It embodies Aloha!"""" -Bill<br>""""Experience real Aloha and the real Hawaii -- very unique. Makes you feel like you are part of a family."""" -Carole &amp; Steve<br>""""This is a must when visiting Kauai. Great learning experience from the stories &amp; music. Excellent!! The music &amp; stories will remain in my mind for a long time!"""" -Lana &amp; Justin<br>""""The most aloha experience on Kauai. The 'ono' of entertainment."""" - Bob &amp; Emily<br> <br>Experience and learn history of Hawaiian slack key guitar &amp; ukulele as well as stories behind the songs, of Hawaii places and history.<br>http://www.McMasterSlackKey.com/liveshows.html</p>",aplenty@hawaiiantel.net,
7:30pm,808-974-7310,03/06/2011,,,http://www.gohawaii.com/big-island/events/internal/112111296,"200 W Kawili St, Hilo, HI&nbsp;&nbsp;96720",HAWAII CONCERT SOCIETY PRESENTS - JOYCE YANG,UHH Performing Arts Center,"<p>A recent winner of the Arthur Rubinstein Prize at Juilliard and an Avery Fisher Career Grant, the 24-year-old South Korean native continues to blossom.</p>",,
6:00pm  - 9:00pm,808-245-2733,03/21/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/1261144,"4331 Kauai Beach Drive, Lihue, HI&nbsp;&nbsp;96766",PRINCE KUHIO CELEBRATION - HULA &amp; HARMONY,Kauai Beach Resort,"<p>Jeff Peterson and Chino Montero &mdash; two of the state's renowned guitar players team up for an evening of slack key guitar. Chino Montero was the former lead guitarist for the Hawaiian band Palolo, and has performed and recorded with the best of Hawaii's artists. Peterson has contributed to two Grammy Award-winning recordings and has been honored with three Na Hoku Hanohano Awards in Hawaii. His latest solo CD Maui on My Mind was recognized as the Slack Key Album of the Year in 2010. Contact: Garden Island Arts Council, giac@hawaiilink.net</p>",giac@hawaiilink.net,
4:00pm  - 6:00pm,808-826-1469,03/11/2011,http://www.McMasterSlackKey.com/liveshows.html,,http://www.gohawaii.com/kauai/events/internal/1215101152,"5-5299 Kuhio Hwy., Hanalei, HI&nbsp;&nbsp;96714",Slack Key Concert - Whales Homecoming,Hanalei Community Center,"<p>Friday 4:00-6:00pm. Hanalei Family Community Center. Award winning traditional Hawaiian slack key guitar &amp; ukulele concert featuring songs &amp; stories of Hawaii's endangered species. FREE gift drawing. Tickets $20 ($15 keiki and seniors).&nbsp; Proceeds support Hale Halawai Ohana o Hanalei and this program.<br>Call 826-1469 for more info and reservations.<br> <br>Directions: In Hanalei, just past Ching Young Shopping Village, look for the Slack Key Concert banner on the mountain side of the road next to the soccer fields. Turn left towards the mountains on the little access road, go twenty yards and turn left and around into the gravelled parking area. The community center is the double yurt brown building.<br> <br>Concerts of award winning Kauai recording artists Doug &amp; Sandy McMaster. They have 8 CDs and a DVD to their credit and work tirelessly to perpetuate the knowledge of traditional Hawaiian slack key guitar and its history.<br> <br>Here's a few audience comments:<br>""""Awesome music &amp; talent!"""" - Kathy<br>""""Beautiful, relaxing music."""" -JoAnne<br>""""Soothing to the soul and spirit."""" -David &amp; Dianne<br>""""...make this show your first priority."""" -Donnia<br>""""To really feel Hawaii, you must hear slack key music. It embodies Aloha!"""" -Bill<br>""""Experience real Aloha and the real Hawaii -- very unique. Makes you feel like you are part of a family."""" -Carole &amp; Steve<br>""""This is a must when visiting Kauai. Great learning experience from the stories &amp; music. Excellent!! The music &amp; stories will remain in my mind for a long time!"""" -Lana &amp; Justin<br>""""The most aloha experience on Kauai. The 'ono' of entertainment."""" - Bob &amp; Emily<br> <br>Experience and learn history of Hawaiian slack key guitar &amp; ukulele as well as stories behind the songs, of Hawaii places and history.<br>http://www.McMasterSlackKey.com/liveshows.html</p>",aplenty@hawaiiantel.net,
6:00pm  - 8:00pm,808-240-6369,03/26/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/021611147,"1571 Poipu Road, Koloa, HI&nbsp;&nbsp;96756",PRINCE KUHIO CELEBRATION - POWERFUL KANE (MALE) HULA,Grand Hyatt Kauai Resort and Spa,"<p>To wrap up the Prince Kuhio Celebration, come, visit and enjoy the magnetic sounds and amazing acrobatic feats of Taiko drummers, followed by the the powerful movements and chants of true Hawaiian dance. See Na Kane O Keoneloa (the men of Keoneloa) as they perform ancient and powerful chants and hula honoring the historic and traditional Native Hawaiian male chants and movement. Feel the strength, power and mystery of this recently revived practice. Located in the main lobby.</p>",stella.burgess@hyatt.com,
10:30am,808-967-8222,03/12/2011,http://www.volcanoartcenter.org,,http://www.gohawaii.com/big-island/events/internal/1215101189,"Hawaii Volcano National Park, HNP, HI&nbsp;&nbsp;96718",NA MEA HAWAII KAHIKO PERFORMANCE,"Volcano Art Center, Gallery","<p>See traditional hula and chant performed outdoors on the hula platform overlooking Kilauea Crater, featuring Halau Haa Kea o Kinohi. 10:30 a.m. Hawaiian cultural demonstrations at Volcano Art Center Gallery from 9:30 a.m. - 1:30 p.m. Hawaii Volcanoes National Park. Free; park entrance fees apply.</p>",,
1:00pm  - 12:00am,,03/12/2011,,,http://www.gohawaii.com/oahu/events/1201101013,"550 S. King Street, Honolulu, HI&nbsp;&nbsp;96814",MAIZOME,Mission Memorial Auditorium,"<p>At the &ldquo;Maizome&rdquo; academy students of all ages will perform various dances and shamisen numbers in a showcase of what they learned last year.&nbsp; The &ldquo;Maizome&rdquo; has been an annual tradition for the Hanayagi Dancing Academy since Hanayagi Mitsuaki founded the organization in 1947. The academy was established on the guiding principle of preserving and perpetuating the classical performing arts of Japan. The academy later incorporated as the Hanayagi Dancing Academy Foundation Hawaii in 2004.<br> <br>Mission Memorial Auditorium is one of three distinctive red-brick buildings located on the Frank F. Fasi Civic Center grounds. The structures were built in 1916 as a tribute to the American Protestant mission to Hawaii. No food or drinks will be allowed in the auditorium.<br> <br>What: Hanayagi Dancing Academy Maizome<br> <br>Where:Mission Memorial Auditorium<br>550 South King Street, next to Honolulu Hale<br> <br>Why:&nbsp;&nbsp; Recital showcasing traditional Japanese music and dance<br> <br>When: Saturday, March 12, 2011, at 1:00 p.m.<br> <br>Admission: Free admission</p>",,
3:00pm  - 5:00pm,808-826-1469,03/13/2011,http://www.McMasterSlackKey.com/liveshows.html,,http://www.gohawaii.com/kauai/events/internal/1215101156,"5-5299 Kuhio Hwy., Hanalei, HI&nbsp;&nbsp;96714",Hawaii's Sunset Music - Slack Key Guitar &amp; Ukulele Concert,Hanalei Community Center,"<p>Sunday 3:00-5:00pm. Hanalei Family Community Center. Award winning traditional Hawaiian slack key guitar &amp; ukulele concert featuring favorite sunset songs &amp; stories. FREE gift drawing. Tickets $20 ($15 keiki and seniors).&nbsp; Proceeds support Hale Halawai Ohana o Hanalei and this program.<br>Call 826-1469 for more info and reservations.<br> <br>Directions: In Hanalei, just past Ching Young Shopping Village, look for the Slack Key Concert banner on the mountain side of the road next to the soccer fields. Turn left towards the mountains on the little access road, go twenty yards and turn left and around into the gravelled parking area. The community center is the double yurt brown building.<br> <br>Concerts of award winning Kauai recording artists Doug &amp; Sandy McMaster. They have 8 CDs and a DVD to their credit and work tirelessly to perpetuate the knowledge of traditional Hawaiian slack key guitar and its history.<br> <br>Here's a few audience comments:<br>""""Awesome music &amp; talent!"""" - Kathy<br>""""Beautiful, relaxing music."""" -JoAnne<br>""""Soothing to the soul and spirit."""" -David &amp; Dianne<br>""""...make this show your first priority."""" -Donnia<br>""""To really feel Hawaii, you must hear slack key music. It embodies Aloha!"""" -Bill<br>""""Experience real Aloha and the real Hawaii -- very unique. Makes you feel like you are part of a family."""" -Carole &amp; Steve<br>""""This is a must when visiting Kauai. Great learning experience from the stories &amp; music. Excellent!! The music &amp; stories will remain in my mind for a long time!"""" -Lana &amp; Justin<br>""""The most aloha experience on Kauai. The 'ono' of entertainment."""" - Bob &amp; Emily<br> <br>Experience and learn history of Hawaiian slack key guitar &amp; ukulele as well as stories behind the songs, of Hawaii places and history.<br>http://www.McMasterSlackKey.com/liveshows.html</p>",aplenty@hawaiiantel.net,
,808-931-0313,03/11/2011,,,http://www.gohawaii.com/oahu/events/internal/111910917,"1801 Kalakaua Ave, Honolulu, HI&nbsp;&nbsp;96814",17TH ANNUAL HONOLULU FESTIVAL,Hawaii Convention Center,"<p>This festival promotes cultural harmony and understanding, and celebrates the diversity of cultures by welcoming visitors and residents to present, participate in and enjoy traditional Japanese, Hawaiian and other Pacific Rim cultural performances at various locations in Honolulu and on Maui. In addition to cultural performances, exhibits and demonstrations, the festival features a Grand Parade through Waikiki. Held at Hawaii Convention Center, Ala Moana Shopping Center, Waikiki, Washington Place, Honolulu Hale, Maui Island.</p>",twatanabe@jtb-hawaii.com,03/13/2011
4:00pm  - 6:00pm,808-826-1469,03/18/2011,http://www.McMasterSlackKey.com/liveshows.html,,http://www.gohawaii.com/kauai/events/internal/1215101153,"5-5299 Kuhio Hwy., Hanalei, HI&nbsp;&nbsp;96714",Kauai In My Heart - Slack Key Concert,Hanalei Community Center,"<p>Friday 4:00-6:00pm. Hanalei Family Community Center. Award winning traditional Hawaiian slack key guitar &amp; ukulele concert featuring songs &amp; stories of the aloha spirit. FREE gift drawing. Tickets $20 ($15 keiki and seniors).&nbsp; Proceeds support Hale Halawai Ohana o Hanalei and this program.<br>Call 826-1469 for more info and reservations.<br> <br>Directions: In Hanalei, just past Ching Young Shopping Village, look for the Slack Key Concert banner on the mountain side of the road next to the soccer fields. Turn left towards the mountains on the little access road, go twenty yards and turn left and around into the gravelled parking area. The community center is the double yurt brown building.<br> <br>Concerts of award winning Kauai recording artists Doug &amp; Sandy McMaster. They have 8 CDs and a DVD to their credit and work tirelessly to perpetuate the knowledge of traditional Hawaiian slack key guitar and its history.<br> <br>Here's a few audience comments:<br>""""Awesome music &amp; talent!"""" - Kathy<br>""""Beautiful, relaxing music."""" -JoAnne<br>""""Soothing to the soul and spirit."""" -David &amp; Dianne<br>""""...make this show your first priority."""" -Donnia<br>""""To really feel Hawaii, you must hear slack key music. It embodies Aloha!"""" -Bill<br>""""Experience real Aloha and the real Hawaii -- very unique. Makes you feel like you are part of a family."""" -Carole &amp; Steve<br>""""This is a must when visiting Kauai. Great learning experience from the stories &amp; music. Excellent!! The music &amp; stories will remain in my mind for a long time!"""" -Lana &amp; Justin<br>""""The most aloha experience on Kauai. The 'ono' of entertainment."""" - Bob &amp; Emily<br> <br>Experience and learn history of Hawaiian slack key guitar &amp; ukulele as well as stories behind the songs, of Hawaii places and history.<br>http://www.McMasterSlackKey.com/liveshows.html</p>",aplenty@hawaiiantel.net,
