image,time,description,price,venueName,startDate,name,moreInfoLink,fullLocation
,7:00pm,Monthly comedy showcase hosted by Natasha Muse.,$10,Actors Theatre San Francisco,Ongoing,A Funny Night for Comedy,http://www.sfweekly.com/events/a-funny-night-for-comedy-1584554/,"855 Bush (at Taylor), San Francisco CA"
,7:00pm,,$10,San Francisco Comedy College,Ongoing,The Stand-Up Project&#146;s Pro Workout,http://www.sfweekly.com/events/the-stand-up-projectand-146-s-pro-workout-1289283/,"414 Mason (at Geary), San Francisco CA"
,8:00pm,,$10,Punch Line,Ongoing,S.F. Comedy Showcase,http://www.sfweekly.com/events/s-f-comedy-showcase-962122/,"444 Battery (at Clay), San Francisco CA"
,8:00pm,"With Chris Garcia, Sean Keane, Alex Koll, and Bucky Sinister.",$5,Dark Room Theater,Ongoing,The Business: A Comedy Show,http://www.sfweekly.com/events/the-business-a-comedy-show-1442782/,"2263 Mission (at 18th St.), San Francisco CA"
,8:00pm,With host Rich Stimbra and new talent.,$5,San Francisco Comedy College,Ongoing,Hump Day Comedy,http://www.sfweekly.com/events/hump-day-comedy-669984/,"414 Mason (at Geary), San Francisco CA"
,8:00pm,,$5,San Francisco Comedy College,Ongoing,Thursday Night Fling,http://www.sfweekly.com/events/thursday-night-fling-1199230/,"414 Mason (at Geary), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4455343.1.jpg,7:30pm,With host Paco Romane.,$7,Make-Out Room,Ongoing,The Romane Event,http://www.sfweekly.com/events/the-romane-event-682804/,"3225 22nd St. (at Mission), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4653547.47.jpg,4:00pm,"What's special about the Castro Farmers' Market? Nothing -- and that's what's so great about it. (The Sisters of Perpetual Indulgence were at last week's opening festivities, but that's pretty much it, far's we know.) Farmers' markets don't need to be special. What they need to be is in your neighborhood, and to have healthy, fresh, direct-to-you fruits and vegetables. And this one has all that, plus the usual cute little ""live music and activities"" you've come to expect from a market. We love how farmers' markets are ceasing to be special. Don't treat this one special, just bring your regular old bags from home, buy your ho-hum heirloom tomatoes, and rejoice inwardly.",free,Castro (at Noe),Ongoing,Castro Farmers' Market,http://www.sfweekly.com/events/castro-farmers-market-1934047/,"Castro (at Noe), San Francisco CA"
,7:00pm,An ongoing series of potluck dinners for those from Native American backgrounds in the GLBT community.,free,San Francisco LGBT Community Center,Ongoing,Bay Area American Indian Two Spirits,http://www.sfweekly.com/events/bay-area-american-indian-two-spirits-9314/,"1800 Market (at Octavia), San Francisco CA"
,,Gay boys (and friends) enjoy two-for-one drinks every day until 9 p.m.,,Q Bar,Ongoing,Drink and Be Mary,http://www.sfweekly.com/events/drink-and-be-mary-1876658/,"456 Castro (at Market), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4399649.1.jpg,5:00pm-7:00pm,Featuring $5 tapas and $5 glasses of wine in the bar/lounge area.,,Medjool,Ongoing,Five After 5 Happy Hour,http://www.sfweekly.com/events/five-after-5-happy-hour-1876605/,"2522 Mission(at 21st St), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/3971161.1.jpg,5:00pm-8:00pm,Sushi and booze for all my friends!,free,The Knockout,Ongoing,Godzuki Happy Hour,http://www.sfweekly.com/events/godzuki-happy-hour-324419/,"3223 Mission (at Valencia), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/3971167.1.jpg,5:30pm-8:00pm,Your choice of burger plus a pint of Sierra Nevada for $10.,,Triple Crown,Ongoing,Burger Wednesdays,http://www.sfweekly.com/events/burger-wednesdays-1876653/,"1760 Market (at Octavia), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4851096.45.jpg,8:00pm,"Otherwise known as ""Beer, Bratz, and Babes.""",free,Gestalt Haus,Ongoing,Ladies' Night at Gestalt Haus,http://www.sfweekly.com/events/ladies-night-at-gestalt-haus-9317/,"3159 16th St. (at Albion), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4300260.1.jpg,5:00pm-12:00am,Muddle your brain with $5 Cuban cocktails all night Thursdays.,,Enrico's,Ongoing,The Mojito Club,http://www.sfweekly.com/events/the-mojito-club-1876659/,"504 Broadway (at Kearny), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4126083.1.jpg,5:00pm-8:00pm,Two great tastes that taste great together.,,KoKo Cocktails,Ongoing,Bourbon & Bacon Happy Hour,http://www.sfweekly.com/events/bourbon-and-bacon-happy-hour-1875601/,"1060 Geary (at Van Ness), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4532541.1.jpg,5:30pm,"Free oysters (while they last, which ain't long) every Friday evening.",,El Rio,Ongoing,Half-Shell Happy Hour,http://www.sfweekly.com/events/half-shell-happy-hour-1876661/,"3158 Mission (at Precita), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4553551.1.jpg,10:00am-2:00pm,Juicy champagne cocktails (and $5 bloody marys) to soothe your weekend hangover.,,Nickies,Ongoing,Bottomless Mimosa Brunch,http://www.sfweekly.com/events/bottomless-mimosa-brunch-1876657/,"466 Haight (at Fillmore), San Francisco CA"
,10:00am,"Peruse fresh fruits and vegetables and goods like honey, bread, and cheese from a variety of local growers and producers.",free,Ferry Building,Ongoing,Ferry Plaza Saturday Farmers' Market,http://www.sfweekly.com/events/ferry-plaza-saturday-farmers-market-9085/,"One Ferry Building (at Embarcadero and Market), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4532541.1.jpg,3:00pm-8:00pm,w/ DJs Carnita & Brown Amy,$5 (or $10 with beer & BBQ from 3-5 p.m.),El Rio,Ongoing,"""Hard French""",http://www.sfweekly.com/events/hard-french-1871315/,"3158 Mission (at Precita), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4417598.1.jpg,4:00pm-8:00pm,"Monthly fundraiser for local canine charities, with drink prices that won&#146;t eat your wallet.",,Doc's Clock,Ongoing,Saturday Doggie Happy Hour,http://www.sfweekly.com/events/saturday-doggie-happy-hour-1876660/,"2575 Mission (at 21st St.), San Francisco CA"
,10:00am,,$64 ($35 for kids under 12),Top of the Mark,Ongoing,Michael Athans,http://www.sfweekly.com/events/michael-athans-1948107/,"One Nob Hill, 999 California (at Mason), San Francisco CA"
,11:00am-2:00pm,w/ Supertaster Quartet featuring Karyn Paige,$15,Farmerbrown,Ongoing,"""Soul Sunday Brunch""",http://www.sfweekly.com/events/soul-sunday-brunch-1211665/,"25 Mason (at Market), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4701707.1.jpg,2:00pm,w/ DJ Twist,free,The Cafe,Ongoing,"""The Cafe Cookout""",http://www.sfweekly.com/events/the-cafe-cookout-1653296/,"2369 Market (at Castro), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4844867.45.jpg,6:00pm,A three-course dinner and backstage access to the exhibits.,,California Academy of Sciences,Ongoing,After-Hours Wine and Dine Tour: California Academy of Sciences,http://www.sfweekly.com/events/after-hours-wine-and-dine-tour-1793217/,"55 Music Concourse (at Martin Luther King Jr., in Golden Gate Park), San Francisco CA"
,3:00pm,"Visit the open-air market for fresh produce, Asian vegetables, artisanal breads, and more direct from more than 25 growers and producers.",,Chestnut & Fillmore,Ongoing,Marina District Farmers' Market,http://www.sfweekly.com/events/marina-district-farmers-market-9521/,"Chestnut & Fillmore, San Francisco CA"
,6:00pm,"Monthly Castro District block party and ""neighborhood celebration"" featuring food and drink specials at Cafe Flore, Lime, Lookout, Trigger, Mix, and more.",,Multiple San Francisco locations,Ongoing,Whatcha Doin' Wednesdays,http://www.sfweekly.com/events/whatcha-doin-wednesdays-1948005/,"multiple addresses, San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4701706.1.jpg,9:00pm,w/ resident DJs B-Haul & Gordon Gartrell,,Lookout,Ongoing,"""Dirty Dishes""",http://www.sfweekly.com/events/dirty-dishes-1940104/,"3600 16th St. (at Noe), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4332943.47.jpg,9:00pm,"A hand-picked assortment of bright young DJs, musicians, and designers sharing a love of timeless disco, Honey Soundsystem began as a roving revelry and gradually worked its way up to a weekly gig. A grab-bag of queer nightlife surprises, each session invariably draws upon the talents of guest DJs, while residents like Pee Play, Jason Kendig, and Robot Hustle pump out head-turning early house and vocal disco. &#151; Evan James",,Paradise Lounge,Ongoing,"""Honey Sunday""",http://www.sfweekly.com/events/honey-sunday-1229924/,"1501 Folsom (at 11th St.), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/4251110.47.jpg,7:30pm,"It isn&#146;t every day that you feel a little bit smarter after spending a couple of hours with a drag queen. Brain Farts, however, calls upon any of you eager to test your trivia skills to do so in the presence of two wise-cracking glamazon hosts. Ever well-versed in the latest pop-cultural gossip, Pollo del Mar and BeBe Sweetbriar can also dish out questions on history, art, and the purely random that will challenge even the most inveterate trivia buff. Expect all of the regular trivia night amenities &#151; drink specials, bar food, blood-thirsty competitive guests &#151; plus the sort of spirited crowd that makes gay bars and drag shows such a social delight. Winning teams take home CDs, DVDs, or other random crap, but the true sense of pride comes with knowing what Angela&#146;s son&#146;s name was on Who&#146;s the Boss, how many bones babies have when they're born, and the name of the nearest galaxy to the Milky Way. If you answered &#147;Jonathon, a lot, and Delaware,&#148; you&#146;ve probably had one too many vodka tonics, and you had better not shout out the answers, or you can count on a little drag wrath. Then again, drag wrath is most of the fun.",free,Lookout,Ongoing,Brain Farts,http://www.sfweekly.com/events/brain-farts-934835/,"3600 16th St. (at Noe), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/969261.47.jpg,7:30pm,"Charlie Anders, blond of bob and mini of skirt, is the hostess with the mostest science fiction at her literary hootenanny, Writers with Drinks. (She's also the news editor of io9, Gawker's sci-fi/fantasy blog.) Aside from Anders' charming ways, the lineup of readers is always delightful: Among the gems this month is puppeteer Mary Robinette Kowal, who has performed for Jim Henson Pictures and on LazyTown. Kowal also won a Campbell Award for best new science-fiction writer, and her story &#147;Evil Robot Monkey&#148; is a sweet and funny tale sure to whet anyone&#146;s appetite for her upcoming novel, Shades of Milk and Honey. She is joined by Javier Grillo-Marxuach, S. Bear Bergman, Naomi Quinonez, and Kat Richardson. Tonight&#146;s show is a benefit for El/La Programa Para TransLatinas, a group providing HIV prevention services, counseling, and other support for the trans Latina community in San Francisco&#146;s Mission District.",$3-$5,Make-Out Room,Ongoing,Writers with Drinks,http://www.sfweekly.com/events/writers-with-drinks-24841/,"3225 22nd St. (at Mission), San Francisco CA"
,3:00pm,"A safe, fun after-school hangout for queer youth up to age 23 and trans-identified youth up to age 25.",,LYRIC,Ongoing,After-School Program,http://www.sfweekly.com/events/after-school-program-9366/,"123-127 Collingwood (at 18th St.), San Francisco CA"
,7:00pm,"A monthly performance/visual arts/lecture/film series designed to promote health awareness, positive lifestyles, community, and cultural pride.",,Black Coalition on AIDS,Ongoing,The Audre & Langston Salon,http://www.sfweekly.com/events/the-audre-and-langston-salon-35805/,"2800 Third St. (at 24th St.), San Francisco CA"
,1:00pm,Hang out and have a casual conversation over coffee with HIV+ people.,$1 for coffee,San Francisco LGBT Community Center,Ongoing,Thrive,http://www.sfweekly.com/events/thrive-9320/,"1800 Market (at Octavia), San Francisco CA"
,3:30pm,Soccer-playing women meet in the park each week for a casual game.,,Dolores Park,Ongoing,Queer-Friendly Women's Soccer Game,http://www.sfweekly.com/events/queer-friendly-womens-soccer-game-9323/,"Dolores (between 18th & 20th sts.), San Francisco CA"
,4:00pm,Each month the readers tackle a different queer book and discuss it at the next meeting.,free,A Different Light Bookstore,Ongoing,First Sundays Queer Fiction Book of the Month Group,http://www.sfweekly.com/events/first-sundays-queer-fiction-book-of-the-month-group-21847/,"489 Castro (at 18th St.), San Francisco CA"
,7:00pm,All-ages genderqueer group.,,Pacific Center for Human Growth,Ongoing,United Genders of the Universe,http://www.sfweekly.com/events/united-genders-of-the-universe-9692/,"2712 Telegraph (at Ward), Berkeley CA"
,10:30pm,Meet and chat with other queers over coffee at this casual drop-in event.,,Long Haul Infoshop,Ongoing,No Loitering,http://www.sfweekly.com/events/no-loitering-9690/,"3124 Shattuck (at Prince), Berkeley CA"
,1:30pm,"This support group meets regularly to discuss issues common to gay, lesbian, bisexual, and transgendered caregivers of people with Alzheimer's.",,SFSU Campus,Ongoing,GLBT Caregivers Support Group,http://www.sfweekly.com/events/glbt-caregivers-support-group-9369/,"1600 Holloway (at 19th Ave.), San Francisco CA"
,6:30pm,Drop-in life drawing.,,Mark I. Chester Studio,Ongoing,Gay Men's Sketch,http://www.sfweekly.com/events/gay-mens-sketch-598774/,"1229 Folsom (at Eighth St.), San Francisco CA"
,,"A mixed-gender, peer-led support group for bisexuals.",$3-$5,San Francisco LGBT Community Center,Ongoing,San Francisco Bisexual Discussion Group,http://www.sfweekly.com/events/san-francisco-bisexual-discussion-group-32643/,"1800 Market (at Octavia), San Francisco CA"
,7:00pm,"Lessons begin at this monthly event, featuring ballroom, Latin, country, salsa, and swing music. All are welcome; fancy dress is encouraged.",$10-$12,Synergy School,Ongoing,Monthly Queer Ballroom Party,http://www.sfweekly.com/events/monthly-queer-ballroom-party-59422/,"1387 Valencia (at 25th St.), San Francisco CA"
http://vvoice.vo.llnwd.net/e15/2968909.1.jpg,8:00pm,"Quarterly film series; features conversations, analysis, and more with local trans, queer, and women filmmakers.",$5,Femina Potens,Ongoing,Down & Dirty: the Intimate World of Queer Filmmaking,http://www.sfweekly.com/events/down-and-dirty-the-intimate-world-of-queer-filmmaking-94633/,"2199 Market (at Sanchez), San Francisco CA"
,12:00pm,A monthly recess period for queer and transgendered fun-seekers.,free,Corona Heights Park Playground,Ongoing,HICCUP!,http://www.sfweekly.com/events/hiccup--9338/,"States & Castro, San Francisco CA"
http://vvoice.vo.llnwd.net/e15/2946096.1.jpg,7:00pm,General membership meeting.,,Women's Building,Ongoing,Harvey Milk LGBT Democratic Club Meeting,http://www.sfweekly.com/events/harvey-milk-lgbt-democratic-club-meeting-23892/,"3543 18th St. (at Valencia), San Francisco CA"
