description,locationPhone,startDate,fullAddress,endDate,image,title,place,moreInfoLink
"<p>âThe Liquid Networkâ which uses the Jordan Mozer Design Studio as itâs backdrop and melds together the classical, contemporary and popular dances of India into a whimsical narrative allowing the performers and audience to mingle with each other.</p>",,04/21/2011,"320 W. Ohio St. 7th floor, Chicago, IL",04/21/2011,http://my.seechicagodance.com/files/20110309114313.jpg,Kalapriya's The Liquid Network,"Jordan Mozer and Associates, Ltd. Design Studio",http://www.seechicagodance.com/performance/442
"<p>The NU Group is a collective of artists presenting work created, designed and performed by NU Alum, April 22-23 at Building Stage (1044 West Kinzie Street, Chicago, IL)</p>  	<p>Alums Julia Rhoads of Lucky Plush, Peter Carpenter, Annie Beserra of Striding Lion, Meghann Wilkinson of Lucky Plush, Adam Gauzza of Same Planet Different World, Michala Stock of NYC&#8217;s Eyes of A Blue Dog, Genevieve Garcia, and Jeff Hancock will be creating works for the NU Group.</p>",(312) 491-1369,04/22/2011,"1044 W. Kinzie Street, Chicago, IL",04/23/2011,http://my.seechicagodance.com/files/20110414163354.jpg,The NU Group in Chicago,The Building Stage,http://www.seechicagodance.com/performance/433
"<p>In his return to directing, Jeannot Painchaud presents a show positively crackling with daring and modernity. Cirque Ãloizeâs brand new creation, iD is a blend of circus arts and urban dance: b-boying/b-girling, breakdance, hip-hop and more. The scene is set in the heart of a city, in a public space where people seek refuge and a chance to shed their anonymity; a place where identity is forged and individuality is expressed to a stimulating soundtrack created by composers Jean-Phi Goncalves (Beast) and Alex McMahon.</p>",312-977-1700,04/26/2011,"17 North State Street, Suite 810, Chicago, IL",05/08/2011,http://my.seechicagodance.com/files/20110420103555.jpg,Cirque Eloize iD,Broadway in Chicago,http://www.seechicagodance.com/performance/474
"<p>Perceptual Motion, Inc. presents Through the Window, two evenings of modern dance, featuring   an eclectic array of music that includes original music written and performed live, two premieres by Lin Shook and the premiere of collaboration with choreographer Harvard Vallance.   A free yoga class (with ticket purchase) will be held from 6:30 to 7:00 on Thursday, April 28.  Original music is by Andrew Edwards of www.bluepolicebox.com. and Blanche Blacke of www.shakuraworld.org.  Post performance discussions will be held each night.</p>",773.880.5402,04/28/2011,"3035 N. Hoyne, Chicago, IL",04/29/2011,http://my.seechicagodance.com/files/20110401104115.bmp,"Perceptual Motion, Inc. presents Through the Window",Hamlin Park Fieldhouse Theater,http://www.seechicagodance.com/performance/457
"<p>The NU Group is a collective of artists presenting work created, designed and performed by NU Alum, April 29-30 at Marjorie Ward Marshall Ballroom Theater, Northwestern University (10 Arts Circle Dr, Evanston,IL)</p>  	<p>Alums Julia Rhoads of Lucky Plush, Peter Carpenter, Annie Beserra of Striding Lion, Meghann Wilkinson of Lucky Plush, Adam Gauzza of Same Planet Different World, Michala Stock of NYC&#8217;s Eyes of A Blue Dog, Genevieve Garcia, and Jeff Hancock will be creating works for the NU Group.</p>",847-491-3147,04/29/2011,"10 Arts Circle Drive, Chicago, IL",04/30/2011,http://my.seechicagodance.com/files/20110415120123.jpg,The NU Group @ NU!,Northwestern University Marjorie Ward Marshall Ballroom Theater,http://www.seechicagodance.com/performance/434
"<p>This show features classical contemporary ballet, with music by Manuel Wandji and Edo de Waart, and the music of San Francisco Symphony Orchestra. The performance will showcase Classical, Neo-Classical, Chinese Folk Dance and Broadway styles of Dance. Enjoy a special performance by New York City&#8217;s, &#8220;Cyclone,&#8221; featuring his unique style of Break Dancing. There will be a live composition by concert pianist, Josh McGehee. Artistic Director, Terry Fox&#8220;s choreography is from his upcoming international workshop, Steps to the Stage 2011,  held in Varna, Bulgaria July 10th.</p>",,04/30/2011,"Chicago, IL",04/30/2011,http://my.seechicagodance.com/files/20110420121707.jpg,Awakening Underground Arts Connection Spring Show,,http://www.seechicagodance.com/performance/469
"<p>DanceWorks Chicago is excited to partner with The Ruth Page Center for the Arts on Dance Chance, a one-hour event designed to offer opportunities for choreographers to show their work informally, create a forum for dialogue among artists, and build audience for dance. Inspired by the concept of open-mic night, Dance Chance is held once a month and features 3 choreographers chosen by chance, each of whom has a 15-minute time slot to share their work. To round out the hour, the final 15-minute segment is a moderated meet-the-artist session providing an opportunity for choreographers to discuss their work and process as well as time for the audience to ask questions. At the end of each Dance Chance, the next trio of participants is chosen from names submitted by choreographers in attendance. The event, held in the intimate theater of the Ruth Page Center, 1016 N. Dearborn, is open to the public.</p>",312.337.6543,05/02/2011,"1016 N. Dearborn Parkway, Chicago, IL",07/11/2011,http://my.seechicagodance.com/files/20100204182607.jpg,DANCE CHANCE,Ruth Page Center for the Arts,http://www.seechicagodance.com/performance/209
"<p>The Joffrey Ballet?s 2010-2011 Stars season concludes this spring with &#8220;Rising Stars,&#8221; a mixed repertory program featuring two World Premieres by Edwaard Liang and Yuri Possokhov, plus a company premiere by Julia Adam.</p>",312.922.2110,05/04/2011,"50 East Congress Parkway, Chicago, IL",05/15/2011,http://my.seechicagodance.com/files/20100819111145.jpg,"Joffrey Ballet presents ""Rising Stars""",Auditorium Theatre of Roosevelt University,http://www.seechicagodance.com/performance/436
"<p>Innervation Dance Cooperative presents<br /> Remastered an eclectic and innervating repertory concert with music by Led Zeppelin, The Shins, Kronos Quartet, Feist, Patsy Cline, Tom Waits, and many others<br /> May 5-8, at Thurgood Marshall Middle School</p>",773-534-5200,05/05/2011,"3900 North Lawndale Avenue, Chicago, IL",05/08/2011,http://my.seechicagodance.com/files/20110313135932.jpg,"Innervation Dance Cooperative presents Remastered, an eclectic and ""innervating"" repertory concert",Thurgood Marshall Middle School,http://www.seechicagodance.com/performance/445
"<p>Kate Corby & Dancers present four works in Catch, including three Chicago premieres.  Corby began developing the centerpiece of the concert, Catch, last summer with collaborating company members Erin Kilmurray, Emily Miller, Anna Normann and Michelle Scurlock.</p>",773-281-0824,05/06/2011,"3435 N. Sheffield, Chicago, IL",05/08/2011,http://my.seechicagodance.com/files/20110225124523.jpg,"""Catch"" presented by Kate Corby and Dancers",Links Hall,http://www.seechicagodance.com/performance/429
"<p>As NoMi LaMad brings its fourth season to close, the company takes an insightful look at the resiliency of human nature.  What began as a look at woman&#8217;s struggle with sickness, self-image, and relationships, quickly blossomed into a study of how people everywhere are &#8216;defying the odds.&#8217;  Between the recession, arts funding being cut, and the day-to-day struggles we all face, NoMi LaMad takes a deeper look at how these battles are fought and survived.</p>",312.337.6543,05/13/2011,"1016 N. Dearborn Parkway, Chicago, IL",05/14/2011,http://my.seechicagodance.com/files/20110417154820.jpg,Defying the Odds,Ruth Page Center for the Arts,http://www.seechicagodance.com/performance/361
"<p>Windy City Rhythms features Chicago&#8217;s very own tap community &#8211; from pros to aficionados &#8211; alongside special guests and respected elders. <span class=""caps"">WCR</span> is CHRP&#8217;s contribution to National Tap Dance Day events held around the world commemorating Bill &#8220;Bojangles&#8221; Robinson&#8217;s birthday and celebrating the African and Irish roots of American tap.</p>",773-947-0600,05/15/2011,"740 E. 56th Place, Chicago, IL",05/15/2011,http://my.seechicagodance.com/files/20110412170718.jpg,Windy City Rhythms,DuSable Museum of African American History,http://www.seechicagodance.com/performance/470
"<p>This year, Alvin Ailey American Dance Theater celebrates the 50th anniversary of Alvin Ailey&#8217;s Revelations! There&#8217;s never been a better time to experience the grace, artistry and athleticism of America&#8217;s &#8220;Cultural Ambassador to the World.&#8221; </p>",312.922.2110,05/18/2011,"50 East Congress Parkway, Chicago, IL",05/22/2011,http://my.seechicagodance.com/files/20110330171244.jpg,Alvin Ailey American Dance Theater,Auditorium Theatre of Roosevelt University,http://www.seechicagodance.com/performance/456
"<p>A company premiere and start of a new cross-company collaboration!</p>  	<p>The beginning of an unprecedented collaboration between Hubbard Street and <span class=""caps"">LINES</span> Ballet begins with the company premiere of <span class=""caps"">LINES</span> Artistic Director Alonzo Kingâs acclaimed work Following the Subtle Current Upstream.</p>",312-334-2400,05/19/2011,"205 E. Randolph St., Chicago, IL",05/22/2011,http://my.seechicagodance.com/files/20110414131941.jpg,Hubbard Street Dance Chicago Summer Series,Harris Theater for Music and Dance,http://www.seechicagodance.com/performance/455
