moreInfo,latitude,hours,phone,venueLink,longitude,state,endDate,image,name,address,city,startDate,price,description,time,venue
http://www.thestranger.com/seattle/Event?event=3914469,47.69406,,,http://www.thestranger.com/seattle/shanty-tavern/Location?oid=24965,-122.30531,WA,04/30/2011,,"the Rawmones, Electric Biscuit, Stevie Ray Guns",9002 Lake City Way NE     &nbsp;&nbsp;,Seattle,04/30/2011,$5,,9 pm.,Shanty Tavern
http://www.thestranger.com/seattle/Event?event=3553344,47.66793,,(206) 784-4880,http://www.thestranger.com/seattle/sunset-tavern/Location?oid=24022,-122.38552,WA,04/30/2011,,"Bronze Fawn, Joy Wants Eternity, By Sunlight",5433 Ballard Ave NW     &nbsp;&nbsp;,Seattle,04/30/2011,$7,,10 pm.,Sunset Tavern
http://www.thestranger.com/seattle/Event?event=4312680,47.61454,Daily 2 pm-2 am,(206) 323-1525,http://www.thestranger.com/seattle/cuff-complex/Location?oid=24134,-122.3157,WA,06/27/2012,,Pride Day Street Party:                                       Chi Chi LaRue,1533 13th Ave     &nbsp;&nbsp;,Seattle,06/27/2012,$15,,8 pm.,Cuff Complex
http://www.thestranger.com/seattle/Event?event=437661,47.61423,,(206) 323-CUBA,http://www.thestranger.com/seattle/havana/Location?oid=55817,-122.31919,WA,08/28/2010,,"DJ N8, Sean Cee, Guests",1010 E Pike St     &nbsp;&nbsp;,1010 E Pike St,08/28/2010,$5,,,Havana
http://www.thestranger.com/seattle/Event?event=4631105,47.66856,,206-297-BOOM,http://www.thestranger.com/seattle/sonic-boom-records/Location?oid=24099,-122.38509,WA,08/19/2010,,Kate Tucker,2209 NW Market St     &nbsp;&nbsp;,2209 NW Market St,08/19/2010,Free,,7 pm.,Sonic Boom Records
http://www.thestranger.com/seattle/Event?event=4548672,47.61423,,(206) 323-CUBA,http://www.thestranger.com/seattle/havana/Location?oid=55817,-122.31919,WA,08/26/2010,,Aqueduct,1010 E Pike St     &nbsp;&nbsp;,1010 E Pike St,08/26/2010,,,,Havana
http://www.thestranger.com/seattle/Event?event=55820,47.61423,,(206) 323-CUBA,http://www.thestranger.com/seattle/havana/Location?oid=55817,-122.31919,WA,08/20/2010,,"Curtis, Sean Cee, Guests",1010 E Pike St     &nbsp;&nbsp;,1010 E Pike St,08/20/2010,$5,,,Havana
http://www.thestranger.com/seattle/Event?event=3790458,47.61423,,(206) 323-CUBA,http://www.thestranger.com/seattle/havana/Location?oid=55817,-122.31919,WA,08/18/2010,,"The Get Down:                                       Specs One, Mad Max, Al Nightlong, Scratchmaster Joe",1010 E Pike St     &nbsp;&nbsp;,1010 E Pike St,08/18/2010,Free,,9 pm.,Havana
http://www.thestranger.com/seattle/Event?event=4226185,47.61423,,(206) 323-CUBA,http://www.thestranger.com/seattle/havana/Location?oid=55817,-122.31919,WA,08/31/2010,,"Snaps:                                       Sean Cee, DJ Jusofine",1010 E Pike St     &nbsp;&nbsp;,1010 E Pike St,08/31/2010,Free,,,Havana
http://www.thestranger.com/seattle/Event?event=4517917,47.61459,,(206) 441-9729,http://www.thestranger.com/seattle/jazz-alley/Location?oid=23889,-122.33891,WA,08/18/2011,,"Jeff Lorber Fusion feat. Eric Marienthal, Jimmy Haslip, and Will Kennedy",2033 Sixth Ave     &nbsp;&nbsp;,Seattle,09/16/2010,$28.50 w/ reservations,,,Jazz Alley
