moreInfo,timeDate,images,name,venue,description,price
http://artsneworleans.eventsframed.com/events_framed/detail/5443/V-Day-New-Orleans-PWBC-2011-The-Vagina-Monologues,,"http://artsneworleans.eventsframed.com/_user/images/wides/929351f88fccd065a89f180da36be50f.JPG, http://artsneworleans.eventsframed.com/_user/images/wides/d896e71290956a168b6420376a6bc5bd.JPG, http://artsneworleans.eventsframed.com/_user/images/wides/214af32ecd7e930544df49f37ce732b3.jpg",V-Day New Orleans PWBC 2011 The Vagina&nbsp;Monologues,LeRoux Supper Club and Banquet Hall,"Please come out on Friday April 8th or Saturday April 9th for a night of fun, entertainment and help us support <span class=""caps"">RAINN</span> (Rape, Abuse and Incest National Network). </p>  	<p>For the second year Phenomenal Women Book Club is a participant in the global VDay campaign by organizing a benefit performance of Eve Ensler&#8217;s &#8220;The Vagina Monologues&#8221;. Come take a walk in the shoes of theses real women&#8217;s stories of their sexual and life experiences.</p>  	<p>Admission: $15 in advance and $20 at the door<br /> Contact: Makeda Peterson at 504-756-0938 or <a href=""http://www.wix.com/PWBCVDAY/VDay2011"">http://www.wix.com/PWBCVDAY/VDay2011</a><br /> Goal: To raise awareness to stop violence against women and girls and funds for our beneficiaries – Rape, Abuse &amp; Incest National Network (<span class=""caps"">RAINN</span>) and the women and children of Haiti</p>  	<p>Please don&#8217;t judge a play by its name, that shouldn&#8217;t deter you from coming out to this informative yet entertaining production of &#8220;The Vagina Monologues&#8221;.</p> 			<p>Visit us on <span class=""social""><a target=""_blank"" href=""http://www.facebook.com/group.php?gid=288921420920&v=app_2344061033&ref=ts#!/event.php?eid=118742161537309"">facebook</a></span></p>",$15 in advance and $20 performance night
http://artsneworleans.eventsframed.com/events_framed/detail/5152/Our-Man-a-performance-by-Goat-in-the-Road-Productions,"Saturday (07:00 PM, 09:00 PM)",http://artsneworleans.eventsframed.com/_user/images/wides/f1199347aca94b1408c786e51eb0d280.jpg,Our Man a performance by Goat in the Road&nbsp;Productions,Trouser House,"April 9-16, 2011 <br /> Our Man<br /> a performance by Goat in the Road Productions <br /> April 9: 7pm and 9pm<br /> April 15: 8pm<br /> April 16: 8pm</p>  	<p>Our Man is a comedic multidisciplinary performance work that explores the intersection of performance and politics in the modern age, through the lenses of 1950’s era radio broadcasts, and a decidedly fictional approach to American political history. Two men in a small glass box are tasked with narrating the life and accomplishments of one of the nations most controversial leaders, “The Gipper”. Forced to perform the same radio play over and over again for an invisible audience, the lines of fact and fiction blur as the men begin to slowly re-write the course of history in an effort to entertain each other and<br /> understand the context of their unusual situation. Through clever and hilarious half truths and brutal mudslinging tactics, the two find themselves arguing their way through small towns in the Midwest, all the way to Europe on the front lines of <span class=""caps"">WWII</span>, all the while deciding whether or not to elect their only possession, an old wooden tennis racquet, their President.</p>  	<p>Our Man is conceived and performed by GRP’s William Bowling and Christopher Kaminstein, and is written by the duo and collaborator Sascha Stanton-Craven.</p>  	<p>Goat In The Road is a young, New Orleans based performance ensemble, dedicated to the production of original and invigorating new works or theatre, dance, performance art, and educational programming. Their work has been presented at the New Orleans Fringe Festival in 2008 (Calculus of Hope) and 2009 (Major Swelling Salvation Salve Medicine Show) and in other theaters and site-specific locations around New Orleans.</p>  	<p>For more information visit <a href=""http://www.goatintheroadproductions.org"">http://www.goatintheroadproductions.org</a>.</p>",
http://artsneworleans.eventsframed.com/events_framed/detail/5352/PlayWrite-Showcase,,http://artsneworleans.eventsframed.com/_user/images/wides/7aa7880069a0450b2f0149fe6663cc66.jpg,Play/Write&nbsp;Showcase,CAC / Contemporary Arts Center,"The Play/Write Showcase is the culmination of Goat in the Road&#8217;s 10-weeks of playwriting classes at the International School of Lousiana and St. Mary&#8217;s Academy.  At the Showcase, 6 of the students&#8217; plays (all 80 of the fifth and seventh-grade students involved in the program wrote plays) will be performed by Artspot Productions, Ashe Cultural Arts Center, and <span class=""caps"">NEW</span> <span class=""caps"">NOISE</span>.  </p>  	<p>Play/Write is supported by a grant from the Louisiana Division of the Arts, Office of Cultural Development, Department of Culture, Recreation and Tourism, in cooperation with the Louisiana State Arts Council, a Community Arts Grant made possible by the City of New Orleans, and by a grant from the New Orleans Jazz &amp; Heritage Foundation. The grants are administered through the Arts Council of New Orleans.</p>",$5 suggested donation
http://artsneworleans.eventsframed.com/events_framed/detail/4963/Man-of-La-Mancha,Friday (08:00 PM),http://artsneworleans.eventsframed.com/_user/images/wides/9101476cf77be15a38b1c07fe7a3b2b8.JPG,Man of La&nbsp;Mancha,Dixon Hall Tulane University,"The 44th season opens June 23-26 with the classic, Man of La Mancha (book by Dale Wasserman, music by Mitch Leigh, and lyrics by Joe Darion). Man of La Mancha  tells the story of Miguel de Cervantes. He is aging and an utter failure in his varied careers as playwright, poet and tax collector for the government and has been thrown into a dungeon in Seville to await trial by the Inquisition for an offense against the Church. Thus begins the journey that is Man of La Mancha – a remarkable show and one of the great theatre successes of our time having been revived four times on Broadway. This multi Tony award-winning musical is a play-within-a-play, based on Cervantes&#8217; Don Quixote. We have a poignant story of a dying old man whose impossible dream takes over his mind. His dream is Everyman&#8217;s dream. His tilting at windmills is Everyman&#8217;s great adventure. Somehow, the footlights disappear, time is telescoped and the Man of La Mancha speaks for humankind. “It&#8217;s All the Same,” “Dulcinea,” “I&#8217;m Only Thinking of Him,” “I Really Like Him,” “Little Bird,” and “The Impossible Dream” remain in your thoughts and in your soul well after you experience the performance.</p> 			<p>Visit us on <span class=""social""><a target=""_blank"" href=""http://www.facebook.com/pages/Summer-Lyric-Theatre-at-Tulane-University/55847830901"">facebook</a></span></p>",Orchestra: $37.00 per ticket Balcony: $28.00 per ticket  Season Subscriptions Orchestra: $98.00 Balcony: $70.00
http://artsneworleans.eventsframed.com/events_framed/detail/4964/Into-the-Woods,Friday (08:00 PM),http://artsneworleans.eventsframed.com/_user/images/wides/64bb0156bf21e13e5d2b11e9cf1361ff.JPG,Into the&nbsp;Woods,Dixon Hall Tulane University,"James Lapine and Stephen Sondheim&#8217;s multi Tony award-winning fractured fairy tale, Into the Woods, opens as the season’s second production from July 14 -17. An ambivalent Cinderella? A blood-thirsty Little Red Ridinghood? A Prince Charming with a roving eye? A Witch&#8230;who raps? They&#8217;re all among the cockeyed characters in Into the Woods. When a Baker and his Wife learn they&#8217;ve been cursed with childlessness by the Witch next door, they embark on a quest for the special objects required to break the spell, swindling, lying to and stealing from Cinderella, Little Red, Rapunzel and Jack (the one who climbed the beanstalk). Everyone&#8217;s wish is granted at the end of Act One, but the consequences of their actions return to haunt them later, with disastrous results. What begins as a lively irreverent fantasy becomes a moving lesson about community responsibility and the stories we tell our children. Thought-provoking and memorable songs such as “Into the Woods,” &#8220;No One Is Alone,&#8221; and “Children Will Listen&#8221; beckon you. So by all means, go to Into the Woods. Admire the view. But above all, listen.</p> 			<p>Visit us on <span class=""social""><a target=""_blank"" href=""http://www.facebook.com/pages/Summer-Lyric-Theatre-at-Tulane-University/55847830901"">facebook</a></span></p>",Orchestra: $37.00 .... Balcony: $28.00 .... SEASON SUBSCRIPTIONS! Orchestra: $98.00 .... Balcony: $70.00
http://artsneworleans.eventsframed.com/events_framed/detail/5412/The-Eccentricities-of-a-Nightingale,Tuesday (08:00 PM - 10:00 PM),http://artsneworleans.eventsframed.com/_user/images/wides/281b92ce60ee4097c3b3d18a264e1ae6.jpg,The Eccentricities of a&nbsp;Nightingale,Lupin Theatre : Tulane University,"April 12-16, 8 p.m.<br /> April 16-17, 2 p.m.<br /> Directed by Shad Willingham</p>  	<p>Set just before World War I, The Eccentricities of a Nightingale follows Alma Winemiller, the eccentric daughter of the town minister and an emotionally crippled mother. Alma, “The Nightingale of the Delta,” is an impassioned and vocally gifted young woman in love with the young doctor next door, John Buchanan. John, feeling pressure from his mother to marry advantageously, is drawn to Alma’s quirky sensibilities.</p> 			<p>Visit us on <span class=""social""><a target=""_blank"" href=""twitter.com/tutd"">twitter</a></span><span class=""social""><a target=""_blank"" href=""http://www.facebook.com/tulanetheatredance"">facebook</a></span><span class=""social""><a target=""_blank"" href=""http://www.flickr.com/photos/50139196@N04"">flickr</a></span></p>","Students/Seniors: $8.00 Tulane Faculty,Staff,Alum: $9.00 General Admission: $12.00"
http://artsneworleans.eventsframed.com/events_framed/detail/5416/Automata,Saturday (05:00 PM - 09:00 PM),http://artsneworleans.eventsframed.com/_user/images/wides/134c49a1e52d249bc10553d056689768.jpg,Automata,The Old Ironworks,"Automata is an annual exhibition of mechanical, kinetic, robotic, and new media sculpture.  This year there are 30 artists from New Orleans and Louisiana and several from other states.  Please see website for artist list and more information.</p>  	<p>The show runs from 5-9pm on Saturday, April 2 and Saturday, April 9; otherwise by appointment- free admission.</p>  	<p>J.O. Evans lll &amp; the South Chamber Ensemble will hold a concert on Sunday, April 3, at 7pm, $10, during which the machines will run. </p>  	<p>Some work will vary on each event night.  The turbine/light bright installation and all work from North Carolina will be on display only April 2.  </p>  	<p>This year we&#8217;re holding an after party at the Allways Lounge on Saturday, April 9, 10pm ($5).  Special guests Amphibian Lark and Silver Apples are headlining, followed by local bands and Automata participants C-Section 8, Dead Baby Dolphins, Micronaut, and more.  Simeon of Silver Apples is also bringing an oscillator for the public to play during each Automata reception.</p> 			<p>Visit us on <span class=""social""><a target=""_blank"" href=""http://www.facebook.com/home.php#!/event.php?eid=102547973162673"">facebook</a></span><span class=""social""><a target=""_blank"" href=""http://www.youtube.com/watch?v=YSMJcMgoKd4&feature=player_profilepage"">youtube</a></span></p>",free!
http://artsneworleans.eventsframed.com/events_framed/detail/5301/JPAS-Theatre-Kids-Present-Disneys-Aristocats-Kids,Fridays (07:30 PM - 08:30 PM),http://artsneworleans.eventsframed.com/_user/images/wides/1f0355439bde7fae6bdc677ac37f38fc.jpg,"JPAS Theatre Kids! Present Disney's Aristocats,&nbsp;Kids!",Westwego Performing Arts Theatre,"Jefferson Performing Arts Society&#8217;s Theatre Kids! proudly present the musical Disney&#8217;s <span class=""caps"">ARISTOCATS</span>, <span class=""caps"">KIDS</span>! (Music and Lyrics by Richard M. Sherman and Robert B. Sherman and Al Rinker and Floyd Huddleston . Music Adapted and Arranged and Additional Music and Lyrics by Bryan Louiselle . Book Adapted and Additional Lyrics by Michael Bernard . Based on the 1970 Disney Film <span class=""caps"">THE</span> <span class=""caps"">ARISTOCATS</span>)  weekends at the Westwego Performing Arts Theatre, 177 Sala Ave. in Westwego, April 1-10, 2011 with performances Fridays &amp; Saturdays at 7:30PM and Saturdays &amp; Sunday matinees at 2PM. Matias Grau, <span class=""caps"">III</span> once again directs the Theatre Kids! with choreography by Sally-Rose Cragin. One hundred Theatre Kids! bring this double-cast production to life and alternate performances! Tickets are only $10 for kids (12 and under), $15 for Students/Seniors, and $18 for Adults. For tickets call 504-885-2000 or visit <a href=""http://www.jpas.org"">http://www.jpas.org</a>.</p>  	<p>Everybody wants to be a cat in Disney&#8217;s <span class=""caps"">ARISTOCATS</span>, <span class=""caps"">KIDS</span>! When Madame&#8217;s jealous butler Edgar cat-naps Duchess and her Aristokittens and abandons them in the Parisian countryside, what&#8217;s a cat to do? Luckily, Thomas O&#8217;Malley and his rag-tag bunch of Alley Cats come to their rescue! This feline adventure starring an all-kid cast is sure to get you tapping your feet to its hep, jazzy beat, which includes the Disney favorites &#8220;The Aristocats,&#8221; &#8220;Scales and Arpeggios&#8221; and &#8220;Ev&#8217;rybody Wants to Be a Cat.&#8221;</p>  	<p>This production is double-cast between the Duchess and O&#8217;Malley Casts with alternating performances.</p> 			<p>Visit us on <span class=""social""><a target=""_blank"" href=""http://www.twitter.com/jpasnola"">twitter</a></span><span class=""social""><a target=""_blank"" href=""http://jpasnola.blogspot.com"">blog</a></span><span class=""social""><a target=""_blank"" href=""https://www.facebook.com/pages/Jefferson-Performing-Arts-Society/84522437390?ref=ts"">facebook</a></span><span class=""social""><a target=""_blank"" href=""http://www.youtube.com/jpasnola"">youtube</a></span></p>",$10 for Kids $15 for Seniors/Military $18 for Adults
http://artsneworleans.eventsframed.com/events_framed/detail/5273/Glenn-Meche,Thursdays (08:00 PM - 10:00 PM),http://artsneworleans.eventsframed.com/_user/images/wides/036d57ff81afa58e77597941a079bbb0.png,Glenn&nbsp;Meche,The Shadowbox Theatre,"In the beginning, when the earth was without form, and void, two Supreme Beings meet to plan the creation of the world with the relish of two slightly acerbic interior designers decorating a split-level on the Upper East Side. Once they&#8217;ve decided on the color scheme of the races (a little concerned that white people will feel slighted being such a boring color) they create sex and the sexes. Afraid women will have too many advantages, the Beings decide to make childbirth painful and to give men enormous &#8230; egos &#8230; as compensation.</p>  	<p>From this moment on, writers Kathy and Mo whisk the audience through an outrageous universe of gender-benders struggling through the common rituals of modern life: dating, mating, coping with guilt, bar life, curb life, sex, sex, sex. With boundless humor, <span class=""caps"">PARALLEL</span> <span class=""caps"">LIVES</span> examines the ongoing quest to find parity and love (yes, love) in a contest handicapped by capricious Supreme Beings.</p>  	<p><span class=""caps"">PARALLEL</span> <span class=""caps"">LIVES</span> features C. Patrick Gendusa and Kevin R. Smith. Glenn Meche directs.</p> 			<p>Visit us on <span class=""social""><a target=""_blank"" href=""http://www.noctc.org/2011/01/parallel-lives-by-mo-gaffney-kathy.html"">blog</a></span><span class=""social""><a target=""_blank"" href=""http://www.facebook.com/home.php?#!/event.php?eid=187747684595363"">facebook</a></span></p>",$15.00
http://artsneworleans.eventsframed.com/events_framed/detail/4741/THE-PAINTING-with-The-First-Tuesday-Book-Club,,http://artsneworleans.eventsframed.com/_user/images/wides/b0e3de5411be0043d80f881a4387e9d3.jpg,THE PAINTING with The First Tuesday Book&nbsp;Club,Maple Street Book Shop(s),"The First Tuesday Book Club will meet to chat about &#8220;The Painting&#8221; by Nina Schuyler on Tuesday, April 4, 2011, 6:00 P.M. This piece of historical fiction explores how a painting binds disparate characters.</p> 			<p>Visit us on <span class=""social""><a target=""_blank"" href=""http://twitter.com/fightthestupids"">twitter</a></span><span class=""social""><a target=""_blank"" href=""http://www.fightthestupids.wordpress.com"">blog</a></span><span class=""social""><a target=""_blank"" href=""http://www.facebook.com/maplestreetbookshop"">facebook</a></span></p>",
