name,startingHour,description,image,fee,closingHour,moreInfo,location
ULITIMATE PINK FLOYD TRIBUTE BAND.................THINKPINKFLOYD.COM,6PM,"<p>WWW.THINKPINKFLOYD.COM,FREE- CONCERT> IN THE PARK, magical, epic, psychedelic with</p>  						<p>THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT WWW.THINKPINKFLOYD.COM <br /> <br /> <br />UPCOMING SHOWS! <br /> <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------</p>",http://philly.cities2night.com/event/81668/image_original,"Free Entry,",9PM,http://philly.cities2night.com/event/81668/ulitimate-pink-floyd-tribute-bandthinkpinkfloydcom/,",  ,"
Film Fundrager!,8PM,"<p>The Hottest Holiday Party in the city! </p>  						<p>Lindsay Gandolfo and Greg Wolf's fundraising party for their senior thesis film is going down SATURDAY DECEMBER 5 at 1811 S. 2nd St. <br /> <br />BANDS, DJ'S, KEGS, GRILLED CHEESE SANDWICHES & A RAFFLE with prizes that include a snowboard, a futon, gift cards, diamond earings and so much more! <br /> <br />Join in the festivities, it's going to be a RAGER!!!! </p>",http://philly.cities2night.com/event/108057/image_original,"$10.00 Entry,",2AM,http://philly.cities2night.com/event/108057/film-fundrager/,"1811 S. 2nd St. Philadelphia, PA, Philadelphia, PA, 19147"
Film Fundrager!,8PM,"<p>The Hottest Holiday Party in the city! </p>  						<p>Lindsay Gandolfo and Greg Wolf's fundraising party for their senior thesis film is going down SATURDAY DECEMBER 5 at 1811 S. 2nd St. <br /> <br />BANDS, DJ'S, KEGS, GRILLED CHEESE SANDWICHES & A RAFFLE with prizes that include a snowboard, a futon, gift cards, diamond earings and so much more! <br /> <br />Join in the festivities, it's going to be a RAGER!!!! </p>",http://philly.cities2night.com/event/108058/image_original,"$10.00 Entry,",2AM,http://philly.cities2night.com/event/108058/film-fundrager/,"1811 S. 2nd St. Philadelphia, PA, Philadelphia, PA, 19147"
Film Fundrager!,8PM,"<p>The Hottest Holiday Party in the city! </p>  						<p>Lindsay Gandolfo and Greg Wolf's fundraising party for their senior thesis film is going down SATURDAY DECEMBER 5 at 1811 S. 2nd St. <br /> <br />BANDS, DJ'S, KEGS, GRILLED CHEESE SANDWICHES & A RAFFLE with prizes that include a snowboard, a futon, gift cards, diamond earings and so much more! <br /> <br />Join in the festivities, it's going to be a RAGER!!!! </p>",http://philly.cities2night.com/event/108059/image_original,"$10.00 Entry,",2AM,http://philly.cities2night.com/event/108059/film-fundrager/,"1811 S. 2nd St. Philadelphia, PA, Philadelphia, PA, 19147"
Film Fundrager!,8PM,"<p>The Hottest Holiday Party in the city! </p>  						<p>Lindsay Gandolfo and Greg Wolf's fundraising party for their senior thesis film is going down SATURDAY DECEMBER 5 at 1811 S. 2nd St. <br /> <br />BANDS, DJ'S, KEGS, GRILLED CHEESE SANDWICHES & A RAFFLE with prizes that include a snowboard, a futon, gift cards, diamond earings and so much more! <br /> <br />Join in the festivities, it's going to be a RAGER!!!! </p>",http://philly.cities2night.com/event/108060/image_original,"$10.00 Entry,",2AM,http://philly.cities2night.com/event/108060/film-fundrager/,"1811 S. 2nd St. Philadelphia, PA, Philadelphia, PA, 19147"
The Nutcracker,2PM,"<p>Schuylkill Valley Regional Dance Company</p>  						<p>Schuylkill Valley Regional Dance Company will be performing the Nutcracker at the Hill School Center for the Arts.  Join a cast of over 80 local dancers and guest artists, such as Ruben Ybarra from the Pennsylvania Academy of Ballet, on December 5 at 7:30pm and December 6 at 2:00pm.  Enjoy this classic family favorite with beautifully enhanced choreography by Michelle Jones Wurtz, as well as former Kirov principals Elena Martinson and Andrei Ustinov, just in time for the holidays. <br /> <br />Tickets are available for advanced purchase on www.danceboxoffice.com, as well as area locations, such as Pottstown Dance Theatre, Gallery on High, All That Jazz (Collegeville), Pack & Ship at Coventry Mall, and National Penn Bank (Coventry).  You can also purchase them at the Hill School box office, based on availability.  Tickets cost $20.00 for adults and $15.00 for students and seniors. Discounts available for groups of 10 or more  Mastercard and Visa accepted. <br /> <br />For additional information on purchasing Nutcracker tickets, the premiere of Just Dance! in the brand new Tri-County Performing Arts Center, or how you can become a supporter of the arts right here in the Pottstown area, please call 484.941.0683 or send an email to thesvrdc@yahoo.com.  You can also visit us at www.svrdc.org, Facebook and Twitter. <br /></p>",http://philly.cities2night.com/event/105807/image_original,"$20.00 Entry,",4PM,http://philly.cities2night.com/event/105807/the-nutcracker/,",  ,"
"""12 Pubs of Christmas"" Charity Bar Crawl!",1PM,"<p>Grab your holiday sweaters and join Run 2 Inspire for a FESTIVE holiday bar crawl! Benefits a great cause! you DO NOT want to miss this event!</p>  						<p>Grab your holiday sweaters and join Run 2 Inspire as we gallivant around the city of Philadelphia spreading holiday cheer and raising awareness for HPV and cervical cancer! <br /> <br />Run 2 Inpire is a Philadelphia non-profit whose mission is to raise awareness and education for cancer below the waist! (HPV & Cervical Cancer) <br /> <br />$15 donation gets you a t-shirt, wrist band, drink specials at all 12 bars and an entry into our special Bar Crawl Challenge. We will also provide light appetizers and assorted food at a couple of stops during our crawl. <br /> <br />So grab a friend and come out to celebrate the holidays with us! <br /> <br />Bars scheduled to participate in the Pub Crawl include: <br /> <br />Fado <br />Irish Pub <br />Tir Na Nog <br />Misconduct <br />Devil's Alley <br />McGillian's <br />Maces Crossing <br />Bards <br />Oscar's Tavern <br />Nodding Head <br /> <br />To order tickets visit: http://r2ibarcrawl.eventbrite.com <br /> <br />Sign up today - this is an event you don't want to miss out on!</p>",http://philly.cities2night.com/event/106639/image_original,"$15.00 Entry,",9PM,http://philly.cities2night.com/event/106639/12-pubs-of-christmas-charity-bar-crawl/,",  ,"
ULITIMATE PINK FLOYD TRIBUTE BAND.................THINKPINKFLOYD.COM,6PM,"<p>WWW.THINKPINKFLOYD.COM,FREE- CONCERT> IN THE PARK, magical, epic, psychedelic with</p>  						<p>THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT WWW.THINKPINKFLOYD.COM <br /> <br /> <br />UPCOMING SHOWS! <br /> <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------</p>",http://philly.cities2night.com/event/81669/image_original,"Free Entry,",9PM,http://philly.cities2night.com/event/81669/ulitimate-pink-floyd-tribute-bandthinkpinkfloydcom/,",  ,"
Lake Placid Ski / Snowboard Weekend!,5PM,"<p>Get on the Party Bus as we head to New York for an amazing ski & snowboard weekend!</p>  						<p>A couple big bumps. Some serious curve carving. Now add YOU for a guaranteed good time - all in the name of old man winter. Join us for our series of 2010 winter ski excursions with Lake Placid, NY & VAIL, CO. Lodging, bus/air, lift tickets, nightly parties, and more are all in store. Book using promo code P2N25 and save $25 on any air-inclusive trip! Click below for FULL DETAILS on each trip. <br /> <br />http://www.PhillyTrips.com <br /></p>",http://philly.cities2night.com/event/99679/image_original,"$300.00 Entry,",10PM,http://philly.cities2night.com/event/99679/lake-placid-ski-snowboard-weekend/,",  ,"
Lake Placid Ski / Snowboard Weekend!,5PM,"<p>Get on the Party Bus as we head to New York for an amazing ski & snowboard weekend!</p>  						<p>A couple big bumps. Some serious curve carving. Now add YOU for a guaranteed good time - all in the name of old man winter. Join us for our series of 2010 winter ski excursions with Lake Placid, NY & VAIL, CO. Lodging, bus/air, lift tickets, nightly parties, and more are all in store. Book using promo code P2N25 and save $25 on any air-inclusive trip! Click below for FULL DETAILS on each trip. <br /> <br />http://www.PhillyTrips.com <br /></p>",http://philly.cities2night.com/event/99680/image_original,"$300.00 Entry,",10PM,http://philly.cities2night.com/event/99680/lake-placid-ski-snowboard-weekend/,",  ,"
