moreInfoLink,phone,title,address,venueName,description
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231317&amp;max=10,,Acoustic Open Mic,,"Hideaway Sports Bar and Grill, Mooresville",
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A211454&amp;max=10,704-376-1446,Bill Hanna Jazz Jam,218 E Independence Blvd,Double Door Inn,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A106267&amp;max=10,,Bill Hanna's Jazz Quartet,Myers Park,Big Ben British Pub,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A109822&amp;max=10,,"Fairplay w/ Bobby Donaldson, Donnie Marshall, Tuff Blanton & Cary Sims",,Lucky Lou's Tavern,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A158091&amp;max=10,704-335-0033,Full Band Open Mic,2200 Park Rd,Ed's Tavern,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A196437&amp;max=10,704-525-0425,George Terry,1601 Montford Dr,Jeff's Bucket Shop,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232305&amp;max=10,,Led Zeppelin 2,1000 Seaboard St.,The Fillmore Charlotte,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A198686&amp;max=10,704-377-9017,Live Jazz,1800 E. 7th St.,Cajun Queen,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232392&amp;max=10,704-338-9380,Open Jam,510 Briar Creek Rd.,Smokey Joe's Cafe,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A159165&amp;max=10,,Open Mic,12744 Lancaster Hwy,"Sammy's, Pineville",
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A155239&amp;max=10,704-372-2633,Open Mic Poetry w/ guest DJ,NoDa,Wine Up,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A108514&amp;max=10,,Quincy on the Patio,1958 East Seventh Street,The Philosopher's Stone Tavern,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231380&amp;max=10,704-371-4300,Red Rockin Chair,2224 Park Rd.,Comet Grill,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A85235&amp;max=10,704-371-4300,Red Rockin' Chair,2224 Park Rd.,Comet Grill,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232407&amp;max=10,704-398-4072,"Tyvek, Brain Flannel, Shards",3400 Tuckaseegee Rd.,Milestone,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232374&amp;max=10,704-343-9494,"WinTour f. Society's Plague, Up In Arms",400 W. Tremont Ave.,Tremont Music Hall,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232382&amp;max=10,,"Wyley Buck&#146;s Birthday Bash w/ Appalucia, Moses Cherry & the Topless Gospel Choir, Country Tuesday DJs",1228 Gordon St.,Snug Harbor,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232455&amp;max=10,,"Pizza, Beer & Comedy",2820 Selwyn Ave.,Mellow Mushroom,"Open mic with comedians getting 7-10 minutes of stage time, followed by a featured act performing from 25-45 minutes. Hosted by Nicci Hooten."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229607&amp;max=10,,Open Mic Night,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,"Stand-up comedy open mic. Comics get five minutes.  Sign-up starts at 7 p.m. For more information, visit www.thecomedyzonefortmill.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231391&amp;max=10,704-373-0782,Acoustic Whiskey Wednesdays,1411 S. Tryon St.,The Gin Mill,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A84913&amp;max=10,704-347-4870,After Work Wednesdays w/ DJ LP,127 E. Trade St,TILT,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232383&amp;max=10,,"Grant Hart, The Venables, GogoPilot",1228 Gordon St.,Snug Harbor,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10,,Charlotte Comedy Theater,2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A198686&amp;max=10,704-377-9017,Live Jazz,1800 E. 7th St.,Cajun Queen,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231239&amp;max=10,,Open Mic,,Thurston's Bar,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232158&amp;max=10,,"Janet ""Tennessee Tramp"" Williams",900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230144&amp;max=10,,Open Mic w/ Mike Dalton,2007 Central Ave,Tommy's Pub,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A200940&amp;max=10,,Open Mic w/Bill Miller,12744 Lancaster Hwy,"Sammy's, Pineville",
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232454&amp;max=10,704-607-3062,Open Mic,19191 Commonwealth Ave.,Petra's Piano Bar and Cabaret,Featuring comedians and musicians. No language or content restrictions. Each performer will be given fives minutes on stage. Must sign-up by 9:55 p.m.; Show starts at 10 p.m.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232126&amp;max=10,,QC Music Series,2815 Crisman St.,Ultra Lounge,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10,,Charlotte Comedy Theater,2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232158&amp;max=10,,"Janet ""Tennessee Tramp"" Williams",900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
