moreInfoLink,title,venueAddress,endDate,description,venue,startDate,venuePhone
http://gonewport.com/ViewPage.aspx?id=175,23nd Annual Newport Winter Festival,"28 Pelham Street, Newport, RI 02840",02/27/2011,"Over 160 individual events, this Festival has become New England's largest winter extravaganza. Alive with sparkle and excitement, the Winter Festival offers a unique winter experience combining food, music, and entertainment for all ages.",Marketing & Events,02/18/2011,401-847-7666
http://gonewport.com/ViewPage.aspx?id=175,Newport Irish Heritage Month,"Citywide, Newport, RI 02840",03/31/2011,Celebrate all that is Irish during this exciting month-long event.,AOH Newport,03/01/2011,401-847-8671
http://gonewport.com/ViewPage.aspx?id=175,23rd Annual Newport Winter Festival,"28 Pelham Street, Newport, RI 02840",02/27/2011,"Over 160 individual events, this Festival has become New England's largest winter extravaganza. Alive with sparkle and excitement, the Winter Festival offers a unique winter experience combining food, music, and entertainment for all ages.",Marketing & Events,02/18/2011,401-847-7666
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport History Walking Tour,"127 Thames Street, Newport, RI 02840",02/27/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport’s diverse people. This 10am tour costs $12 per person, $10 with Newport Winter Festival button and lasts 75 minutes.",Museum & Shop at Brick Market,02/18/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Colonial Sites Tour,"127 Thames Street, Newport, RI 02840",02/23/2011,"During the Colonial Sites Tour, take a guided tour inside two of Newport’s historic landmarks and backdrops to the American Revolution. Visit the 1739 Colony House, built to house R.I. government meetings, and the c.1697 Wanton-Lyman-Hazard House, Newport’s oldest house museum. This 11:30am tour costs $12 per person, $10 with Newport Winter Festival button, and lasts 75 minutes. Weather permitting. Tour space is limited. Reservations recommended.",Museum & Shop at Brick Market,02/23/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Colonial Meeting House Sites Tour,"127 Thames Street, Newport, RI 02840",02/24/2011,"During the Meeting House Site Tour visit 2 of Newport’s earliest houses of worship, which illustrate Newport’s commitment to religious freedom. Tour the 1699 Great Friends Meeting House, built for the Society of Friends, and the newly restored 1730 Seventh Day Baptist Meeting House. This 11:30am tour costs $12 per person, $10 with Newport Winter Festival button, and lasts 75 minutes. Weather permitting. Tour space is limited. Reservations recommended.",Museum & Shop at Brick Market,02/24/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Tastes of the Working Waterfront,"416 Thames Street, Newport, RI 02840",02/24/2011,"Taste, touch and smell your way through history on the 11am Tastes of the Working Waterfront tour. Learn about the sailors, merchants and immigrants who lived and worked along Lower Thames. Tickets  sold at the tour departure point, Whitehorne House Museum, 416 Thames Street, Newport, RI. Tour costs $12 per person, $10 with Newport Winter Festival button, and lasts 75 minutes. Weather permitting. Tour space is limited. Reservations suggested.",Whitehorne House Museum,02/24/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Road to Independence History Walking Tour,"127 Thames Street, Newport, RI 02840",02/25/2011,"Between riots and rebellion, British enemies and Patriot allies, hear stories from the years surrounding the American Revolution in Newport on the tour Road to Independence. This debut, limited engagement tour will be offered once on Friday February 25th at 11am. Tour costs $12 per person, $10 with Newport Winter Festival button, and lasts 75 minutes. Weather permitting. Tour space is limited. Reservations strongly suggested.",Museum & Shop at Brick Market,02/25/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Colonial Sites Tour,"127 Thames Street, Newport, RI 02840",02/25/2011,"During the Colonial Sites Tour, take a guided tour inside two of Newport’s historic landmarks and backdrops to the American Revolution. Visit the 1739 Colony House, built to house R.I. government meetings, and the c.1697 Wanton-Lyman-Hazard House, Newport’s oldest house museum. This 11:30am tour costs $12 per person, $10 with Newport Winter Festival button, and lasts 75 minutes. Weather permitting. Tour space is limited. Reservations recommended.",Museum & Shop at Brick Market,02/25/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Lantern Tour of Colonial Newport,"127 Thames Street, Newport, RI 02840",02/25/2011,"Feel transported through time to the heyday of this thriving colonial metropolis on a lantern-lit stroll through Newport’s Historic Hill on the Lantern Tour of Colonial Newport. This 4:30pm tour costs $12 per person, $10 with Newport Winter Festival button, and lasts 75 minutes. Weather permitting. Tour space is limited to 20. Reservations recommended.",Museum & Shop at Brick Market,02/25/2011,401-841-8770
