sTicketPhone,sSynopsis,close,sMoreInfo,sTheaterAddress,showName,more,theater,opens,sTicketPrice
413-637-1199x105,"Be sure to check out our Annual Fall Gala where the stars always come out to play! Join us for a spectacular evening of performances, music, dinner, dancing, and fun with Company artists and special surprise guests. Highlights include an exciting live and silent auction, and much, much more! All benefits support our award-winning Education Program.",,http://www.shakespeare.org,"70 Kemble Street, Lenox, MA 01240",Annual Fall Gala,http://www.theatermania.com/berkshires/shows/annual-fall-gala_169391/,Shakespeare & Company,,
413-637-3353,"Celebrate a revolutionary weekend! Our free, ever-popular reading of the Declaration of Independence features some of the most stirring words of political rhetoric ever written, spoken out loud by S&Co. actors and special guests from the community.",,http://www.shakespeare.org/sandco.php?pg=performance&category=&subCat=&showID=july4th.10,"70 Kemble Street, Lenox, MA 01240",The Declaration of Independence,http://www.theatermania.com/berkshires/shows/the-declaration-of-independence_168453/,Shakespeare & Company,,Free
413-637-3353,"Ringing in the New Year with more laughs than should be legal, audiences will delight in the hilarious The Mystery of Irma Vep.  This zany romp through the mysterious and the sublime features two actors, eight roles (cue cross-dressing number), and wields a healthy mix of storytelling genres, from Hitchcock to Victorian melodrama to lurid, 19th century pulp fiction (or, in British parlance, 'penny dreadfuls'). This OBIE Award-winning, madcap escapade is sure to leave you breathless with laughter, while its expertly constructed story manages to both send-up and celebrate the traditional Gothic mystery.","March 27, 2011",http://www.shakespeare.org,"70 Kemble Street, Lenox, MA 01240",The Mystery of Irma Vep,http://www.theatermania.com/berkshires/shows/the-mystery-of-irma-vep_169398/,Shakespeare & Company,"February 4, 2011",$18.00 - $38.00
413-637-3353,"The Declaration of Independence is preceded this year by Revolutionary Moments, a special collection of vignettes compiled by Tina Packer and featuring S&Co. actors. Part performance, part narration, part discussion, Revolutionary Moments highlights the influence of Shakespeare on some of history's most fascinating figures at key moments of decision. Not to be missed!",,http://www.shakespeare.org/sandco.php?pg=performance&category=&subCat=&showID=july4th.10,"70 Kemble Street, Lenox, MA 01240",Revolutionary Moments,http://www.theatermania.com/berkshires/shows/revolutionary-moments_168454/,Shakespeare & Company,,$15.00;&nbsp;$5.00 ages 18 and under
866-811-4111,Karen Akers in Akers Sings Porter Anything Goes.,,http://www.guildhall.org/theater.ihtml?id=1265,"158 Main Street, East Hampton, NY 11937",Akers Sings Porter Anything Goes,http://www.theatermania.com/long-island/shows/akers-sings-porter-anything-goes_170274/,John Drew Theater at Guild Hall,,$53.00-$65.00
866-811-4111,"With a dazzling array of movie songs from the1930s all the way through the 1990s - from &quot;Top Hat&quot; to &quot;Toy Story 2&quot; - and with a nod and a wink to silver screen legends like Audrey Hepburn, Judy Garland, Bing Crosby, Bob Hope and Fred Astaire, Andrea illuminates how movie music has scored our lives and loves. Highlights include: ""Two For the Road,"" ""The Way We Were,"" ""Thanks For the Memory,"" ""Days Of Wine And Roses,"" ""Charade,"" ""Long Ago & Far Away,"" and ""As Time Goes By.""",,http://www.guildhall.org/theater.ihtml?id=1257,"158 Main Street, East Hampton, NY 11937",Andrea Marcovicci,http://www.theatermania.com/long-island/shows/andrea-marcovicci_170271/,John Drew Theater at Guild Hall,,$53.00-$65.00
866-811-4111,"Beatles Faux Sale Concert:    Integrated Medical Foundation is proud to announce a concert: Beatles Faux Sale to benefit Prostate Cancer Awareness, Education and Support Services. Beatles Faux Sale recreates a live performance of The Beatles, starting with the iconic British Quartet's very first release, ""Love Me Do&quot;.",,http://IMFcares.com,"232 Main Street, Port Washington, NY 11050",Beatles Faux Sale,http://www.theatermania.com/long-island/shows/beatles-faux-sale_167506/,"Jeanne Rimsky Theater, Landmark on Main Street",,$40.00
866-811-4111,"A night of comedy featuring three of the tri-state area's most talented and funny comedians.      Joe Devito -  Whether taking on relationships, his Italian-American family or current events, Joe's dead-on timing, unexpected twists and sheer flights of lunacy make him a favorite at clubs and colleges across the USA and at the top venues in NYC.    Anton Shuford - While attending Florida A & M in Tallahassee, Anton made a decision to join the US Navy.  After serving his time in the Navy, he was offered a scholarship to attend Penn State University.   Having attended a predominantly African-American university and then serving in the US Navy followed by attending a predominantly white university gives Anton a uniquely pointed perspective on the world in which we live.    Craig Carmean - Craig is best known for his comedic songs and hilarious stand up comedy.  His work can be heard on morning radio shows across the country, Sirius, XM Satellite Radio and National Lampoon Radio.",,http://www.boultoncenter.org,,Big Laughs in Bay Shore!,http://www.theatermania.com/long-island/shows/big-laughs-in-bay-shore_169689/,Boulton Center,,$20.00
866-811-4111,,,http://www.guildhall.org/theater.ihtml?id=1262,"158 Main Street, East Hampton, NY 11937",A Bipolar Evening with Friends: Florence Henderson and Bruce Vilanch,http://www.theatermania.com/long-island/shows/a-bipolar-evening-with-friends-florence-henderson-and-bruce-vilanch_170272/,John Drew Theater at Guild Hall,,$43.00-$85.00
866-811-4111,"Ms. Ebersole joins forces with long time friend and collaborator (and East Hampton resident) Bette Sussman to celebrate and re-live her favorite pop songs, composed and originally performed by The Eagles, Joni Mitchell, Michael MacDonald, Sting, Susan Werner, and more. The evening is sure to rock the socks off of her ""Grey Garden'"" Broadway fans, and will please pop fans from the east end as well.",,http://www.guildhall.org/theater.ihtml?id=1266,"158 Main Street, East Hampton, NY 11937",Christine Ebersole in Concert,http://www.theatermania.com/long-island/shows/christine-ebersole-in-concert_170275/,John Drew Theater at Guild Hall,,$43.00-$70.00
866-811-4111,Klea Blackhurst and Billy Stritch in  Dreaming Of A Song - The Music of Hoagy Carmichael,,http://www.guildhall.org/calendar.ihtml?id=1267,"158 Main Street, East Hampton, NY 11937",Dreaming Of A Song - The Music of Hoagy Carmichael,http://www.theatermania.com/long-island/shows/dreaming-of-a-song-the-music-of-hoagy-carmichael_170279/,John Drew Theater at Guild Hall,,$33.00-$45.00
866-811-4111,The uniting of gorgeous melody with flashing wit by Rodgers and Hart with Anna Bergman & Malcolm Gets. Written and hosted by Lee Davis with Musical Direction by James Followell.,,http://www.guildhall.org/theater.ihtml?id=1263,"158 Main Street, East Hampton, NY 11937",Heart to Hart,http://www.theatermania.com/long-island/shows/heart-to-hart_170273/,John Drew Theater at Guild Hall,,$53.00-$55.00
866-811-4111,"You don't have to be Jewish or from Brooklyn to love this show! Acclaimed author/performer Jake Ehrenreich and four fabulous singers-musicians take you on a laugh-out-loud, sometimes tearful, always delightful roller coaster journey in this tour de force musical about life as a baby boomer child of Holocaust survivors in 1960s Brooklyn. Follow Jake through the story of his parent's survival of the Holocaust, to stickball in Brooklyn, his career in the Catskills and then Broadway! The New York Times raves, ""Dazzling, Funny, Sweet, Touching, Affectionate...Beautiful.""",,http://whbpac.org/pages/events_detail.php?event_id=316,"76 Main Street, Westhampton Beach, NY 11978",A Jew Grows in Brooklyn,http://www.theatermania.com/long-island/shows/a-jew-grows-in-brooklyn_167235/,Westhampton Beach Performing Arts Center,,$60.00 - $90.00
,"Straddling the musical worlds of American popular song, chamber music, and modern currents of pop music, 2 Foot Yard has created an original musical imprint in the latest explorations of art and entertainment. Carla Kihlstedt's songwriting, vocalism, and Juilliard-trained violin playing is backed up by Marika Hughes on cello and vocals and the percussion and guitar playing of Shazad Ismaily. This concert will reward those seeking out the latest in hip musical sophistication, songwriting, and those of the younger generation who are too cool for school.",,http://tickets.caramoor.org/public/default.asp,"149 Girdle Ridge Road, Katonah, NY 10536",2 Foot Yard,http://www.theatermania.com/westchester-rockland/shows/2-foot-yard_164927/,Caramoor,,$25.00 - $35.00
,"The Killing Kompany, the New York mystery dinner theatre group, announces its schedule of shows in Queens, Long Island, Orange and Rockland County and NJ.    Murder at the Class Reunion  Saturday, March 3 at 7:00pm  The Thayer Hotel, West Point, NY  Tickets: $90.00, including a cocktail reception  Tickets & Info: 800-247-5047    Murder by Leprechaun  Friday, March 16 at 8:00pm  The Views at Mt. Fuji, Route 17, Hilburn, NY  Tickets: $59.95, including complimentary drink  Tickets & Info: 845-357-5501    The Honeymoon Murder  Friday, March 23 at 8:00pm  Pappa Razzi, 1500 Jericho Turnpike, Westbury, NY  Tickets: $45.00  Tickets & Info: 516-877-7744    Murder at the IRS  Friday, April 13 at 8:00pm  Riccardo's, 21-01 24th Avenue, Astoria, NY  Tickets: $45.00  Tickets & Info: 718-721-7777    Murder by Marriage  Saturday, April 14 at 8:00pm  The Views at Mt. Fuji, Route 17, Hilburn, NY  Tickets: $59.95 includes complimentary drink  Tickets & Info: 845-357-5501    I Do, You Die!  Saturday, April 21 at 7:00pm  The Thayer Hotel, West Point, NY  Tickets: $90.00, including cocktail reception  Tickets & Info: 800-247-5047    The Cinco De Mayo Murder  Friday, May 4 at 8:00pm  Pappa Razzi, 1500 Jericho Turnpike, Westbury, NY  Tickets: $45.00  Tickets & Info: 516-877-7744    Murder at the Senior Prom  Saturday, May 12 at 8:00pm  The Views at Mt. Fuji, Route 17, Hilburn, NY  Tickets: $59.95 includes complimentary drink  Tickets & Info: 845-357-5501    Springtime for Murder  Friday, May 18 at 8:00pm  Villa Umberto, 90 Meacham Avenue, Elmont, NY  Tickets: $50.00, including wine and beer  Tickets & Info: 516-352-8455    Death by Disco  Saturday, June 9 at 8:00pm  The Views at Mt. Fuji, Route 17, Hilburn, NY  Tickets: $59.95 includes complimentary drink  Tickets & Info: 845-357-5501    Graduation for Murder  Friday, June 15 at 8:00pm  Papa Razzi, 1500 Jericho Turnpike, Westbury, NY  Tickets: $45.00  Tickets & Info: 516-877-7744    Murder at the 1950's Ball  Friday, June 29 at 7:30pm  Macmenamin's Grill, 115 Cedar St., New Rochelle, NY  Tickets: $65.00  Tickets & Info: 914-632-4900    Vacation for Murder  Friday, July 27 at 8:00pm  Papa Razzi, 1500 Jericho Turnpike, Westbury, NY  Tickets: $45.00  Tickets & Info: 516-887-7744    Murder at Sock Hop  Saturday, August 4 at 8:00pm  Riccardo's, 21-01 24th Ave., Astoria, NY  Tickets: $45.00  Tickets & Info: 718-721-7777    Days of Wine and Murder  Saturday, August 18 at 8:00pm  Papa Razzim 1500 Jericho Turnpike, Westbury, NY  Tickets: $45.00  Tickets & Info: 516-877-7744    The Oktoberfest Murders  Saturday, October 13 at 8:00pm  Clarksburg Inn, 465 Stagecoach Road, Clarksburg, New Jersey  Tickets: $55.00  Tickets & Info: 609-259-2558    Halloween for Murder  Friday, October 26 at 8:00pm  Papa Razzi, 1500 Jericho Turnpike, Westbury, NY  Tickets: $45.00  Tickets & Info: 516-877-7744    Murder at the Veteran's Ball  Friday, November 9 at 8:00pm  Riccardo's, 21-01 24th Ave, Astoria, NY  Tickets: $45.00  Tickets & Info: 718-721-7777",,http://www.killingkompany.com,,The Killing Kompany,http://www.theatermania.com/long-island/shows/the-killing-kompany_129560/,Various Locations,,Varies
,"Caramoor presents its first New Shoots Festival with three groups that are transforming and re-interpreting the traditions of bluegrass and traditional music. The Punch Brothers, featuring virtuoso mandolinist Chris Thile - renowned for his incredible spontaneity and restless imagination - is the hottest group to be creating wide-ranging music out of the worlds of bluegrass, folk, and chamber music. Singer, songwriter, and banjoist Abigail Washburn - a true embodiment of Americana - has elevated folk to a soulful, moving universal musical language. From Irish, Old-time, and Bluegrass to Swedish folk music, Sandra Wong-fiddle and nyckelharpa - is a veritable encyclopedia of traditional musics from around the globe.    Schedule of events is as follows:    4:00pm   Sandra Wong and the New Trad Trio  5:30pm   Abigail Washburn and Group  7:00pm   Dinner Break  8:00pm   Punch Brothers with Chris Thile",,http://tickets.caramoor.org/public/default.asp,"149 Girdle Ridge Road, Katonah, NY 10536",American Roots: New Shoots Festival,http://www.theatermania.com/westchester-rockland/shows/american-roots-new-shoots-festival_164929/,Caramoor,,$15.00 - $55.00
,"Cultivating a major tradition, French composers have created an ethereal body of work for the clarinet.  The superlative Anthony McGill, Principal Clarinetist of the Metropolitan Opera Orchestra, invites friends to explore the extraordinary realms of French clarinet music and Stravinsky's nearly-French A Soldier's Tale.    Program includes:    Messager - Solo du concours for clarinet and piano  Debussy - Premi&egrave;re Rhapsodie for Clarinet and Piano, L.116  Saint-Sa&euml;ns - Clarinet Sonata in E-flat, Op.167  Stravinsky - L'Histoire du soldat    With Anthony McGill, clarinet; Arnaud Sussmann, violin; pianist TBA",,http://tickets.caramoor.org/public/default.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Anthony McGill avec ses amis,http://www.theatermania.com/westchester-rockland/shows/anthony-mcgill-avec-ses-amis_164931/,Caramoor,,$15.00 - $25.00
,"Sandra Wong and her New Trad Trio take the audience on a musical journey featuring traditional folk musics from around the world played on over a dozen different instruments.  Bring your family on this interactive trip and discover the Swedish nyckelharpa, the Irish Uillean pipes, the Greek bouzouki, the Arabian doumbek, and much more...    Sandra Wong, nyckelharpa, fiddle, cross-tuned fiddles, and voice  Christopher Layer, uillean pipes, Scottish small pipes, highland pipes, Irish flute, and voice  Danny Noveck, guitar, bouzouki, banjo, doumbek, and fiddle",,http://tickets.caramoor.org/public/advanced_search.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Caramoor Family Concert,http://www.theatermania.com/westchester-rockland/shows/caramoor-family-concert_164954/,Caramoor,,$10.00 - $25.00
866-811-4111,"Moya Brennan, along with Clannad, are considered as the inventors of contemporary celtic music and are held in high esteem for their vast contribution to modernizing old Irish songs. They have been compared to Se&aacute;n &Oacute; Riada, in that they brought the Irish language into popular culture through their music. It is Brennan haunting voice that has left the most lasting legacy, it has become synonymic with Clannad's work and with Irish music in general. Her ethereal vocalization is considered the archetypal sound of Ireland and strains of her style have been acquired in the soundtracks to Titanic and Riverdance",,http://www.boultoncenter.org,"37 West Main Street, Bay Shore, NY 11706",Moya Brennan,http://www.theatermania.com/long-island/shows/moya-brennan_170425/,YMCA Boulton Center for the Performing Arts,,$35.00
,"When Chopin was a young man, bel canto opera was the most popular music in the world, and it was the music he loved best: ""His playing,"" reported one pupil, ""is based entirely on the singing of Pasta, Malibran and Rubini - he says so himself!""  The last half-century has seen that music return to the mainstream after generations of neglect. Bel Canto at Caramoor celebrates the great composer's 200th birthday with a program combining the music Chopin knew with the compositions in which he transformed and idealized it into his own unique language. The virtuoso Russian poet of the piano, Vassily Primakov, performs a selection of Chopin's Nocturnes, Mazurkas, a Ballade and a Waltz--works that solidified the composer's reputation as an absolute master of the piano.",,http://tickets.caramoor.org/public/advanced_search.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Chopin Bel Canto,http://www.theatermania.com/westchester-rockland/shows/chopin-bel-canto_164952/,Caramoor,,$15.00 - $25.00
866-811-4111,"Nine Days was formed on Long Island by singer/songwriter/guitarists John Hampson and Brian Desveaux, who had previously played together and apart in a series of local groups. The band was filled out by keyboard player Jeremy Dean, bass player Nick Dimichino, and drummer Vincent Tattanelli. Focusing on their songwriting and shared lead vocals, Hampson and Desveaux holed up in Hampson's apartment in Deer Park woodshedding, then released their own debut album and began playing live shows. They won WBAB's Homegrown Talent Search and WLIR's Best Unsigned Band competition, made a second CD on their own, and finally signed to Epic/550 Music, which released their debut major-label album, The Madding Crowd (its title a comment on Thomas Hardy's novel Far from the Madding Crowd) in May 2000.",,http://www.boultoncenter.org,,Nine Days,http://www.theatermania.com/long-island/shows/nine-days_170191/,Boulton Center,,$22.00
,"Christopher O'Riley, one of the leading pianists of his generation and host of NPR's From the Top, stretches the piano beyond the classical repertoire with his latest project Out of My Hands. Weaving his re-imaginings of music of Nirvana, The Cure, Pink Floyd, The Smiths, Radiohead, Tori Amos, Portishead and works by Bach, Ravel, Scarlatti, Ades, and Raymond Scott together with his eloquent and compelling musings on music and popular culture, O'Riley breaks onto uncharted territory exploring the paths in and out of this wealth of material melding the familiar with the fresh.",,http://tickets.caramoor.org/public/advanced_search.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Christopher O'Riley's Out Of My Hands,http://www.theatermania.com/westchester-rockland/shows/christopher-orileys-out-of-my-hands_164971/,Caramoor,,$25.00 - $35.00
866-811-4111,"Reunited to treat us to music that sounds as good today as it did when they first performed, Pure Prairie League is touring and enjoying every minute of it.  As they write for a new project, they've returned to their roots - no sax, but pedal steel - and it's no surprise that after all of these years their sound is what Country Radio is about, proving good music is good music no matter when it's made or played.",,http://www.boultoncenter.org,,Pure Prairie League & Firefall Trio,http://www.theatermania.com/long-island/shows/pure-prairie-league-and-firefall-trio_170427/,Boulton Center,,$50.00
,"Legendary pianist and singer, Dr. John (Right Place Wrong Time; Such a Night) has been cookin' up a gumbo of New Orleans-style R&B, blues, rock and boogie-woogie since the 60's. A celebrated icon and peerless performer, this classic rocker with the legendary gravely drawl and a buoyant riot of swamp-voodoo piano grooves, is at the top of his game and ready to bring the Saturday night party to Caramoor.",,http://tickets.caramoor.org/public/advanced_search.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Dr. John and the Lower 9-11,http://www.theatermania.com/westchester-rockland/shows/dr-john-and-the-lower-911_164973/,Caramoor,,$15.00 - $65.00
866-811-4111,"Little did anyone realize back in 1978 that The Radiators would still be together, still hugely popular and still producing quality music with no signs of slowing down.     The Radiators have carved a niche in the annals of Aussie Rock history. They have headlined and shared the stage with other great Aussie acts such as AC/DC, Rose Tattoo, Dragon and INXS.     Despite the rigors of touring and the passing of years the spark and energy of The Radiators has not diminished. They continue to do what they do best - tour extensivelyand delight the legions of fans both young and old who still flock to grab a slice of living Aussie Rock history, rocking the night away to the great catchy songs and classic hits that have made The Radiators a household name in Australia.",,http://www.boultoncenter.org,,The Radiators,http://www.theatermania.com/long-island/shows/the-radiators_170194/,Boulton Center,,$35.00
