fullAddress,venue,description,email,image,ticketPhone,title,website,dates,moreInfoLink
"200 Madison Ave N, Bainbridge Island, WA, 98110",Bainbridge Performing Arts,"Imagination Station - Exploring Musical Theatre is a six-week class for Pre-K/K held at BPA. Instructors Gabe Carbajal and D&rsquo;Arcy Clements lead this imaginative theatre adventure class for ages 3 1/2 &ndash; 5. Classes meet January 21 &ndash; February 25, Fridays at 10:30 &ndash; 11:30 a.m. and/or 12:30 &ndash; 1:30 p.m. Tuition is $95. Two classes are offered each Friday, and students may register for one or the other or both at 206.842.1163.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441063849/centerad_imagstation_winter_468x150_medium.jpg,206-842-1163,Imagination Station - Exploring Musical Theatre,http://www.bainbridgeperformingarts.org/Education/ImaginationStationWinter2011.html,01/21/2011-02/25/2011,http://www.seattleperforms.com/event/detail/441063849/Imagination_Station_Exploring_Musical_Theatre
"200 Madison Ave N, Bainbridge Island, WA, 98110",Bainbridge Performing Arts,"Doctor Dolittle, a class for 1st &ndash; 4th grade students, is held at BPA and includes a final day performance on March 1. Gabe Carbajal and D&rsquo;Arcy Clements lead this enchanting production class, which is sure to please all animal lovers and adventurous dreamers. Classes meet January 11 &ndash; March 1, Tuesdays &amp; Thursdays @ 4:00 &ndash; 5:45 p.m. Tuition is $245, and participants are encouraged to register at 206.842.1163.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441063853/centerad_drdolittle_468x150_medium.jpg,206-842-1163,Doctor Dolittle - 1st - 4th Grade,http://www.bainbridgeperformingarts.org/Education/DoctorDoLittle.html,01/11/2011-03/01/2011,http://www.seattleperforms.com/event/detail/441063853/Doctor_Dolittle_1st_4th_Grade
"4th Ave. S.W. and S.W. 146th Street, Burien, WA, 98166",Burien Community Center,BRAND-NEW WORKS.  Expect the unexpected and the very best from Washington State playwrights imaginations.  All world premieres.			</p>    			<br><br>,tickets@burienlittletheatre.org,,206-242-5180,The Bill and Peggy Hunt Playwrights Festival,http://www.burienlittletheatre.org,04/08/2011-05/01/2011,http://www.seattleperforms.com/event/detail/5582/The_Bill_and_Peggy_Hunt_Playwrights_Festival
"950 Main Street, Edmonds, WA, 98020",The Wade James Theatre,Festival of Shorts</p>			</p>    			<br><br>,info@driftwoodplayers.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/45/edmondsdriftwoodplayers_medium.jpg,,Festival of Shorts (2011),,07/08/2011-07/09/2011,http://www.seattleperforms.com/event/detail/5708/Festival_of_Shorts_2011
"608 19th Ave E, Seattle, WA, 98112",The Little Theatre,"A World Premiere!<br> Written by Michael Mitnick<br> Directed by Elise Hunt<br> <br> Millions of viewers tune in every day to &ldquo;@ Home with Babs Gillespie&trade;&rdquo; on the ShopMore Network&trade;. Babs is One Rare Bird&trade;. With a heart of 14k gold and dangly jewelry, Babs jingle- jangles like the gem that she is. But Babs is turning 50 tomorrow and finds herself&hellip;facing extinction? A tragic run-in with an online dating site and a Magi-Peel Vegi Peeler&trade; reveals that all may not be as it seems. Will our favorite On-The-Air Personality&trade; survive this mid-life crisis or will she get dumped into the clearance bin? Michael Mitnick&rsquo;s deliriously dark comedy asks us: what do you have to sell to achieve love, happiness, and a little Sparkle&trade;?</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441085641/wet[babs]poster_v2_72dpi_medium.jpg,,Babs the Dodo,http://www.washingtonensemble.org/current-season/babs-the-dodo,02/03/2011-03/14/2011,http://www.seattleperforms.com/event/detail/441085641/Babs_the_Dodo
"NE 45th St. and 17th Ave. NE, Seattle, WA, 98105",Penthouse Theatre,"Directed by Andrew McGinn and Laurel Pilar Garcia<br> <br> We are thrilled to introduce you to our talented MFA directing students in their first year showcase. Actual titles are to be announced, but under consideration are celebrated playwrights such as John Guare, Tennessee Williams and Wendy Wasserstein. Our students this year, as always, come with impressive credentials. Both arrive with experience working with nationally known theatre directors from across the country. After this showcase, follow these students as they hone their skills culminating with their thesis productions in the third year.<br> <br> No late seating for School of Drama events.</p>			</p>    			<br><br>",prcomm@u.washington.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/182/universityofwashington_medium.jpg,206-543-4880,One Act Showcase,http://www.meany.org/tickets/production.aspx?performanceNumber=4295,05/15/2011-05/29/2011,http://www.seattleperforms.com/event/detail/440916719/One_Act_Showcase
"11100 Northeast 6th Street, Bellevue, WA, 98004",Meydenbauer Theatre,"See your favorite story book character come to life. Based on the book by Jane O'Conner, with illustrations by Robin Preiss Glasser, this original ballet for children is sure to delight. Ms. Glasser will be at the Meydenbauer performances only to autograph books. You'll also see the tale of Peter and The Wolf. This delightful ballet introduces the art of dance and music to children of all ages.			</p>    			<br><br>",info@evergreencityballet.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/220153341/ecblogonew_medium.jpg,1-800-899-9260,Special Family Program: Fancy Nancy & Peter and The Wolf,http://www.evergreencityballet.org,02/26/2011-02/27/2011,http://www.seattleperforms.com/event/detail/441085447/Special_Family_Program_Fancy_Nancy_Peter_and_The_Wolf
"2230 Lind Avenue SW, Renton, WA, 98057",Evergreen City Balllet Black Box Theatre,"See your favorite story book character come to life. Based on the book series by Jane O'Conner, with illustrations by Robin Preiss Glasser, this original ballet for children is sure to delight. You'll also see the tale of Peter and The Wolf. This delightful ballet introduces the art of dance and music to children of all ages.</p>			</p>    			<br><br>",info@evergreencityballet.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/220153341/ecblogonew_medium.jpg,1-800-899-9260,Special Family Program:  Fancy Nancy & Peter and The Wolf,http://www.evergreencityballet.org,03/12/2011-03/13/2011,http://www.seattleperforms.com/event/detail/441085473/Special_Family_Program_Fancy_Nancy_Peter_and_The_Wolf
"2230 Lind Avenue SW, Renton, WA, 98057",Evergreen City Ballet Black Box Theatre,"Following last year's sold out performances, ,we've added another opportunity for you to see amazing new dance works by leading Northwest choreographers.</p>			</p>    			<br><br>",info@evergreencityballet.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/220153341/ecblogonew_medium.jpg,1-800-899-9260,Northwest Works,http://www.evergreencityballet.org,06/11/2011-06/12/2011,http://www.seattleperforms.com/event/detail/441085577/Northwest_Works
"200 Madison Ave N, Bainbridge Island, WA, 98110",Bainbridge Performing Arts,"Acting Out for Adults is an introductory class into the art of theater for ages 50 and above held at BPA. BPA Artistic Director Steven Fogell leads this six week class, which is offered through the Bainbridge Island Metropolitan Park &amp; Recreation District. Classes meet January 18 &ndash; February 24, Tuesdays and Thursdays at 1:00 - 2:30 p.m. All levels of experience welcome, and tuition is $95. Participants may register online at the Parks District (www.biparks.org), or in person at the Senior Center, 370 Brien Drive, or at the Strawberry Hill Parks Office.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441063859/stevenfogell108_medium.jpg,206.842.1163,Acting Out for Adults,http://www.bainbridgeperformingarts.org/Education/SecondStage.html,01/18/2011-02/24/2011,http://www.seattleperforms.com/event/detail/441063859/Acting_Out_for_Adults
