title,moreInfoLink,venueWebSite,startDate,admission,address,venueName,description,endDate
Body Parts: Ancient Egyptian Fragments & Amulets,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3275170&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011424565,11/19/09,Included in admission,"200 Eastern Pkwy. Brooklyn, NY 11238",Brooklyn Museum,"'Body Parts' features thirty-five objects that represent individual body parts in ancient Egyptian art from the Brooklyn Museum's collection, many of which will be displayed for the first time.",10/02/11
Highlights From the Modern Design Collection: 1900 to the Present,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3344295&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011425389,12/08/09,Included in admission,"1000 5th Ave. New York, NY 10028",Metropolitan Museum of Art,This installation of highlights from the Museum's modern and contemporary design collection from 1900 to the present features forty-six objects.,06/23/11
Body Parts: Ancient Egyptian Fragments & Amulets,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3275170&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011424565,11/19/09,Included in admission,"200 Eastern Pkwy. Brooklyn, NY 11238",Brooklyn Museum,"'Body Parts' features thirty-five objects that represent individual body parts in ancient Egyptian art from the Brooklyn Museum's collection, many of which will be displayed for the first time.",10/02/11
Highlights From the Modern Design Collection: 1900 to the Present,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3344295&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011425389,12/08/09,Included in admission,"1000 5th Ave. New York, NY 10028",Metropolitan Museum of Art,This installation of highlights from the Museum's modern and contemporary design collection from 1900 to the present features forty-six objects.,06/23/11
Body Parts: Ancient Egyptian Fragments & Amulets,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3275170&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011424565,11/19/09,Included in admission,"200 Eastern Pkwy. Brooklyn, NY 11238",Brooklyn Museum,"'Body Parts' features thirty-five objects that represent individual body parts in ancient Egyptian art from the Brooklyn Museum's collection, many of which will be displayed for the first time.",10/02/11
Highlights From the Modern Design Collection: 1900 to the Present,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3344295&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011425389,12/08/09,Included in admission,"1000 5th Ave. New York, NY 10028",Metropolitan Museum of Art,This installation of highlights from the Museum's modern and contemporary design collection from 1900 to the present features forty-six objects.,06/23/11
Pictures by Women: A History of Modern Photograpy,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3436819&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011422101,05/07/10,Included in admission,"11 W 53rd St. New York, NY 10019",Museum of Modern Art (MoMA),"For much of photography's 170-year history, women have expanded its roles by experimenting with every aspect of the medium. This exhibition presents a selection of outstanding photographs by women artists, charting the medium's history from the dawn of the modern period to the present.",03/21/11
A Song for the Horse Nation,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3279486&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011420087,11/14/09,Free,"1 Bowling Green New York, NY 10004",National Museum of the American Indian - Smithsonian Institution,'A Song for the Horse Nation' presents the epic story of the horse's influence on American Indian tribes from the 1600s to the present.,07/07/11
Body Parts: Ancient Egyptian Fragments & Amulets,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3275170&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011424565,11/19/09,Included in admission,"200 Eastern Pkwy. Brooklyn, NY 11238",Brooklyn Museum,"'Body Parts' features thirty-five objects that represent individual body parts in ancient Egyptian art from the Brooklyn Museum's collection, many of which will be displayed for the first time.",10/02/11
Highlights From the Modern Design Collection: 1900 to the Present,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3344295&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011425389,12/08/09,Included in admission,"1000 5th Ave. New York, NY 10028",Metropolitan Museum of Art,This installation of highlights from the Museum's modern and contemporary design collection from 1900 to the present features forty-six objects.,06/23/11
Pictures by Women: A History of Modern Photograpy,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3436819&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011422101,05/07/10,Included in admission,"11 W 53rd St. New York, NY 10019",Museum of Modern Art (MoMA),"For much of photography's 170-year history, women have expanded its roles by experimenting with every aspect of the medium. This exhibition presents a selection of outstanding photographs by women artists, charting the medium's history from the dawn of the modern period to the present.",03/21/11
Body Parts: Ancient Egyptian Fragments & Amulets,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3275170&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011424565,11/19/09,Included in admission,"200 Eastern Pkwy. Brooklyn, NY 11238",Brooklyn Museum,"'Body Parts' features thirty-five objects that represent individual body parts in ancient Egyptian art from the Brooklyn Museum's collection, many of which will be displayed for the first time.",10/02/11
Contemporary Art From the Collection,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3484642&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011422101,06/30/10,Included in admission,"11 W 53rd St. New York, NY 10019",Museum of Modern Art (MoMA),"The works selected for this installation highlight the debates around economics, politics, gender and ethnicity that have permeated artistic practices since the late 1960s. Including approximately 130 works drawn from all of the Museum's curatorial departments, the installation features a variety of approaches to art-making and follows a chronological path.",09/12/11
Highlights From the Modern Design Collection: 1900 to the Present,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3344295&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011425389,12/08/09,Included in admission,"1000 5th Ave. New York, NY 10028",Metropolitan Museum of Art,This installation of highlights from the Museum's modern and contemporary design collection from 1900 to the present features forty-six objects.,06/23/11
Pictures by Women: A History of Modern Photograpy,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3436819&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011422101,05/07/10,Included in admission,"11 W 53rd St. New York, NY 10019",Museum of Modern Art (MoMA),"For much of photography's 170-year history, women have expanded its roles by experimenting with every aspect of the medium. This exhibition presents a selection of outstanding photographs by women artists, charting the medium's history from the dawn of the modern period to the present.",03/21/11
A Song for the Horse Nation,http://events.nytimes.com/gst/nycguide.html?detail=events&id=3279486&d=9,http://events.nytimes.com/gst/nycguide.html?detail=venues&amp;id=1077011420087,11/14/09,Free,"1 Bowling Green New York, NY 10004",National Museum of the American Indian - Smithsonian Institution,'A Song for the Horse Nation' presents the epic story of the horse's influence on American Indian tribes from the 1600s to the present.,07/07/11
