venueLink,hours,phone,latitude,moreInfo,venue,time,price,description,address,name,startDate,city,image,endDate,state,longitude
http://www.thestranger.com/seattle/little-red-hen/Location?oid=23949,,(206) 522-1168,47.67998,http://www.thestranger.com/seattle/Event?event=3280735,Little Red Hen,4 pm.,,,7115 Woodlawn Ave NE &nbsp;&nbsp;,Open Mic Acoustic Jam with Bodacious Billy,04/10/2011,Seattle,,04/10/2011,WA,-122.3248
http://www.thestranger.com/seattle/re-bar/Location?oid=1216384,,233-9873,47.61637,http://www.thestranger.com/seattle/Event?event=55566,Re-bar,9 pm.,,,1114 Howell St &nbsp;&nbsp;,Flammable:                                       DJ Wesley Holmes,04/10/2011,Seattle,,04/10/2011,WA,-122.33131
http://www.thestranger.com/seattle/halo/Location?oid=99842,,(206) 324-7263,47.6141,http://www.thestranger.com/seattle/Event?event=1025187,HaLo,7:30 pm.,$4/$6,,"500 E Pike St, Second Floor &nbsp;&nbsp;",Salsa Practica:                                       Guests,04/11/2011,Seattle,,04/11/2011,WA,-122.3255
http://www.thestranger.com/seattle/ballroom/Location?oid=24032,Daily 4 pm-2 am,(206) 634-2575,47.65207,http://www.thestranger.com/seattle/Event?event=6181972,Ballroom,,Free,,456 N 36th St &nbsp;&nbsp;,DJ Rob,04/14/2011,Seattle,,04/14/2011,WA,-122.35307
http://www.thestranger.com/seattle/halo/Location?oid=99842,,(206) 324-7263,47.6141,http://www.thestranger.com/seattle/Event?event=3323436,HaLo,9 pm.,$4,,"500 E Pike St, Second Floor &nbsp;&nbsp;",Bachata:                                       DJ Alison,04/13/2011,Seattle,,04/13/2011,WA,-122.3255
http://www.thestranger.com/seattle/waterwheel-lounge/Location?oid=178255,"Mon-Fri 2 pm-2 am, Sat-Sun 11 pm-2 am",(206) 784-5701,47.68023,http://www.thestranger.com/seattle/Event?event=1164019,Waterwheel Lounge,,,,7034 15th Ave NW &nbsp;&nbsp;,Karaoke:                                       Guests,04/16/2011,Seattle,,04/16/2011,WA,-122.37653
http://www.thestranger.com/seattle/hula-hula/Location?oid=146146,4 pm-close daily,(206) 284-5003,47.6188,http://www.thestranger.com/seattle/Event?event=3523542,Hula Hula,9:30 pm.,Free,,106 First Ave N &nbsp;&nbsp;,Hula Hula Karaoke:                                       Guests,04/16/2011,Seattle,,04/16/2011,WA,-122.35521
http://www.thestranger.com/seattle/rentons-ikea-theatre/Location?oid=406907,,(425) 228-6800,0.0,http://www.thestranger.com/seattle/Event?event=7596078,Renton's IKEA Theatre,7:30 pm.,$10/$15,,400 Second Street &nbsp;&nbsp;,Rainier Symphony,04/16/2011,Renton,,04/16/2011,WA,0.0
http://www.thestranger.com/seattle/ground-zero/Location?oid=23914,,(425) 452-6118,47.6126,http://www.thestranger.com/seattle/Event?event=6956759,Ground Zero,7 pm.,$5/$6,,257 100th Ave NE &nbsp;&nbsp;,"Helms Alee, Cannon Canyon, St. Elias, Darto",04/30/2011,Bellevue,,04/30/2011,WA,-122.20715
http://www.thestranger.com/seattle/neumos/Location?oid=24256,,(206) 709-9442,47.61396,http://www.thestranger.com/seattle/Event?event=6805253,Neumos,8 pm.,$21,Show rescheduled from 3/16. Tickets for the 3/16 show will be accepted at the door.,925 E Pike St &nbsp;&nbsp;,"Steve Ignorant presents Crass songs, Goldblade, The Estranged",04/26/2011,Seattle,,04/26/2011,WA,-122.32034
