prices,title,website,phone,moreInfoLink,time,description,venue,address,startDate,image,endDate
free,Rhino Cruisin Car and Bike Show,http://rhinocaffe.net,480-987-2140,http://www.phoenixnewtimes.com/events/rhino-cruisin-car-and-bike-show-1442321/,6:00pm,,Rhino Caffe,"22721 S. Ellsworth Rd.      Queen Creek, AZ",,,
,Casa Grande Ruins National Monument,http://www.thenationalmonuments.com/casa-grande-ruins-national-monument.htm,520-723-3172,http://www.phoenixnewtimes.com/events/casa-grande-ruins-national-monument-858540/,,The impressive Hohokam relic was the first archaeological preserve in the U.S.,Casa Grande Ruins National Monument,"1100 W. Ruins Dr.      Coolidge, AZ",,,
,Goldfield Ghost Town,http://www.goldfieldghosttown.com,480-983-0333,http://www.phoenixnewtimes.com/events/goldfield-ghost-town-115613/,,"This faux 1890s-era mining settlement features specialty shops, a nature trail, mine tours, gold panning, staged gunfight shows, the phony Miner's Last Diggin's Cemetery, the ""Southwest Live Rattlesnake Exhibit"" and displays of antique mining equipment.",Goldfield Ghost Town,"4650 N. Mammoth Mine Rd.     (four miles northeast of Apache Junction)    Apache Junction, AZ",,http://vvoice.vo.llnwd.net/e14/1390200.55.jpg,
free,Mill Avenue District,,,http://www.phoenixnewtimes.com/events/mill-avenue-district-113732/,,"High- and low-end retail, shopping, dining, and some of the best people-watching around.",Mill Avenue District,"Mill Avenue between University Dr. and Rio Salado Pkwy.      Tempe, AZ",,,
"free, fee for tours",Queen Creek Olive Mill,http://www.QueenCreekOliveMill.com,480-888-9290,http://www.phoenixnewtimes.com/events/queen-creek-olive-mill-506051/,,"Arizona's only working olive farm includes a restaurant, store, and public tours.",Queen Creek Olive Mill,"25062 S. Meridian Road      Queen Creek, AZ",,http://vvoice.vo.llnwd.net/e14/1224147.55.jpg,
,Casa Grande Ruins National Monument,http://www.thenationalmonuments.com/casa-grande-ruins-national-monument.htm,520-723-3172,http://www.phoenixnewtimes.com/events/casa-grande-ruins-national-monument-122680/,,Ancient Hohokam archaeological site featuring scores of timeworn dwellings.,Casa Grande Ruins National Monument,"1100 W. Ruins Dr.      Coolidge, AZ",,,
,Casa Grande Ruins National Monument,http://www.thenationalmonuments.com/casa-grande-ruins-national-monument.htm,520-723-3172,http://www.phoenixnewtimes.com/events/casa-grande-ruins-national-monument-858540/,,The impressive Hohokam relic was the first archaeological preserve in the U.S.,Casa Grande Ruins National Monument,"1100 W. Ruins Dr.      Coolidge, AZ",,,
$3 adults,Casa Grande Valley Historical Society & Museum,http://www.cgvhs.org/,520-836-2223,http://www.phoenixnewtimes.com/events/casa-grande-valley-historical-society-and-museum-114119/,,Experience the 19th century mining boom as you tour the exhibits. See the miniature agriculture display. Learn how irrigation turned sandy plains into lush cotton fields. Tour the historic Heritage Hall and the Rebecca Dallis School House. Hours are 1 p.m. to 5 p.m. Mondays through Saturdays. The museum season is September 15 through May 15.,Casa Grande Valley Historical Society & Museum,"110 West Florence Boulevard      Casa Grande, AZ",,,
,Phippen Museum of Western Art,http://www.phippenmuseum.com,1-928-778-1385,http://www.phoenixnewtimes.com/events/phippen-museum-of-western-art-114196/,,Features artwork of the American West.,Phippen Museum of Western Art,"4701 Hwy. 89 North      Prescott, AZ",,,
free,Made by Me Arts and Culture Festival,,623-848-1234,http://www.phoenixnewtimes.com/events/made-by-me-arts-and-culture-festival-1523656/,10:00am-4:00pm,,Macdonald Street Farmers Market,"Macdonald and Center streets      Mesa, AZ",,,
free,&#147;An Alchemy of Grace&#148;,,602-254-7126,http://www.phoenixnewtimes.com/events/and-147-an-alchemy-of-graceand-148--1531615/,,"<p>Most folks move here from snow-dominated climes to escape exactly what artist Eileen Marie Ripsin purposely created for her solo show, which is rust. Lots of it.",Olney Gallery,"in Trinity Episcopal Cathedral     (100 West Roosevelt Street)    Phoenix, AZ",12/05/2011,http://vvoice.vo.llnwd.net/e14/4219254.49.jpg,12/28/2011
free,&#147;Soot: Handmade Candle Caddies&#148;,http://www.madephx.com,602-256-6233,http://www.phoenixnewtimes.com/events/and-147-soot-handmade-candle-caddiesand-148--1536339/,,"<p>Times are dark, people. An old Chinese proverb advises that it&#146;s better to light a candle than to curse the darkness. So quit cursing and see a wee, warm exhibition on Roosevelt Row called &#147;Soot: Handmade Candle Caddies.&#148;",MADE art boutique,"922 N. Fifth St.      Phoenix, AZ",12/09/2011,http://vvoice.vo.llnwd.net/e14/4200129.49.jpg,12/31/2011
"$5-$7, free on Thursdays","""Rewind Remix Replay: Design, Music & Everyday Experience""",http://www.smoca.org,480-994-2787,http://www.phoenixnewtimes.com/events/rewind-remix-replay-design-music-and-everyday-experience-1370500/,,"<p>At a recent reading, author Sherman Alexie lamented his sons&#146; relationship to music. Gone are the days of waiting for physical albums to come out, waiting in line at Tower Records, peeling off the cellophane, and gathering &#145;round the turntable in eager anticipation of the moment the needle hits virgin vinyl.",Scottsdale Museum of Contemporary Art,"7374 E. Second St.      Scottsdale, AZ",01/02/2011,http://vvoice.vo.llnwd.net/e14/4231933.49.jpg,05/23/2011
