phone,website,moreInfo,location,startDate,name,venue,description,image,endDate
,http://www.sandiego.org/eventurl/8873,http://www.sandiego.org/event/Visitors/8873,Downtown,06/05/2010,World Oceans Restaurants,Croce's Restaurants and Bars,"World Ocean Restaurants is a group of San Diego restaurants that are committed to serving sustainable seafood and support the Monterey Bay Aquarium’s Seafood Watch Restaurant Program.&nbsp; Its website, <a href=""http://www.worldoceanrestaurants.com/"">www.worldoceanrestaurants.com</a>, serves as a resource for travelers looking for ocean-friendly restaurants in the San Diego area like <a target=""_blank"" href=""http://www.croces.com"">Croce’s Restaurant &amp; Jazz Bar</a> in downtown San Diego.&nbsp;",,06/05/2011
,http://www.sandiego.org/eventurl/8873,http://www.sandiego.org/event/Visitors/8873,Downtown,06/09/2010,World Oceans Restaurants,Croce's Restaurants and Bars,"World Ocean Restaurants is a group of San Diego restaurants that are committed to serving sustainable seafood and support the Monterey Bay Aquarium’s Seafood Watch Restaurant Program.&nbsp; Its website, <a href=""http://www.worldoceanrestaurants.com/"">www.worldoceanrestaurants.com</a>, serves as a resource for travelers looking for ocean-friendly restaurants in the San Diego area like <a target=""_blank"" href=""http://www.croces.com"">Croce’s Restaurant &amp; Jazz Bar</a> in downtown San Diego.&nbsp;",,06/05/2011
,http://www.sandiego.org/eventurl/8873,http://www.sandiego.org/event/Visitors/8873,Downtown,06/10/2010,World Oceans Restaurants,Croce's Restaurants and Bars,"World Ocean Restaurants is a group of San Diego restaurants that are committed to serving sustainable seafood and support the Monterey Bay Aquarium’s Seafood Watch Restaurant Program.&nbsp; Its website, <a href=""http://www.worldoceanrestaurants.com/"">www.worldoceanrestaurants.com</a>, serves as a resource for travelers looking for ocean-friendly restaurants in the San Diego area like <a target=""_blank"" href=""http://www.croces.com"">Croce’s Restaurant &amp; Jazz Bar</a> in downtown San Diego.&nbsp;",,06/05/2011
,http://www.sandiego.org/eventurl/8873,http://www.sandiego.org/event/Visitors/8873,Downtown,06/25/2010,World Oceans Restaurants,Croce's Restaurants and Bars,"World Ocean Restaurants is a group of San Diego restaurants that are committed to serving sustainable seafood and support the Monterey Bay Aquarium’s Seafood Watch Restaurant Program.&nbsp; Its website, <a href=""http://www.worldoceanrestaurants.com/"">www.worldoceanrestaurants.com</a>, serves as a resource for travelers looking for ocean-friendly restaurants in the San Diego area like <a target=""_blank"" href=""http://www.croces.com"">Croce’s Restaurant &amp; Jazz Bar</a> in downtown San Diego.&nbsp;",,06/05/2011
,http://www.sandiego.org/eventurl/8873,http://www.sandiego.org/event/Visitors/8873,Downtown,06/26/2010,World Oceans Restaurants,Croce's Restaurants and Bars,"World Ocean Restaurants is a group of San Diego restaurants that are committed to serving sustainable seafood and support the Monterey Bay Aquarium’s Seafood Watch Restaurant Program.&nbsp; Its website, <a href=""http://www.worldoceanrestaurants.com/"">www.worldoceanrestaurants.com</a>, serves as a resource for travelers looking for ocean-friendly restaurants in the San Diego area like <a target=""_blank"" href=""http://www.croces.com"">Croce’s Restaurant &amp; Jazz Bar</a> in downtown San Diego.&nbsp;",,06/05/2011
,http://www.sandiego.org/eventurl/9430,http://www.sandiego.org/event/Visitors/9430,Downtown,08/12/2010,Counter Cultures: The Secret Lives of Games,San Diego Museum of Man,"See over a hundred different board, card, and tile games from all over the world. Learn about the history of games and why we love to play them so much. Step onto a floor-sized game board and travel along spaces that take you through the exhibit! Or rest your feet in our players lounge and play some of your favorite boardgames.",,04/11/2011
,http://www.sandiego.org/eventurl/9430,http://www.sandiego.org/event/Visitors/9430,Downtown,08/19/2010,Counter Cultures: The Secret Lives of Games,San Diego Museum of Man,"See over a hundred different board, card, and tile games from all over the world. Learn about the history of games and why we love to play them so much. Step onto a floor-sized game board and travel along spaces that take you through the exhibit! Or rest your feet in our players lounge and play some of your favorite boardgames.",,04/11/2011
,http://www.sandiego.org/eventurl/9492,http://www.sandiego.org/event/Visitors/9492,Downtown,10/23/2010,Strange Bones: Curiosities of the Human Skeleton,San Diego Museum of Man,"This exhibition will focus on the many different strange, odd, and curious things that happen to our skeletons.  In addition to information on bone remodeling and adaptation, examples of skeletal congenital anomalies, diseases that disfigure the skeleton, strange healing patterns of traumatic injuries, and cultural modification of the skeleton and teeth will be highlighted.  This exhibition will scientifically focus on how the human skeleton is extremely interesting and adaptable, and will teach our visitors about the biological forces behind certain skeletal diseases and disfiguration.",,09/06/2011
,http://www.sandiego.org/eventurl/9492,http://www.sandiego.org/event/Visitors/9492,Downtown,10/23/2010,Strange Bones: Curiosities of the Human Skeleton,San Diego Museum of Man,"This exhibition will focus on the many different strange, odd, and curious things that happen to our skeletons.  In addition to information on bone remodeling and adaptation, examples of skeletal congenital anomalies, diseases that disfigure the skeleton, strange healing patterns of traumatic injuries, and cultural modification of the skeleton and teeth will be highlighted.  This exhibition will scientifically focus on how the human skeleton is extremely interesting and adaptable, and will teach our visitors about the biological forces behind certain skeletal diseases and disfiguration.",,09/06/2011
,http://www.sandiego.org/eventurl/9430,http://www.sandiego.org/event/Visitors/9430,Downtown,08/30/2010,Counter Cultures: The Secret Lives of Games,San Diego Museum of Man,"See over a hundred different board, card, and tile games from all over the world. Learn about the history of games and why we love to play them so much. Step onto a floor-sized game board and travel along spaces that take you through the exhibit! Or rest your feet in our players lounge and play some of your favorite boardgames.",,04/11/2011
