date,image,title,timeResult,location,moreInfoLink
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/BOS.gif,Boston Celtics vs Wash,7:30 PM,"Boston, MA",http://www.cbssports.com/nba/teams/page/BOS/boston-celtics
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/BOS.gif,Boston Celtics vs Mil,8:00 PM,"Boston, MA",http://www.cbssports.com/nba/teams/page/BOS/boston-celtics
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/ATL.gif,Atlanta Hawks vs Tor,7:30 PM,"Atlanta, GA",http://www.cbssports.com/nba/teams/page/ATL/atlanta-hawks
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/ATL.gif,Atlanta Hawks vs Cle,8:00 PM,"Atlanta, GA",http://www.cbssports.com/nba/teams/page/ATL/atlanta-hawks
"Apr 12, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/DET.gif,Detroit Pistons vs Tor,7:30 PM,"Auburn Hills, MI",http://www.cbssports.com/nba/teams/page/DET/detroit-pistons
"Apr 10, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/SAC.gif,Sacramento Kings vs Dal,10:00 PM,"Sacramento, CA",http://www.cbssports.com/nba/teams/page/SAC/sacramento-kings
"Apr 12, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/SAC.gif,Sacramento Kings vs Hou,10:00 PM,"Sacramento, CA",http://www.cbssports.com/nba/teams/page/SAC/sacramento-kings
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/MIA.gif,Miami Heat vs Det,7:30 PM,"Miami, FL",http://www.cbssports.com/nba/teams/page/MIA/miami-heat
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/MIA.gif,Miami Heat vs NJ,8:00 PM,"Miami, FL",http://www.cbssports.com/nba/teams/page/MIA/miami-heat
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/SA.gif,San Antonio Spurs vs Mem,8:30 PM,"San Antonio, TX",http://www.cbssports.com/nba/teams/page/SA/san-antonio-spurs
"Apr 12, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/SA.gif,San Antonio Spurs vs Min,8:30 PM,"San Antonio, TX",http://www.cbssports.com/nba/teams/page/SA/san-antonio-spurs
"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/PHO.gif,Phoenix Suns vs Hou,9:00 PM,"Phoenix, AZ",http://www.cbssports.com/nba/teams/page/PHO/phoenix-suns
"Apr 13, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/PHO.gif,Phoenix Suns vs Den,10:30 PM,"Phoenix, AZ",http://www.cbssports.com/nba/teams/page/PHO/phoenix-suns
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/MIN.gif,Minnesota Timberwolves vs LAL,8:00 PM,"Minneapolis, MN",http://www.cbssports.com/nba/teams/page/MIN/minnesota-timberwolves
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/MIN.gif,Minnesota Timberwolves vs Det,8:00 PM,"Minneapolis, MN",http://www.cbssports.com/nba/teams/page/MIN/minnesota-timberwolves
"Apr 10, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/DEN.gif,Denver Nuggets vs SA,9:00 PM,"Denver, CO",http://www.cbssports.com/nba/teams/page/DEN/denver-nuggets
"Apr 12, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/DEN.gif,Denver Nuggets vs Mem,9:00 PM,"Denver, CO",http://www.cbssports.com/nba/teams/page/DEN/denver-nuggets
"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/LAL.gif,Los Angeles Lakers vs Port,3:30 PM,"Los Angeles, CA",http://www.cbssports.com/nba/teams/page/LAL/los-angeles-lakers
"Apr 13, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/LAL.gif,Los Angeles Lakers vs Sac,10:30 PM,"Los Angeles, CA",http://www.cbssports.com/nba/teams/page/LAL/los-angeles-lakers
"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/GS.gif,Golden State Warriors vs OKC,9:00 PM,"Oakland, CA",http://www.cbssports.com/nba/teams/page/GS/golden-state-warriors
"Apr 13, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/GS.gif,Golden State Warriors vs Utah,10:30 PM,"Oakland, CA",http://www.cbssports.com/nba/teams/page/GS/golden-state-warriors
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/NJ.gif,New Jersey Nets vs Chi,8:00 PM,"East Rutherford, N.J.",http://www.cbssports.com/nba/teams/page/NJ/new-jersey-nets
"Apr 12, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/NJ.gif,New Jersey Nets vs Char,7:30 PM,"East Rutherford, N.J.",http://www.cbssports.com/nba/teams/page/NJ/new-jersey-nets
"Apr 10, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/MIL.gif,Milwaukee Bucks vs Bos,8:30 PM,"Milwaukee, WI",http://www.cbssports.com/nba/teams/page/MIL/milwaukee-bucks
"Apr 12, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/MIL.gif,Milwaukee Bucks vs Atl,8:00 PM,"Milwaukee, WI",http://www.cbssports.com/nba/teams/page/MIL/milwaukee-bucks
"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/NY.gif,New York Knicks vs Mia,6:00 PM,"New York, N.Y.",http://www.cbssports.com/nba/teams/page/NY/new-york-knicks
"Apr 12, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/NY.gif,New York Knicks vs Wash,7:30 PM,"New York, N.Y.",http://www.cbssports.com/nba/teams/page/NY/new-york-knicks
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/HOU.gif,Houston Rockets vs Char,8:30 PM,"Houston, TX",http://www.cbssports.com/nba/teams/page/HOU/houston-rockets
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/HOU.gif,Houston Rockets vs NO,8:00 PM,"Houston, TX",http://www.cbssports.com/nba/teams/page/HOU/houston-rockets
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/UTA.gif,Utah Jazz vs Pho,10:30 PM,"Salt Lake City, UT",http://www.cbssports.com/nba/teams/page/UTA/utah-jazz
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/OKC.gif,Oklahoma City Thunder vs Pho,8:00 PM,"Oklahoma City, OK",http://www.cbssports.com/nba/teams/page/OKC/oklahoma-city-thunder
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/OKC.gif,Oklahoma City Thunder vs Mem,8:00 PM,"Oklahoma City, OK",http://www.cbssports.com/nba/teams/page/OKC/oklahoma-city-thunder
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/POR.gif,Portland Trail Blazers vs Dal,10:00 PM,"Portland, OR",http://www.cbssports.com/nba/teams/page/POR/portland-trail-blazers
