city,description,date,venue,state,title,webSite,moreInfoLink
Amarillo,"for four person teams, entry fee $100 qualify on Tuesdays in January & February   </TD>",03/08/2011,The Big Texan,TX,Rib Eating Finals,http://bigtexan.com/,http://eatfeats.com/query.php?_table=contests&id=6010
Amarillo,"for four person teams, entry fee $100 qualify on Tuesdays in January & February   </TD>",03/06/2011,The Big Texan,TX,Rib Eating Semifinals,http://bigtexan.com/,http://eatfeats.com/query.php?_table=contests&id=6011
Chicago,,02/27/2011,Bailey Auditorium,IL,Wingfest wing eating contest - men,http://wingfest.net,http://eatfeats.com/query.php?_table=contests&id=6023
Chicago,,02/27/2011,Bailey Auditorium,IL,Wingfest wing eating contest - women,http://wingfest.net,http://eatfeats.com/query.php?_table=contests&id=6022
Catonsville,$10 registration fee  </TD>,07/04/2011,Duesenberg's Cafe & Grill,MD,Hebrew National Hot Dog Eating Competition,http://duesenbergscafeandgrill.com,http://eatfeats.com/query.php?_table=contests&id=6141
Cincinnati,,06/17/2011,Fountain Square,OH,Freaky Friday Coney Eating Contest,http://myfountainsquare.com,http://eatfeats.com/query.php?_table=contests&id=6301
Timonium,Contact:  aprobey@hollypoultry.com  </TD>,06/11/2011,Sonoma's Bar and Grill,MD,Holly Wing Wars,http://www.hightoppsbackstagegrille.com/,http://eatfeats.com/query.php?_table=contests&id=6253
Atlantic City,entrants will eat a slice from all 30 pizzas in menu  <BR>Contact: Mike tonyboloneys@gmail.com 732-657-4488  </TD>,05/14/2011,Tony Boloney's,NJ,Pizza Slaughter Fest,http://www.tonyboloneys.com/,http://eatfeats.com/query.php?_table=contests&id=6309
Fayetteville,,05/05/2011,Diogi's,WV,Gigandous Burrito Eating Contest,http://www.diogismexicangrill.com/,http://eatfeats.com/query.php?_table=contests&id=6360
Waterloo,,04/23/2011,Isle Casino Waterloo,IA,Cupcake Eating Contest,http://www.theislewaterloo.com/,http://eatfeats.com/query.php?_table=contests&id=6153
Chandler,open to Arizona residents only  </TD>,03/26/2011,The Great American BBQ and Beer Festival,AZ,Midwestern Meats Eating Contest,http://www.chandlerbbq.com/,http://eatfeats.com/query.php?_table=contests&id=6143
Darien,Contact: Kelly McClellan mcclellan42530@yahoo.com 912-437-5455  </TD>,03/26/2011,Blessing of the Fleet Kickoff Day,GA,Shrimp Eating Contest,http://www.BlessingoftheFleet.com,http://eatfeats.com/query.php?_table=contests&id=6273
Port Saint Lucie,,03/26/2011,Wing Fest,FL,Wing Eating Contest,http://wingfest.info/,http://eatfeats.com/query.php?_table=contests&id=6254
Davenport,,03/19/2011,Rhythm City Casino,IA,The Rhythm City World Catfish Eating Championship,http://davenport.isleofcapricasinos.com/,http://eatfeats.com/query.php?_table=contests&id=6152
Palm Beach Gardens,entrants randomly chosen from people who have eaten Jaynormous sandwich by March 3   </TD>,03/17/2011,TooJay's,FL,TooJay's World Class Corned Beef Eating Championship - amateurs,http://toojays.com,http://eatfeats.com/query.php?_table=contests&id=6382
Palm Beach Gardens,,03/17/2011,TooJay's,FL,TooJay's World Class Corned Beef Eating Championship - professionals,http://toojays.com,http://eatfeats.com/query.php?_table=contests&id=6381
Fullerton,,03/12/2011,H-D of Anaheim-Fullerton,CA,Pancake Eating Contest,http://www.harleyfullerton.com/,http://eatfeats.com/query.php?_table=contests&id=6334
Plant City,,03/10/2011,Florida Strawberry Festival,FL,Strawberry Shortcake Eating Contest,http://flstrawberryfestival.com,http://eatfeats.com/query.php?_table=contests&id=6378
