price,description,time,address,name,imageLogo,phone,place,moreInfo,eventDate
,,(Boarding: 7:30 p.m. Cruising: 8:00 p.m. to 11:00 p.m.)Enjoy a night of romance on the...,"Hornblower Landing- Pier 3	       	      San Francisco, CA  	      94111",98.1 KISS fm Valentine Dinner Cruise,http://www.sfstation.com,415-788-8866,Hornblower Cruises,http://www.sfstation.com/98-1-kiss-fm-valentine-dinner-cruise-e791501,Sat Feb 13
,"Veronica Klaus is a San Francisco Cabaret Icon well known for her soulful renditions of jazz, blues and cabaret music such as on her latest CD &quot;Veronica Klaus-Live at the Lodge!&quot; She recently finished a highly successful run of her critically acclaimed autobiographical show Family Jewels-The Making of Veronica Klaus. The San Francisco Chronicle lauds her as &quot;A beautifully expressive and tuneful song stylist..who is brassy and confident onstage!' She was voted Best Chanteuse",(8pm-12am)No Cover,"504 Broadway Street	       	      San Francisco, CA  	      94113",Veronica Klaus,http://www.sfstation.com,415.982.6223,Enrico's,http://www.sfstation.com/veronica-klaus-e791881,Sat Jan 23 - Fri Feb 26
$25 - $35,"Based on Puccini's 'La Boheme', Jonathan Larsons Tony Award and Pulitzer Prize-winning revolutionary rock opera Rent tells the story of one year in the life of eight friends living the Bohemian life struggling to express themselves through their art and measuring their lives in love. Against the gritty backdrop of New Yorks East Village, these friends strive for success and acceptance while enduring the obstacles of poverty, illness and the AIDS epidemic. <br /><br />Directed by Jerianne Banson, featuring Enrico Banson, Marion Bordon, Luke Chapman, Jenna Davi, Corinne Frimbrez, Jami James, Anthony Michael Knott, Jessica Knudsen, Chris Morell, Salvador Real, Ruben Oriol Rivera, Alex Rodriguez, Anthony Rollins-Mullens, Jujuana Williams, and Aubine Nicole Wise.<br /> <br />RENT runs January 21, 22, 34, 2010 at 8pm, and January 23 and 24, 2010 at 2pm at The Southside Theatre  Fort Mason Center, Building D  in San Francisco. Tickets are $25-$35, and are available by visiting the Jerica Productions website at http://www.jericaproductions.com.",(8pm),"In Fort Mason Center	       	      San Francisco, CA  	      94123",RENT: The Musical,http://www.sfstation.com/images/ev/01/768701a_tn220x220.jpg,415.939.5683,Southside Theater,http://www.sfstation.com/rent-the-musical-e768701,Fri Jan 22 - Sun Feb 21
$25 - $35,"Based on Puccini's 'La Boheme', Jonathan Larsons Tony Award and Pulitzer Prize-winning revolutionary rock opera Rent tells the story of one year in the life of eight friends living the Bohemian life struggling to express themselves through their art and measuring their lives in love. Against the gritty backdrop of New Yorks East Village, these friends strive for success and acceptance while enduring the obstacles of poverty, illness and the AIDS epidemic. <br /><br />Directed by Jerianne Banson, featuring Enrico Banson, Marion Bordon, Luke Chapman, Jenna Davi, Corinne Frimbrez, Jami James, Anthony Michael Knott, Jessica Knudsen, Chris Morell, Salvador Real, Ruben Oriol Rivera, Alex Rodriguez, Anthony Rollins-Mullens, Jujuana Williams, and Aubine Nicole Wise.<br /> <br />RENT runs January 21, 22, 34, 2010 at 8pm, and January 23 and 24, 2010 at 2pm at The Southside Theatre  Fort Mason Center, Building D  in San Francisco. Tickets are $25-$35, and are available by visiting the Jerica Productions website at http://www.jericaproductions.com.",(2pm),"In Fort Mason Center	       	      San Francisco, CA  	      94123",RENT: The Musical,http://www.sfstation.com/images/ev/01/768701a_tn220x220.jpg,415.939.5683,Southside Theater,http://www.sfstation.com/rent-the-musical-e768701,Fri Jan 22 - Sun Feb 21
,"Special Valentine's at Enrico's. An evening of standards and beyond with Mark Robinson, &quot;one of the most exciting additions to the Bay Area vocal scene in recent years.&quot; In heavy rotation: Love songs. Prix Fixe ($75) or bar walk in. 6 to 10:30.",(6 pm to 10:30 pm),"504 Broadway Street	       	      San Francisco, CA  	      94113",Mark Robinson Trio at Enrico's San Francisco,http://www.sfstation.com,415/982-6223,Enrico's,http://www.sfstation.com/mark-robinson-trio-at-enricos-san-francisco-e808641,Sun Feb 14
,,(Boarding: 8:00 p.m. Cruising: 8:30 p.m. to 10:30 p.m)Departing from the Berkeley Mar...,"Hornblower Landing- Pier 3	       	      San Francisco, CA  	      94111",Hornblowers Chocolate &amp; Kisses Cruise,http://www.sfstation.com,415-788-8866,Hornblower Cruises,http://www.sfstation.com/hornblower-s-chocolate-and-kisses-cruise-e791641,Sun Feb 14
,,(BOARD: 8:00 pm CRUISING TIME: 8:30 pm  11:00 pm)Come aboard our newest vessel f...,"Hornblower Landing- Pier 3	       	      San Francisco, CA  	      94111",Hornblowers SF Spirit Valentine Cocktail Cruise,http://www.sfstation.com,415-788-8866,Hornblower Cruises,http://www.sfstation.com/hornblower-s-sf-spirit-valentine-cocktail-cruise-e791621,Sun Feb 14
,,(Boarding: 7:00 p.m. Cruising: 8:00 p.m. to 11:00 p.m.)Toast with your sweetheart whil...,"Hornblower Landing- Pier 3	       	      San Francisco, CA  	      94111",Hornblowers Hearts Deluxe Dinner  Dance Cruise,http://www.sfstation.com,415-788-8866,Hornblower Cruises,http://www.sfstation.com/hornblower-s-heart-s-deluxe-dinner-dance-cruise-e791611,Sun Feb 14
,,(Boarding: 7:00 p.m. Cruising: 7:30 p.m. to 10:30 p.m.)Love is on the water with this ...,"Hornblower Landing- Pier 3	       	      San Francisco, CA  	      94111",Hornblowers Aphrodites Premier Dinner Cruise,http://www.sfstation.com,415-788-8866,Hornblower Cruises,http://www.sfstation.com/hornblower-s-aphrodite-s-premier-dinner-cruise-e791591,Sun Feb 14
,,(Boarding: 11:00 a.m. Cruising: 11:30 a.m. to 1:30 p.m.)Start the day off with a romant...,"Hornblower Landing- Pier 3	       	      San Francisco, CA  	      94111",Hornblowers Cupids Brunch Cruise,http://www.sfstation.com,415-788-8866,Hornblower Cruises,http://www.sfstation.com/hornblower-s-cupids-brunch-cruise-e791571,Sun Feb 14
