allDates,moreInfoLink,name,address,city,price,description,venueName,state,image
03/01/2011,http://www.villagevoice.com/events/jessica-6-2394188/,Jessica 6,217 E. Houston St.,New York,$10,"These former Hercules & Love Affair folks stoke fond memories of CeCe Peniston's ""Finally"" and Lisa Stansfield's ""All Around the World"" on See the Light, their disco-soul debut due in May. Tonight's is a dangerously early show, though: Are people ready to dance before 8? With Emilie Simon.</p>",Mercury Lounge,NY,http://vvoice.vo.llnwd.net/e12/5995389.47.jpg
03/05/2011,http://www.villagevoice.com/events/middle-brother-dawes-deer-tick-2406079/,Middle Brother+Dawes+Deer Tick,66 N. 6th St.,Brooklyn,$20-$22,"An indie-country semi-supergroup with members of Dawes, Deer Tick, and Delta Spirit, Middle Brother are like the Crosby Stills & Nash of the Bonnaroo set. (Unless that's what Monsters of Folk were?) Tonight, they'll play after warm-up sets by Dawes and Deer Tick, which means some kind of all-hands jam seems destined.</p>",Music Hall of Williamsburg,NY,http://vvoice.vo.llnwd.net/e12/6023458.47.jpg
02/26/2011,http://www.villagevoice.com/events/nu-voices-orchestra-2390697/,Nu Voices Orchestra,30 Lafayette Ave.,Brooklyn,free,,BAMcafe,NY,
02/27/2011,http://www.villagevoice.com/events/nathan-carpenter-hallow-dog-crooks-and-perverts-2398669/,Nathan Carpenter+Hallow Dog+Crooks & Perverts,184 Bedford Ave.,Brooklyn,,,Spike Hill,NY,
02/27/2011,http://www.villagevoice.com/events/acrassicauda-martyrd-made-again-2390733/,Acrassicauda+Martyrd+Made Again,327 Bowery,New York,,,Bowery Electric,NY,
02/27/2011,http://www.villagevoice.com/events/elevator-rose-2398568/,Elevator Rose,49 S. 2nd St.,Brooklyn,$7,,Death By Audio,NY,
02/27/2011,http://www.villagevoice.com/events/drew-holcomb-and-the-neighbors-highbench-the-clox-2394184/,Drew Holcomb & the Neighbors+Highbench+the Clox,217 E. Houston St.,New York,$10-$12,,Mercury Lounge,NY,
02/27/2011,http://www.villagevoice.com/events/tanner-walle-sarah-blacker-abbie-barrett-2394123/,Tanner Walle+Sarah Blacker+Abbie Barrett,154 Ludlow St.,New York,,,Living Room,NY,
02/27/2011,http://www.villagevoice.com/events/campusounds-com-presents-2398659/,'Campusounds.com Presents',361 Metropolitan Ave.,Brooklyn,$10-$12,,Knitting Factory,NY,
02/27/2011,http://www.villagevoice.com/events/cadaver-dogs-bot-sad-and-french-2390758/,Cadaver Dogs+Bot+Sad & French,105 Eldridge St.,New York,,,Fontana's,NY,
