title,timeResult,location,moreInfoLink,date,image
Florida Panthers vs TB,5:00 PM,"Sunrise, Fla.",http://www.cbssports.com/nhl/teams/page/FLA/florida-panthers,"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nhl/160x100/FLA.gif
Chicago Blackhawks vs DET,3:00 PM,"Chicago, Ill.",http://www.cbssports.com/nhl/teams/page/CHI/chicago-blackhawks,"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nhl/160x100/CHI.gif
New Jersey Devils vs BUF,5:00 PM,"Newark, N.J.",http://www.cbssports.com/nhl/teams/page/NJ/new-jersey-devils,"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nhl/160x100/NJ.gif
Philadelphia Flyers vs NYR,3:00 PM,"Philadelphia, Pa.",http://www.cbssports.com/nhl/teams/page/PHI/philadelphia-flyers,"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nhl/160x100/PHI.gif
New York Islanders vs PIT,5:00 PM,"Uniondale, N.Y.",http://www.cbssports.com/nhl/teams/page/NYI/new-york-islanders,"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nhl/160x100/NYI.gif
San Jose Sharks vs PHO,10:30 PM,"San Jose, Calif.",http://www.cbssports.com/nhl/teams/page/SJ/san-jose-sharks,"Apr 10, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nhl/160x100/SJ.gif
Anaheim Ducks vs EDM,8:00 PM,"Anaheim, Calif.",http://www.cbssports.com/nhl/teams/page/ANA/anaheim-ducks,"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nhl/160x100/ANA.gif
Colorado Avalanche vs LA,3:00 PM,"Denver, Colo.",http://www.cbssports.com/nhl/teams/page/COL/colorado-avalanche,"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nhl/160x100/COL.gif
Calgary Flames vs DET,9:30 PM,"Calgary, Alta.",http://www.cbssports.com/nhl/teams/page/CGY/calgary-flames,"Mar 15, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nhl/160x100/CGY.gif
Calgary Flames vs SJ,9:00 PM,"Calgary, Alta.",http://www.cbssports.com/nhl/teams/page/CGY/calgary-flames,"Mar 19, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nhl/160x100/CGY.gif
Calgary Flames vs ANA,9:00 PM,"Calgary, Alta.",http://www.cbssports.com/nhl/teams/page/CGY/calgary-flames,"Mar 23, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nhl/160x100/CGY.gif
