ticketPhone,title,website,moreInfoLink,from,tickets,latitude,times,to,description,venue,address,city,state,image,zipcode,longitude,email
(916) 552-5800 x2,Modern Masters,http://www.sacballet.org/index.php/upcoming_events/more_info/modern_masters/,http://www.sacramento365.com/event/detail/440876375/Modern_Masters,,$40,38.559859,Fri-Sun 7:30pm &amp; 2pm,,Experience the intrepid exploration of bold new voices in American dance. The brightest rising stars of cutting edge creativity stage provocative works of daring imagination. Now in three great locations&hellip;the Company brings the dance to you!</p>			</p>    			<br><br>,St. Francis Arts Complex,5900 Elvas Avenue,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/440876375/online_photoblocks_modernmasters_medium.jpg,95819,-121.431046,tickets@sacballet.org
(916) 467-7306,Kiwanis Chili Challenge: Chili Cook-Off ICS Sacramento Regional,http://www.chilicookoff.com/Event/Event_Display.asp?EventID=2850,http://www.sacramento365.com/event/detail/441131367/Kiwanis_Chili_Challenge_Chili_CookOff_ICS_Sacramento_Regional,05/22/2011,$10 to taste Chili,38.5382169,Sun 7am-6pm,05/22/2011,"International Chili Society (ICS)  Sacramento Regional Chili Cook-Off features ICS cooks and Kiwanis Clubs &amp; Community cooks participating in separate competitions. Also enjoy music, vendors, food, and drink at this family fun event.</p> <p>This event is a fundraiser for The Kiwanis Family House at the UCD Med Center.</p>			</p>    			<br><br>",Moose Lodge of West Sacramento,3240 Jefferson Blvd.,West Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441131367/international_chili_society_medium.jpg,95691,-121.550813,semdbsc@att.net
,Flash Fiction Workshop,http://valeriefioravanti.com/SacramentoWritingWorkshops.aspx,http://www.sacramento365.com/event/detail/441085103/Flash_Fiction_Workshop,,$225,38.5799441,Wednesdays 7pm-9pm,,"This workshop is designed for students interested in writing very short fiction, under 1000 words. Each student will submit at least three pieces for the workshop, one of which will be a revision of a previously submitted piece. Writers provide written feedback for their peers, and do some outside reading of flash fiction online and in print.<br> <br> <br> &nbsp;</p>			</p>    			<br><br>",,17th St. & H St.,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441085103/writing-man1_medium.jpg,95814,-121.4829503,valfiora@yahoo.com
(916) 452-3005,Curtis Park Home and Garden Tour,http://www.sierra2.org/SierraCurtisNeighborhoodAssociation/Events/tabid/67/Default.aspx,http://www.sacramento365.com/event/detail/441126951/Curtis_Park_Home_and_Garden_Tour,04/30/2011,,38.548119,Sat 10am-4pm,04/30/2011,"The 25th annual Curtis Park Home and Garden Tour features seven beautiful residences in Spanish, Colonial, and Tudor styles. Homes feature new and expanded kitchens, family rooms, master bedroom suites, and in-law quarters. Lunch, refreshments, live music, and vintage cars are part of the event.</p>			</p>    			<br><br>",Curtis Park Neighborhood,26th Street and Donner Way,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441126951/olson_house_medium.jpg,95818,-121.479789,terri@sierra2.org
(916) 317-6017,Midtown Bazaar,http://www.midtownbazaar.com/,http://www.sacramento365.com/event/detail/440797988/Midtown_Bazaar,,,38.578112,Sat 7am-1pm,,"Grab your friends and visit local vendors, artists, service providers, musicians, and eateries at the Midtown Bazaar. It&rsquo;s open to the public and runs each Saturday throughout the year, rain or shine.</p> <p>The Midtown Bazaar--housed at the intersection of J Street and historic State Route 160, and across from the iconic Elliott Building and Memorial Auditorium--honors Sacramento&rsquo;s long history of invention, commitment to the arts and entrepreneurial spirit. Much as Sacramento&rsquo;s original Public Market at the corner of 13 &amp; J Streets, the Midtown Bazaar enlivens the centralized Midtown Sacramento corner. Embracing Midtown&rsquo;s avant-garde personality, the market promotes community while providing artisans, musicians, local and organic farmers, small businesses and eateries an opportunity to engage with customers. Residents and visitors are invited to stroll through the market to discover both gifts and basic needs. Find it all at the Midtown Bazaar!</p>			</p>    			<br><br>",Midtown Bazaar,16th and J Streets,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/440797988/bazaar_medium.jpg,95816,-121.485211,info@midtownbazaar.com
(916) 808-7235,Screen on the Green Movie Series: Shrek Forever After,,http://www.sacramento365.com/event/detail/441104611/Screen_on_the_Green_Movie_Series_Shrek_Forever_After,08/13/2011,Free,38.622086,Sat Sundown,08/13/2011,"Come join us for a free movie and family fun at the Screen on the Green movie series, featuring Shrek Forever After (rated PG).</p> <p>Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme.</p>			</p>    			<br><br>",Hagginwood Elementary,1418 Palo Verde Ave.,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441104611/shrek_forever_after_medium.jpg,95815,-121.434172,
(530) 752-0888,UC Davis Film Festival,http://theatredance.ucdavis.edu,http://www.sacramento365.com/event/detail/441126153/UC_Davis_Film_Festival,,&nbsp;,38.5433171,Wed &amp;&nbsp;Thurs 8:30pm,,"Presented by the Davis Varsity Theatre, this annual festival features a wide array of student films including animation, comedy, drama, commercials, documentaries, music videos, and other art films.</p> <p>View videos from previous festivals.</p>			</p>    			<br><br>",Davis Varsity Theatre,616 2nd Street,Davis,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441126153/apt9_davey_medium.jpg,95616,-121.7403507,theatredancenews@ucdavis.edu
(916) 483-9283,Antique Evaluation Day,http://welcomehomehousing.org,http://www.sacramento365.com/event/detail/441132699/Antique_Evaluation_Day,04/09/2011,,38.578696,Sat 11am-3pm,04/09/2011,"Appraisers Brian Witherell of PBS&rsquo;s Antique Road Show and Gary Cox, Sacramento&rsquo;s &ldquo;Mr. Antique,&rdquo; will join other appraisers to evaluate books, toys, paintings, stamps, jewelry, collectables, sports memorabilia, inherited treasures, and more, including garage sale finds.</p>			</p>    			<br><br>",Unitarian Universalist Society,2425 Sierra Blvd.,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441132699/welcome_home_housing_medium.gif,95825,-121.405173,
(916) 208-POET,"The New ""The Show""",,http://www.sacramento365.com/event/detail/440958649/The_New_The_Show,,,38.496662,Last Saturdays 7pm-9pm,,"&quot;The Show&quot;&nbsp;features poetry and music and occurs on the last Saturday of every month. There is a live band, open mic, and featured artists. The event is co-sponsored by Poetry from the Heart and the Sacramento&nbsp;Poetry Center.<br> <br> The Show happens in the Obama Room within the Florin Business Arts&nbsp;Complex.</p>			</p>    			<br><br>",Florin Business Arts Complex (Obama Room),2251 Florin Road,(Off 24th & Florin)<br />						Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/440958649/redshow_medium.jpg,95822,-121.484437,fromtheheart1@hotmail.com
(916) 808-5888,Swingin' Safari Golf Tournament,http://saczoo.org,http://www.sacramento365.com/event/detail/441129159/Swingin_Safari_Golf_Tournament,05/23/2011,&nbsp;,38.543873,Mon 10am-6pm,05/23/2011,"Come out swinging for the Zoo at the Tenth Annual Golf Tournament at El Macero Country Club. Think you are a pretty good golfer? Join us for a swinging-good time for golf, food, prizes, and the wildest putting contest in the Sacramento area! <br> <br> The 10th annual golf tournament supports the Sacramento Zoological Society's educational programs.  Every year, the education programs at the Zoo reach students of all ages with on-site programming and community outreach.  Your support will expand the Zoo's role as an educational and recreational facility for the community to enjoy.</p>			</p>    			<br><br>",El Macero Country Club,44571 Clubhouse Drive,El Macero,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441129159/2011_logo_small_medium.jpg,95618,-121.683323,info@saczoo.org
