imageURL,eventDate,phone,racetrack,eventName,detailURL,description,streetAddress
http://www.nhra.net/nhracomiframe/logos/event5.png,April 29 - May 1,281-383-2666,Royal Purple Raceway,O’Reilly Auto Parts NHRA Spring Nationals,http://www.nhra.com/events/event/oreilly-auto-parts-nhra-spring-nationals-1/,"<div>&nbsp;</div>  <div>Royal Purple Raceway benefits from incredible atmospheric conditions because of its proximity to Trinity Bay, which feeds the facility cool air. The track&rsquo;s first NHRA national event, in fall 1988, established RPR as one of the sport&rsquo;s quickest with NHRA&rsquo;s first four-second Top Fuel quarter-mile pass and a new national record. Since then, the track has hosted a dizzying array of record runs, including the first sub-4.5-second Top Fuel quarter-mile pass by Larry Dixon in 1999. Pro Stock Motorcycles and Pro Mods will also compete at the event.</div>  <div>&nbsp;</div>  <div>2010 recap: Matt Hagan&rsquo;s first Funny Car win and Larry Dixon&rsquo;s 50th in Top Fuel highlighted a spectacular race day. Jeg Coughlin Jr. and Andrew Hines earned respective wins in Pro Stock and Pro Stock Motorcycle. From the opening round of Top Fuel through the final rounds, the day was filled with intense action, wild races, and upsets aplenty.</div>  <div>&nbsp;</div>  <div>How to Get There: Baytown is about 25 miles east of downtown Houston. From downtown Houston, take I-10 east to SH 99 Grand Parkway (Exit 799) and go south to FM 565 (approximately 2 miles). Take FM 565 west (right), and the track is on the right.</div>  <div>&nbsp;</div>  <div>Visitor Information: Baytown Chamber of Commerce, 281-422-8359</div></span><br />  </div>","2525 FM 565 South,  Baytown, TX 77523"
http://www.nhra.net/nhracomiframe/logos/event6.png,May 13 - 15,,Atlanta Dragway,Summit Racing Equipment NHRA Southern Nationals,http://www.nhra.com/events/event/summit-racing-equipment-nhra-southern-nationals-2/,"</div>  <div>Tickets: </div>  <div>Radio Frequency: 96.7 FM</div>  <div>&nbsp;</div>  <div>One of NHRA&rsquo;s long-established events &mdash; the race celebrated its 30th anniversary last season &mdash; this belle of the South has gained a reputation as one of the tougher events on the tour to win. With summer approaching, warm temperatures can turn the event into &ldquo;Hotlanta&rdquo; and throw crew chiefs a curve as they try to glue their charges to the facility&rsquo;s 660-foot concrete launchpad. The event also includes Pro Stock Motorcycles and Pro Mods.<br />  &nbsp;</div>  <div>2010 recap: Larry Dixon in Top Fuel and Jeg Coughlin Jr. in Pro Stock scored very special wins and were joined in victory by Robert Hight (Funny Car) and Andrew Hines (Pro Stock Motorcycle). Coughlin&rsquo;s win was the 50th of his Pro Stock career, making him just the ninth driver to collect 50 Wallys in a Full Throttle class, and Dixon&rsquo;s 52nd victory tied him in class wins with the great Joe Amato. Although the incoming points leaders left with their leads intact &mdash; and, in Dixon&rsquo;s case, improved &mdash; plenty of shuffling occurred behind them.</div>  <div>&nbsp;</div>  <div>How to Get There: The track is about 65 miles north of Atlanta on Interstate 85 at U.S. Highway 441. From Atlanta, take I-85 north to Exit 149 (Highway 441). Travel north on Highway 441 to Steven Tanger Boulevard. Go left on Tanger Boulevard, then right on E. Ridgeway Road, and follow the signs to the track (approximately a half-mile on the right).</div>  <div>&nbsp;</div>  <div>Visitor Information: Atlanta Dragway, 706-335-2301; Banks County Chamber of Commerce, 706-677-2108; Banks County Convention and Visitors Bureau, 706-677-5265</div></span><br />  </div>","500 E. Ridgeway Road,  Commerce, GA 30529"
http://www.nhra.net/nhracomiframe/logos/event7.png,May 20 - 22,785-862-4781,Heartland Park Topeka,NHRA Summer Nationals,http://www.nhra.com/events/event/nhra-summer-nationals/,"<div>&nbsp;</div>  <div>Sprawling multipurpose Heartland Park Topeka has been a Midwest favorite since it opened in 1989, but its dragstrip has gained the majority of headlines. The event, originally in the fall, has featured numerous record performances, the most significant of which was the shattering of the quarter-mile four-second and 300-mph barriers in Funny Car in 1993. The event moved to its current spot on the schedule in 2001.</div>  <div>2010 recap: Reigning NHRA Full Throttle Drag Racing Series world champs Tony Schumacher (Top Fuel), Robert Hight (Funny Car), and Mike Edwards (Pro Stock) collected wins to bolster their title defenses. Neither Schumacher nor Hight had won in Topeka, but both crossed that task off their lists to move closer to the points leaders in their classes. Edwards, meanwhile, upped his already impressive points lead to 267 markers over runner-up Allen Johnson.</div>  <div>&nbsp;</div>  <div>How to Get There: The track is on Topeka Boulevard where it intersects Gary Ormsby Drive, four miles south of Interstate 470. From Kansas City, take the Kansas Turnpike (I-70) to the South Topeka exit and travel south on Topeka Boulevard to the track. From Wichita, take the Kansas Turnpike (I-335) to the South Topeka exit and travel south on Topeka Boulevard to the track. From I-470, take the Topeka Boulevard exit and travel south to the track.</div>  <div>&nbsp;</div>  <div>Visitor Information: Visit Topeka Inc., 785-234-1030 or 800-235-1030, www.visittopeka.travel</div></span><br />  </div>","7530 SW Topeka Blvd.,  Topeka, KS 66619"
http://www.nhra.net/nhracomiframe/logos/event8.png,June 2 - 5,732-446-7800,Old Bridge Township Raceway Park,NHRA SuperNationals,http://www.nhra.com/events/event/nhra-supernationals-1/,"<div>&nbsp;</div>  <div>One of NHRA&rsquo;s original seven national events, this race is steeped in legend: a historic facility, some of the sport&rsquo;s more knowledgeable fans, and a score of dramatic moments. The event, once known as the Summernationals, has shifted on the schedule from its original scorching hot and humid July slot to May and June, and upsets have become the norm. The event, which marks the midpoint of the Full Throttle regular season, also includes Pro Stock Motorcycles and Pro Mods.</div>  <div>&nbsp;</div>  <div>2010 recap: Larry Dixon, Bob Tasca III, Mike Edwards, and Michael Phillips claimed Monday victories at the rain-delayed event. Top Fuel finalists Dixon and Antron Brown had shared the Old Bridge winner&rsquo;s circle before, in 2005 when Dixon won his third of five Top Fuel titles here and Brown the second of his Pro Stock Motorcycle event crowns. This time, though, Dixon went to the trophy presentation solo after winning the rematch of the 2009 final.</div>  <div>&nbsp;</div>  <div>How to Get There: Englishtown is about 20 miles south of Newark Int&rsquo;l Airport, 35 miles south of New York City, and 55 miles north of Philadelphia. The track is on Pension Road, two miles north of Englishtown. From the New Jersey Turnpike, use Exit 8 (Route 33) or Exit 9 (Route 18). From Route 33, travel east to Route 527 (Englishtown exit), then north to the track. From Route 18, travel east to Route 527 (Englishtown exit), then south to the track. The main entrance is on Pension Road, which runs off Route 527 west of the track.</div>  <div>&nbsp;</div>  <div>Visitor Information: Old Bridge Township Raceway Park, 732-446-7800, www.racewaypark.com</div></span><br />  </div>","230 Pension Road,  Englishtown, NJ 07726"
http://www.nhra.net/nhracomiframe/logos/event9.png,June 17 - 19,423-989-6900,Bristol Dragway,Ford NHRA Thunder Valley Nationals presented by Tri-Cities Area Ford Dealers,http://www.nhra.com/events/event/ford-nhra-thunder-valley-nationals-presented-by-tri-cities-area-ford-dealers/,"<div>&nbsp;</div>  <div>Bristol Dragway is known as Thunder Valley not only because it cuts a path between mountains but also because it can be home to incredible performances. The facility hosted NHRA&rsquo;s Springnationals from 1965 to 1967 and non-NHRA events until it was closed in 1996 for an $18 million renovation. It reopened in 1999 and was the site of NHRA&rsquo;s all-star event that year and in 2000 before hosting its first national event in 34 years in 2001. The event is the final chance for Pro Stock teams to earn points toward making the field for the K&amp;N Horsepower Challenge and another stop on the tour for Pro Mod racers.<br />  &nbsp;</div>  <div>2010 recap: Tony Schumacher (Top Fuel), John Force (Funny Car), and Mike Edwards (Pro Stock) collected victories at an event that produced a new points leader in Funny Car, a substantially tighter battle in Top Fuel, and additions to the all-important top 10s as the regular season headed down the backstretch. Force, the early season points leader, hadn&rsquo;t been to a final round since winning in Las Vegas in April and not only got back to the winner&rsquo;s circle but also got back his points lead.</div>  <div>&nbsp;</div>  <div>How to Get There: Bristol Dragway&rsquo;s Thunder Valley is on Highway 394. From the south, exit Interstate 81 at Tennessee Exit 69, then travel east on Highway 394. From the north, exit Interstate 81 at Virginia Exit 17 and take Virginia State Route 75 south to Tennessee 44 south to U.S. 421 north to Highway 394 south; or exit Interstate 81 at Virginia Exit 3 and take Highway 11E south to Highway 394.</div>  <div>&nbsp;</div>  Visitor Information: Bristol Chamber of Commerce, 423-989-4850&nbsp;</span><br />  </div>","151 Speedway Blvd.,  Bristol, TN 37620"
http://www.nhra.net/nhracomiframe/logos/event10.png,June 23 - 26,419-668-5555,Summit Motorsports Park,Summit Racing Equipment NHRA Nationals,http://www.nhra.com/events/event/summit-racing-equipment-nhra-nationals-2/,"<div>&nbsp;</div>  <div>The series will make its fifth appearance at fan-friendly Summit Motorsports Park with the full slate of Full Throttle classes and the seventh of 10 events for the NHRA Get Screened America Pro Mod Drag Racing Series. The event, known for upsets and high drama, is also the site of the eight-car Pro Stock bonus event, the K&amp;N Horsepower Challenge, the winner of which receives $50,000. The 10-race regular season for Pro Stock Motorcycles reaches its halfway point here.</div>  <div>&nbsp;</div>  <div>2010 recap: Greg Anderson scored a huge payday, winning in Pro Stock on Sunday to back up Saturday&rsquo;s victory in the K&amp;N Horsepower Challenge. Anderson, the 2008 Norwalk champ, hadn&rsquo;t been to a final since he scored a runner-up finish at this year&rsquo;s season opener in Pomona, but he chose a great event &mdash; one backed by his sponsor at the facility to which it holds naming rights &mdash; to stage one of the great performances of his career. Larry Dixon (Top Fuel), Tim Wilkerson (Funny Car), and Matt Smith (Pro Stock Motorcycle) also collected wins.</div>  <div>&nbsp;</div>  <div>How to Get There: From Cleveland and west-side suburbs, take Route 480 west to Route 10 (Norwalk exit). Follow Route 10 West until it becomes Route 20. Take Route 20 to Route 601. Turn left on 601 and proceed to the gate entrance on the right. From the north, east, and west, take the Ohio Turnpike East (Cleveland) to Exit 118 (Route 250). Head south on Route 250 into Norwalk. Turn left on Republic Street and follow the red directional signs to the track on the left. From the south, follow Route 250 North. At the exchange for State Route 18, follow the green directional sign to turn right; exit &shy;immediately using Route 18 and turn right. The track is on the left.</div>  <div>&nbsp;</div>  Visitor Information: Summit Motorsports Park, 419-668-5555; Erie County Chamber of Commerce, 419-625-6421, ErieCountyOhioCofC.com; Sandusky/Erie County Visitors &amp; Convention Bureau, 800-255-3743, &shy;ShoresAndIslands.com; Norwalk Area Chamber of Commerce, 419-668-4155, NorwalkChamberOfCommerce.com; Cleveland Convention and Visitors Bureau, 800-321-1001, PositivelyCleveland.com&nbsp;</span><br />  </div>","1300 State Route 18,  Norwalk, OH 44857"
http://www.nhra.net/nhracomiframe/logos/event11.png,July 7 - 10,888-629-RACE,Route 66 Raceway,O'Reilly Auto Parts Route 66 NHRA Nationals,http://www.nhra.com/events/event/oreilly-auto-parts-route-66-nhra-nationals/,"<div>&nbsp;</div>  <div>Stadium-like Route 66 Raceway, which opened in 1998 just outside of the Windy City, has regularly been the site of astounding performances. The event, which this year moves from May to weather-favorable July, is the site of the JEGS Allstars, which pits the best NHRA Lucas Oil Drag Racing Series racers from across the country in individual and team competition. It is also the sixth event of the season for Pro Stock Motorcycle riders.<br />  &nbsp;</div>  <div>2010 recap: Larry Dixon and Mike Edwards continued their winning ways, Matt Hagan set the new national record and ended Robert Hight&rsquo;s three-race Funny Car winning streak, and rookie sensation LE Tonglet broke through for his first Pro Stock Motorcycle win. Dixon posted two of the best runs of the year and padded his Top Fuel points lead after driving to his fifth win in 10 events.</div>  <div>&nbsp;</div>  <div>How to Get There: The track is approximately 30 miles southwest of Chicago on Route 53 (historic Route 66), three miles south of Interstate 80 in Joliet. From points north, take I-355 south to I-80 west to Route 53/Chicago Street (Exit 132) and proceed south to the track. From points south, take I-55 north to Arsenal Road, then proceed east to Route 53 north to the track. From points east and west, take I-80 to Exit 132 (Route 53) and follow Route 53 south to the track.</div>  <div>&nbsp;</div>  Visitor Information: Joliet Region Chamber of Commerce and Industry, 815-727-5371; Heritage Corridor Convention and Visitors Bureau, 800-926-2262&nbsp;</span><br />  </div>","500 Speedway Blvd.,  Joliet, IL 60433"
http://www.nhra.net/nhracomiframe/logos/event12.png,July 22 - 24,303-697-6001,Bandimere Speedway,Mopar Mile-High NHRA Nationals,http://www.nhra.com/events/event/mopar-mile-high-nhra-nationals-2/,"<div>&nbsp;</div>  <div>After a schedule reversal in 2010, the event returns to its traditional position as the opener of the grueling three-week Western Swing; teams from all four Full Throttle classes travel high and deep into the Rocky Mountains to more than 5,800 feet, where the altitude affects everything from engine tune-ups to aerodynamics. Crews must make changes to established power-making combinations and battle lack of downforce to tackle the environs. The event is a testament to the skill and adaptability of the racers.</div>  <div>2010 recap: Doug Kalitta in Top Fuel and Allen Johnson in Pro Stock broke through for their first wins of the season and were joined in the winner&rsquo;s circle by Robert Hight (Funny Car) and Andrew Hines (Pro Stock Motorcycle). Three of Johnson&rsquo;s eight national event Pro Stock wins have been at his sponsor&rsquo;s event, and his triumph last year was his first since he won this race in 2009. During the event, nine drivers locked up berths in the Countdown to the Championship playoff fields.</div>  <div>&nbsp;</div>  <div>How to Get There: The track is 10 miles west of Denver just north of the historic town of Morrison. From Denver, take Interstate 70 west to C-470 and travel south to either the Alameda exit west to Rooney Road and go south to the track or take the Morrison Road exit west to Rooney Road and go north to the track.</div>  <div>&nbsp;</div>  Visitor Information: Denver Metro Convention and Visitors Bureau, 303-892-1112; West Chamber Serving Jefferson County, 303-233-5555; Greater Golden Chamber of Commerce, 303-279-3113&nbsp;</span><br />  </div>","3051 S. Rooney Road,  Morrison, CO 80465"
http://www.nhra.net/nhracomiframe/logos/event13.png,July 29 - 31,800-870-RACE,Infineon Raceway,FRAM-Autolite NHRA Nationals,http://www.nhra.com/events/event/fram-autolite-nhra-nationals-2/,"<div>&nbsp;</div>  <div>In the heart of Northern California&rsquo;s high-tech region, the facility annually plays host to some of the tour&rsquo;s most dramatic moments. A $70 million modernization project was completed in 2002 that included a new 660-foot concrete launchpad and led to scores of new track records. The event is usually blessed with pleasant weather that, combined with a quality racetrack, has yielded impressive performances, such as the sport&rsquo;s second six-second Pro Stock Motorcycle pass in 2005. This year, the event is the middle leg of the Western Swing.<br />  &nbsp;</div>  <div>2010 recap: Ron Capps scored his first victory of the season in Funny Car and was joined in the winner&rsquo;s circle by Larry Dixon (Top Fuel), Jeg Coughlin Jr. (Pro Stock), and Michael Phillips (Pro Stock Motorcycle) at race two of the annual Western Swing. Seattle winners Cory McClenathan in Top Fuel and Greg Anderson in Pro Stock had their bids cut short for what would have been the middle leg of an unprecedented second sweep of the Western Swing.</div>  <div>&nbsp;</div>  <div>How to Get There: The track is 35 minutes north of San Francisco at the junction of highways 37 and 121. From Sacramento, take Interstate 80 to Highway 12 toward Napa/Sonoma to Highway 29 North. Follow Highway 29 to Highway 121, then head southwest to the track. For quick access, avoid using Highway 37 westbound from Vallejo to Highway 121. From East Bay cities, take I-580 west across the Richmond/San Rafael Bridge to Highway 101, then travel north to Highway 37 east and turn left onto Highway 121.</div>  <div>The entrance to the track is on the left.</div>  <div>&nbsp;</div>  Visitor Information: Sonoma County Visitors Bureau, 866-996-1090, www.sonomavalley.com&nbsp;</span><br />  </div>","Highways 37 and 121,  Sonoma, CA 95476"
http://www.nhra.net/nhracomiframe/logos/event14.png,Aug. 5 - 7,253-639-5927,Pacific Raceways,O'Reilly Auto Parts NHRA Northwest Nationals,http://www.nhra.com/events/event/oreilly-auto-parts-nhra-northwest-nationals/,"<div>&nbsp;</div>  <div>Pacific Raceways marks the finish line for the three-race, three-state, three-weekend Western Swing. One of the tour&rsquo;s most breathtaking environments, the facility is parked in the shadow of majestic Mount Rainier and surrounded by towering trees that add more than beauty at the first stop on the Western Swing: They emit tons of power-enhancing oxygen to feed the appetites of the high-horsepower machines, resulting in prime performances.<br />  &nbsp;</div>  <div>2010 recap: Cory McClenathan won a Top Fuel final that featured two drivers who have swept the three-race Western Swing: Antron Brown in 2009 and McClenathan 1993. Last year, it was Cory Mac&rsquo;s turn to kick off the three-race affair with a victory when he defeated Brown to collect his 34th Top Fuel victory. Tim Wilkerson in Funny Car and Greg Anderson in Pro Stock both won again, two weeks after scoring in Norwalk.</div>  <div>&nbsp;</div>  <div>How to Get There: The track is 10 miles east of Interstate 5 on Highway 18. From I-5, use Exit 142A (Auburn exit) and travel east 10 miles on Highway 18, following the signs to the track. From other points, use Highway 18 and exit SE 304th Street or SE 312th Street.</div>  <div>&nbsp;</div>  Visitor Information: Pacific Raceways, 253-639-5927; Auburn Chamber of Commerce, 253-833-0700; Kent Chamber of Commerce, 253-854-1770; Seattle-King County Convention and Visitors Bureau, 206-461-5800&nbsp;</span><br />  </div>","31001 144th Ave. SE,  Kent, WA 98042"
